department,title,author,date,link,content
accounting,[회계학과 2025-2학기 졸업종합시험 응시원서 및 서류 제출 안내],N/A,2025-10-13,https://accounting.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=6588,"1. 대상자 : 재학생 및 수료자 중 2026년 2월 졸업예정자
2. 시험 응시 및 면제서류 접수기간 :
2025.10.13.(월)~2025.10.24.(금)
※기한 후 접수 절대 불가
3. 접수 서류
가. 졸업시험 응시원서(첨부파일) 1부.
나. 성적증명서(전체학기) 1부.
다. 전공 또는 영어시험 면제요건 해당되는 경우(하기 내용 참조)
면제 관련 증명서 각 1부
(PDF파일로 제출)
라. 메일 제목 :
졸업
시험 응시_학번_이름(반드시 메일 제목을 지켜주세요.)
마. 모든 첨부파일 제목에 학번_이름 기재 필수
바. 메일 제목과 파일명을 지키지 않으면 오류가 발생하여 누락될 수 있음
학번 및 이름 미기재로 인한 서류 누락은 학과에서 책임지지 않음
사. 제출기한까지 면제서류 발급이 완료되어야 함
아. 졸업종합시험 후 제출하는 면제요건은 졸업사정 시 반영함
4. 제출방법 : 메일 제출(accounting@ssu.
ac.kr
)
5. 시험진행 일정
가. 일시 :
2025.11.07.(금) 10시(예정)
나. 장소 : 신청자에 한해 문자 안내 예정
6. 졸업종합시험
가. 전공 : 중급회계1, 세법원리, 관리회계
나. 공통 : 영어
다. 시험범위 : 재경관리사 재무회계, 세무회계, 원가관리회계 전 범위
라. 합격기준 : 전공 및 영어에 대하여 과목당 70점 이상
마. 재시험 없음(단, 외국인은 추가시험 있음)
바. 졸업종합시험에 불합격하는 경우 추후 면제요건 제출할 수 있음
7. 졸업종합시험 면제 안내
가. 전공과목과 공통과목(영어)를 모두 면제하는 경우
-공인회계사 1차 합격자
-새무사 1차 합격자
-감정평가사 1차 합격자
-관세사 1차 합격자
-미국공인회계사 2과목 이상 합격자
-공무원시험 합격자
나. 전공과목을 면제하는 경우
-재경관리사, TAT2급, TAT1급, 전산세무2급, 전산세무1급 합격자
-학과장님 인정하는 회계법인 및 세무법인 인터십 수료자
다. 공통과목(영어)면제하는 경우 : 공인영어성적표 사본(접수기간을 기준으로 유효한 경우만 인정)을 제출하는 경우
-토익 700점 이상
-토플IBT 71점 이상
-TEPS 340점 이상
-G-TELP Level2 65점 이상
-토픽 4급 이상(외국인 대상)"
accounting,[2025학년도 2학기 학부 중간 강의평가 실시 안내],N/A,2025-10-02,https://accounting.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=6583,"안녕하세요. 회계학과입니다.
2025학년도 2학기 학부 중간 강의평가 실시에 대해 안내드립니다.
1.대상: 2025학년도 2학기 개설된 학부 정규 교과목
2.제외 대상
가. 교수자가 배정되지 않은 과목
나. 교수자가 배정되어 있지만 담당 교수자가 실제 수업을 하지 않는 창업 및 현장 실습 교과목(창업현장실습과정, 국내장기현장실습(공학인증))
다. 소그룹채플
3.학생 강의평가 실시: 2025.10.06.(월) 09:00 ~ 10.17.(금) 23:59까지(6~7주차)
4.학생 강의평가 방법:
U-SAINT 로그인 → 학사관리 → 수업/출석 → 강의평가 실시 → 조회조건에서 학년도 및 학기 확인 후 “조회” 선택 → 수강과목 선택 후 평가 실시
5.강의평가 연동 학생 성적 조회 안내
가. 중간강의평가, 기말강의평가 모두 실시 : 교원 성적 입력 직후부터 조회 가능
나. 중간강의평가 실시, 기말 강의평가 미실시 : 성적입력기간 종료 이후부터 조회 가능
다. 중간 강의평가 미실시, 기말 강의평가 실시 : 성적입력 기간 마감 3일 전부터 조회 가능
라. 중간 강의평가, 기말 강의평가 모두 미실시: 성적입력 기간 종료 이후부터 조회 가능
6.기타 안내:
가. 기타 관련 사항은 강의평가규정에 따름
나. 2025-2학기부터 스마트포탈 앱 운영 중단에 따라 스마트포탈앱을 통한 강의평가 실시 불가"
accounting,[회계학과 2025-2학기 졸업종합시험 응시원서 및 서류 제출 안내],N/A,2025-09-23,https://accounting.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=6580,"1. 대상자 : 재학생 및 수료자 중 2026년 2월 졸업예정자
2. 시험 응시 및 면제서류 접수기간 :
2025년 10월 중 안내 예정
※기한 후 접수 절대 불가
3. 접수 서류
*모든 서류는 PDF로 전환하여 제출
가. 졸업시험 응시원서(첨부파일) 1부.
나. 성적증명서(전체학기) 1부.
다. 전공 또는 영어시험 면제요건 해당되는 경우(하기 내용 참조) 면제 관련 증명서 각 1부
라. 메일 제목 : 졸업시험 응시_학번_이름(반드시 메일 제목을 지켜주세요.)
마. 모든 첨부파일 제목에 학번_이름 기재 필수
바. 메일 제목과 파일명을 지키지 않으면 오류가 발생하여 누락될 수 있음
학번 및 이름 미기재로 인한 서류 누락은 학과에서 책임지지 않음
사. 제출기한까지 면제서류 발급이 완료되어야 함
아. 졸업종합시험 후 제출하는 면제요건은 졸업사정 시 반영함
4. 제출방법 :  메일 제출(accounting@ssu.
ac.kr
)
5. 시험진행 일정
가. 일시 :
2025.11.08.(금) 10시(예정)
나. 장소 : 신청자에 한해 문자 안내 예정
6. 졸업종합시험
가. 전공 : 중급회계1, 세법원리, 관리회계
나. 공통 : 영어
다. 시험범위 : 재경관리사 재무회계, 세무회계, 원가관리회계 전 범위
라. 합격기준 : 전공 및 영어에 대하여 과목당 70점 이상
마. 재시험 없음(단, 외국인은 추가시험 있음)
바. 졸업종합시험에 불합격하는 경우 추후 면제요건 제출할 수 있음
7. 졸업종합시험 면제 안내
가. 전공과목과 공통과목(영어)를 모두 면제하는 경우
-공인회계사 1차 합격자
-세무사 1차 합격자
-감정평가사 1차 합격자
-관세사 1차 합격자
-미국공인회계사 2과목 이상 합격자
-공무원시험 합격자
나. 전공과목을 면제하는 경우
-재경관리사, TAT2급, TAT1급, 전산세무2급, 전산세무1급 합격자
-학과장님 인정하는 회계법인 및 세무법인 인터십 수료자
다. 공통과목(영어)면제하는 경우 : 공인영어성적표 사본(접수기간을 기준으로 유효한 경우만 인정)을 제출하는 경우
-토익 700점 이상
-토플IBT 71점 이상
-TEPS 340점 이상
-G-TELP Level2 65점 이상
-토픽 4급 이상(외국인 대상)"
accounting,[2025-2학기 수강신청 여석증원 안내],N/A,2025-08-28,https://accounting.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=6571,"안녕하세요. 회계학과 사무실입니다.
2025-2학기 수강신청 여석증원 안내드립니다.
해당 교과목 외에 여석 증원이 진행되는 교과목은 없으며, 수강신청 및 변경은 9/1(월) 10시부터 가능하오니 참고 해주시기 바랍니다.
감사합니다."
accounting,[2025-2학기 수강신청 안내-정원 외 수강신청],N/A,2025-08-28,https://accounting.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=6564,"안녕하십니까? 학과장 김응길 교수입니다. 2025학년도 2학기 수강신청 관련해서 안내합니다.회계학과의 여러 과목에서 정원을 초과하는 수강신청이 발생하고 있습니다. 이로 인해 학생 여러분의 협조를 간절히 요청합니다.
1. 2025학년도 2학기 회계학과 전공과목은 여석 추가는 밴드 및 학과홈페이지에 올라온 내용 이외에는 없습니다.
2. 수강대상에서 ‘대상외수강제한’ 과목은 수강대상 해제가 되지 않습니다.
3. 졸업에 문제가 있는 4학년 졸업 학기인 학생들의 경우만 수강신청에 도움을 제공할 예정입니다. (정원 외 수강신청 진행예정)
① 구체적으로 2025년 8월 졸업예정자 중 졸업에 문제가 있는 학생에 한하여 도움을 드립니다. (4학년 졸업학기 학생 이외 신청 불가)
② 신청 가능 학점은 내국인 최대 6학점, 2개 과목 가능, 외국인 최대 12학점, 4개 과목 가능. 분반별 최대 신청 가능 인원은 10명이며, 고학번, 신청 과목 수가 적은 순으로 우선 선발됩니다.
③ 요청하는 과목 중 여러 분반이 개설된 경우 다른 분반에 여석이 많이 남아있으면 정원 외 수강 신청 대상 과목에서 제외됩니다. [예 : “재무제표분석” 과목 총 2개 분반 개설이 되어있고, 01반에 여석이 있을 경우, 모든 “재무제표분석”과목에 대한 정원 외 수강 신청 불가]
④ 미래관에서 진행되는 과목은 강의실 최대 수용 인원이 48명인 관계로, 정원 외 수강 신청에서 제외됩니다.
⑤ 본 예외사항의 대상자는 다음과 같습니다. 마지막 학기 학생들을 대상으로 하며, 아래 순위를 참고하여 보시기 바랍니다.
1 순위_2025-2학기가 8학기 이상이며, 2026년 2월 졸업에 문제가 있는 회계학과 주전공 학생
2 순위_2025-2학기가 8학기 이상이며, 2026년 2월 졸업에 문제가 있는 회계학과로 복수전공하는 학생
3 순위_2025-2학기가 8학기 이상이며, 2026년 2월 졸업에 문제가 있는 회계학과로 부전공하는 학생
4. 정원외 수강신청 불가 과목
5. 신청 기간 :
8월 28일 (목) 13:00-18:00 (신청은 하루만 진행)(기한엄수)
6. 신청 방법 : 해당 기간 중
학과 메일로 접수
(accounting@ssu.
ac.kr
)
① 메일 제목 : 정원외 수강신청_이름_학번
② 첨부 파일 제목: 정원외 수강신청_이름_학번
③ 위에 안내된 메일 제목 및 첨부 파일 양식을 꼭 지켜주기 바랍니다. 해당 양식 오기재로 인한 누락은 학과 사무실에서 책임지지 않습니다.
※ 위 기한 외에는 신청을 받지 않습니다.
※ 신청결과는 9/1(월) 이후 본인 수강신청 내역을 통해 확인 바랍니다.(개별연락 안함)
※ 선발 및 탈락 관련 일체 사유는 공개하지 않습니다.(문의 불가)
7. 기타사항
① 수강 신청 관련 문의는 반드시 학과 메일(accounting@ssu.
ac.kr
)로 하기 바랍니다.(수강 신청 관련 전화문의를 접수하지 않습니다.)
② 회계학과 교과목의 경우 복수, 부전공을 비롯하여 공인회계사를 준비하는 학생들로 인하 과목 증원 및 수강 신청 문의가 많습니다. 정원 외 수강 신청 대상자 외에 별도의 여석 증원 및 수강 신청을 불가하니, 수강 신청에 참고하기 바랍니다.8. 관련 문의 : 경영대학 교학팀 회계학과 학사업무 담당조교(accounting@ssu.
ac.kr
)"
accounting,[2025년 2학기 회계데이터분석 경진대회 참여 신청],N/A,2025-08-14,https://accounting.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=6553,"안녕하세요 회계학과입니다.
2025년 2학기 회계데이터분석 경진대회 참여 신청 관련하여 안내드립니다.
1. 과목 : 재무빅데이터분석사 2급
2. 대상 : 회계학과 2-4학년
3. 대회일시 :
2025.09.20.(토
)
4. 신청 기간 :
~ 2025.08.25.(월) 10:00까지
5. 신청 링크 :
https://forms.gle/ZBTdeKm6PVW21cwB7
6. 시험 사전테스트 :
2025.09.17.(수) ~ 09.19.(금) 오후 18시까지
※ 참고사항 ※
1. 설문조사 참여시 참가신청 확정
2. 설문조사 이후 슈패스 신청이 필요함으로, 신청자에 한하여 안내예정
3. 필수 진행 사항 (재무빅데이터분석사 홈페이지 회원 미등록 학생)
① 재무빅데이터분석사 홈페이지 접속 (
https://fda.kicpa.or.kr/
)
② 회원가입 진행
③ 개인정보 입력 시 “사진” 등록 필수
4.  재무빅데이터분석사2급 강의 사이트  : 신청학생에 한하여 메일 발송 예정
5. 해당 경진대회는 장학금 지급 없음
문의사항은 회계학과(02-820-0548 / accounting@ssu.
ac.kr
)로 연락주시기 바랍니다.
감사합니다."
accounting,[2025-2학기 회계학과 여석 증원 안내],N/A,2025-08-07,https://accounting.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=6546,"안녕하세요. 회계학과입니다.
2025-2학기 회계학과 과목 여석 증원과 관련되어 많은 문의가 들어오고 있는 것으로 확인하였습니다.
이번 여석 증원은 8월 말 개강 전 안내 될 예정이며, 1번의 여석  증원만 이루어져 추가적인 증원은 진행되지 않는 점을 참고해주시기 바랍니다.
감사합니다."
accounting,[2025-2학기 수강신청 안내-정원 외 수강신청 포함],N/A,2025-08-07,https://accounting.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=6543,"안녕하십니까? 학과장 김응길 교수입니다. 2025학년도 2학기 수강신청 관련해서 안내합니다.회계학과의 여러 과목에서 정원을 초과하는 수강신청이 발생하고 있습니다. 이로 인해 학생 여러분의 협조를 간절히 요청합니다.
1. 2025학년도 2학기 회계학과 전공과목은 여석 추가는 밴드에 올라온 내용 이외에는 없습니다.
2. 수강대상에서 ‘대상외수강제한’ 과목은 수강대상 해제가 되지 않습니다.
3. 졸업에 문제가 있는 4학년 졸업 학기인 학생들의 경우만 수강신청에 도움을 제공할 예정입니다. (정원 외 수강신청 진행예정)
① 구체적으로 2025년 8월 졸업예정자 중 졸업에 문제가 있는 학생에 한하여 도움을 드립니다. (4학년 졸업학기 학생 이외 신청 불가)
② 신청 가능 학점은 내국인 최대 6학점, 2개 과목 가능, 외국인 최대 12학점, 4개 과목 가능. 분반별 최대 신청 가능 인원은 10명이며, 고학번, 신청 과목 수가 적은 순으로 우선 선발됩니다.
③ 요청하는 과목 중 여러 분반이 개설된 경우 다른 분반에 여석이 많이 남아있으면 정원 외 수강 신청 대상 과목에서 제외됩니다. [예 : “재무제표분석” 과목 총 2개 분반 개설이 되어있고, 01반에 여석이 있을 경우, 모든 “재무제표분석”과목에 대한 정원 외 수강 신청 불가]
④  본 예외사항의 대상자는 다음과 같습니다. 마지막 학기 학생들을 대상으로 하며, 아래 순위를 참고하여 보시기 바랍니다.
1 순위_2025-2학기가 8학기 이상이며, 2026년 2월 졸업에 문제가 있는 회계학과 주전공 학생
2 순위_2025-2학기가 8학기 이상이며, 2026년 2월 졸업에 문제가 있는 회계학과로 복수전공하는 학생
3 순위_2025-2학기가 8학기 이상이며, 2026년 2월 졸업에 문제가 있는 회계학과로 부전공하는 학생
4. 정원외 수강신청 불가 과목
5. 신청 기간 :
8월 7일 (목) 14:00-20:00
(신청은 하루만 진행)(기한엄수)
6. 신청 방법 : 해당 기간 중 학과 메일로 접수(accounting@ssu.
ac.kr
)
① 메일 제목 : 정원외 수강신청_이름_학번
② 첨부 파일 제목: 정원외 수강신청_이름_학번
③ 위에 안내된 메일 제목 및 첨부 파일 양식을 꼭 지켜주기 바랍니다. 해당 양식 오기재로 인한 누락은 학과 사무실에서 책임지지 않습니다.
※ 위 기한 외에는 신청을 받지 않습니다.
※ 신청결과는 9/1(월) 이후 본인 수강신청 내역을 통해 확인 바랍니다.(개별연락 안함)
※ 선발 및 탈락 관련 일체 사유는 공개하지 않습니다.(문의 불가)
7. 기타사항
① 수강 신청 관련 문의는 반드시 학과 메일(accounting@ssu.
ac.kr
)로 하기 바랍니다.(수강 신청 관련 전화문의를 접수하지 않습니다.)
② 회계학과 교과목의 경우 복수, 부전공을 비롯하여 공인회계사를 준비하는 학생들로 인하 과목 증원 및 수강 신청 문의가 많습니다. 정원 외 수강 신청 대상자 외에 별도의 여석 증원 및 수강 신청을 불가하니, 수강 신청에 참고하기 바랍니다.
8. 관련 문의 : 경영대학 교학팀 회계학과 학사업무 담당조교(accounting@ssu.
ac.kr
)"
accounting,[2025-2학기 회계학과 수강신청 문의],N/A,2025-08-04,https://accounting.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=6538,"안녕하세요. 2025-2학기 회계학과 수강신청과 관련하여 안내드립니다.
매 학기 수강신청이 진행됨에 따라 학생분들의 문의사항이 많은 것으로 확인하였습니다.
2025-2학기 수강신청 문의는 해당 링크를 통해 받으며, 관련 내용은 학과 홈페이지 및 회계학과 밴드에 안내될 예정이오니 확인 부탁드리겠습니다.
※ 2025-2학기 수강신청 문의
https://forms.gle/Fn4MHWV9rsvC5WtR9
2025학년도 2학기 회계학과 수강신청 문의
안녕하세요. 회계학과 사무실입니다. 2025학년도 2학기 수강신청 관련 문의가 많을 것으로 예상되어, 해당 양식에서 문의를 받고 있음으로 해당 내용 내용 확인 후 답변은 홈페이지에 안내될 예정이오니 참고 부탁드리겠습니다. ※ 문의는 과목당 1개씩 제출해주시기 바라며, 개별적인 문의는 받지 않고 있습니다. 감사합니다.
docs.google.com
감사합니다."
accounting,[2025학년도 2학기 학과근로장학생 모집 안내],N/A,2025-07-30,https://accounting.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=6536,"2025학년도 2학기 학과근로장학생을 다음과 같이 모집하니 많은 지원 바랍니다.
1. 학과근로장학생 자격 및 선발기준
가. 2025학년도 2학기 국가장학금 1차 신청하고 소득분위가 9분위 이내인 자
※ 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인 유학생은 선발 불가)
나. 2025학년도 2학기 재학 및 복학 예정자로 해당 학기 등록금 납부 예정인 자
1) 2025학년도 2학기 전 등록휴학 후 복학 시 선발 불가(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동시 모든 장학금 취소
3) 2025학년도 2학기 기준 이수학기가
2~7학기인
학생만 가능(1학기 및 마지막학기
신청 불가, 건축학 전공자의 경우 9학기까지 신청 가능)
다. 직전학기 취득학점 및 학업성적 제한 없음
라. 장애인, 북한이탈주민 및 자립준비청년 우선 선발(한국장학재단 정보 활용)
마. 타 장학금과 중복수혜 가능(근로장학금 간 중복 불가)
※ 본 장학금은 학업장려비 지원 목적으로 수업료를 초과하여 지급 가능
바. 국가근로장학생 및 교내근로장학생에 선발되지 않은 자
2. 근로장학생 종류별 장학금액 및 근로시간
※ 회계학과의 경우 학과근로 A만 지원 가능함
※ 장학금은 매월 지급하며, 실 지급액은 근로시간에 따라 달라질 수 있음
※ 주 기준은 학기당 받을 수 있는 장학금액 산정을 위한 것이며, 총 시간 내에서 8월까지 근로할 수 있음
※ 장학금 지급일: 매월 셋째주 금요일 예정(Ex. 9월분 근로장학금 지급일: 10월 셋째주 금요일)
3. 유의 사항
가. 선발된 학생은 소속부서에서 지정된 근로시간 동안 근무해야 하며, 학기 중 학적변동 (휴학, 자퇴, 제적 등) 등 불가피한 사유가 인정되는 중도 포기 시 근로 시간 만큼 지급
나. 2026년 1월 근로평가 전까지 교체 가능(단, 교체 전 학생의 근로시간을 차감)
다. 국가근로 및 교내근로로 선발 시 학과근로 선발에서 제외됨
(선발 우선순위: 1. 국가근로, 2. 교내근로, 3. 학과근로)
라. 따라서, 회계학과에서는 학과근로만 신청한 대상자를 우선 선발 예정임.
4. 신청절차
가. 학생신청방법: u-SAINT포털 → 등록/장학 → 장학메뉴 ‘근로장학금’→학과근로A/B신청 → 지원서 출력 → 지원서 제출
※ u-SAINT출력본 제출 필수
나. 온라인접수 및 서류제출기간:
2025년 8월 4일(월) 10:00 ~ 8월 8일(금) 17:00
※ 제출 일시 이후 제출본은 불인정하니 유의
1) 제출서류:
지원서(u-SAINT출력본,본인서명필수)
2) 지원방법 : 메일송부(accounting@ssu.
ac.kr
)
3) 제출양식(제목) : 2025학년도 2학기 회계학과 학과근로 지원_학번_성명
5. 선발결과 발표 : 2025년 8월 25일(월) 18:00 이후 예정
6. 문의: 회계학과 사무실(accounting@ssu.
ac.kr
)"
