department,title,author,date,link,content
finance,"[안내] 2025학년도 교육만족도 조사 안내_재학생,외국인학부생(~11/28)",N/A,2025-11-10,https://finance.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7500,
finance,"[행사] 2025 금융인의 밤 행사 안내 (11/20 목요일, 17시)",N/A,2025-11-10,https://finance.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7489,"<2025 금융인의 밤 행사 안내>
2025학년도 금융인의 밤 행사를 진행하오니 금융학부생의 많은 참석 바랍니다^^
1. 일시 :
11월 20일(목) 17시 ~ 20시
2. 대상 :
금융학부 모든 구성원 (학생회를 통하여 신청)
3. 장소
가. 행사 장소 : 문화관 312호
나. 만찬 장소 : 학생회관 스낵코너
4. 행사 순서
가. 개회 (17:00)
나. 금융학부 학부장님 인사
다. 학생회 활동보고/이벤트
라. 김석희기금 장학상 수여식
마. 우수졸업생특강 (17:30)
– 10 김형래 : 새마을금고 중앙회
– 10 송정근 : 퍼시스
아. 만찬 (학생회관 3층 스낵코너)
5. 문의 :
금융학부 학생회, 조교 02-829-8303"
finance,[장학] 2025학년도 김석희기금 동기부여 장학생 선발자 공지,N/A,2025-11-06,https://finance.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7484,"<2025학년도 김석희기금 동기부여 장학생 선발자 공지>
1.내용 :
2025 금융인의 밤 행사와 함께 금융학부 학생들의 동기부여를 위한 상패 및 장학금 수여
2.분야 :
금융학부 4대 교육목표에 따라 시상
3. 선발인원 :
분야별 2명
가. Academic Excellence : 22홍정민, 21정우용  (이수학기 및 성적, 2학년 이상, 기타 사항 고려하여 선발)
나. Global Network : 19박준영, 20채제헌
다. Practical Value : 22김유정, 23석주영 (인턴기간 및 분야, 활동내역)
라. Servant Leadership :  21김형원, 21우성민 (봉사시간 및 활동내역)
4.장학금액 :
선발자 각 30만원
5.수상자 필수사항 :
11월 20일(목) 16시 30분~,  ‘금융인의 밤’ 행사 및 김석희장학금 수여식 오프라인 필수 참석
6.문의 :
금융학부사무실 02-828-7385, 조교 02-829-8303"
finance,[졸업] 2025-2학기 졸업시험 일정 세부 안내 (신청자에 한함),N/A,2025-10-30,https://finance.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7474,"<2025-2학기 졸업시험 일정 세부 안내>
1.대상 :
2025-2학기 졸업시험 신청자
2. 응시방법 및 일시
가. 재무관리 : 비대면 시험, 11/7(금)  10시, 응시방법 개별 문자로 안내 예정
나. 비고 : 응시방법 및 준비물 변경시 추후 공지사항 수정을 통하여 안내 예정
3. 범위
: 각 과목별 전 범위
4. 관련 문의
: 금융학부 조교  (02-829-8303)"
finance,[재학생 법정의무 교육] 2025년도 학부/대학원생을 위한 폭력예방교육(법정의무) 안내,N/A,2025-10-10,https://finance.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7429,"2025년 학부/대학원생을 위한 폭력예방교육을 다음과 같이 진행할 예정입니다.
각  학부/대학원 재학생(외국인 포함)의 경우 필수 이상대상입니다.
1. 교육 개요
가. 과정명: 2025년 학부/대학원생을 위한 폭력예방교육
나. 유형: 필수교육(법정의무교육)
다. 기간: 2025.10.01.(수) ~ 2025.12.31.(수)
라. 대상: 학부/대학원 재학생(외국인 포함)
※ 1학기에 해당 교육을 이수한 인원은 재이수 불필요
마. 방식: 온라인 동영상 강의(한국어, 영어, 중국어 제공)
바. 내용: 성희롱, 성폭력, 가정폭력, 인권, 성인지, 2차 피해
사. 이수 기준 및 이수증: 차시에 상관없이 언어별 1개 강의 100% 이수 시 이수증 발급
2. 교육 이수 방법(붙임 매뉴얼 참조)
u-SAINT 로그인 → LMS 바로가기(왼쪽 메뉴 영역 중간) → 마이페이지(Learning)
→ 2025년 학부/대학원생을 위한 폭력예방교육→ ‘과목 홈 바로가기’ → 주차학습
→ 언어별 강의 선택 (한국어, 영어, 중국어 중 택 1 가능)
3. 안내사항
가. 미이수자 학기말 성적 조회 제한
1) 2025.12.20(2학기 종강일)까지 이수 시 성적조회 기간에 조회 가능
2) 2025.12.21(일)부터 성적조회 기간 내 이수 시 교육 이수 다음날 오후에 성적조회 가능
나. 이수율 저조 시 미이수자에게 독려 문자 및 메일 발송 예정.
붙  임  LMS 교육 이수 매뉴얼 1부.  끝."
finance,[졸업] 2025-2학기 졸업시험 신청 및 대체요건 제출 안내(졸업시험 신청 링크 첨부),N/A,2025-10-01,https://finance.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7409,"<2025-2학기 졸업시험 신청 및 대체요건 제출 안내>
–졸업시험 관련(응시과목, 대체요건 등)하여 문의사항이 있는 경우 졸업시험 신청 전  반드시 조교에게 사전문의 바랍니다.
-2025-2 졸업시험 합격자 또는 대체요건 제출 완료자는  졸업확정신고를 하여야지만 졸업이 가능합니다. 졸업확정신고를 하지 않을 경우 ‘수료’로 처리됩니다.
(
숭실대 홈페이지 졸업확정신고 안내 공지사항 참고:
링크 바로가기 클릭
)
1. 대상 :
2026년 2월 졸업예정자
2. 졸업시험 일시(예정)
가. 1차 : 11월 7일(금), 시간/장소 추후 공지
나. 2차 : 11월 21일(금), 시간/장소 추후 공지
– 2차 시험은 1차 시험 응시자 중 불합격한 학생을 대상으로 진행합니다.
다. 응시대상 : 졸업시험 대체요건이 없는 경우 (금융학부 졸업시험에 관한 내규 참고)
3. 장소 및 시험방법 :
상세내용 추후 개별 안내
4. 졸업시험 응시자의 경우 시험과목/범위
가. 중요사항
1) 학번별
아래의 3과목 중 금융학부 수업을 듣고 C- 이상인 과목은 제외, 그 외 과목별 응시
2) 단, 금융학부 개설 강의를 수강하지 않은 경우 성적에 상관없이 응시대상임
(예시-경영학부의 재무관리를 수강하고 A0를 받은 경우 성적과 상관없이 졸업시험 응시대상임)
나. 학번기준 시험과목
1) 16학번 이전 : 재무관리, 투자론, 금융시장론(또는 파생상품론)  / 전범위
-16학번 이전 응시대상자의 경우 금융시장론에 대하여 파생상품론으로 대체 선택 가능
2) 17학번 이후 : 재무관리, 투자론, 파생상품론 / 전범위
5. 졸업시험 대상자 신청 방법 및 기한
가. 신청방법 : 구글 설문 참여
(설문 바로가기 클릭)
나.
신청기한 : 현재 ~ 10월 17일(금) 까지
6. 졸업시험 대체요건 서류 제출
가. 면제서류 제출 기한 : 12월 14일(일)까지
나. 제출 방법 : 학부사무실(숭덕경상관 302호)  원본 제출 또는 원본 스캔파일을 이메일(finance@ssu.ac.kr)로 제출
다. 이번 학기에 졸업시험 미응시, 대체요건 미제출 예정인 경우에도 이메일로 해당 내용을 작성하여 제출 바랍니다.
라.
금융학부 개설과목(각각 학점 C- 이상) 수강 대체요건으로 졸업시험이 면제인 경우 이수구분별 성적표를 제출
바랍니다. (
이수구분별 성적표 미제출시 졸업시험 대체요건으로 처리 불가함)
마. 제출 기간 내에 대체서류 제출이 불가할 시 조교에게 사전 문의바랍니다.
7. 첨부 :
금융학부 졸업시험에 관한 내규
8. 문의 :
조교 02-829-8303"
finance,"[자격증지원] 2025-2 금융관련 자격증 지원금 사용 안내(~1/16까지 사용, 8월 기신청자에 한함)",N/A,2025-09-29,https://finance.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7405,"<2025-2학기 금융관련 자격증 지원금 사용안내>
–아래의 공지사항을 상세히 읽은 후 지원금 사용신청하여 주시기 바랍니다.
1.지원 결정 사항
가.  2025-2학기 금융관련 자격증 지원 신청완료자
나.
2025-2학기  1인당 최대 30만원 이내에서 본인 신청금액 만큼 지원
(예시- 18만원 신청자의 경우 18만원만 지원, 32만원 신청자의 경우 최대 30만원까지 지원)
다. 인터넷강의 수강료 및 교재지원비 지원
(교재비의 경우 배송비를 포함하여 지원신청금액 초과시  온라인 결제 불가)
라. 시험 응시비 지원 불가
마. 금융학부 전체 재학 또는 휴학 기간 중 총합 100만원 이내로만 지원 가능
바. 비고 : 2025-2학기 지원금액 포함, 총 100만원 지원 초과자에게는 별도 안내예정
2. 지원금 결제방법 안내
*반드시 숙지바람*
-모든 결제는
신청자 본인 계정만 가능 합니다.
가. 온라인 결제
1) 사이트주소 링크(필수), 아이디 및 비밀번호를 학부 이메일로 전달하여 결제 (finance@ssu.ac.kr)
2) 이메일 내용에 학번, 이름, 지원 자격증명도 기재하여야함
3) 결제희망 인강 및 교재를 장바구니에 넣어두어야 결제 가능 (배송지 주소 미리 입력바람)
4) 장바구니 내역 캡쳐하여 첨부
5)
결제 처리 후 사이트 비밀번호 변경 필수!
나. 현금영수증 (지출증빙용) –
지원금액보다 큰 금액을 결제할 경우에만 현금영수증 처리 가능
1) 학교사업자 번호로 발급 필수 (사업자번호 : 108-82-00391)
2) 현금영수증 캡쳐 파일, 결제내역(강의명 또는 교재명이 나오게) 캡쳐 파일, 본인명의 계좌정보를 이메일로 제출하여야 처리가능
–
현금영수증을 신청한 다음
24시간 이후
의 현금영수증을 제출하여 주시기 바랍니다.
(국세청 확정이 완료된 후의 현금영수증만 증빙 가능)
3) 파일 제출 후 해당 금액 입금까지 최소 2주 소요
다. 학부사무실 방문 결제
: 온라인 결제 요청 방법으로 신청 불가능한 경우에만 요청바람
– 방문결제가 필요한 경우, 최소 1일전 미리 방문시간 협의필수 (02-829-8303)
라. 학원현장결제 : 꼭 필요한 경우에만 상의 후 결제방법 안내 예정.  지양바람
마. 비고 :
신청금액을 초과하여 결제가 필요할 경우 [나. 현금영수증(지출증빙용)] 결제방법만 가능합니다.  또는 학원에 요청하시어 지원가능 금액만큼 분할결제하시기 바랍니다.
3. 주의사항
:
개인카드결제 영수증, 개인현금영수증, 기타 간이영수증 등
처리 불가
4. 결제 기한 : 현재 ~ 2026년 1월 16일(금)까지
5.
지원금액 및 방법을 정확히 모르는 경우 조교에게 사전 확인 후 지출바랍니다.
6. 이메일로 결제요청을 한 경우,  이메일이 온 순서대로 처리하여
결제에 평일 기준 2일~3일 이상 소요
될 수 있습니다.
현금영수증의 경우 처리부터 입금까지 2주 이상 소요
될 수 있습니다.
7. 금융관련자격증 지원 금액은 예산범위 내에서 지원자 수를 고려하여 지원하므로 학기별로 지원금액이 달라질 수 있습니다.
8. 문의 : 금융학부사무실 02-828-7385, 조교 02-829-8303
9. 비고 : 2026-1학기 금융관 련 자격증 지원 신청의 경우 2026년 2월에 신청 모집 예정
– 2026-1학기 지원부터 기지원 받은 자격증 시험을 지원학기 첫날(1학기 3/1, 2학기 9/1)부터 1년 이내에 미응시한 경우 지원 불가"
finance,[안내] 2025학년도 2학기 유고결석 안내,N/A,2025-09-03,https://finance.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7289,"2025학년도 2학기 유고결석에 대해 상세히 안내하니 반드시 참고하시어 유고결석을 신청하시기 바랍니다.
※ 유고결석은 시스템 상 미리 신청되지 않습니다
.
결석 종료일 이후 신청 가능합니다.
※ 유의사항
: 파일 업로드 시
증빙서류가 미비하거나 파일이 손상된 경우
, 유고결석이
‘거부’
처리 될 수 있습니다.
※ 코로나19 격리 기간에 대한 결석,  기타 질병에 대한 요양 기간 결석은 유고결석(질병)으로 인정되지 않습니다.
[당일 통원과 입원 치료에 한하여 질병결석 인정]
상세한 신청 방법 및 증빙서류 요건은 붙임 파일 참고하시기 바랍니다.
문의: 학생서비스팀(학생회관 406호)  ☎02-820-0064,0067
1.-유고결석-안내사항2025-2학기.pdf
2.-재학생-유세인트-유고결석-신청방법.pdf"
finance,[장학] 2025-1학기 금융학부 학과우수장학금 선발기준 및 지급관련 안내,N/A,2025-08-07,https://finance.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7155,"<2025-1학기 금융학부 학과우수장학금 선발기준 및 지급관련 안내>
–2025-1학기 등록금에 대한 장학금으로 유세인트에 등록되어있는 본인 계좌로 사후지급처리 예정
– 유세인트 로그인 -> 장학탭에서 수혜여부 확인가능( 8월 중 )
1. 선발대상자
가. 2025-1학기 금융학부 재학생 (지급시점 기준, 8학기 이내)
나. 2025-1학기 등록금 납부자
다. 2025-1학기 등록대체자 선발불가
라. 2025-1학기 등록금 범위를 초과하여 지급 불가
(기 장학금 수혜금액 포함하여 등록금 범위 초과 선발 불가)
2.  선발요건 :
2025-1학기 금융학부 개설 강의 2개 이상 수강한 자
-금융학부 개설강의란, 금융학부 교수, 겸임교수 및 강사가 강의하는 과목
(Entrepreneurship, 재무회계, 오퍼레이션매니지먼트 등 금융학부 개설분반이라도 실제로 타 학과에서 개설하는 강좌는 미포함)
–확인을 원할 시 학과사무실로 문의
3. 선발기준
가. 2025-1학기 성적우수자 : 평점평균이 3.7점 이상인 자
– 매 학기 학과우수장학생을 선발함에 따라 해당학기 성적으로 선발
– 해당학기 장학예산범위 내에서 선발되어 학기별 평점평균 기준이 변경될 수 있음
4. 장학금액: 50만원
– 장학 예산범위 내에서 선발하여, 성적 기준 마지막 선발자의 경우 장학금액인 500,000원보다 수혜 금액이 적을 수 있음
5. 비고
가.  본 장학금은 교내장학금으로 등록금 범위를 초과하여 지급 불가합니다.
(예: 2025-1학기 장학금 전액 수혜자의 경우 본 장학금 수혜 불가, 수혜가능금액이 50만원 미만일 경우 차액만 지급)
6. 문의 : 금융학부사무실 02-828-7385, 조교 02-829-8303"
finance,[장학] 2025-2학기 백마성적장학생 선발 기준 안내,N/A,2025-07-16,https://finance.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7042,"<2025-2학기 백마성적장학생 선발 기준 안내 >
– 2025-1학기 성적으로 선발
– 2025-2학기 등록금에 대한 장학금으로 사전감면 예정
1.백마성적우수장학생 기본 자격요건
가.
2025학년도 2학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 국가장학금 1차 신청자에 한하여 등록금고지서 사전감면
2) 1차 미신청자: 2차 신청/서류제출 확인 후 지급
(2차 신청자 중 한국장학재단 구제신청 시 사후지급)
3) 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인유학생은 선발 불가)
나. 2025학년도 2학기 재학 및 복학 예정자로 해당 학기 등록금 납부 예정인 자
1) 2025학년도 2학기 前 등록휴학 후 복학 시 선발 대상에서 제외(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동 시 모든 장학금 취소
3) 선발 후, 학기 시작 준 또는 중도 휴학 시 백마성적우수장학금은 복학 학기로 이월
※ 추가 또는 교체 선발 시 재학 중인 학생만 선발 가능(휴학생에 대한 추가/교체 불가)
다. 직전 학기 15학점 이상 이수한 자(졸업 직전학기는 직전학기 12학점 이상)
라. 2025학년도 2학기가 정규등록학기 8학기 이내인 자(건축학부 건축학전공: 정규등록 10학기 이내인 자)
마. F학점 포함 학적부성적 기준 직전 학기
3.8 이상
인 자
바. 모든 교내장학금간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금으로 자동 선발
2) 중복수혜 가능 장학금: 국가장학금, 교외장학금, 학과우수장학금, 기타 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)하므로 유의
2. 금융학부 선발요건 및 선발 기준
가. 선발요건 : 2025-1학기 금융학부 개설 강의 2개 이상 수강한 자
(금융학부 개설강의란, 금융학부 교수, 겸임교수 및 강사가 강의하는 과목)
-Entrepreneurship, 재무회계, 오퍼레이션매니지먼트 등 금융학부 개설분반이라도 실제로 타 학과에서 개설하는 강좌는 미포함
–확인을 원할 시 학과사무실로 문의
나. 선발기준
1) 전학년 최고성적학생 1명에게 전액장학금을 지급
2) 반액 장학금 학년별 각 2명
3) 25% 장학금 석차와 학점을 고려하여 선발
4) 석차순에 따라 선발
5) 동점자 발생 시 고학년 우선, 같은 학년 동점자 발생 시 금융학부 개설 과목 평점평균, 취득학점, 산술평균 순의 기준으로 차 순위자 중 선발
*2025-2학기 백마성적 전액장학금의 경우 평점평균 4.5점 만점자가 다수 발생하여, 선발기준에 따라 1명의 학생을 선발
*장학선발가능 인원 및 성적만점 복수자 발생을 고려하여 선발
3. 유의사항 : 백마성적장학생 선발 확정 이전 휴학 시 대상자에서 제외될 수 있으니 유의바랍니다.
– 2025-2학기 휴학예정자는 가급적  2차 휴학신청기간에 휴학신청 권장
– 2025-2학기 휴학할 경우 복학하는 학기에 반드시 국가장학금을 신청하여야 수혜 가능
-선발확정 결과 확인 : U-saint 장학내역에서 8월 중 확인 가능
4. 문의 : 금융학부사무실 02-828-7385, 조교 02-829-8303, 장학팀 02-820-0167"
