department,title,author,date,link,content
ecofinance,[장학] 2025학년도 2학기 학과근로장학생 모집 안내(8월 8일 17시까지),금융경제학과,2025-07-30,https://ecofinance.ssu.ac.kr/post/3842?page=1,"2025
학년도
2
학기 학과근로장학생을 다음과 같이 모집하니 많은 지원 바랍니다
.
1.
근로장학생 자격 및 선발기준
가
. 2025
학년도
2
학기
국가장학금을
1
차
신청
하고 소득분위가
9
분위 이내인 자
※
국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(
단
,
순수외국인전형으로 입학한 외국인 유학생은 선발 불가
)
나
. 2025
학년도
2
학기 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
1) 2025
학년도
2
학기 전 등록휴학 후 복학시 선발 불가
(
등록대체자
)
2)
학기 중 미등록
,
입학취소
,
복학취소 등으로 인한 학적변동시 모든 장학금 취소
3) 2025
학년도
2
학기 기준
이수학기가
2~7
학기만 가능
(
건축학 전공은
9
학기까지
)
※
마지막학기 재학생은 선발 불가
다
.
직전학기 취득학점 및 학업성적 제한 없음
라
.
타 장학금과 중복수혜 가능
(
근로장학금 간 중복 불가
)
※
본 장학금은 학업장려비 지원 목적으로 등록금
(
입학금 및 수업료
)
를 초과하여 지급
마
.
국가근로장학생 및 교내근로장학생에 선발되지 않은 자
※
국가근로 및 교내근로 선발자가 포기 후 학과근로 선발될 수 없음
2.
근로장학생 종류별 장학금액 및 근로시간
장학금명
시간당 장학금
총 근로시간
(
학기
)
1
인당 장학금액
(
원
)
학과근로
A
10,030
원
10
시간
*20
주
=200
시간
2,006,000
학과근로
B
10,030
원
5
시간
*20
주
=100
시간
1,003,000
※
장학금은 매월 지급하며
,
실 지급액은 근로시간에 따라 달라질 수 있음
※
주 기준은 학기당 받을 수 있는 장학금액 산정을 위한 것이며
,
총 시간 내에서
2026
년
2
월까지
근로할 수 있음
※
장학금 지급일
:
매월 셋째주 금요일 예정
(Ex. 9
월분 근로장학금 지급일
: 10
월 셋째주 금요일
)
3.
유의 사항
가
.
선발된 학생은 소속부서에서 지정된 근로시간 동안 근무해야 하며
,
학기 중 학적변동
(
휴학
,
자퇴
,
제적 등
)
등 불가피한 사유가 인정되는 중도 포기 시 근로 시간 만큼 지급
나
. 2026
년
1
월 근로평가 전까지 교체 가능
(
단
,
교체 전 학생의 근로시간을 차감
)
다
.
국가근로 및 교내근로로 선발 시 학과근로 선발에서 제외됨
(
선발 우선순위
: 1.
국가근로
, 2.
교내근로
, 3.
학과근로
)
–
4.
신청절차
가
.
학생신청방법
: u-SAINT
포털
→
등록
/
장학
→
장학메뉴
‘
근로장학금
’
→
학과근로
A/B
신청
→
지원서 출력
→
지원서
제출
※
u-SAINT
출력본 제출 필수
나
.
온라인접수 및 서류제출기간
:
2025
년
8
월
4
일
(
월
) 10:00 ~ 8
월
8
일
(
금
) 17:00
※
제출 일시 이후 제출본은 불인정하니 유의
1)
제출서류
:
지원서
(u-SAINT
출력본
)
2)
제출장소
:
학과사무실(숭덕경상관 305호) 방문 제출
–
5.
선발결과 발표
:
2025
년
8
월
25
일
(
월
) 18:00
이후 본교 홈페이지 공지사항 공지 예정"
ecofinance,[학사] 2025학년도 2학기 수강신청안내,금융경제학과,2025-07-21,https://ecofinance.ssu.ac.kr/post/3839?page=1,"2025
학년도 2
학기 수강신청 관련 일정과 주의사항을 안내해 드립니다
.
1. 수강신청 일정
구분
대상
일시
예비수강신청
(장바구니)
· 전체 학년
7.30.(수) 00:00
~ 8
.4.(월) 09:00
(수강신청 기간 제외)
수강신청
· 1학년
8.4.(월)
10:00 ~ 15:00
· 2학년
8.5.(화)
10:00 ~ 15:00
· 3학년
8.6.(수)
10:00 ~ 15:00
· 4학년
8.7.(목)
10:00 ~ 15:00
·
전체 학년
· 시간제 등록생
· 학점교류생
8.8.(금)
10:00 ~ 15:00
수강신청
변경기간
· 전체 학년
9.1.(월) ~ 9.5(금)
10:00 ~ 15:00
수강신청
취소기간(Drop)
· 전체 학년
9.22.(월) 10:00~
9.26.(금) 15:00
2. 주의사항
2025-2학기 편입생은 편입된 학년의 일시에 수강신청
2025학년도 2학기 금융경제학과 전공 시간표
전공강의
학년
과목
강의교수
학점
날짜/시간
수강인원
타과 오픈여부
강의유형
강의실
1학년
경제원론2
박창수
3학점
월요일 / 19:30~20:45,
  21:00~22:15
40명
N
대면
경상관 108호
경제원론2
김종철
3학점
화요일 / 19:30~20:45,
  21:00~22:15
40명
N
대면
경상관 101호
퓨처리더코스
왕효분
3학점
목요일 / 19:30~20:45,
  21:00~22:15
40명
N
대면
경상관 109호
퓨처리더코스
김미정
3학점
토요일 / 09:00~10:15,
  10:30~11:45
40명
N
대면
경상관 107호
경제수학
박창수
3학점
화요일 / 19:30~20:45,
  21:00~22:15
40명
N
대면
경상관 107호
경제수학
강달원
3학점
월요일 / 19:30~20:45,
  21:00~22:15
40명
N
대면
경상관 107호
학년
과목
강의교수
학점
날짜/시간
수강인원
타과 오픈여부
강의유형
강의실
2학년
거시경제학
강달원
3학점
수요일 / 19:30~20:45,
  21:00~22:15
53명
N
대면
경상관 109호
금융시장론
송진호
3학점
월요일 / 19:30~20:45,
  21:00~22:15
53명
N
대면
경상관 109호
금융경제학
신동준
3학점
토요일 / 09:00~10:15,
  10:30~11:45
53명
N
대면
경상관 109호
주식투자론
황정호
3학점
화요일 / 19:30~20:45,
  21:00~22:15
40명
경제학과
대면
경상관 317호
배현진
3학점
화요일 / 19:30~20:45,
  21:00~22:15
40명
경제학과
대면
경상관 212호
학년
과목
강의교수
학점
날짜/시간
수강인원
타과 오픈여부
강의유형
강의실
3학년
금융계량경제학
장성연
3학점
화요일 / 19:30~20:45,
  21:00~22:15
53명
N
대면+녹화
경상관 108호
가치투자의이해
서준식
3학점
화요일 / 19:30~20:45,
  21:00~22:15
53명
N
대면
경상관 109호
금융세법과조세
조상연
3학점
월요일 / 19:30~20:45, 21:00~22:15
53명
N
대면
경상관 317호
부동산/SOC투자실무
김용하
3학점
토요일 / 09:00~10:15,
  10:30~11:45
53명
N
대면
경상관 108호
금융경제실무특강
송한진
3학점
수요일 / 19:30~20:45,
  21:00~22:15
53명
N
대면
경상관 107호
학년
과목
강의교수
학점
날짜/시간
수강인원
타과 오픈여부
강의유형
강의실
4학년
국제무역론
이진영
3학점
화요일 / 19:30~20:45,
  21:00~22:15
53명
N
대면
경상관 318호
경제학특강
안시형
3학점
목요일 / 19:30~20:45,
  21:00~22:15
53명
N
대면
경상관 107호
해외투자와외환리스크관리
홍승모
3학점
수요일 / 19:30~20:45,
  21:00~22:15
53명
경제학과, 금융학부
대면
경상관 108호
2025학년도 2학기 금융경제학과 교양 시간표
교양강의
학년
과목
강의교수
학점
날짜/시간
수강인원
타과 오픈여부
강의유형
강의실
1학년
[SW와AI]AI와데이터기초
최지영
3학점
수요일,
  19:30~22:15
40명
N
대면
벤처중소기업센터
  106호
[SW와AI]AI와데이터기초
김완섭
3학점
수요일,
  19:30~22:15
40명
N
대면
벤처중소기업센터
  209호
비판적사고와표현
차봉준
2학점
토요일,
  13:00~14:50
30명
N
대면
진리관 306호
비판적사고와표현
송민달
2학점
토요일,
  13:00~14:50
30명
N
대면
진리관 402호
학년
과목
강의교수
학점
날짜/시간
수강인원
타과 오픈여부
강의유형
강의실
2학년
글로벌소통과언어
송은혜
3학점
토요일,
  12:00~14:45
20명
N
대면
진리관 107호
글로벌소통과언어
김재준
3학점
토요일,
  12:00~14:45
20명
N
대면
진리관 106호
글로벌소통과언어
미정
3학점
토요일,12:00~14:45
20명
N
대면
진리관 108호
학년
과목
강의교수
학점
날짜/시간
수강인원
타과 오픈여부
강의유형
강의실
3학년
창의적사고와혁신
장은미
2학점
목요일,
  19:30~21:20
35명
N
대면
문화관 206호
창의적사고와혁신
채연희
2학점
목요일,
  19:30~21:20
35명
N
대면
조만식기념관
  201호
학년
과목
강의교수
학점
날짜/시간
수강인원
타과 오픈여부
강의유형
강의실
전체학년
심리학의이해
김시현
3학점
화요일,
  19:30~22:15
50명
국제무역
대면
조만식기념관
  208호
오페라로사회사읽기
김성은
3학점
토요일,
  14:00~16:45
50명
국제무역
대면
조만식기념관
  208호
기초스페인어
정선옥
3학점
목요일,
  19:30~22:15
50명
국제무역
대면
조만식기념관
  208호"
ecofinance,[학사] 2025학년도 학생지원 안내,금융경제학과,2025-06-24,https://ecofinance.ssu.ac.kr/post/3794?page=1,"[2025학년도 금융경제학과 취업역량 및 소속감 강화를 위한 비교과 프로그램 예산 지원 안내]
1. 경제 및 금융관련 자격증 지원
2. 동아리(소모임) 학술 목적 활동비 지원
3. 금융자격증 취득 장학금
4. 미국 인턴쉽/해외어학연수 지원
5. 해외 금융기관 견학 및 문화체험
6. 기타사항"
ecofinance,2025학년도 국가우수장학금(인문100년․예술체육비전) 신규장학생 사전신청,금융경제학과,2025-03-25,https://ecofinance.ssu.ac.kr/post/3778?page=1,"1. 가
.
장학금명 및 지원대상
장학금명
유형
지원기간
지원대상
인문
100
년
전공탐색
정규학기 내 최대
8
학기
인문사회계열 학과
(
부
)
2025
학년도 신입생
전공확립
정규학기 내 최대
4
학기
인문사회계열 학과
(
부
)
3
학년
1
학기 재학생
예술체육
비전
전공탐색
정규학기 내 최대
8
학기
예술 및 체육계열 학과
(
부
)
2025
학년도 신입생
전공확립
정규학기 내 최대
4
학기
예술 및 체육계열 학과
(
부
)
3
학년
1
학기 재학생
※
지원 시 주의사항
□
예술체육비전 지원 가능 학과
(
부
):
예술창작학부 영화예술전공 및 스포츠학부
□
예술창작학부 문예창작전공
:
인문
100
년으로 신청
나
.
지원내용
1)
Ⅰ
유형
:
수업료 전액
,
생활비
250
만원
(
학기당
)
2)
Ⅱ
유형
:
수업료 전액
※
기초생활수급자의 경우 유형에 상관없이 생활비
250
만원
(
학기당
)
추가 지원
2.
학생 사전 신청기간
:
2025.03.26.(
수
) 09:00 ~ 04.16.(
수
) 18:00
까지
※
온라인 사전 신청을 우선적으로 진행하며
,
배정인원 확정 후 추가 서류제출 및 심사 관련 사항 추후 별도 안내
※
신청방법
:
붙임 매뉴얼 참고
3.
선발 일정
가
. (
재단
)
신규장학생 배정 결과 안내
: 4
월 중
나
. (
대학
)
신규장학생 선발 및 추천
: 4
월
~5
월 중
다
. (
재단
)
장학생 최종 선정 및 발표
: 6
월 중
(
예정
)
※
상기 일정은 향후 사업 진행상황에 따라 변동 가능
붙임
2025
년도 신규장학생 사전신청 매뉴얼
1
부
.
끝
."
ecofinance,[학사] 2025학년도 1학기 국가장학금 신청자 가구원 동의 안내,금융경제학과,2025-03-15,https://ecofinance.ssu.ac.kr/post/3777?page=1,"2025학년도 1학기 국가장학금 가구원 동의 관련하여 다음과 같이 안내합니다.
※ 2025학년도 1학기 국가장학금 가구원 동의 미완료자 대상 안내입니다.
※ 가구원 동의 절차 미완료 시 국가장학금 지원이 불가하며,
장학규정에 따라 교내장학금 지원도 불가하니 기한 내에 완료하여 주시기 바랍니다.
1. 가구원 정보제공 동의 기간: 2025.03.25.(목) 18:00 까지(온·오프라인 동일)
구분
영향
기한 내 가족관계 확인 및 가구원 정보제공동의를 하지 않을 경우
지원구간 산정이 지연되거나 불가할 수 있음(또한, * 최신화 신청도 불가할 수 있음)
* 최신화 신청: 지원구간 산정 결과에 대해 이의 또는 최신화 사유가 있는 경우, 재단 홈페이지(모바일 앱 포함)를 통해 최신화 신청
재외국민 특별전형 입학자,주민등록코드 상재외국민(가구원 중 1인 이상), 또는 학생 또는가구원(형제·자매 포함)이 재외국민 특별전형으로 입학하여 국외 소득·재산 신고 대상자로 선정된 이력이 있는 경우(당해 학기 포함)
기한 내 가족관계 확인 및 가구원 정보제공 동의를 하지 않으면, 국외 소득․재산 신고 대상자로 선정되지 않아 지원구간 산정 불가
2. 동의대상 가구원 범위
– 미혼: 학생의 부·모 모두
– 기혼: 학생의 배우자
※ 학생 본인이 기초·차상위계층 자격이 확인될 경우, 가구원 정보제공동의 생략 가능
(단, 주거안정장학금 신청자는 가구원 확인 및 정보제공동의 절차 필수)
※ 가구원 부양관계 단절 등 동의 불가 시, 제외 심사를 통해 동의대상 가구원 제외 가능
3. 방법
가. 온라인: 홈페이지 또는 모바일 앱 접속 → 가구원(부․모 또는 배우자)의 전자서명 동의
1) 홈페이지 주소:
http://www.kosaf.go.kr
2) 모바일 앱 주소:
https://mo.kosaf.go.kr/apps
※ 사용가능한 전자서명수단 확대에 따라 현재 온라인 동의시 아래 전자서명수단 사용 가능
– 개인용 범용 공동인증서, 개인용 은행 공동인증서, 금융인증서, 간편인증(카카오톡, 페이코, KB국민은행, 통신사 PASS, 삼성패스, 네이버,
신한인증서, 하나은행, 토스, 뱅크샐러드 등)
나. 오프라인: 입원․고령․농어촌거주․장애 등 온라인 동의 불가 시, 상담센터(1599-2000) 문의 하여 오프라인 동의 진행
※ 자세한 사항은 첨부파일(가구원 정보제공 동의 상세절차) 참조
4. 문의처: 한국장학재단 상담센터 1599-2000
붙임 가구원 정보제공동의 상세 절차 1부. 끝."
ecofinance,[장학] 2025학년도 1학기 한국장학재단 국가장학금 2차 신청 안내,금융경제학과,2025-02-06,https://ecofinance.ssu.ac.kr/post/3772?page=1,"1. 신청기간: 2025.02.04.(화) 09:00~03.18.(화) 18:00
2. 서류제출 및 가구원 동의: 2025.02.04.(화) 09:00~03.25.(화) 18:00
3. 신청대상: 신입생(고3, 재수생 등 입학예정자), 편입생, 재입학생, 복학생 및 1차 신청을 놓친 재학생
※ 재학생은 1차 신청이 원칙이며, 재학 중 2회에 한해 2차 신청으로 수혜 가능 (단, 구제신청 2회 기사용 또는 기타 탈락사유 존재 시 지원 불가)
※ 신·편입학 첫학기만 학적구분 ‘학부 신·편입생’으로 신청, 두번째 학기부터는 ‘학부 재학생’으로 신청
※ 신입생은 학생 본인 및 가구원(부모 혹은 배우자)의 전자서명수단(①공동인증서 ②금융인증서 ③간편인증) 중 한가지를 반드시 준비
4. 신청방법: 한국장학재단 홈페이지와 모바일 앱을 통한 신청가능(붙임의 매뉴얼 참조)
※ 반드시 학생 본인이 직접 신청
5. 기타 안내사항
□ 2차 신청기간에 신청한 경우, 국가장학금 신청 시 입력한 본인명의계좌로 학기중에 지급
–  한국장학재단, 공무원연금공단 학자금 대출이 있는 경우 대출상환으로 처리
–  분할납부자는 등록금 완납 후 지급 가능
□ 이수학점 및 성적 기준
– 이수학점: 직전학기 12학점 이상(※ 졸업학기의 경우, 직전학기 이수학점 기준 미적용)
– 산술평균 80점 이상
※ 기초생활수급자/차상위계층, 장애학생 등 예외적용 대상자는 한국장학재단 업무처리기준에 따름
※ 직전학기 성적이 모두 P/F인 경우, 산출 가능한 가장 최근학기 성적 적용
□ 국가장학금 Ⅰ유형 신청 결과 확인 된 소득분위 자료는 교내 비전장학금 심사에 활용됩니다.
– 비전장학금: 국가장학금과 연계하여 본교에서 지급하는 교내장학금
– 국가장학금 미 신청 시, 비전장학금 선발 불가
□ 국가장학금 지급 이후 휴학 등으로 재학하지 않는 경우, 장학금이 환수됩니다.
– 국가장학금 수혜 횟수에 포함되지 않음
– 복학 시, 국가장학금 및 교내장학금 재신청
□ 중복지원
– 학자금 대출 + 장학금 총액이 등록금을 초과하는 경우 ‘중복지원’에 해당됨
(※ 근로장학금, 포상장학금, 교육지원장학금 등 등록금 지원 목적이 아닌 학업장려비 성격 장학금은 제외)
– 중복지원에 해당되는 경우 한국장학재단 국가장학금 및 학자금대출 이용 불가
– 학자금 대출을 상환하거나 장학금을 반환해야 중복지원 해소 가능
□ 여러 장학금을 동시에 받는 경우, 교외장학금과 국가장학금이 우선 적용됩니다.
– 우선순위 : ①교외장학금 ②국가장학금 ③교내장학금
6. 문의처
– 한국장학재단 상담센터 1599-2000
– 학생처 장학팀 02-820-0166(국가장학금 관련 문의)"
ecofinance,[학사] 2025학년도 신입학생 OT 안내(수정),금융경제학과,2025-01-14,https://ecofinance.ssu.ac.kr/post/3765?page=1,"2025학년도 금융경제학과 신입생을 위한 오리엔테이션이 진행될 예정이오니, 신입학생분들은 참석하여 주시기 바랍니다.
[2025학년도 금융경제학과 신입학생 OT]
1. 일시 : 2025년 2월 22일(토), 15:00
2. 장소 : 숭실대학교 베어드홀 102호
3. 대상 : 2025학년도 숭실대학교 금융경제학과 신입생
4. 내용 : 학과 오리엔테이션 진행(학과소개, 2025학년도 입학생 대상 교과과정 안내, 학과 동아리 안내 등), 간식 제공, 기념품 제공"
ecofinance,[장학] 2025학년도 1학기 백마성적우수장학생 선발 안내,금융경제학과,2025-01-09,https://ecofinance.ssu.ac.kr/post/3764?page=1,"1. 자격요건
가. 2025학년도 1학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 국가장학금 1차 신청자에 한하여 등록금고지서 사전감면
2) 1차 미신청자 : 2차 신청/서류제출 확인 후 지급(2차 신청자 중 한국장학재단 구제신청 시 사후지급)
3) 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능(단, 순수외국인전형으로 입학한 외국인유학생은 선발 불가)
나. 2025학년도 1학기 재학 및 복학 예정자로 해당 학기 등록금 납부 예정인 자
1) 2025학년도 1학기 前 등록휴학 후 복학 시 선발 대상에서 제외(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동 시 모든 장학금 취소
3) 선발 후, 학기 중 휴학 시 백마성적우수장학금은 복학 학기로 이월
다. 직전 학기 15학점 이상 이수한 자(졸업 직전학기는 직전학기 12학점 이상)
라. 2025-1학기가 정규등록학기 8학기 이내인 자
마. F학점 포함 학적부성적 기준 직전 학기 3.8 이상인 자
바. 모든 교내장학금간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금으로 자동 선발
2) 중복수혜 가능 장학금 : 국가장학금, 교외장학금, 학과우수장학금, 기타 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)하므로 유의
2. 선발일정
내용
선발일정
학과(부) 선발학생 SAP 입력 및 승인
2025년 1월 13일(월) ~ 1월 23일(목)
장학팀 백마성적우수장학생 선발
2025년 1월 24일(금) ~ 2월 3일(월)
백마성적우수장학생 결과 발표
2025년 2월 7일(금) 예정"
ecofinance,[졸업] 금융경제학과 2025학년도 전기 졸업식 안내(수정),금융경제학과,2025-02-05,https://ecofinance.ssu.ac.kr/post/958?page=1,"금융경제학과 졸업생들을 위한 학과 졸업식이 진행될 예정이오니 졸업예정자분들은 확인하여 주시기 바랍니다.
[금융경제학과 2025학년도 전기 졸업식]
1. 일시 : 2025년 2월 22일(토), 11:00
2. 장소 : 숭실대학교 베어드홀 102호
3. 내용
- 학위복 대여, 학위증/우수상/기념품 지급
- 단체사진
4. 학위복 대여 안내사항
- 학위복 대여는 졸업식 시작 1시간 전부터 가능합니다.
- 학위복 대여 확인 사인 후에 반납 때도 확인 사인해주시기 바랍니다.
(학위복 반납가능시간 15:00)
- 학위복(가운, 학사모) 훼손 시 비용이 청구될 수 있으니, 조심해서 사용해주시기 바랍니다.
5. 학위복 대여 수요조사를 위해 설문조사 참여 해주시기 바랍니다.
-
https://forms.gle/jP7jzMYxMpg6cM36A"
ecofinance,[기타] 장소사용 신청 방법 변경 안내,금융경제학과,2024-10-07,https://ecofinance.ssu.ac.kr/post/857?page=1,"1. 코로나
19
로 인하여 중단되었던 장소사용신청 프로그램을 정상화하여 장소사용신청 절차를 재안내 하오니 업무에 참고하시기 바랍니다
.
2.
프로그램 변경내용
가
.
재학생의 온라인 장소사용신청 제한 해제
3.
장소사용신청 안내
(
학생
,
교직원 공통
)
가
. U-saint
를 통한 온라인신청
(
매뉴얼 참조
)
나
.
장소사용은 온라인신청만 접수
(
방문 및 서면 신청 불가
)
다
.
사용일 기준 최소
3
일전 신청
라
.
일요일 및 공휴일은 대관 불가
마
.
장소사용신청 프로그램에서 조회되지 않는 공간
(
예
.
한경직기념관 대예배실
)
은 관리팀 별도 문의
바
.
전교적 행사
(
예
.
입시
,
개강교수회의
,
개교기념식 등
)
의 경우 관리팀과 사전 협의 후 공문으로 신청
4.
유의사항
가
.
이후 장소사용은 시스템을 통한 신청만 접수
(
위
3.
마
, 3.
바 예외
)
나
.
대리대관 및 공간 양도 금지
다
.
관리처의 허가없는 외부인의 교내 공간 사용 불가
라
.
천재지변 또는 학교 및 관리처의 판단에 따라 대관이 취소될 수 있음"
