department,title,author,date,link,content
economics,2025-2학기 주요학사제도 안내,최고관리자,11-07,https://eco.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=104&page=1,
economics,2025-2학기 경제학과 졸업요건 안내(졸업요건 제출일: 12월 7일까지),최고관리자,07-08,https://eco.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=83&page=1,"2025-2학기 경제학과 졸업요건 안내
졸업에 대한 Q&A의 경우
졸업 관련 주요 안내 (졸업생 필수 확인) > 공지사항 | 숭실대학교 경제학과
을
먼저 확인 하시기 바랍니다.
예) 졸업요건, 졸업절차, 0학점재학/추가학기/수료 비교, 조기졸업 등 안내 포함
1. 학과졸업요건: 논문, 장기현장실습, 매경테스트 중 하나를 선택하여 충족
2. 제출 방법:
설문 링크
제출
3.
대상
- 경제학과 재학생
(복수전공/부전공자는 해당 없음)
- 마지막 학기(8학기)
또는
졸업 예정 학기 학생
(조기졸업자, 졸업요건 미제출 수료생 포함)
4. 마감
:
2025년 12월 7일(일)까지
- 졸업사정표 반영은 제출 마감 이후 1~2주가량 소요가 예상
- 만약 12월 24일(수)까지 U-Saint 졸업사정표에서 ""F""로 표시될 경우 반드시 12월 29일(월)까지 학과사무실로 문의(이메일/전화/방문 모두 가능)
5. 졸
업요건(아래 3가지 중 택 1하여 충족)
졸업요건
세부기준
제출자료
비고
논문
- 자유주제 / 경제 관련
- 분량: A4 기준 10매 이상
- 점수: 70점 이상
- 논문
장기현장실습
- 기간: 4주 이상
- 시간: 160시간 이상
- 장기현장실습 참여 확인서
(경력개발센터 발급)
매경테스트
- 종합점수 500점 이상 또는 경제점수 300점 이상
- 성적인증서 유효기간 제출마감일(2025.12.07.) 이내
- 매경테스트 성적표
<응시료 지원금 신청시>
- 통장사본
- 결제한 현금지출증빙 영수증
- 매경 제출 시
설문지에 포함된 매경테스트 응시료 지원금 신청은
재학 중 이미 지원 받은 경우, 중복 신청이 불가하니 신청 시 유의바랍니다. (중복 지급 시 환수조치)
*제출 여부를 확인하는 단순 문의는 지양 바랍니다.
6. 관련 사이트 및 공지 안내
- 매경테스트 :
국가공인 매경TEST
일정 상
110회 시험까지만
26년 2월 졸업이 가능하니
착오 없으시기 바랍니다.(공지일 25년 7월 8일 기준. 108회 접수 중)
- 매경테스트 지원금 관련 공지:
※중요※ 2025학년도 매경테스트 응시료 지원 안내 > 공지사항 | 숭실대학교 경제학과
- 졸업 관련 주요 안내 사항 공지:
졸업 관련 주요 안내 (졸업생 필수 확인) > 공지사항 | 숭실대학교 경제학과"
economics,보건결석 및 유고결석 안내사항,최고관리자,09-02,https://eco.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=92&page=1,"※
학사관리에 관한 내규 제
7
조
(
출석인정의 예외
)
에 따라
, (
보건
)
유고결석의 최종 승인 여부는
담당 교수의 재량
임
.
✔
보건결석 신청
[1
회
1
일 신청 가능
,
학기
3
회 제한
]
※
보건결석 신청 시 증빙서류 필요 없음
·
보건결석은 여학생이 월경통으로 인해 부득이하게 결석할 시 출석으로 인정하는 제도
·
결석일로부터
7
일 이내에 신청
되어야 하며
,
7
일 경과 시 추후 신청 불가
·
결석사유에는
“
보건
,
월경
,
생리
”
로 기재
하여야 승인 가능
.
·
기타질병
(
복통
,
감기몸살
,
병원치료 등
)
에 대해서는 승인 불가
(
기타 질병은 질병결석으로 신청
)
·
다음 신청은 직전 결석일
다음날로부터
22
일째 되는 날
부터 재신청 가능
[(
예시
) 9
월
1
일 보건결석일
→
9
월
23
일 보건결석 신청 가능
]
✔
유고결석 신청 안내

결석 종료일 기준
(
결석일 포함
)
10
일 이내에 신청
처리 되어야 하며
,
10
일 이내 미신청 시 신청 불가
✔
(
보건
)
유고결석 절차 및 주의사항
학생
➜
학생서비스팀
➜
시스템
➜
교수
학생
유고결석 신청
유세인트
[u-Saint]
[
증빙서류 업로드 필수
]
학생서비스팀 승인
LMS
자동 연동
담당 교수 확인 후
최종 승인 여부 결정
[
승인 여부 교수 권한
]
결석신청 및 조회
[
진행상태
]
확인
✔
신청방법 및 주의사항
1.
신청방법
:
유세인트 →
학사관리
→
수업
/
출석
→
결석신청 및 조회
→
결석신청정보
[
신청
]
클릭
→
유의사항 확인 후 체크
→
결석신청 내용 입력
→
증빙 파일 업로드한 뒤
[
신청
]
클릭
→
결석적용 과목 체크 및 확인 후
[
저장
]
클릭
※
“
구분
”
이란 항목은 결석사유에 맞게
,
결석일의 해당 과목은 한꺼번에 신청 필수
)
2.
결석구분은
병무관계
,
혈족사망
,
공식행사
,
질병 중 선택
하여
,
결석 사유를 정확히 기재
하여 신청 바람
※
여학생 월경통은 보건결석으로 신청 바람
3.
승인이 거부되면 신청페이지에
“
거부
”
로 기재되며
,
거부된 신청은 신청 횟수에 포함되지 않습니다
.
결석일로부터 기간
[
유고결석
10
일
/
보건결석
7
일
]
이내에 거부 사유를 수정하여 반드시 신청
되어야 합니다
.
4.
질병 유고결석 관련 증빙서류 제출 시 진료 일자 및 병명 수기 작성은 반드시 해당란에
병원장 확인 도장을 받아야 합니다
.
5.
질병 유고결석 관련 증빙서류는
진료확인서
/
진단서
/
입통원확인서 중
1
개는 필수 제출
이며
,
필수 서류 제출을 하지 않거나 이외 서류를 제출 시 거부
됩니다
.
6.
기말고사
,
성적 평가
,
계절학기 기간은 신청할 수 없습니다
. [
본교 학사일정 기준
]
7.
개인적으로 참가한 공모전
,
대회
,
행사
,
기업 면접
,
졸업 시험
,
대외활동
,
교통편 연착
,
졸업 여행 등은
유고결석으로 인정하지 않습니다
.
8.
채플은 보건결석으로 인정되지 않으므로 사용이 불가
합니다
.
9.
기간 이내에 승인 여부를 반드시 확인하여야 하며
,
미확인으로 인한 불이익은 본인
에게 책임이 있습니다
.
10.
학생서비스팀
승인 후 변경 및 취소는 불가
하니 신중히 신청하여야 합니다
.
※
유고결석 증빙서류 허위
(
위조
)
로 제출하여 현재까지 다수의 학생이 학칙에 의거 징계처리 되었습니다
.
증빙서류 위조는 교내 징계뿐만 아니라 형법상 공
/
사문서 위조죄 관련 규정에 따라 형사처벌 대상이 될 수 있는 범법행위임을 유념
하시기 바랍니다
.
유고 결석 사유 및 서류 보기
사유
예시
허용기간
증빙서류 및 안내
본인결혼
본인결혼
당일부터
7
일
[
필수
]
혼인관계증명서
[
필수
]
청첩장
※
결혼식 당일부터
7
일
혈족사망
2
촌 이내
당일부터
5
일
[
필수
]
사망진단서
(
시체검안서 인정
,
장례확인서 인정 불가
)
[
필수
]
가족관계증명서
※
사망일과 가족관계 확인용
4
촌 이내
당일부터
3
일
질병
(
학기당
3
회
)
입

퇴원
2
일
~ 5
주 미만 입원
[
전염병 포함
]
입원 일자
[
필수
]
입
·
퇴원확인서 또는 진료확인서
[
추가
]
진료기록부
(
병명 확인용
,
직인 필수
)
※
입
·
퇴원확인서에 병명이 기재되지 않을 시 추가서류 첨부
※
진료기록부만 제출 시 인정 불가
※
모든 증빙서류는 병원 또는 병원장 직인이 있어야 하며
,
병원명
,
주소
,
연락처
,
의사명 포함 필수
※
진료비 계산서
·
영수증
·
처방전 및
안정가료
인정 불가
당일
감기
,
복통 몸살
,
등 경미한 질병
진료 당일
1
일
[
필수
]
진료확인서 또는 진단서
[
추가
]
진료기록부
(
병명 확인용
,
직인 필수
)
※
진료확인서에 병명이 기재되지 않을 시 추가서류 첨부
※
진료기록부만 제출 시 인정 불가
※
모든 증빙서류는 병원 또는 병원장 직인이 있어야 하며
,
병원명
,
주소
,
연락처
,
의사명 포함 필수
※
진료비 계산서
·
영수증
·
처방전 및
안정가료
인정 불가
병무관계
예비군
,
병무
신체검사
,
공군 면접 등
당일
(
최대
3
일
)
[
필수
]
신체검사확인서 또는 면접 참석 확인서
※
병무청
·
군부대 발행된 공식문서만 인정
※
사전
에 발급된 수험표
(
신청서
)
인정 불가
공식행사
체육대회
,
학과
(
부
) MT,
학교 공식행사 등
해당 기간
[
필수
]
단과대학장 승인 공문 필수
(
연중 각
1
회 허용
)
교육실습
현장실습
학술답사
학술대회
해당 기간
[
필수
]
단과대학장 승인 공문 필수
·
교육실습
:
전공 수업 관련 교육실습만 인정
·
현장실습
:
전공 수업 관련 현장실습만 인정
·
학술답사 및 학술대회
:
전공 수업 또는 소속 학회 활동일 경우만 인정
※
강의계획서에 명시된 커리큘럼
,
전공 관련만 인정
※
교육 및 현장실습
,
학술답사
,
학술대회의 경우 전공 수업 외 별도 활동
(
개인 신청 등
)
은 인정 불가
※
학과 자체 학회 인정 불가
※
행사 참여 후 학생 본인이 직접 신청 필수
※
개인적으로 참가하는 것은 인정 불가
※
학과
(
부
),
행정부서
,
소모임 등의 행사 관련 인정 불가
기타
해당 기간
[
필수
]
학생처장이 승인하는 경우
※
유고결석 인정 기간
:
총 수업일수의
3
분의
1
이내
[
문의
:
학생서비스팀
(
학생회관
406
호
)
☎
02-820-0162]"
economics,신규 학생활동이력통합관리시스템 슈패스(SSU-PATH) 오픈 안내,최고관리자,04-29,https://eco.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=68&page=1,"전주기 자기 주도 학생 성장 지원을 위해 신규 구축한
학생활동이력통합관리시스템 SSU-PATH(이하 슈패스) 사용법에 대해 다음과 같이 안내합니다.
1. 시스템 개요
가. 시스템명: SSU-PATH 학생활동이력통합관리시스템
나. 기존 3개 시스템 통합 : FUN시스템(비교과), JOB시스템(진로취업), CMP(상담) 등
다. 기대효과
1) 입학부터 졸업까지 모든 학생활동이력 통합관리 및 이수증 발급 지원
2) e-포트폴리오/이력서 작성 지원을 통한 전공-진로간 불일치 해소 기대
2. 시스템 사용 안내
가.
오픈일자 : 2025년 1학기부터
나.
시스템 URL :
path.ssu.ac.kr
다. 기존 FUN시스템 운영 정책:
비교과 전체 슈패스에서 개설 운영
3. 슈패스 7가지 주요 기능
가.
비교과
: (FUN기능), 비교과 개설/모집, 외부비교과 등록, 그룹비교과 운영
나.
역량진단
: 핵심역량, 학습역량, 대학전공적합검사(CMAT), 진로결정수준진단
다.
통합상담
: 진로상담, 심리상담, 학습코칭 지원, 상담연계 지원
라.
진로지원
: (JOB시스템 기능), 채용정보, 공공인재양성반, 선배어디갔SSU 지원
마.
e-포트폴리오
: 포트폴리오/이력서 작성, 우수 포트폴리오 공유
바.
디지털 오픈배지
: 국제표준 오픈배지 도입 (2025년 하반기 도입 예정)
사.
모바일 앱/챗봇
: 챗봇상담, 전용 앱(2025년 상반기 도입 예정) 및 PUSH 지원
4. 슈패스 이용 관련
문의 방법
가.
유선 문의
: 02-828-7409
나.
슈패스 내 의견 문의
: '의견접수'
다.
교육과정혁신센터 이메일 문의
:
inno@ssu.ac.kr
5. 매뉴얼 안내:
학생 대상 매뉴얼 참조
- LMS 영상제공 :
학생용바로가기
붙임  슈패스 학생 매뉴얼 1부."
economics,졸업  관련  주요  안내 (졸업생 필수 확인),최고관리자,11-27,https://eco.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=43&page=1,"졸업 안내 학사팀 제공 동영상:
영상링크
(24-2기준영상, 일정은 제외한 내용 참고)
경제학과에서는 아래와 같이 졸업 관련 사항을 안내드리오니,
졸업 준비에 차질 없으시길 바랍니다.
내용을 꼼꼼히 확인하시어, 필요한 절차 및 요건을 기한 내에 완료해 주시기 바랍니다.
1 .졸업 요건(경제학과 기준)
항목
내용
비고
1) 이수학점
졸업에 필요한 최소 이수학점 충족
입학년도별 기준 이수학점졸업요건, 첨부파일 참고
2) 졸업논문
합격 필수
대체가능: 매경테스트 또는 장기현장실습 (
관련공지
)
3) 어학점수
TOPIK 4급 이상 취득
외국인 학생만 해당
2. 꼭 확인 해야 하는 졸업 절차
이수구분변경, 다전공 포기, 졸업확정신고 확정 일정은 학기별 학교 공지사항 참조 (
안내링크
, 2025-2학기 일정 업로드 완료)
순서
내용
비고
1
졸업사정표 확인(u-saint)
학사관리 > 성적/졸업 > 졸업사정표
2
이수구분변경/다전공 포기(필요시)
이수구분변경: 학사관리 > 성적/졸업 > 이수구분변경신청
다전공포기: 학사관리 > 학적변동 > 다전공 이수신청 > '포기'선택
3
졸업논문 및 대체인정 자료 제출
관련공지
4
졸업확정신고
학사관리>성적/졸업>졸업확정신고
※
졸업을 원하지 않는 경우에도 반드시 졸업 확정 신고 진행 필수
- 확정 신고 통해서 졸업, 추가학기, 유예, 수료를 결정할 수 있음
- 만약 졸업에 필요한 모든 학점을 충족한 학생이 졸업확정신고를 진행하지 않는 경우 자동으로 '수료'처리됨
﻿
﻿
3.
유예 / 추가학기 /수료 비교
구분
유예
추가학기
수료
졸업예정증명서발급(3/9월말부터)
가능
가능
가능
수료증명
4학년수료
3학년수료
4학년수료
증명서
재적증명서
재학증명서
수료증명서
등록금 납부
등록금 없음(수강신청시 학점등록생으로 전환)
신청 학점별 납부※
등록금 없음
지속 기간
1년
제한 없음
제한 없음
재학생용 각종 시스템 이용
불가
가능
불가능
중앙도서관 이용
가능(도서관문의)
가능
가능(도서관 문의)
직후 계절학기 수강
불가
불가(10학점 이상 수강한 경우 가능)
불가
차기 학기 수강신청
불가
가능
불가
※
신청 학점별 납부: 1~3학점(등록금의1/6), 4~6학점(1/3), 7~9학점(1/2), 10학점~(전액)
- 국적이 외국인인 학생의 경우
* 채플만 부족한 경우: 추가학기 등록으로 재학생으로 유지
* 졸업논문, TOPIK 시험이 부족한 경우: 수료생으로 전환됨
4. 조기졸업
항목
내용
대상 및 요건
6학기 또는 7학기를 이수 중 졸업에 필요한 전 과정을 이수하고, 학업성적 평점 평균 4.00(A-)이상인 학생 (건축학 전공은 8학기 또는 9학기에 졸업가능)
신청 시기
매학기 4월 초 / 10월 초
신청 자격
(모두 충족 필요)
현재 총 4개 학기를 이수하고 5번째 학기를 이수 중인 재학생(3학년 1학기 재학생)
이수한 4개 학기의 학적부 평점 평균이 4.00이상인 학생
주의사항
학교 홈페이지 공지사항 주의사항 등 세부내용 직접 확인 필수 (
안내링크
)
5. 조기 취업자의 출석 인정 제도
항목
내용
개요
졸업예정자 중 조기취업자가 취업 기간 중 결석에 대해 담당교수로부터 별도로 부여받은 과제를 수행하여 출석을 인정 받는 제도
대상자
(모두 충족 필요)
졸업예정자
정규직 확정자
이전에 출석인정제도를 사용하지 않은 학생
계약학과 재학생은 제외
대상강좌
본교 학사과정 개설강좌에 한함
대면수업만 가능
신청방법
(u-saint)
학사관리 > 수업/출석 > 조기취업 출석 인정
주의사항
학교 홈페이지 공지사항 주의사항 등 세부내용 직접 확인 필수 (
안내링크
)
6. 졸업 관련 FAQ
1)
교양 통합조건은 충족하나
,
입학년도
기준 교양조건
미충족시
졸업 가능한가요?
→
졸업
가능
합니다
.
통합조건은
충족하지 않더라도
,
입학년도
기준 교양이수 조건을 충족하는
경우에도
졸업이 가능합니다
.
2)
전공이
3
학점이 부족한데
,
교양과목을 전공으로 변경이 가능한가요
?
→
변경
불가
합니다
.
이수구분
변경처리가 가능한 것은
,
일반선택에서
전공 또는 교양으로
변경하는
경우가 대부분입니다
.
3) 학점이 부족하여 추가학기 다녀야 하는데
,
어떻게
해야하나요
?
→
졸업확정신고에서 '거부' 후
추가학기
등록
’
을 선택하면
됩니다
.
등록금
고지서는 부족한 학점
vs
수강신청학점
중 큰 값으로 생성됩니다.
(
수강신청
정정기간 중 취소해도 고지서는 변경되지 않음
)
4)
조기졸업 요건을
7
차 학기에 만족하고
,
8
차 학기에 졸업 안하고
0
학점
등록해도
되나요
?
→
아니오
.
조기졸업을
하지 않았으니
8
차 학기는 등록금 전액을 납부
해야
합니다.
5) 졸업확정 신고의 선택지?
→
동의와 거부가 있으며, 거부 시 추가학기, 유예, 수료를 선택가능합니다.(수료는 선택하지 않아도 수료요건 충족자는 자동으로 수료처리가 됩니다.)
7. 문의처
1) 전공 관련 단순 문의: 학과사무실
2) 그 외 졸업 관련 문의:
학사팀 02-820-0152"
economics,경제학과 발전기금 사업 '독고영희 장학생' 선발 기준 안내,최고관리자,05-27,https://eco.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=11&page=1,"경제학과 졸업생 독고영희(54학번) 선생님께서 출연하신 발전 기금을 재학생들에게 장학금으로 지급하는 '
독고
영희
장학생' 선발 개요에 대해 아래와 같이 안내하오니 참고 바랍니다.
1.
장학금명
: 독고영희장학금
2.
장학금액
: 50만원
3.
선발
인원 및 선발시기
: 총 8명(각 학년 2명씩)  단, 학기별 상이할 수 있음
4.
선발기준
- 직전학기 성적(성적 순위로 선발, 고정된 성적기준은 없음)
※ 석차 부여 우선순위 : 평점평균 → 평점계 → 산술평균 → 취득학점 수 (열람용 기준)
- 정규등록학기가 8학기 이내인 경제학과 재학생
- 직전학기 15학점 이상(졸업학기 12학점 이상) 이수한 학생 중 학업성적이 우수한 자
- 해당학기 백마성적우수장학생 미선발자
5. 선발결과 확인
: 학생 신청 절차는 없으며
직전학기 성적으로 학과에서 선발. 성적 순으로 선발 대상자를 확인하며 학과에서
개별로 안내
6. 기타 안내
-
교내장학금 간 중복수혜 가능
- 선발자는 결과 보고를 위해 감사 편지 제출 필요"
economics,경제학과 백마성적우수장학생 선발 안내,최고관리자,04-29,https://eco.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=6&page=1,"1.
장학금명
: 백마성적우수장학금
2.
장학금액
: 수업료의 100%, 50%, 25%
3.
선발
인원
: 학기별 상이(장학팀에서 배정되는 금액에 따라 학년별 인원배정 및 선발)
※ 매 학기 배정금액이 다르기 때문에 선발기준을 상위 ‘몇 %’, ‘몇 등’으로 고정할 수 없으므로 관련하여 학과사무실 문의 지양
4.
선발기준
: 직전학기 성적(성적 순위로 선발, 고정된 성적기준은 없음)
※ 석차 부여 우선순위 : 평점평균 → 평점계 → 산술평균 → 취득학점 수 (열람용 기준)
5.
별도의 신청 절차는 없으며
직전학기 성적으로
학과에서 선발
6.
자격요건
가. 해당학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 1차 신청자에 한하여 등록금고지서 사전감면
2) 1차 미신청자 : 2차 신청/서류제출 확인 후 지급(2차 신청자 중 한국장학재단 구제신청 시 사후지급)
3) 국가 장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능(단, 순수외국인전형으로 입학한 외국인유학생 선발 불가)
나. 해당학기 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
1) 해당학기 前 등록휴학 후 복학시 선발대상에서 제외(등록대체자)
2) 선발 후 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동시 모든 장학금 취소
3)
선발 후, 학기 중 휴학 시 백마성적우수장학금은 복학 학기로 이월되며 복학하는 학기에 반드시 국가장학금을 신청해야 함
※ 추가 또는 교체선발 시 재학 중인 학생만 선발(휴학한 학생으로 추가/교체 불가)
4) 최종 선발일 기준, 학적이 재학 상태여야 함(장학팀 최종 선발 승인 전에 휴학할 경우 선발 불가함)
다. 직전학기 15학점 이상 이수한 자(졸업 직전학기는 직전학기 12학점 이상)
라. 등록학기가 8학기 이내인 자(건축학전공: 등록 10학기 이내인 자)
마. F학점 포함 학적부성적 기준 직전학기
4.0 이상
인 자
(학과기준)
바. 모든 교내장학금 간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금 자동선발
2) 중복수혜 가능 장학금: 국가장학금, 교외장학금, 학과우수장학금, 기타 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)하므로 유의
7. 선발결과 확인
: 별도 공지하지 않으며
u-saint 장학 탭이나
등록금 고지서
를 통해 확인 가능
재차 안내드립니다.
선발 되었으나, 국가장학금을 미신청한 경우 백마성적우수장학금을 수혜받지 못하게 되므로 각별의 주의하시기 바랍니다."
economics,2025학년도 학부생/외국인 유학생 교육 만족도 조사(11월 28일까지),최고관리자,11:22,https://eco.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=105&page=1,
economics,2025학년도 2학기 금융실무아카데미 참여자 모집 공고(11월 2일 까지),최고관리자,10-20,https://eco.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=103&page=1,"2025
학년도 2학기 금융실무아카데미 참여자 모집 공고
금융경제학과에서는 경제학과 및 금융경제학과 학생들을 대상으로 아래와 같이 프로그램 참여자를 모집하오니, 관심 있는 학생 여러분의 많은 참여 바랍니다.
1.
프로그램명
:
금융실무아카데미
(
취업 컨설팅
)
2.
목적
:
금융권 취업을 원하는 학생들을 대상으로 맞춤형 실무교육을 통해 취업에 실질적인 도움을 제공하고자 함
3.
모집 대상
:
금융권 취업을 준비하는 경제학과
,
금융경제학과 3,
4
학년 재학생 또는 졸업생
4.
신청기간
: ~ 11
월
2
일
(
일
)
까지
5.
모집인원
:
약
15
명 내외
6.
신청방법
:
슈패스 신청
(링크:
숭실대학교 슈패스(SSU-PATH) 시스템
)
7.
운영일정
-커리큘럼
: 2025
년
11
월
5
일
(
수
) ~ 2026년 1
월
28
일
(
수
)
매주 화
,
수
17:00~19:00 (
총 13
주 운영
)
8.
장소
:
경제통상연구소
(
숭덕경상관
319
호
),
변경 시 별도 안내
9.
프로그램 참여 비용: 일체 학과 지원
10.  교육내용
-
개인별 취업 맞춤형 컨설팅
-
개인 지원 직무별 차별 컨설팅
-
자소서 및 면접스킬 컨설팅 등
- 진로지도 및 취업지도
11.
취업 기관 방향
:
은행, 증권사, 자산운용사 등
12. 기타 안내
- 프로그램 문의: 금융경제학과 박인수 겸임교수(010-6606-0668)"
economics,2025년 학부/대학원생을 위한 폭력예방교육(법정의무교육) 안내 (학기말 성적 열람 관련),최고관리자,10-02,https://eco.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=102&page=1,"2025년 학부/대학원생을 위한 폭력예방교육을 다음과 같이 진행할 예정입니다.
1. 교육 개요
가. 과정명: 2025년 학부/대학원생을 위한 폭력예방교육
나. 유형: 필수교육(법정의무교육)
다. 기간:
2025.10.01.(수) ~ 2025.12.31.(수)
라. 대상: 학부/대학원 재학생(외국인 포함)
※ 1학기에 해당 교육을 이수한 인원은 재이수 불필요
마. 방식: 온라인 동영상 강의(한국어, 영어, 중국어 제공)
바. 내용: 성희롱, 성폭력, 가정폭력, 인권, 성인지, 2차 피해
사. 이수 기준 및 이수증: 차시에 상관없이 언어별 1개 강의 100% 이수 시 이수증 발급
2. 교육 이수 방법(붙임 매뉴얼 참조)
u-SAINT
로그인 → LMS 바로가기(왼쪽 메뉴 영역 중간) → 마이페이지(Learning)
→ 2025년 학부/대학원생을 위한 폭력예방교육
→
'과목 홈 바로가기' → 주차학습
→ 언어별 강의
선택 (한국어, 영어, 중국어 중 택 1 가능)
3. 안내사항
가.
미이수자 학기말 성적 조회 제한
1) 2025.12.20(2학기 종강일)까지 이수 시 성적조회 기간에 조회 가능
2) 2025.12.21(일)부터 성적조회 기간 내 이수 시 교육 이수 다음날 오후에 성적조회 가능
나. 이수율 저조 시 미이수자에게 독려 문자 및 메일 발송 예정.
붙  임  LMS 교육 이수 매뉴얼 1부.  끝."
