department,title,author,date,link,content
architecture,"[학부, 졸업] 졸업논문계획서 및 졸업논문 양식",N/A,2025-11-6,https://soar.ssu.ac.kr/news/notice/?term_id&slug=4141,"먼저 졸업논문계획서를 다운 받아 작성하여 학부 사무실로 제출해 주시기 바랍니다.
이후 졸업논문 양식을 활용하여 졸업논문을 작성해 주시기 바랍니다."
architecture,[장학] 2025학년도 2학기 백마성적우수장학생 관련,N/A,2025-7-8,https://soar.ssu.ac.kr/news/notice/?term_id&slug=4084,"1. 학과 선발 기준
학부 장학생 선발기준(첨부파일 참조)상 2학기의 경우, 진로지도상담, 전공워크숍, 전공행사 참여여부, 전공별 지정된 필수과목 수강여부를 반영합니다.
[전공행사 참여여부]
가. 건축학전공 : 목요강좌 3회 실시, 전공워크샵 실시
나. 건축공학전공 : 특강 2회, 전공 워크샵 실시
다. 실내건축전공 : 2학기 전공행사 없음.
2. 선발인원
선발인원은 해당학기 전공별/학년별 재학생 비율을 기준으로 산정합니다. (재학생 비율이 매학기 달라지기 때문에 학부사무실로 몇 등까지 받는지, 본인이 몇 등인데 이번에 받을 수 있는지 문의해도 알려드리지 않습니다.)
3. 선발결과
선발결과는 학생들에게 개별적으로 안내하지 않으며, 아래 선발일정 참고하셔서 직접 유세인트에 로그인 후 조회하시기 바랍니다.
– – –
1. 백마성적우수장학생 기본 자격요건 (미충족시 선발불가 )
가. 2025학년도 2학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 국가장학금 1차 신청자에 한하여 등록금고지서 사전감면
2) 1차 미신청자 : 2차 신청/서류제출 확인 후 지급
(2차 신청자 중 한국장학재단 구체신청시 사후지급)
3) 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인유학생은 선발 불가)
나. 2025학년도 2학기 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
1) 2025학년도 2학기 前등록휴학 후 복학시 선발대상에서 제외 (등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동시 모든 장학금 취소
3) 선발 후, 학기 중 휴학 시 백마성적우수장학금은 복학학기로 이월
※ 추가 또는 교체 선발 시 재학 중인 학생만 선발 가능(휴학생에 대한 추가/교체 불가)
다. 직전학기 15학점 이상 이수한 자 (졸업 직전학기는 직전학기 12학점 이상)
라. 2025-2학기가 정규등록학기 8학기 이내인 자 (건축학전공: 정규등록 10학기 이내인 자)
마. F학점 포함 학적부성적 기준 직전학기 3.8 이상인 자
바. 모든 교내장학금간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금 선발
2) 중복수혜 가능 장학금: 국가장학금, 교외장학금, 학과우수장학금, 기타 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)하므로 유의
2. 선발일정
내용
일정
학과(부) 선발학생 SAP 입력 및 승인
2025.7.14(월) ~ 7.23(수)
장학팀 백마성적우수장학생 선발
2025.7.24(목) ~ 7.30(수)
백마성적우수장학생 결과 발표
2025.8.6(수) 예정"
architecture,2학년 진급생 전공배정 신청 (2025),N/A,2024-12-16,https://soar.ssu.ac.kr/news/notice/?term_id&slug=3996,"건축학, 건축공학전공 입학생의 전공선택에 대해 다음과 같이 안내합니다.
[건축학부 전공배정 선발 기준]
1. 건축학, 건축공학전공 입학생은 1학년 공통 교과과정 이수 후, 2학년 진급 시 전공을 확정한다.
2. 각 전공별 정원은 총 대상학생 수(2학년 1학기 재학생 수)의 1/2을 기준으로 한다.
3. 한 전공으로 지원이 편중될 시에는 5%까지 증원을 허용하며, 1학년 성적을 기준으로 선발한다.
4. 1학년 시점의 희망과 다르게 전공을 선택하여 이수하지 않은 전공필수과목이 있을 경우 2학년 이후에 수강하도록 하며, 기 이수한 타전공의 전공필수과목은 전공선택으로 인정한다.
5.유의사항
가. 1학년 후 휴학예정인 학생도 반드시 신청해야 합니다.
나. 전공배정 미신청시 전공배정 전공별 조정 필요시 후순위 배정되니 반드시 신청바랍니다.
다. 전공배정 미신청시 수강 신청에 불이익이 발생할 수 있습니다.
6. 신청방법 및 응답기간  :
24.12.16(월) ~ 24.12.22(일)
7. 신청대상 : 2학년 진급 예정인 학생 (대상 외 학생 폼 신청내용 삭제예정)
가. 2024년 입학생 중 1,2 학기를 모두 이수하고 2025년 재학 예정인 학생
나. 2024년 입학생 중 1,2 학기를 모두 이수하고 2025년 휴학 예정인 학생
다. 2023년 이전 입학생 중 전공을 선택하지 않고 2025년 복학 예정인 학생
8. 신청하신 전공에 대한 결과는 2025-1학기 등록 시 반영되며, 배정결과는 학생들에게 개별통보 하지 않습니다.
아래의 URL을 통해 [건축학부 전공배정 신청(2025)] 설문을 완료해주시기 바랍니다.
[2학년 진급생 전공배정 신청]"
architecture,2024학년도 1학기 유고결석 안내,N/A,2024-3-14,https://soar.ssu.ac.kr/news/notice/?term_id&slug=3822,"2024학년도 1학기 유고결석 안내
1. 증빙서류 위조(진료확인서 조작 등)는 교내 징계 뿐만 아니라 형법상 공/사문서 위조죄 관련 규정에 따라 형사처벌 대상이 될 수 있는 범법행위입니다.
(유고결석 증빙서류 허위(위조) 제출로 2021학년도 5명, 2022학년도 4명, 2023학년도 6명의 학생은 전원 학칙에 의거 징계처리 됨)
2. 2023학년도 대비 코로나19 관련 유고결석 인정 범위 안내
가. 코로나19 위기경보 단계 하향 조치로 일반 질병 결석에 준하여 결석 인정
나. 진료확인서상 격리 권고 내용 없을 시 격리 불인정
3. 유고결석 인정기간 안내: 총 수업일수의 3분의 1 이내
※ 자세한 사항은 붙임 파일 참조
4. 유고결석 관련 유의사항
가. 공식행사의 경우 단과대학(행정부서 포함)을 통해 행사 진행 10일 전 학생서비스팀으로 유고결석 요청 공문을 발송하여야 하며, 행사 참가자 최종 명단은 행사 종료 3일 이내 담당자 메일 (kyb@ssu.ac.kr)로 발송해야 함
나. 유고결석 신청 및 승인은 재학생 u-saint에서 결석 신청 → 학생서비스팀에서 증빙서류 확인 후 승인 → 담당 교수 최종 승인으로 진행
※ 학사관리에 관한 내규 제7조(출석인정의 예외)에 의해 유고결석 최종 인정 여부는 교수의 권한임
다. 각 학과(부)에서는 행사에 참여한 학생 본인이 직접 유고결석을 신청하는 것임을 안내
라. 수업 외의 활동은 유고결석 승인이 불가(행정부서의 업무 지원, 봉사 활동 등)하며, 학기 중에는 불필요한 유고결석 신청은 자제 요청
마. 규정에 의하여 학생이 기간 안에 유고결석 미신청 시 신청 불가함
붙 임
1. 2024학년도 1학기 유고결석(보건결석) 한 눈에 보기 안내 1부.
2. 재학생 유고결석 신청 방법 안내 1부.
끝."
architecture,[장학] 건축학부 장학생 선발기준,N/A,2023-11-16,https://soar.ssu.ac.kr/news/notice/?term_id&slug=3674,"건축학부 장학생 선발기준
_
2023
년
11.8
개정
(2024
년
1
학기부터 시행
)
목적
대학본부로부터 건축학부에 배당된 교비 성적우수 장학생(백마장학금)의 선발을 위하여 기준을 정한다.
장학생 선발 기본요건
국가장학금 신청 및 서류제출 완료 (모든 장학금의 필수사항)
장학금 규모 및 수여단위
장학금은 반액장학금(등록금의 50%)으로 지급되며 기초건축학부, 건축학전공, 건축공학전공, 실내건축전공 단위별로 성적우수자에게 지급되며, 학년별 단위별 구성은 아래 표와 같다. 단위별 배정인원은 해당년도 대학전공공시 재학생 비율을 기준으로 산정한다.
학년
건축학
건축공학
실내건축
1
건축학·건축공학 1학년
실내건축 1학년
2
건축학 2학년
건축공학 2학년
실내건축 2학년
3
건축학 3학년
건축공학 3학년
실내건축 3학년
4
건축학 4학년
건축공학 4학년
실내건축 4학년
5
건축학 5학년
장학생 선발 기준
∙장학금 선발은 당해 학기 성적을 기준으로 선발하되, 전공별 감점기준을 반영하여 선발
∙진로상담은 U-SAINT에 입력되어 있는 진로상담교수님께 상담 받을시 인정
∙필수과목 미수강시 선발대상에서 제외
∙유고결석계 기준 총엠티, 전공워크숍, 목요강좌, 공학강좌 등의 행사에 참석이 불가한 부득이한 사정이 있을 경우 사업일 이전에 학부사무실에서 ‘불참사유 인정서’를 작성하여 진로상담교수님께 확인 받은 후 객관적 자료를 첨부하여 학부사무실에 제출하면 선발 우선순위 보존
(1) 건축학·건축공학 1학년
진로상담
총엠티 (1학기)
필수과목
불참시 장학생 선발
우선순위 1단계 하락
불참시 장학생 선발
우선순위 1단계 하락
모든 전공 과목
(2) 건축학전공 (2-5학년)
진로상담
총엠티
(1학기)
전공워크숍
(2학기)
목요강좌
(3회)
필수과목
불참시
장학생 선발 우선순위 1단계 하락
불참시
장학생 선발 우선순위 1단계 하락
불참시
장학생 선발 우선순위 1단계 하락
1회 불참시 장학생 선발 우선순위 1단계 하락
학년
1학기
2학기
2
건축설계
(해당학년 이수여부 상관없음)
3
4
5
(3) 건축공학전공 (2-4학년)
진로상담
총엠티
(1학기)
전공워크숍
(2학기)
공학강좌
(2회)
필수과목
불참시 장학생 선발 우선순위 1단계 하락
불참시 장학생 선발 우선순위 1단계 하락
불참시 장학생 선발 우선순위 1단계 하락
1회 불참시 장학생 선발 우선순위 1단계 하락
학년
1학기
2학기
2
재료역학및실습
(필수)
구조역학및실습
(필수)
+
건축구조시스템, 건축환경공학
중 1과목 이상
+
건축IT, 강구조1, 건축리모델링
중 2과목 이상
3
철근콘크리트1
(필수)
철근콘크리트2 (필수)
+
건축설비1,
건축시공,
건축구조설계입문
중 2과목 이상
+
건축설비2,
건축실무,
건축코딩및실습
중 2과목 이상
4
건축재료및실험
건축시스템종합설계
건축BIM
건축경제
중 3과목 이상
(4) 실내건축전공 (1-4학년)
진로상담
총엠티
(1학기)
필수과목
불참시
장학생 선발
우선순위
1단계 하락
불참시
장학생 선발
우선순위
1단계 하락
학년
1학기
2학기
1
–
–
2
디자인스튜디오
(해당학년 이수여부 상관없음)
3
4"
architecture,[건축학] 2023학년도 입학생 교과과정 및 수강신청 유의사항,N/A,2023-8-31,https://soar.ssu.ac.kr/news/notice/?term_id&slug=3616,"[
건축학] 2023학년도 입학생 교과과정 및 수강신청 유의사항
2023
학년도 입학생 교과과정
– 건축학·건축공학전공 입학생은 1학년 공통교과과정 이수 후 2학년 진급 시 전공을 확정한다.
– 각 전공별 정원은 총 대상학생 수(1학년 2학기 재학생 수)의 1/2을 기준으로 한다.
– 한 전공으로 지원이 편중될 시에는 5% 증원까지 허용하며, 1학년 성적을 기준으로 선발한다.
– 건축학전공에서는 복수전공 및 부전공을 개설하지 않는다.
2023
학년도 이전 입학생 교과과정 변경사항
– 과목명변경(9건)
: 창의건축설계→건축개론, 건축표현기초→기초건축설계1, 디지털표현→디지털표현1, 기초건축설계→기초건축설계2, 기초건축설계→기초건축설계2, 건축재생과재료→건축재료와재생, 디지털표현심화→디지털표현2, 건축시공→건설관리및시공, 통합시스템및안전→건축통합시스템및안전
– 이수시기변경(8건)
: 건축구조시스템(2/1→2/2), 건축계획(2/2→2/1), 건축설비(3/1→3/2), 건축재료와재생(3/2→2/2), 한국건축사(3/2→4/1), 디지털표현2(4/1→3/1), 건설관리및시공(4/1→4/2), 건축법규및계약(4/2→4/1)
– 이수구분변경(2건)
: 현대건축(전필→전선), 특수구조시스템설계론(전필→전선)
– 학점시간변경(2건)
: 건축설계1(3학점/6시간→6학점/12시간), 통합설계(6학점/12시간→3학점/6시간)
– 과목폐지(1건)
: 건설관리
– 과목신설(4건)
: 도시건축공공공간(전필), 졸업설계논문(전필), 저탄소도시설계세미나(전선), 건축프레젠테이션(전선)
2023
학년도 이전 입학생 수강신청 유의
사항 (2024년 기준)
– 한국건축사(3-2/3학점) 이수시기가 4학년 1학기로 변경됨에 따라 2024년에는 미개설될 예정입니다.
– 건축재료와재생(3-2/3학점) 이수시기가 2학년 2학기로 변경됨에 따라 2024년에는 2학년과 3학년을 구분하여 두 개의 분반이 개설될 예정입니다.
– 디지털표현2(4-1/3학점) 이수시기가 3학년 1학기로 변경됨에 따라 2024년에는 3학년과 4학년을 구분하여 두 개의 분반이 개설될 예정입니다.
– 5학년은 졸업설계논문(5-2/1학점)을 전공필수과목으로 이수해야 합니다.
– 4학년은 도시건축공공공간(4-2/3학점)을 건설관리(4-2/3학점) 대신 전공필수과목으로 이수해야 합니다.
– 3~5학년은 전공선택과목 현대건축(3-1/3학점), 저탄소도시설계세미나(3-2/3학점), 특수구조시스템설계론(4-1/3학점), 건축프레젠테이션(5-1/3학점) 중 두 개(6학점) 이상을 이수해야 합니다."
architecture,건축학전공 설계교과목 이수 순서 규정,N/A,2022-8-30,https://soar.ssu.ac.kr/news/notice/?term_id&slug=3464,"건축학전공 내규에 따라 설계교과목 이수순서 규정을 아래와 같이 안내합니다.
1단계
2단계
3단계
4단계
창의건축설계
기초건축설계
건축설계1
건축설계2
건축설계3
건축설계4
건축설계5
건축설계6
졸업설계
통합설계
위 4과목 수강 및 학점취득 시,
2단계 과목 수강신청 가능
위  2과목 수강 및 학점취득 시,
3단계 과목 수강신청 가능
위 2과목 수강 및 학점취득 시,
4단계 과목 수강신청 가능
한국건축학교육인증원에서 설계과목의 수준별 순차적 이수와 중복수강의 방지를 강조함에 따라,
설계과목의 이수체계를 기존 3단계에서 4단계로 조정하여 2021-2학기부터 적용해오고 있습니다
– 한 단계 내의 설계과목을 모두 이수해야 다음 단계의 설계과목을 이수 할 수 있음
– 따라서 설계과목의 중복수강은 불가하며, 다만 1단계 내 3학점, 6학점 과목의 중복수강은 가능
– 한 단계 내에서 역수강은 가능 (홀수학기 휴학 등 부득이한 사유에 대응)
– 재수강의 경우도 본 규정을 준수하여야 함
– 본 규정이
공지된 2021-1학기 이후 1년 간을 유예기간으로 두어 바뀐 규정에 대응할 수 있도록 하였으며,
다만 2021-2학기 또는 2022-1학기에 미등록한 학생의 경우 유예기간 예외적용"
architecture,건축학전공 설계교과 분반배정 기준 시행 안내(2022-2학기 시행),N/A,2022-6-21,https://soar.ssu.ac.kr/news/notice/?term_id&slug=3288,"건축학전공 내규에 따라 설계교과 수강신청과 분반 조정은 아래의 절차에 따라 진행됩니다.
분반 최소/최대인원 규정에 따라
인원조정이 필요할 경우
수강신청 순
에 근거하여 진행됨을 유념해주십시오.
(설계교과이수 사전조사 미응답자도 후순위로 적용받습니다.)
규정은 아래와 같습니다.
설계교과 분반 기준 (2022 2학기 시행)
∙수강생은 방학 중 수강신청기간에 희망하는 분반에 수강신청한다.
신청기간 최종일 마감시간에 최소인원(10인) 이하로 신청된 분반이 있을 경우 학전공주임교수가 수강신청순에 근거하여 분반 인원을 조정한다.
분반수가 조정되는 경우는 개강 후 수강신청을 다시 진행한다.
∙개강 후
수강신청 변경기간에 신규 신청하거나 분반을 변경하고자 하는 학생은 개강 3일째까지 학전공주임교수에게 이메일로 그 의사를 전달
하며, 주임교수는 분반당 최소 10인, 최대 15인의 기준 하에서 수강신청 순(신규 신청은 후순위)에 근거하여 분반 인원을 조정한다.
(수강신청 변경기간에는 학생 개인별 설계과목 신청이 불가)"
architecture,[장학] 2024학년도 국가우수장학금(이공계) 신규장학생(성적우수 및 재학중우수자 유형) 신청,N/A,2024-5-8,https://soar.ssu.ac.kr/news/notice/?term_id&slug=3849,"2024학년도 국가우수장학금(이공계) 신규장학생(성적우수 및 재학중우수자 유형) 선발 관련 안내
1. 자세한 내용은 학교 홈페이지 공지사항 참조
가. 성적우수 유형:
바로가기
나. 재학중우수자 유형:
바로가기
2. 세부안내
가. 지원대상: 자연과학대학, 공과대학, IT대학, 융합특성화자유전공학부 재학생
장학금 유형
장학금액
추천인원
제출서류
성적우수
4년간 등록금 전액
(정규 등록학기 내)
7명
지원서 및 학업계획서,
개인정보 동의서
재학중우수
2년간 등록금 전액
(정규 등록학기 내)
8명
지원서 및 학업계획서,
개인정보 동의서
나. 학생 신청기간(학생→장학팀)
1)
성적우수
유형:
2024.05.13.(월) 17:00
까지
2)
재학중우수자
유형:
2024.05.10.(금) 17:00
까지
–
점심시간 12:20~13:20 및 토․일요일 접수 불가
3. 제출장소: 장학팀(미래관 106-1호)
※ 방문제출 또는 우편제출(서류가 미비한 경우, 탈락될 수 있음/ 기한내 도착분에 한함)
※ 우편주소: 06978 서울시 동작구 상도로 369 숭실대학교 미래관 106-1호 장학팀.  끝."
architecture,2024년 정기총회 및 춘계학술발표대회시 행사 도우미 모집 안내,N/A,2024-4-2,https://soar.ssu.ac.kr/news/notice/?term_id&slug=3846,"행사기간동안 행사 운영을 도와주실 도우미를 모집하고 있습니다. 많은 관심과 신청 부탁드립니다.
도우미 신청 바로 가기
https://meetup.aik.or.kr/sms_new/?_0000_method=event_view&inum=108
행사개요
ㅇ 일시 : 2024년 4월 24일(수) ~ 4월 26일(금)
ㅇ 장소 :
과학기술컨벤션센터
(
한국과학기술회관
,
서울 강남구 소재
)
모집인원
: 약 20명(선착순 마감)
3.
모집대상
: 제한 없음(논문발표자 신청 불가)
4.
업무내용
: 학술대회 행사 운영 지원, 안내, 발표장 관리, 기타
5.
업무시간 및 일급
ㅇ 4/25목 08:00~18:00(10h), 간식 및 중식 제공 /150,000원
ㅇ 4/26금 08:00~13:00(5h), 간식 및 중식 제공 / 70,000원
ㅇ 4/26금 08:00~17:00(9h), 간식 및 중식 제공 /130,000원
*
양일 선택자 우선 배정
– 기타안내
ㅇ 별도 숙박이 지원되지 않습니다.
ㅇ 비용은 행사 이후 일괄 입금될 예정입니다.
ㅇ 관련문의 02-525-1846, 강봄이 사원
*
2024
년 대한건축학회 정기총회 및 춘계학술발표대회 홈페이지 바로가기"
