department,title,author,date,link,content
chemical,우수기업 현직자와 함께하는 일자리 수요데일 [...,관리자,2025-11-06,http://chemeng.ssu.ac.kr/sub/sub03_01.php?boardid=notice1&mode=view&idx=753&sk=&sw=&offset=0&category=,
chemical,2025-2학기 진로지도 상담 미신청자 안내,관리자,2025-11-05,http://chemeng.ssu.ac.kr/sub/sub03_01.php?boardid=notice1&mode=view&idx=752&sk=&sw=&offset=0&category=,"2025-2학기 진로지도교수제 상담 신청을 미신청자에 대한 안내드립니다.
당해 학기 상담제도 변경을 인지하지 못한 학생에 대하여 구제 절차로 한시적으로 상담확인서 제출을 인정하고자 합니다.
진로상담 시스템 미신청 학생께서는 희망 교수님께 상담을 받은후 첨부된 확인서를 작성하시어 종강전까지 제출시 백마성적장학 상담 인정처리 가능합니다.
위 제도는 당해학기에 한해 한시적으로 운영되는 것이므로 다음학기 부터는 반드시 시스템으로 진로지도 상담을 신청하시기 바랍니다.
1. 확인서 제출 기한: 2025. 12. 22(월)
2. 제출서류: 진로지도 상담 확인서(상담교수 확인), 첨부양식
3. 제출처: 화학공학과사무실, 형남공학관 912호"
chemical,2025-2학기 특성화학과 비교과 프로그램(화학공...,관리자,2025-11-04,http://chemeng.ssu.ac.kr/sub/sub03_01.php?boardid=notice1&mode=view&idx=751&sk=&sw=&offset=0&category=,
chemical,2025학년도 제43회 형남과학상 공모전: 신청...,관리자,2025-10-15,http://chemeng.ssu.ac.kr/sub/sub03_01.php?boardid=notice1&mode=view&idx=750&sk=&sw=&offset=0&category=,
chemical,2025-2학기 논문심사 안내,관리자,2025-09-29,http://chemeng.ssu.ac.kr/sub/sub03_01.php?boardid=notice1&mode=view&idx=749&sk=&sw=&offset=0&category=,"구분
제출일자
제출방법
제출물
비고
논문계획서 제출
10월 10일(금)~10월 31일(금)
학과사무실 직접 제출
첨부 양식
포스터 및 논문 파일 제출
11월 24일(월)~11월 28일(금)
학과이메일 제출
chemical@ssu.ac.kr
학과 홈페이지 양식 다운
학과홈페이지>학사안내>졸업요건>졸업논문제도
(
http://chemeng.ssu.ac.kr/sub/sub02_04_02.php)
포스터 발표 심사
12월 3일(수) 16:00
형남공학관 연구동 9층 지정장소
포스터 직접 설치 후 발표
발표 일시 변경시 개별 안내 예정
목록
삭제
수정"
chemical,2025-2학기(2026년 3월 졸업대상자) 논문대체 ...,관리자,2025-09-29,http://chemeng.ssu.ac.kr/sub/sub03_01.php?boardid=notice1&mode=view&idx=748&sk=&sw=&offset=0&category=,"2025-2학기(2026년 3월 졸업대상자) 논문대체 서류 제출 안내
1. 논문대체 서류
가. 제출일자:  2025. 10. 01.(수) ~ 20225. 12. 22.(월)
나. 제출방법: 학과사무실 원본 제출(형남공학관 912호) 및 학과이메일(chemical@ssu.ac.kr)로 파일 제출
2. 제출서류 별 안내 사항
가. 어학성적표: QR 코드가 인식되는 스캔 파일 또는 사본 제출
* 단, 재학기간 중 취득한 유효기간 종료된 어학성적표의 경우 원본 제출
* TOEIC SpeaKing 성적 체계 개편으로 등급이 변경되었습니다.
(현재: Level 6 이상 / 2022년 6월 4일(토) 정기시험 이후: IM3 등급 이상)
나. 기사자격증: 합격확인증 및 기사자격증(취득확인서)
다. 각종 공모전 수상실적: 상장 원본 확인후 반환
라. 인턴수료: 현장실습보고서(
http://chemeng.ssu.ac.kr/sub/sub02_04_03.php
)양식 다운 및 제출서류 확인
마. 플랜트교육: 이수증 원본 확인후 반환"
chemical,2025-2학기 전공과목 증원 안내: 8월 28일 ...,관리자,2025-08-11,http://chemeng.ssu.ac.kr/sub/sub03_01.php?boardid=notice1&mode=view&idx=747&sk=&sw=&offset=0&category=,"아래의 과목들은 8월 28일 증원될 예정이면 수강신청은 정정기간인 9월 1일 부터 가능합니다.
1. 화공양론1 3개 분반: 각 10명 증원"
chemical,2025-2학기 학과근로 모집 안내: 지원 및 서류...,관리자,2025-07-29,http://chemeng.ssu.ac.kr/sub/sub03_01.php?boardid=notice1&mode=view&idx=746&sk=&sw=&offset=0&category=,"2025
학년도
2
학기 학과근로장학생 모집 안내
2025
학년도
2
학기 학과근로장학생을 다음과 같이 모집하니 많은 지원 바랍니다
.
1.
근로장학생 자격 및 선발기준
가
. 2025
학년도
2
학기 국가장학금을
1
차
신청하고 소득분위가
9
분위 이내인 자
※
국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(
단
,
순수외국인전형으로 입학한 외국인 유학생은 선발 불가
)
나
. 2025
학년도
2
학기 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
1) 2025
학년도
2
학기 전 등록휴학 후 복학시 선발 불가
(
등록대체자
)
2)
학기 중 미등록
,
입학취소
,
복학취소 등으로 인한 학적변동시 모든 장학금 취소
3) 2025
학년도
2
학기 기준
이수학기가
2~7
학기만 가능
(
건축학 전공은
9
학기까지
)
※
마지막학기 재학생은 선발 불가
다
.
직전학기 취득학점 및 학업성적 제한 없음
라
.
타 장학금과 중복수혜 가능
(
근로장학금 간 중복 불가
)
※
본 장학금은 학업장려비 지원 목적으로 등록금
(
입학금 및 수업료
)
를 초과하여 지급
마
.
국가근로장학생 및 교내근로장학생에 선발되지 않은 자
※
국가근로 및 교내근로 선발자가 포기 후 학과근로 선발될 수 없음
바
.
학과 선발 우대사항
:
기존 장학생 중 우수 근무자
,
학과근로
A(200
시간
)
우선 선발
2.
근로장학생 종류별 장학금액 및 근로시간
장학금명
시간당 장학금
총 근로시간
(
학기
)
1
인당 장학금액
(
원
)
학과근로
A
10,030
원
10
시간
*20
주
=200
시간
2,006,000
학과근로
B
10,030
원
5
시간
*20
주
=100
시간
1,003,000
※
장학금은 매월 지급하며
,
실 지급액은 근로시간에 따라 달라질 수 있음
※
주 기준은 학기당 받을 수 있는 장학금액 산정을 위한 것이며
,
총 시간 내에서
2026
년
2
월까지
근로할 수 있음
※
장학금 지급일
:
매월 셋째주 금요일 예정
(Ex. 9
월분 근로장학금 지급일
: 10
월 셋째주 금요일
)
3.
유의 사항
가
.
선발된 학생은 소속부서에서 지정된 근로시간 동안 근무해야 하며
,
학기 중 학적변동
(
휴학
,
자퇴
,
제적 등
)
등 불가피한 사유가 인정되는 중도 포기 시 근로 시간 만큼 지급
나
. 2026
년
1
월 근로평가 전까지 교체 가능
(
단
,
교체 전 학생의 근로시간을 차감
)
다
.
국가근로 및 교내근로로 선발 시 학과근로 선발에서 제외됨
(
선발 우선순위
: 1.
국가근로
, 2.
교내근로
, 3.
학과근로
)
–
4.
신청절차
가
.
학생신청방법
: u-SAINT
포털
→
등록
/
장학
→
장학메뉴
‘
근로장학금
’
→
학과근로
A/B
신청
→
지원서 출력
→
지원서
제출
※
u-SAINT
출력본 제출 필수
나
.
온라인접수 및 서류제출기간
:
2025
년
8
월
4
일
(
월
) 10:00 ~ 8
월
8
일
(
금
) 17:00
※
제출 일시 이후 제출본은 불인정하니 유의
1)
제출서류
:
지원서
(u-SAINT
출력본
)
2)
제출장소
:
화학공학과
,
형남관
912
호
–
5.
선발결과 발표
:
2025
년
8
월
25
일
(
월
) 18:00
이후 본교 홈페이지 공지사항 공지 예정
6.
문의
:
화학공학과사무실
(02-820-0610)"
chemical,2025학년도 2학기 백마성적우수장학생 학과선...,관리자,2025-07-08,http://chemeng.ssu.ac.kr/sub/sub03_01.php?boardid=notice1&mode=view&idx=744&sk=&sw=&offset=0&category=,"1. 자격요건
가. 2025학년도 2학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 1차 신청자에 한하여 등록금고지서 사전감면
2) 1차 미신청자 : 2차 신청/서류제출 확인 후 지급
3) 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인유학생은 선발 불가)
나. 2025학년도 2학기 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
1) 2025학년도 2학기 前등록휴학 후 복학시 선발대상에서 제외(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동시 모든 장학금 취소
3) 선발 후, 학기 중 휴학 시 백마성적우수장학금은 복학학기로 이월
※ 추가 또는 교체선발 시 재학 중인 학생만 선발 (휴학생에 대한 추가/교체 불가)
다. 직전학기 15학점 이상 이수한 자 (졸업 직전학기는 직전학기 12학점 이상)
라. 정규등록학기가 8학기 이내인 자(건축학과 건축학전공: 정규등록 10학기 이내인 자)
마. F학점 포함 학적부성적 기준 직전학기 3.8 이상인 자
바. 모든 교내장학금간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금 자동선발
2) 중복수혜 가능 장학금: 국가장학금, 교외장학금, 학과우수장학금, 기타 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)하므로 유의
2. 학과 선발 기준(직전학기: 2025-1학기)
가. 직전학기 전공 12학점 이상 이수
- 재수강 및 전공기초 포함
- 융합필수과목, 전공선택 인정 타과교과목, 학과 대학원 과목은 1과목만 인정(3학점만 인정)
나. 직전학기 진로지도교수제 상담 참여자(필수!)_진로지도상담은 7월 20일까지
다. 평균평점 동점자의 경우 석차에 따라 장학금액 차등 지급
(학칙시행세칙 제3장 24조의 2항 성적의 석차 부여 준용)
라. 근로장학생에 한하여 동일 점수에 한해 우선순위 부여
3. 선발 결과 발표 일정: 학과 별도 안내 없이 등록금 고지서 또는 u-saint 개인 계정 장학수혜현황 확인 가능"
chemical,제약바이오 GMP 챌린지 리그: 신청기간 6/...,관리자,2025-06-24,http://chemeng.ssu.ac.kr/sub/sub03_01.php?boardid=notice1&mode=view&idx=743&sk=&sw=&offset=0&category=,
