department,title,author,date,link,content
electrical,숭실대 민선기 교수 연구팀 김경진·이주형 학...,elecadm,2025-10-20,http://ee.ssu.ac.kr/sub/sub05_01.php?boardid=notice&mode=view&idx=239&sk=&sw=&offset=0&category=,"숭실대 민선기 교수 연구팀 김경진·이주형 학생,
국제저명학술지에 제1저자 연이어 논문 게재
‣  딥러닝·머신러닝 기반 모터 설계 최적화 연구 성과
‣ ‘집중 연구훈련 시스템’성과 … 학부 연구생 1년간 국제논문 12편 게재
<(왼쪽부터)민선기 교수, 김경진 학생, 이주형 학생(사진=숭실대>
숭실대학교(총장 이윤재)는 전기공학부 민선기 교수 연구실(EMODAL) 소속 4학년 김경진 학생과 이주형 학생이 국제학술지인 IEEE Access에 연이어 제1저자로 논문을 게재했다고 밝혔다. IEEE Access는 전기·전자공학분야 세계 최대 학회인 IEEE의 대표적인 오픈액세스 저널이다.
김경진 학생(전기공학부 4학년)은 “Data-Driven Optimization of Aspect Ratio in Permanent Magnet Machines Using Deep Learning and SHAP Analysis” 논문에서 딥러닝과 SHAP 해석 기법을 활용해 영구자석 모터의 종횡비 최적화 원인을 정량적으로 규명했다.
이주형 학생(전기공학부 4학년)은 “Machine Learning-Driven Framework for Optimal Split Ratio Determination in PMSM Design” 논문에서 머신러닝 기반 접근법으로 영구자석 모터의 분할비를 비용 효율 관점에서 최적화하는 새로운 설계 프레임워크를 제시했다.
김경진 학생은 ""1년 넘는 연구 과정에서 많은 것을 배우며 성장할 수 있었다. 여러 어려움이 있었지만, 끝까지 포기하지 않도록 지도해주신 교수님께 깊이 감사드린다“라며 ”SCI 저널에 논문을 게재할 수 있어 큰 보람을 느낀다""라고 소감을 밝혔다.
이주형 학생은 “학부생 신분으로 해외 저널에 논문을 게재하게 되어 매우 영광이다. 연구 과정에서 전공 지식을 넘어 넓은 시야를 얻은 값진 경험이었고, 헌신적인 지도를 해주신 교수님께 진심으로 감사드린다”라고 전했다.
한편, 숭실대 전기공학부 민선기 교수는 미국 유학 시절 체득한 연구 철학과 국내식 집중 훈련 방식을 접목해, 짧은 기간에 세계 최고 수준의 연구 역량을 확보할 수 있는 ‘혁신적 집중 연구훈련 시스템’을 독자적으로 개발·운영 중이다. 이를 통해 지난 1년 동안 소속 학부 연구생들은 단독 1저자로 IEEE 국제저명학술지에 12편(최상위 논문 8편 포함)의 논문을 발표하는 성과를 달성했다.
[문의]
숭실대학교 전기공학과 민선기 교수
전화: 010-3350-5974
E-mail: sgmin19@ssu.ac.kr"
electrical,"숭실대 전력시스템 연구실, 전력시스템 분야 최...",elecadm,2025-10-13,http://ee.ssu.ac.kr/sub/sub05_01.php?boardid=notice&mode=view&idx=238&sk=&sw=&offset=0&category=,"숭실대 전력시스템 연구실, 전력시스템 분야 최상위 국제 저명 학술지  'IEEE Transactions on Power Systems'에 연구 성과 게재
<
숭실대학교 전력시스템 연구실 박병권 교수
,
조효진 학생
>
숭실대학교 전력시스템
(
차세대전력망
)
연구실에서 수행한 연구가 전력시스템 분야의 최상위 국제 저명 학술지인
'IEEE Transactions on Power Systems'
에 게재되었다
.
게재된 논문의 제목은
‘Sparse Tableau Approach for Unbalanced Three-Phase Distribution Network Modeling and Analysis’
로
,
불평형
3
상 특성을 고려한 복잡한 미래 배전계통을 기존 방법보다 더욱 효율적이고 정확하게 모델링할 수 있는 새로운 방법론을 제안하였다
.
본 연구에서 제안된 기술은 전력계통 해석의 기본이 되는 전력조류 뿐만 아니라 배전계통 상태추정
,
토폴로지 최적화
,
다이나믹 시뮬레이션 등 다양한 전력계통 분석 및 운용 문제에 폭넓게 활용될 수 있을 것으로 기대된다
.
숭실대 전력시스템 연구실을 이끄는 박병권 교수는
“
학부 시절부터 연구에 참여한 조효진 학생과 함께 연구를 진행하며 숭실대 학생들의 높은 잠재력을 확인할 수 있었다
”
며
, “
이번 연구의 가치를 인정받고 좋은 결실을 맺게 되어 기쁘다
”
고 소감을 전했다
.
이어
“
효율적인 대학 교육 및 연구 시스템을 구축하여 차세대 그리드와 관련된 미래 산업을 이끌어갈 글로벌 핵심인재를 양성하도록 노력할 것
”
이라고 포부를 전했다
.
논문 링크
:
http://ieeexplore.ieee.org/document/11196040"
electrical,숭실대 전기공학부 민선기 교수 연구팀 학부...,elecadm,2025-07-15,http://ee.ssu.ac.kr/sub/sub05_01.php?boardid=notice&mode=view&idx=236&sk=&sw=&offset=0&category=,"18
개월 집중 연구훈련 통해 박사급 역량 갖춘 인재 양성
<숭실대 전기공학부 민선기 교수(사진=숭실대)>
숭실대학교(총장 이윤재)는 전기공학부 민선기 교수 연구팀(EMODAL)이 지난 1년간 소속 학부생 10명이 SCI급 IEEE 국제 저명 학술지에 각각 단독 제1저자로 논문을 발표하는 성과를 거뒀다고 밝혔다. 이 중 7편은 해당 분야 최상위 저널에 게재됐다.
이러한 성과는 민 교수의 'EMODAL' 연구실이 자체적으로 개발해 운영 중인 '18개월 집중 연구훈련 프로그램'의 결과다. 이 프로그램은 학부 재학생들이 단기간에 박사과정 수준의 실전 연구 수행 능력과 학술적 전문성을 갖출 수 있도록 설계됐다. 전통적인 대학원 중심의 연구실 운영 방식과 달리, 학부 단계에서부터 고차원적인 연구 역량을 체계적으로 함양할 수 있도록 구성된 것이 특징이다. 현재는 숭실대 전기공학부 3학년 재학생들이 해당 체계에 따라 연구실에 합류해 각자의 연구 프로젝트를 수행하고 있다.
민 교수는 “10년간의 미국 학·석·박사 유학에서 체득한 연구 철학에 한국식 고강도 주입식 학습법을 접목해, 짧은 기간 내에 박사 수준의 연구 역량을 갖춘 인재를 양성할 수 있는 체계적인 시스템을 구축했다”며 “이는 수년간의 해외 석·박사 과정을 거치며 소요되는 막대한 시간과 비용 없이 국내 학부 환경에서도 세계 수준의 연구 역량을 달성할 수 있도록 고안된 교육 모델”이라고 설명했다.
또한 그는 “지난 3년간 단계별 훈련 구조를 정교하게 설계해 총 5단계로 구성된 독자적인 연구 교육 체계를 완성했으며, 이를 바탕으로 이 모델을 더욱 고도화해 학부 교육의 기존 틀을 넘어서는 새로운 고등교육의 페러다임을 제시하겠다”고 덧붙였다."
electrical,"전기공학부 김선제 교수, 홀로그램 광소자 해...",elecadm,2025-07-11,http://ee.ssu.ac.kr/sub/sub05_01.php?boardid=notice&mode=view&idx=235&sk=&sw=&offset=0&category=,"전기공학부 김선제 교수
홀로그램 광소자 해석과
AR
디스플레이 설계를 위한 고성능 광선추적 시뮬레이션 툴 개발로 국제저명학술지
Optics Express
에 논문 게재
전기공학부 김선제 교수 연구팀이 한국전자기술연구원 및 명지대학교 물리학과와 함께 한 공동 연구를 통해, 다양한 홀로그램 광소자의 광선 추적 시뮬레이션을 기존 상용 툴에서 구현하고 이를 통해 가상 영상과 현실 세계의 영상을 결합해주는 AR 디스플레이를 빠르게 최적 설계할 수 있는 시뮬레이션 툴을 새롭게 개발하였다. 그리고 그 정확성을 실험적으로 검증하였다. 김선제 교수 연구팀은 연구 성과를 미국광학회 (OPTICA)에서 발행하는 SCI급 국제저명학술지 Optics Express (2025년 33권 11호)에 5월 28일자로 발표했다.(논문 제목: Development of advanced sequential ray tracing simulator for lens systems using multi-functional holographic optical elements)
최근 안경형태로 착용하는 몰입형 AR/XR 디스플레이 기술의 급속한 발전 및 관심과 함께 여러 가지 다양한 기능을 동시에 수행하는 홀로그램 광소자 기술이 다시 각광받고 있으며, 이를 복잡한 광학계에 도입하여 빠르게 최적 설계하는 것이 중요한 연구 목표들 중 하나이다. 본 연구는 기존의 상용 광선 추적 시뮬레이터에서 구현하지 못하는, 정밀한 회절 효율 분석, 고차 회절항의 크로스톡 분석, 렌즈 어레이 및 비대칭 홀로그램 렌즈 해석과 같은 기능들을 추가 구현한 새로운 툴을 개발함으로써 AR/XR 디스플레이 시스템의 최적 설계 편리성과 설계 자유도를 대폭 개선하였다.
이번 연구 성과는 차세대 AR/XR 디스플레이 기기의 설계 과정에 큰 기여를 할 수 있을 것으로 기대된다. 한편, 이번 연구는 산업통상자원부의 차세대지능형 반도체기술개발 사업의 지원을 받아 수행됐다.
*논문: S. Cho, H. Kim, S. Choi, J. Park, D. Kim, J. Yeom, J. B. Choi, J. Jeong, J. Hong, and S.-J. Kim*, ""Development of advanced sequential ray tracing simulator for lens systems using multi-functional holographic optical elements,"" Optics Express, vol. 33, no. 11, pp. 23755-23766, 2025.
*논문 링크:
https://opg.optica.org/oe/fulltext.cfm?uri=oe-33-11-23755&id=572293"
electrical,숭실대 전기공학부 민선기 교수 연구팀 정경호...,elecadm,2025-07-08,http://ee.ssu.ac.kr/sub/sub05_01.php?boardid=notice&mode=view&idx=234&sk=&sw=&offset=0&category=,"숭실대 전기공학부 민선기 교수 연구팀 정경호 학생
,
우주항공 분야 세계적 권위
SCI
학술지
'IEEE Transactions on Aerospace and Electronic Systems'
에
제
1
저자 논문 게재
<(
왼쪽부터
)
민선기 교수
,
정경호 학생
(
사진
=
숭실대
)>
숭실대학교
(
총장 이윤재
)
는 전기공학부
4
학년 정경호 학생이 민선기 교수 연구실
(EMODAL)
에서 수행한 연구를 바탕으로
,
우주항공 분야의 세계적 권위
SCI
학술지인
'IEEE Transactions on Aerospace and Electronic Systems'
에 제
1
저자로 논문을 게재했다고 밝혔다
.
논문의 제목은
'Single-Step Design Methodology for PM Motors in Control Moment Gyroscopes Based on Practical Slot-Filling Factor Formula'
이다
.
연구팀은 논문을 통해 우주선과 인공위성의
CMG(Control Moment Gyroscope,
자세제어용 구동장비
)
시스템에 적용되는 영구자석 전동기 설계의 효율성과 정확도를 획기적으로 향상시킬 수 있는 새로운 단일단계 설계 기법을 제안했다
.
또한
,
머신러닝 기반 접근을 통해 슬롯충전율이 반영된
2
차 다항 회귀식을 도출하는 데 최초로 성공했으며
,
이를 통해 기존 설계 방식의 반복성과 복잡성을 크게 줄이면서도 높은 예측 정밀도를 확보할 수 있을 것으로 기대된다
.
정경호 학생은
“
학부생으로서 쉽지 않은 목표였던
SCI
논문 게재를 이루게 돼 매우 기쁘다
”
며
“
이번 연구는 공학적 사고방식과 문제 해결 능력을 키우는 소중한 배움의 과정이었다
.
지도해주신 민선기 교수님께 깊이 감사드린다
”
고 소감을 전했다
.
한편
,
숭실대학교 전기공학부 민선기 교수 연구팀
(EMODAL)
은 지난
1
년간 소속 학부 연구생들이 단독 제
1
저자로 참여한
IEEE
국제 저명 학술지 논문
10
편
(
이 중 최상위 저널
7
편 포함
)
을 연이어 발표하는 성과를 거뒀다
."
electrical,2025년 특허유니버시아드 본선 발표 준비,elecadm,2025-09-10,http://ee.ssu.ac.kr/sub/sub05_01.php?boardid=notice&mode=view&idx=237&sk=&sw=&offset=0&category=,"2025년 특허유니버시아드 대회의 본선에 진출한 총 10개 팀이 모여 최종 발표 연습을 진행 하였다.
본선 발표에서 선정된 팀은 2차 발표 심사가 예정되어 있어, 저녁 시간을 활용하여 참여한 학생 및 담당 죠교가 힘을 다해 발표 연습 및 준비에 최선을 다하고 있는 모습니다."
electrical,2025년 전기공학부 특허유니버시아드 2차 세...,elecadm,2025-05-12,http://ee.ssu.ac.kr/sub/sub05_01.php?boardid=notice&mode=view&idx=232&sk=&sw=&offset=0&category=,"25년도 캠퍼스 특허유니버시아드 대회 일정이 정식 공지되면서 본격적으로 이번해의 대회 시작을 알리는 오리엔테이션을 배원규 교수와 박소윤 조교(22학번)가 함께 진행하였다.
1차 오리엔테이션 이후, 실제 대회에 참여하게된 팀원을 대상으로 팀선정 및 문제 배분을 진행하고 구체적인 문제분석, 특허분석, 보고서 작성 등에 관련된 세미나를 진행 하였습니다."
electrical,"전기공학부 김선제 교수, 초박형 나노광소자의 ...",elecadm,2025-04-02,http://ee.ssu.ac.kr/sub/sub05_01.php?boardid=notice&mode=view&idx=231&sk=&sw=&offset=0&category=,"전기공학부 김선제 교수 연구팀이 서울대학교 전기정보공학부의 정윤찬 교수 연구팀과 함께 한 공동 연구를 통해, 광소자에 저장할 수 있는 홀로그램 정보량을 극대화함과 동시에 순방향과 역방향에서 각각 4개의 편광 채널을 통해 서로 다른 전달함수를 구현할 수 있는 설계 기술을 개발하고 실험적으로 검증하였다. 김선제 교수 연구팀은 연구 성과를 SCI급 국제저명학술지 ACS Photonics (2025년 12권 3호)에 3월 19일자로 발표했다.(논문 제목: Cascaded Janus Meta-optics: Generalized Platform for Bidirectional Asymmetric Modulation of Light)
ACS Photonics는 미국화학회에서 출판하는 저널로, 광학 및 광전자학 연구 분야에서 상위 10% 이내에 속하는 학술지로, 2023년 JCR 기준 Impact Factor 6.5를 기록하고 있다.
최근 머리에 착용하는 형태의 몰입형 디스플레이 및 AI 기술의 급속한 발전과 함께 빛에 담긴 정보를 좁은 공간에서 더 많이 처리하기 위한 광정보 처리 기술에 대한 연구가 활발히 진행되고 있다. 특히, 초박형 차세대 광소자로 떠오른 메타표면 기술을 통한 연구들이 많은데, 기존의 메타표면 광소자에 저장 가능한 양방향의 홀로그램 광정보의 양을 극대화할 수 있는 2장의 직렬 연결된 메타표면 시스템을 구현하여 기존의 한계치를 극복하였다. 본 연구는 2장의 메타표면 사이의 거리에 의한 필터링 효과와, 메타표면에서 발생하는 비등방 위상변조 원리, 최적화 알고리즘, 그리고 반도체 나노공정이 결합된 연구 성과로 이론과 설계 뿐 아니라 실험적인 검증까지 성공적으로 달성한 연구이다.
이번 연구 성과는 광신호를 매개로 한 초고속 저전력 광학 인공지능 네트워크 기술과 초박형 AR/VR 디스플레이의 발전에 큰 기여를 할 수 있을 것으로 기대된다.
한편, 이번 연구는 산업통상자원부의 차세대지능형 반도체기술개발 사업의 지원을 받아 수행됐다.
*논문: J. Bang, Y. Kim, T. Choi, C. Kim, H. Son, S.-J. Kim*, Y. Jeong*, and B. Lee, ""Cascaded Janus Meta-optics: Generalized Platform for Bidirectional Asymmetric Modulation of Light,"" ACS Photonics, 12(3), 1666-1675, 2025.
*논문 링크:
https://pubs.acs.org/doi/
10.1021/acsphotonics.4c02602"
electrical,숭실대 전기공학부 민선기 교수 연구팀 김진호...,elecadm,2025-02-28,http://ee.ssu.ac.kr/sub/sub05_01.php?boardid=notice&mode=view&idx=230&sk=&sw=&offset=0&category=,"숭실대 전기공학부 민선기 교수 연구팀 김진호 학생
,
우주항공분야 최상위
SCI
저널에 제
1
저자 논문 게재
<(왼쪽부터)민선기 교수, 김진호 학생(사진=숭실대)>
숭실
대학교(총장 이윤재)는 전기공학부 4학년 김진호 학생이 민선기 교수의 연구실(EMODAL)에서 수행한 연구를 기반으로, 국제 최상위 학술지인 IEEE Transactions on Aerospace and Electronic Systems에 제1저자로 논문을 게재했다고 밝혔다. 해당 학술지는 전기 및 우주항공 분야에서 박사 과정 연구자들이 목표로 삼는 국제적 권위의 학술지로 인정받고 있으며, 게재된 논문의 제목은 ‘Specific Torque Optimization of Control Moment Gyroscope Motor Based on Linear Regression Technique’이다.
CMG(Control Moment Gyroscope)는 우주선과 인공위성의 자세 제어에 필수적인 장치로, 높은 성능을 갖춘 전동기 설계가 필수적이다. 연구팀은 전동기 코일 단부 권선의 영향을 정량적으로 분석한 후 2극 3슬롯 구성이 가장 경제적·효율적인 구조임을 입증했으며, 이를 통해 CMG 짐벌 모터의 경량화와 비용 효율성을 극대화할 수 있는 설계 지침을 마련했다.
연구팀은 또한, 선형 회귀 기법을 활용해 재료 무게 구성 비율을 최적화하는 방정식을 도출함으로써 실용성과 재현성 높은 설계 방법론을 제시했다. 최근 누리호 인공위성을 포함한 다양한 우주 탐사 및 항공우주 시스템에서 고성능 경량 전동기의 필요성이 증가하는 가운데, 이번 연구 결과는 우주항공 분야의 모터 경량화 설계에 중요한 기여를 할 것으로 기대된다.
김진호 학생은 “학부 과정에서 세계적인 SCI 학술지에 논문을 게재하게 돼 매우 뜻깊게 생각한다”며 “이번 성과는 연구자로서의 초석을 다지는 계기가 됐다. 앞으로도 지속적인 연구를 통해 더욱 발전해 나가겠다”고 밝혔다. 이어 “논문 게재 과정에서 끝까지 믿어주시고 이끌어주신 민선기 교수님께 깊은 감사와 존경을 표한다”고 전했다.
한편, 숭실대 전기공학부 민선기 교수 연구팀(EMODAL)은 미래 교육 혁신의 일환으로 학부 재학생들을 1년 6개월 안에 박사급 인재로 양성할 수 있는 커리큘럼을 자체 개발해 운영 중이다. 이를 통해 지난 1년 동안 소속 학부 연구생을 단독 1저자로 IEEE 국제저명학술지에 9편(최상위 논문 6편 포함)의 논문을 발표하는 성과를 달성했다."
electrical,"전력전자학회 회장 취임, 최우진 교수님",elecadm,2024-11-25,http://ee.ssu.ac.kr/sub/sub05_01.php?boardid=notice&mode=view&idx=229&sk=&sw=&offset=0&category=,"탄소중립과 전기화 흐름 속 ‘전력전자’ 기술 주목
전력전자학회, 2024 정기총회 및 추계학술대회 성료
AI 융합과 스마트 그리드 등 차세대 전력기술 다뤄
연구자 간 활발한 교류, 전력기술 발전 가속화 기대
최우진 숭실대 교수, 차기 회장에 선임
전기화와 탄소중립 시대를 맞아 전력전자 기술의 미래를 논의하는 장이 마련됐다.
전력전자학회는 22일 서울 강남에 위치한 한국과학기술회관에서 ‘정기총회 및 추계학술대회’를 성공적으로 개최했다.
이번 학술대회에는 300여 명의 연구자와 업계 관계자들이 참석해 전력전자 기술의 미래를 심도 있게 논의했다. 총 110편의 논문이 오랄 및 포스터 세션을 통해 발표됐으며, 참석자들은 학문적 교류와 최신 연구 결과를 공유하며 의미 있는 시간을 가졌다.
정세교 전력전자학회 회장은 인사말에서 “탄소중립과 전기화가 중심이 되는 시대가 도래하면서 전력전자 기술의 중요성이 더욱 부각되고 있다”고 강조했다.
이어 “이 같은 흐름에 따라 학회의 회원 수가 예년의 1200명에서 올해 1450명으로 증가하며 전기 분야의 핵심 학회로 자리 잡았다”며 학술대회를 통해 회원 간 학술적 교류와 연구 협력이 한층 더 깊어지길 기대한다고 밝혔다.
학술대회는 AI, 스마트그리드, 전력반도체, 배터리, 전기차 충전 시스템 등 차세대 전력기술을 중심으로 다양한 주제를 다뤘다. 특히 ▲전력반도체 및 소자 ▲대전력변환기 및 응용 ▲배터리 및 산업 응용 ▲소전력변환기 및 응용 ▲전동기 구동 및 인버터 등 최신 기술들이 각 세션을 통해 논의됐다.
32편의 오랄 세션 발표와 72편의 포스터 발표 이외에도 안전계측제어연구회에서는 6편의 워크숍 발표를 추가로 진행해 큰 관심을 모았다.
이번 행사에서는 2025년도 임원진 선출도 함께 이뤄졌다. 차기 회장으로는 최우진 숭실대학교 교수가 선출됐으며, 그는 2024년 수석부회장직을 맡고 있어 2025년 회장직을 자동 승계하게 됐다. 2025년도 수석부회장으로는 송승호 광운대학교 교수가, 부회장으로는 류홍제 중앙대학교 교수가 선임됐다.
◆ 최우진 전력전자학회 차기 회장, “학회가 기술 성장의 묘목단지 되겠다”
전기차·신재생 에너지로 확장되는 전력전자, 학회 역할 강조
산학 교류 강화하고 유관 학회와 협력할 계획 밝혀
전력전자학회의 2025년 차기 회장으로 선출된 최우진 교수는 전력전자 분야가 겪고 있는 빠른 성장세에 대한 책임감을 강조하며 소감을 밝혔다.
최 교수는 “전력전자 분야의 붐이 일고 있어 학회의 역할이 더욱 중요해졌다”고 전했다.
현재 전력전자 분야의 핵심 트렌드로 전기자동차와 신재생 에너지의 급성장을 꼽았다. 특히 전기차의 핵심 부품 대부분이 전력 변환 장비로 구성돼 있어 해당 분야의 중요성은 더욱 커지고 있다고 설명했다.
또한 송전 인프라 건설이 어려운 상황에서 DC 방식의 전력 전송이 필요해지면서 전력전자 장비의 역할이 더욱 부각되고 있다고 강조했다. 전력 계통에서 안정성을 유지하기 위해 전력전자 장치들이 기존 방식보다 능동적으로 대응할 수 있다는 점도 언급했다.
최 교수는 AI 기술을 접목해 전력전자 성능을 향상시키는 방안도 강조했다.
그는 “AI 기술이 전력전자 분야에서 더 나은 성능을 발휘할 수 있는 계기를 마련할 것”이라고 기대감을 나타냈다.
또 “전통적인 전력 계통 분야와 협력해 나가며 융합적 접근이 필요하다”며 “전기학회, 자동차공학회, 신재생에너지 학회 등 관련 학회와 협력할 방안을 모색할 계획”이라고 덧붙였다.
2025년 최 교수의 주요 과제는 산학 교류 강화와 연구회 조직이다. 산업계와 학계 간의 유기적 협력을 통해 실제 산업에 적용될 수 있는 기술을 개발하는 데 중점을 둘 계획이다.
또한 현장의 의견을 청취하고 피드백을 반영하는 한편, 학회 30주년을 준비하기 위한 미래전략위원회도 조직해 학회의 방향성을 재정립할 예정이다.
마지막으로 최 교수는 학회 회원사들에게 KIPE 콘퍼런스와 엑스포에 많은 관심과 참여를 부탁했다.
그는 “회원사들의 제안을 적극 검토해 학회 활동에 반영할 계획”이라며 “전시회와 학술대회를 통해 산학이 협력해 더 나은 성과를 이루길 기대한다”고 말했다."
