department,title,author,date,link,content
industrial,[공지] 학과 공간 이용 시간 안내,N/A,2024-3-28,https://iise.ssu.ac.kr/cummunity/notice/?term_id&slug=46577,"24-2학기 학과 공간 이용 시간이 아래과 같습니다. 개방 시간 내에 학생들의 많은 활용 바랍니다.
1. 오픈라운지
-평일(월-금): 9:30~17:30
(시험기간 중 야간 연장 개방 예정)
2. 728호 전산실습실
-평일+주말(월-일): 22:30까지 상시 개방
(일과시간 중 강의 없는 시간에도자유롭게 사용 가능)"
industrial,VDI 접속 장애 및 이용 임시 가이드 라인,N/A,2023-10-12,https://iise.ssu.ac.kr/cummunity/notice/?term_id&slug=46058,"현재 학과 VDI 내부 사설 인증서가 만료되어 조치 중에 있습니다.
VDI를 이용하기 위한 가이드라인을  공지하니 이용하고자 하는 학생은 참고 바랍니다."
industrial,학부연구생 등록 절차 및 서류,N/A,2023-4-12,https://iise.ssu.ac.kr/cummunity/notice/?term_id&slug=45484,"학부연구생은 교수와 대학원생으로 구성되는 연구실에서 학부생 신분으로 지도교수의 연구에 참여하여 연구 경험을 쌓는 학생을 의미합니다.
우리 학과의 학부연구생에 등록하기 위해서는 아래 절차를 따라야 하며, 연구 활동을 하지 않을 경우 학부연구생 등록을 취소합니다.
1. 학부연구생으로 등록하고자 하는 학생은 ‘
학부연구생 등록신청서
‘를 작성하여 본인 및 지도교수 서명 후 학과장에게 제출해야 함
2. 재학생 신분이 아닌 경우 (휴학, 수료, 졸업 등) 학부연구생 등록을 원칙적으로 불허함. 단, ‘
비재학생 공동연구 수행 확인서
‘를 제출하여 지도교수와 공동연구를 수행 중임이 확인된 비재학생만 연구생으로 등록가능함
3. 학부연구생 등록 없이 연구실 사용이 적발되는 경우, 향후 학부연구생 등록을 허용하지 않음"
industrial,전산실습실2(형남공학관 728호) 프린터 사용방법 안내,N/A,2021-9-1,https://iise.ssu.ac.kr/cummunity/notice/?term_id&slug=23941,"전산실 프린터 사용방법이 아래와 같이 변경됩니다. 사용법을 숙지하기 바랍니다.
1. 기존 형남공학관 719호 프린터를 이전하고, 형남공학관 728호에서만 흑백/컬러 복합기를 운용합니다.
2. 새 프린터는 교내 업체 i-Print에서 운용하는 장비로, i-Print 계정에 로그인하여 사용할 수 있습니다.
3. 전체 재학생에게 (id: 학번앞에 p붙임/pw: 생년월일8자리)로 계정을 부여하고, 각 계정에 학기 당 25,000원의 i-money(인쇄용 충전금)를 지급합니다. 단, 충전금은 이월되지 않습니다.
4. 흑백 인쇄 시 장당 50원, 컬러 인쇄 시 장당 200원이 결제됩니다.
5. 프린트는 클라이언트가 설치된 컴퓨터에서만 가능합니다. VDI에는 프린팅 클라이언트가 설치되어 있으므로 바로 사용 가능합니다.
개인 노트북에도 프린팅 클라이언트를 설치하여 출력 가능합니다(참고:
아이프린트 (i-print.co.kr)
)
6. 프린트 방법은 아래와 같습니다.
(1) 문서에서 인쇄 명령 내리기. i-Print Fx DocuCentre 프린터 선택.
(2) 우측 하단에 작업창에서 ID(학번앞에 p붙임)와 PASSWORD(생년월일8자리) 입력 후 Print 버튼 클릭.
(3) 프린터 기기로 가서 프린터에서 (2)와 같은 ID로 로그인하여 작업을 선택하고, 충전금으로 결제 선택. ID 및 PW 숫자 입력 시 화면 우측 키패드 사용하면 편리함."
industrial,가상화 전산실(Virtual Desktop infrastructure: VDI) 사용 안내,N/A,2021-7-29,https://iise.ssu.ac.kr/cummunity/notice/?term_id&slug=17476,"가상화 전산실(Virtual Desktop infrastructure: VDI) 이란?
교내 서버에서 가상의 Windows 데스크탑(Virtual Machine: VM)을 생성하고, 사용자는 여기에 원격 접속하여 PC처럼 사용하는 시스템입니다.
교내외 어느 장소에서나 완벽한 실습환경이 구축된 데스크탑을 사용할 수 있고, 고사양의 컴퓨팅 자원을 제공합니다(2.9Ghz 4core CPU, 16G RAM).
우리 학과는 세계 1위 업체인 VMware사의 시스템을 도입하여 동시접속 100대 규모의 VDI 시스템을 구축하였습니다.
접속방법
VDI 시스템 접속은 1)전용 클라이언트와 2)웹브라우저를 사용한 접속이 가능합니다. 속도 및 안정성을 위해 전용 클라이언트 사용을 권장합니다.
Windows, Mac, Linux, Chrome, iOS, Android 등 어느 운영체제에서나 접속이 가능합니다.
동시접속 대수에 제한이 있으므로 사용 후에는 반드시 로그아웃 혹은 시스템 종료 해주십시오. 수업 시간 등에는 강제로 접속이 해제될 수 있습니다.
오류 시
https://forms.gle/zHSvYXiwqeqYMfTL8
로 신고해 주십시오.
전용 클라이언트 접속
(1)VMware Horizon Client 다운로드
및 설치.
Windows 10용 다운로드
Windows7용 다운로드
다운로드 사이트 :
Download VMware Horizon Clients – My
Vmware
(2)VMware Horizon Client 앱 실행.
(3)서버 추가 버튼 더블 클릭 후 주소 입력 – 교내:
https://10.5.170.3
, 교외:
https://vdi.ssu.ac.kr
(4)인증서 경고창이 나오면 “계속” 클릭.
(5)로그인 계정에 “사용자 이름 : 학번, 암호 : 생년월일(YYYYMMDD형식)” 입력.
로그인 오류 시
https://forms.gle/zHSvYXiwqeqYMfTL8
로 신고.
(6)VM선택 : IISE-VDI 더블 클릭.
(7)로그아웃 시 모든 변경내역이 삭제되므로, 보관해야 할 파일은 메일/클라우드 등을 이용해 백업해야 함. Onedrive에 @soongsil.ac.kr 메일주소로 로그인하면 1TB 제공. 데스크탑 실행 시 onedrive 로그인 추천.
(8)네트워크 드라이브(Z:)는 접속한 로컬 컴퓨터의 사용자 폴더와 연결되어 있음. Z: 드라이브에 저장한 파일은 로컬 컴퓨터에도 저장되므로 백업용으로 활용 가능.
(9) Z드라이브가 보이지 않을 시에는, “설정”>”드라이브 공유” 메뉴에서 “로컬 파일 공유”를 켬으로 체크.
웹브라우저 접속
(1)교내:
https://10.5.170.3
, 교외:
https://vdi.ssu.ac.kr
접속(학과 홈페이지 메뉴바에도 링크 있음). iOS Safari는 접속 불가 → iOS용 클라이언트 앱 사용.
(2)경고 메세지 창에서 “고급” 버튼 클릭 후 안전하지 않음으로 계속하기 선택.
(3)HTML Access 선택
(4)사용자 이름 : 학번/암호 : 생년월일(YYYYMMDD형식) 입력.
(5)IISE-VDI 선택. 경고 메세지 창이 다시 나오면 (2)와 마찬가지로  “고급” 버튼 클릭 후 안전하지 않음으로 계속하기 선택.
(6)F11 키를 눌러 브라우저 전체화면으로 전환하면 보다 사용이 편리함."
industrial,2026학년도 1학기 학·석사연계과정 지원 및 선발 안내,N/A,2025-11-10,https://iise.ssu.ac.kr/cummunity/notice/?term_id&slug=48407,"학과사무실에서 학·석사연계과정 지원 및  선발과 관련하여 안내드립니다.
1. 지원기간 : 2025.12.1.(월)~12.12.(금)
2.지원자격 :
다음 각호 모두 해당되는 자
가. 지원일 당시 학사과정 4학기 이상 6학기 이내 재학 중(건축학부 건축학전공은 6학기 이상 8학기 이내 재학 중)인 자 (학·석사연계과정 신청자는 조기졸업 신청을 할 수 없음)
나. 재수강 이전 과목, 학점포기한 과목, F학점 과목 등을 포함한 전체 과목의 총평점평균이 3.0 / 4.5 이상인 자 (학적부성적)
다. 7학기 또는 8학기(건축학부 건축학 전공은 9학기 또는 10학기)에 학사과정의 졸업요건을 충족할 수 있는 자
라. 지원하고자 하는 일반대학원 학과 주임교수와 지도교수의 추천을 받은 자
마. 지원하고자 하는 일반대학원의 동일(또는 유사)학과를 주전공 또는 복수전공으로 하는자
3. 제출서류
가. 학·석사연계과정 신청서(붙임 1) 1부.
나. 학적부성적 1부.
4. 지원방법 : 대학원 교학팀으로 방문 접수(웨스트민스터홀 658호)
5. 발표일 : 2026.1.23.(금) 예정
6. 문의처 : 대학원 교학팀(02-820.0258~9 , grad@ssu.ac.kr)"
industrial,2026학년도 수시 논술고사 기간 중 고사 장소 통제 안내(11/14~15),N/A,2025-11-7,https://iise.ssu.ac.kr/cummunity/notice/?term_id&slug=48405,"학과사무실에서 2026학년도 수시 논술고사 기간 중 통제장소를 안내드립니다.
확인하시어 교내 건물 출입에 참고해주시기 바랍니다.
<통제 안내>
구분
기간
장소
비고
건물
출입
통제
11.14.(금) 15:00
~
11.15.(토) 18:00
조만식기념관
진리관
미래관
숭덕경상관
문화관
백마관
교육관
한경직기념관
모든 인원 출입 불가
차량
출입
통제
11.15.(토)
07:00 ~ 18:00
교내 전체 진출입로
모든 차량 출입 불가
※ 통제 대상 외 건물은 논술고사 기간에도 사용 가능"
industrial,[공지] 2025 IISE 글로벌 탐방 (정병희 장학프로그램) 최종 심사 결과 안내,N/A,2025-11-6,https://iise.ssu.ac.kr/cummunity/notice/?term_id&slug=48401,"학과사무실에서 2025 IISE 글로벌 탐방 최종 심사 결과를 아래와 같이 안내드립니다.
수상 축하드리며 지원하신 분들 모두 수고 많으셨습니다."
industrial,[공지] 2025학년도 겨울계절제 국내대학 학점교류 실시 및 신청 안내,N/A,2025-10-21,https://iise.ssu.ac.kr/cummunity/notice/?term_id&slug=48394,"학과사무실에서 2025학년도 겨울계절제 국내대학 학점교류와 관련하여 안내드리니 희망하는 학생들은 해당 내용 확인 후 신청 바랍니다.
1. 신청 자격
가. 2025-2학기 3~7학기 재학생
나. 직전 학기까지 학업성적이 총 평점 평균 3.0 이상
다. 학칙에 의거 징계받은 사실이 없는 자
2. 신청 학점: 6학점 이내(계절제 수강신청 가능 총 학점 범위)
3. 제출 서류
가. 국내대학 학점교류 신청서(붙임1), 엑셀 및 스캔자료 2종
나. 제출장소: 형남공학관 712호(학과사무실) / insteng@ssu.ac.kr (인쇄하여 학과사무실 제출 및 엑셀파일 이메일 제출)
다. 신청기한: 해당 교류대학 신청 기한 하루 전 14:00까지 제출
4. 학교 공지사항
참조"
industrial,[공지] 2025-2학기 국내 산업시찰 참가자 선발 결과,N/A,2025-10-19,https://iise.ssu.ac.kr/cummunity/notice/?term_id&slug=48389,"25-2학기 산업시찰 참가자 선발 결과가 아래와 같습니다. 신청했지만 선발되지 못한 학생들에게는 미안합니다.
10/29(수) 09:30, 719호
에서 오리엔테이션 진행하며, 참석하지 못할 경우 차순위자를 대체 선발합니다."
