department,title,author,date,link,content
materials,2025년도 예비군 훈련 관련 내용(안내),N/A,2025-11-12,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51&mode=VIEW&num=435&category=&findType=&findWord=&sort1=&sort2=&it_id=&shop_flag=&mobile_flag=&page=1,"안녕하세요, 숭실대학교 예비군연대입니다.
2025년도 예비군 훈련과 관련하여 아래와 같이 안내 드립니다.
11월 19일(화) 동원보충대대 훈련 참석 대상
가. 병무청으로부터 훈련통지서 또는 훈련 참석 안내 문자를 받은   학생 예비군 441명이 해당됩니다.
나. 반드시 훈련통지서의 안내에 따라 지정된 시간·장소로 참석하시기    바랍니다.
* 훈련일자 예비군 홈페이지에서 확인
복학 등으로 전입이 늦은 학생 예비군
가. 복학이 늦어 이번 훈련 통지서를 받지 못한 7명 학생 예비군은  12월 10일(수)실시되는 1차 기본훈련대상입니다.
나. 훈련통지서는 메일 및 문자로 개별 발송될 예정입니다.
* 훈련일자 예비군 홈페이지에서 확인
9월 훈련 무단불참 및 연기자 차후 훈련 안내
가. 지난 9월
1
차 기본훈련
을 무단 불참했거나 연기한 학생은   금년(2025년)에는
2
차 기본훈련 계획이 없습니다
.
나. 52사단 예비군훈련장 훈련장 사정으로 인해
2
차 기본훈련은
2026
년
3
월 이후로 이월
될 예정입니다.
26년 2차 기본훈련 이월도 동일하게  8시간을 받으면 됩니다.    훈련 통지서도 내년도에 받게 될 것입니다.
따라서 위 해당자는
11
월
19
일과
12
월
10
일 훈련 대상자가 아님을
확실히 인지하시고 무단 참석하는 상황이 없도록 주의 당부 바랍니다
.
2025학년도 2학기 학부생 및 대학원생 대상 폭력예방교육 실...
다음글이 없습니다."
materials,2025학년도 2학기 학부생 및 대학원생 대상 폭력예방교육 실시 안내,N/A,2025-11-11,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51&mode=VIEW&num=434&category=&findType=&findWord=&sort1=&sort2=&it_id=&shop_flag=&mobile_flag=&page=1,"2025학년도 2학기 학부생 및 대학원생 대상 폭력예방교육 실시 안내
2025학년도 2학기 본교 학부 및 대학원 재학생 대상 폭력예방교육을 다음과 같이 실시합니다.
해당 교육은 법정 의무 교육으로 미이수 시 성적조회가 제한되오니 기한 내 이수를 부탁드립니다.
1. 관련 법령
– 양성평등기본법 제31조
– 성폭력방지 및 피해자보호 등에 관한 법률 제5조
-가정폭력방지 및 피해자보호 등에 관한 법률 제4조의3
2. 대상: 2025학년도 2학기 학부/대학원 재학생
(1학기 이수자는 재이수 불필요)
3. 교육명: 2025년 학부/대학원생을 위한 폭력예방교육
4. 이수기간: 10월1일(수) ~ 12월31일(수)
(단, 성적조회를 위해서는 기말고사 기간 전 수강 필요)
5. 이수방법
유세인트 접속→LMS마이페이지(Learning)→2025년 학부/대학원생을 위한 폭력예방교육→’과목 홈 바로가기’
→
주차학습→언어별 강의 선택(한국어, 중국어, 영어 중 택1)
6. 유의사항
가. 차수와 상관없이 ‘1개 언어, 하나의 강의’만 100% 수강하면 이수
나. 이수기간 내 시청한 내용만 학습기록으로 인정됨
7.
미이수 시 성적조회 제한: 교육 이수 다음날 오후부터 성적조회가 가능(토, 일요일 제외)
8. 문의: 인권센터 인권팀 02-820-0842 / humanrights@ssu.ac.kr"
materials,2026학년도 1학기 학·석사연계과정 지원 및 선발 안내,,2025-11-10,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51&mode=VIEW&num=433&category=&findType=&findWord=&sort1=&sort2=&it_id=&shop_flag=&mobile_flag=&page=1,"2026학년도 1학기 학·석사연계과정 지원 및 선발 안내
1. 지원기간 : 2025.12.01.(월)~12.12.(금)
2. 모집학과 : 학사과정과 석사과정에 동일(또는 유사)학과가 있는 학과(계약학과 제외)
3. 지원자격 :
다음 각 호 모두 해당되는 자
가. 지원일 당시 학사과정 4학기 이상 6학기 이내 재학 중(건축학부 건축학전공은 6학기 이상 8학기 이내 재학 중)인 자 (학·석사연계과정 신청자는 조기졸업 신청을 할 수 없음)
나. 재수강 이전 과목, 학점포기한 과목, F학점 과목 등을 포함한 전체 과목의 총평점평균(학적부성적)이 3.0 / 4.5 이상인 자
다. 7학기 또는 8학기(건축학부 건축학 전공은 9학기 또는 10학기)에 학사과정의 졸업요건을 충족할 수 있는 자
라. 지원하고자 하는 일반대학원 학과 주임교수와 지도교수의 추천을 받은 자
마. 지원하고자 하는 일반대학원의 동일(또는 유사)학과를 주전공 또는 복수전공으로 하는자
4. 제출서류 및 지원방법
가. 학·석사연계과정 신청서 1부. (첨부파일)
나. 학적부성적 1부.
5. 지원방법: 대학원 교학팀으로 방문 접수(웨스트민스터홀 658호)
6. 선발인원 : 석사과정 입학정원의 20%
7. 발표일 :
2026.01.23.(금) 예정
(학사과정 최종 성적 확정 이후에 발표/ 학과 및 본인 개별 통지)
8. 문의처 : 대학원 교학팀(02-820-0258∼9, grad@ssu.ac.kr)
붙임  1.  학·석사연계과정신청서 1부.
2.
학·석사연계과정 신청 및 선발 안내(필독)
1부.
붙임1.-학석사연계과정-신청서2026-1.hwp
붙임2.-학석사연계과정-신청-안내문2026-1.hwp"
materials,[한국섬유공학회] 섬유패션 혁신 인재 포럼 개최 안내,,2025-11-10,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51&mode=VIEW&num=432&category=&findType=&findWord=&sort1=&sort2=&it_id=&shop_flag=&mobile_flag=&page=1,"섬유의날 주간을 맞아 스트림별 대표기업을 소개하여 산업의 미래상을 제시하고, 청년인재의 원활한 섬유패션산업 진출을 위해
“섬유패션 혁신 인재 포럼(11.14(금))”
을 개최합니다.
이와 관련하여
섬유패션 교수님, 섬유패션 전공과 학생들을 초청
코자 하오니
아래 참가 신청링크를 통해 많은 신청을 부탁드립니다.
<행사 개요>
ㅇ 행사명 : 섬유패션 혁신 인재 포럼
ㅇ 일시: 2025.11.14.(금) 14:00~17:20
ㅇ 장소 : 섬유센터 3층 텍스파홀(서울시 강남구 테헤란로 518)
ㅇ 참석대상 : 섬유패션 교수진, 섬유패션 전공자 250여명
ㅇ 참가비 무료
ㅇ 참가 신청 : 11.7(금)까지 아래 구글폼 링크로 신청
클릭
☞
참가신청 바로가기
* 선착순으로 접수 예정이므로 마감기한(11.7(금))전에도 마감될 수 있음
ㅇ 문의처 : 한국섬유산업연합회 아카데미실
(T : 02-528-4038, 4044 E :
mandy48@kofoti.or.kr
,
yjlee@kofoti.or.kr
)
*
섬유패션 혁신 인재 포럼｣ 개최 계획(안) 첨부파일 참조"
materials,2025-2학기 친환경화학소재 콜로퀴엄 3차 개최,,2025-11-06,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51&mode=VIEW&num=431&category=&findType=&findWord=&sort1=&sort2=&it_id=&shop_flag=&mobile_flag=&page=1,"2025-2학기 친환경화학소재 콜로퀴엄 2차 안내드립니다.
1. 일시: 2025.11.11(화) 18:00
2. 장소: 진리관 522호
3. 제목:
""
고분자 소재 기반 이차전지 응용
(Polymer Materials for Battery Applications)""
4. 강연: 송우진 교수(충남대학교)"
materials,2025년 학생 예비군 동원보충대대훈련 계획 및 유고 결석 신청 안내(11월 19일(수)),,2025-10-21,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51&mode=VIEW&num=423&category=&findType=&findWord=&sort1=&sort2=&it_id=&shop_flag=&mobile_flag=&page=1,"2025
년 학생 예비군 동원보충대대훈련 계획 및 유고 결석 신청 안내
개 요
2025년 병무청 통제(지정)한 ‘학생 예비군 동원보충대대훈련 기본교육’ 계획 임
일반 계획
가. 일 시 : 2025년 11월 19일(수) / 09:00∼18:00
나. 장 소 : 서울특별시 서초구 신흥말길 79-39(강남·서초 과학과예비군 훈련장)
다. 인 원 : 449명
세부 계획
가. 훈련 대상 인원 : 449명(병무청에서 개인별 지정 / 문자 통보)
나. 차량 45인승 버스 이동 수송(예상 훈련 참석인원 약 70% 기준)
1) 버스 탐승 인원 예상인원 : 315명
2) 버스 소요 : 45인승 버스 8대
※ 자차 및 대중교통 이용 예상인원 : 130여명
행정 사항
가. 출발 장소 : 본교 베어드 홀 입구
나. 운행구간 : 숭실대 베어드 홀 입구 ↔ 서울특별시 서초구 신흥말길 79-39
(강남·서초 과학화예비군 훈련장)
다. 운행 시간 (왕복, 45인승 대형버스)
1) 출발 시간 : 학교 ⇨ 강남·서초 과학화 예비군 훈련장 (07:00, 2∼3분 간격)
2) 복귀 시간 : 강남·서초 과학화예비군 훈련장 ⇨ 학교
※ 대중교통 및 승용차 이용 훈련장 입소 및 퇴소 가능
라. 병무청에서 개별 지휘서신 및 훈련 문자 통보
마. 훈련연기는 병무청 홈페이지 및 820-4458로 전화 연기 신청
바 훈련대상자 : 예비군 홈페이지 (
www.yebigun1.mil.kr
)에서 확인 가능
※ 기타 문의사항은 숭실대 예비군연대 문의(820-0178, 0179, 0180)
예비군 훈련으로 인한 유고결석 (수업 및 채플 출석 인정) 신청 안내(요령)
가. 모든 훈련대상자는
본인이
u-SAINT
에서 직접 유고결석 신청
1) 훈련 종료 후부터 신청 가능하며,
10
일 이내에 미신청시 신청 불가
2) 예비군 홈페이지에서
교육필증출력 후 증빙서류 파일 업로드 필수
붙임: 2025년  학생 예비군 동원보충대대훈련 계획 및 유고 결석 신청 안내
2025년-학생-예비군-동원보충대대훈련계획-및-유고결석-신청안내-1-1.hwp"
materials,"2026학년도 1학기 복학, 휴학, 유급 신청 안내",,2025-10-15,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51&mode=VIEW&num=419&category=&findType=&findWord=&sort1=&sort2=&it_id=&shop_flag=&mobile_flag=&page=1,
materials,2025학년도 겨울계절제 수업 일정 안내,,2025-10-14,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51&mode=VIEW&num=416&category=&findType=&findWord=&sort1=&sort2=&it_id=&shop_flag=&mobile_flag=&page=1,
materials,2025 숭실대 신소재 UCC 공모전 참가 안내(~11/16),,2025-09-19,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51&mode=VIEW&num=408&category=&findType=&findWord=&sort1=&sort2=&it_id=&shop_flag=&mobile_flag=&page=1,"2025 숭실대 신소재 UCC 공모전을 진행합니다.
신소재공학과를 널리 알릴 수 있는 창의적이고 참신한 영상(UCC)을 모집합니다.
우수작은 학과 홍보영상으로 활용 및 상영할 예정이니,
많은 관심과 참여를 바랍니다.
1. 공모주제:  신소재공학과를 소개하고 학과의 위상을 널리 알릴 수 있는 독창적이고 참신한 주제
(예: 전공 소개, 연구실/학과 생활, 진로/취업, 학과 행사, 학생 브이로그 등)
2. 공모대상:
숭실대를 사랑하는 신소재공학과 학생 누구나 (대학원생, 휴학생 및 외국인 학생 포함)
3. 공모기간:  2025년 9월 22일(월) ~ 11월 16일(일)
※ 마감 후 추가 접수는 받지 않습니다.
4. 공모형식:  자유 형식의 동영상(UCC) (예: Vlog, CF, 패러디, 뮤직비디오, 뉴스 등)
5. 접수방법 :  출품작 이메일 제출 (materials@ssu.ac.kr)
6. 심사:  학과 내/외부 심사
7. 심사 결과 발표:  2025년 11월 말 예정
8. 시상 내역 (포상장학금)
가. 금상: 1명 (300,000원)
나. 은상: 2명 (각 200,000원)
다. 동상: 3명 (각 100,000원)
9. 응모 시 유의 사항
가. 개인 또는 팀(3인 이내)으로 참가 가능하며, 1인(팀)당 출품작수는 1개입니다.
나. 출품
규격
- 해상도 720×480 이상, 2~4분 내외, 1GB 이하
- 파일 형식은 MP4(권장), AVI, WMV, MOV 중 하나여야 합니다.
- 작품은 학과 홍보영상으로 활용 가능한 품질과 형식이어야 합니다.
다. 출품작을 이메일로 제출시 반드시 아래와 같이 파일명 형식을 지켜주시기 바랍니다.
- 출품작 파일명: 학번_이름_작품명 (예: 20250000_이숭실_작품명.mp4)
- 출품작 제출 시 작품의 주요 내용
(1~3줄 이내 요약)
을 함께 작성해 주시기 바랍니다.
라. 신청 접수 이후 수정 필요 시 아래의 메일로 문의해 주시기 바랍니다.
마. 응모된 출품작은 반환되지 않으며, 학과 홍보 영상으로 활용될 수 있어야 합니다.
(초상권/저작권 문제가 없는 영상이어야 하며, 문제 발생 시 책임은 지원자 본인에게 있습니다.)
바. 공모작의 수준이 요구되는 사항에 못 미칠 경우 시상 내역이 변경되거나 또는 취소될 수 있습니다.
10. 문의
– 신소재공학과 메일:
materials@ssu.ac.kr"
materials,★2025-2학기 신소재/친환경화학소재 콜로퀴엄 개최 안내★,,2025-09-18,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51&mode=VIEW&num=407&category=&findType=&findWord=&sort1=&sort2=&it_id=&shop_flag=&mobile_flag=&page=1,"[2025-2
학기 신소재
/
친환경화학소재 콜로퀴엄
]
1.
일정 및 장소
2.
신청방법
:
슈패스
(SSU-PATH)
시스템
(
https://path.ssu.ac.kr)
접속하여 에서
""
신청하기
""
버튼 클릭
※
슈패스
(SSU-PATH)
시스템에서 신청해야 출석 인정
※
슈패스
(SSU-PATH)
시스템 신청은 회차별 당일
19
시까지 가능합니다
.
※
프로그램 신청은
<
핵심역량 진단
>
참여 후 가능
,
팝업창 또는 진단하기 클릭하여
<
핵심역량 진단
>
참여하기
[2025-2
학기 신소재 콜로퀴엄
]
1
회차
[9.24(
수
) 18:00]/
진리관
522
호
(*
졸업논문
2
수업 대체
)
https://path.ssu.ac.kr/ptfol/imng/icmpNsbjtPgm/findIcmpNsbjtPgmInfo.do?encSddpbSeq=2e2375a0eb6e78619cae4afab61b5952&paginationInfo.currentPageNo=1
2
회차
[10.15(
수
) 18:00]/
진리관
522
호
(*
졸업논문
2
수업 대체
)
https://path.ssu.ac.kr/ptfol/imng/icmpNsbjtPgm/findIcmpNsbjtPgmInfo.do?encSddpbSeq=45be56130cf8352e9475ee89c7ef2fba&paginationInfo.currentPageNo=1
3
회차
[11.25(
화
) 18:00]/
진리관
522
호
https://path.ssu.ac.kr/ptfol/imng/icmpNsbjtPgm/findIcmpNsbjtPgmInfo.do?encSddpbSeq=45e2c4f252bfabe9f8fd621be6cf73e2&paginationInfo.currentPageNo=1
[2025-2
학기 친환경화학소재 콜로퀴엄
]
1
회차
[10.28(
화
) 18:00]/
진리관
522
호
https://path.ssu.ac.kr/ptfol/imng/icmpNsbjtPgm/findIcmpNsbjtPgmInfo.do?encSddpbSeq=5ae4181b1074332c4476a49385001484&paginationInfo.currentPageNo=1
2
회차
[11.5(
수
) 18:00]/
진리관
522
호
(*
졸업논문
2
수업 대체
)
https://path.ssu.ac.kr/ptfol/imng/icmpNsbjtPgm/findIcmpNsbjtPgmInfo.do?encSddpbSeq=d2d45588a971348a2f049ba3d9bf4bd4&paginationInfo.currentPageNo=1
3
회차
[11.11(
화
) 18:00]/
진리관
522
호
https://path.ssu.ac.kr/ptfol/imng/icmpNsbjtPgm/findIcmpNsbjtPgmInfo.do?encSddpbSeq=e45a71cabf7b1dde6b91e9416ad9125e&paginationInfo.currentPageNo=1
3.
장학점수인정
:
본 콜로퀴엄은 학과행사로 장학점수
(10
점
/1
회
)
가 인정되오니 반드시 슈패스
(SSU-PATH)
시스템에서 신청 후 행사 당일 출석체크를 꼭 하시기 바랍니다
.
4.
프로그램 만족도 조사 참여 필수
:
프로그램 시작과 동시에 만족도 조사 가능하니 반드시 입력 바랍니다
.
만족도 조사방법
:
로그인
->
비교과 프로그램 나의신청 내역 페이지
->
종료된 프로그램 조회
->
설문참여 만족도 조사 탭 클릭
5.
학과에서는 콜로퀴엄이 실시된 그 주 금요일 오전
10
시에 슈패스
(SSU-PATH)
시스템에서 이수처리합니다
.
그 이후 어떠한 경우도 만족도조사 또는 이수처리를 추가하지 않습니다
.
반드시 만족도조사는 행사일에 가급적 해주시고 못했을경우 마감시간전 완료해주시기 바랍니다
.
※
장학점수 유무 확인은 추후 학과홈페이지 공지사항에 안내되고 확인기간을 드리오니 그때 확인하시기 바랍니다
.
6.
문의사항
:
신소재공학과사무실
02-820-0620"
materials,★필독★ 2026-1학기 백마성적우수장학생 선발 학과 기준 안내,,2025-09-11,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51&mode=VIEW&num=406&category=&findType=&findWord=&sort1=&sort2=&it_id=&shop_flag=&mobile_flag=&page=1,"2026학년도 1학기 장학점수를 안내드립니다. (학교 성적기준 3.8)
* 참고: 2025-2학기 학과 기준
<학과자격 요건>
1.
진로지도상담 1학년은 필수
, 2-4
학년 상담실시시 점수 부여
10
점
(변경)
2. 학과 장학점수 합계 40점부터 수혜 가능
(*1학년은 30점 이상부터 수혜가능)
- 2년 이내 공인외국어 성적 제출시 장학점수 10점
- 학과 콜로퀴엄 1회 참석마다 10점
- 학과에서 인
정하는 학과행사(총MT, 체육대회,
OT,
산업시찰
등) 1회 참석마다 10점
※ 장학점수 기준은 2026-1학기에 한함(다음학기에 변경될수 있음)
3. 전공이수학점
-1학년 6학점 이상 / 2~4학년 9학점 이상
(
전공기초도 전공과목 포함
/ 융합필수
및 융합선택 과목 인정 / 타학과인정교과목은 3학점만 인정)
4. 문의: 학과사무실(☏ 02-820-0620)/ materials@ssu.ac.kr
<기타 안내>
1) 2025-2학기에 장학점수 인정되는 학과 행사: 산업시찰, 콜로퀴엄(신소재 3회, 친환경화학소재 3회), 그 외 행사진행시 추가 안내 예정
2) 12.26(금)까지 학과사무실로 제출된 공인외국어성적은 종류, 성적 상관없이 2년 이내 성적(이전 인정받은 성적표는 중복제출 불가)
※ 기 제출하여 인정받은 성적결과는 중복인정 불가, 한 학기 1개의 성적만 인정됨(종류별로 낸다고 해서 다 인정되지 않음)"
