department,title,author,date,link,content
chinese_language,2025학년도 제8회 중국어연설문 발표대회,N/A,2025-10-16,https://chilan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=2458,
chinese_language,2025학년도 제16회 중국어번역경진대회,N/A,2025-10-16,https://chilan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=2455,
chinese_language,[중요] 2026-2월 중어중문학과 졸업요건 제출 기한 안내,N/A,2025-09-09,https://chilan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=2448,"1. 대 상:
7
학기 이상 재학생
(8학기 이상 재학생 및 수료생 중 졸업계획서 미제출자 포함)
2. 중어중문학과 졸업 요건 (아래의 두 졸업요건 해당 사항 확인 요망, 두 졸업요건 중 선택 가능)
2.1. (구) 졸업요건 (2021학번 이전)
1) (필수) 한자능력검정시험 2급 이상(* 국가 공인: 시험 주최기관 상관없음)
2) (선택) 외국어 성적 또는 논문
가. 외국어 성적 (택 1)
내국인
외국인
유효기간
➀
HSK 6
급
➁
TOEIC 750
점 이상
➂
IBT 66
점 이상
➃
관광통역안내사 자격증
<
중어권
>
➀
TOEIC 750
점 이상
➁
IBT 66
점이상
➂
관광통역안내사 자격증
<
영어권
>
➀
新
HSK 5
급
210
점 이상
➁
관광통역안내사 자격증
*
중어권과 영어권을 제외한
외국인학생은 내국인과 동일
논문대체 외국어성적표 및 모든 자격증은
시험일로부터
2
년 이내 유효
나. 논문
– 논문계획서 제출 시 필수 항목: 지도교수 위촉, 논문 제목, 참고 문헌
– 본문 20,000字 내외 및 참고목록 20권 이상의 논문 규격을 갖춘 논문 제출
– 졸업 학기(1학기-6월 중순, 2학기-12월 중순)까지 논문 작성 및 심사 완료 되어야 함
2.2. 신규 졸업요건 (2021학번부터 적용)
내국인
외국인
필수
: HSK 5
급
필수
: HSK 5
급
(
단
,
중국어를 모국어로 하는 자는
한자능력검정시험
2
급 이상으로 대체
)
선택 1
➀ 한자능력검정시험 2급 이상
➁ TOEIC 750점 이상
➂ 관광통역안내사 자격증
➃ 졸업논문
(본문 20,000자 내외,
참고목록 20권 이상)
선택 1
➀ 한자능력검정시험 2급 이상
➁ TOEIC 750점 이상
➂ 관광통역안내사 자격증
➃ TOPIK 한국어능력시험 5급 이상
⑤ 졸업논문
(본문 20,000자 내외,
참고목록 20권 이상)
비고: 논문을 대체한  모든 외국어성적표 및 자격증은 시험일로부터 2년 이내 유효
토익 750점 이상과 동일 수준의 시험 성적을 인정
(TOEFL 66점 이상, TEPS 650점 이상, OPIc IM3 이상, TOEIC-Speaking 140점 이상)
3. 졸업(논문)계획서 제출기간:
~ 2025. 11. 07. (금
) 17:00
까지
4. 제출방법: 졸업(논문)계획서를 작성하여 학과사무실 방문 또는 이메일(chilan@ssu.ac.kr) 제출
※ (기 제출자)논문계획서 변경 신청기간 :
~ 2025. 11. 07. (금
) 17:00
까지
<
졸업요건 제출
–
한자
2
급
, HSK 5
급
,
논문 또는 대체성적
(
외국어
)>
대 상:
2026
년 2
월 졸업희망자
제출기간:
~ 2025.12. 12. (금
) 17:00
까지 (※ 대체성적(외국어)을 제출하지 못할 경우에는 논문을 제출하셔야 합니다. 그러지 않을 경우 졸업 불가합니다.)
제출방법 : 학과사무실 방문 또는 이메일(
chilan@ssu.ac.kr
) 제출
제출서류
가. 한자자격증 사본
나. 외국어성적표 사본 (* 유효기간 이내)
<
졸업요건 제출
–
논문
>
대 상:
2026
년 2
월 졸업희망자
제출기한:
~2026. 12. 05. (금
) 17:00
까지
제출방법 : 학과사무실 방문 또는 이메일(
chilan@ssu.ac.kr
) 제출
제출서류
가. 논문
– 본문 20,000字 내외, 참고목록 20권 이상의 논문 규격을 갖추고 지도교수의 지도를 받은 논문(완본) 제출
※ 문 의 : 학과사무실(조만식기념관 644호) 02-820-0390,
chilan@ssu.ac.kr
업무시간 9:00 ~ 17:30"
chinese_language,[공지] 2025학년도 2학기 학과근로 장학생 선발 안내,N/A,2025-07-29,https://chilan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=2435,"2025학년도 2학기 학과근로장학생을 다음과 같이 모집하니 많은 지원 바랍니다.
중어중문학과는 학과 배정인원 <학과 근로 A  3명>을 모집합니다.
근로장학생 자격 및 선발기준
가. 2025학년도 2학기 국가장학금을
1
차
신청하고 소득분위가
9
분위 이내인 자
※ 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인 유학생은 선발 불가)
나. 2025학년도 2학기 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
1) 2025학년도 2학기 전 등록휴학 후 복학시 선발 불가(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동시 모든 장학금 취소
3) 2025학년도 2학기 기준
이수학기가
2~7
학기만 가능
※
마지막 학기 재학생은 선발 불가
다. 직전학기 취득학점 및 학업성적 제한 없음
라. 타 장학금과 중복수혜 가능(근로장학금 간 중복 불가)
※ 본 장학금은 학업장려비 지원 목적으로 등록금(입학금 및 수업료)를 초과하여 지급
마. 국가근로장학생 및 교내근로장학생에 선발되지 않은 자
※
국가근로 및 교내근로 선발자가 포기 후 학과근로 선발될 수 없음
근로장학생 종류별 장학금액 및 근로시간
장학금명
시간당 장학금
총 근로시간 (학기)
1인당 장학금액(원)
학과근로A
10,030원
10시간*20주=200시간
2,006,000
※ 장학금은 매월 지급하며, 실 지급액은 근로시간에 따라 달라질 수 있음
※ 주 기준은 학기당 받을 수 있는 장학금액 산정을 위한 것이며, 총 시간 내에서 8월까지
근로할 수 있음
※ 장학금 지급일: 매월 셋째주 금요일 예정(Ex. 9월분 근로장학금 지급일: 10월 셋째주 금요일)
유의 사항
가. 선발된 학생은 소속부서에서 지정된 근로시간 동안 근무해야 하며, 학기 중 학적변동
(휴학, 자퇴, 제적 등) 등 불가피한 사유가 인정되는 중도 포기 시 근로 시간 만큼 지급
나. 2026년 1월 근로평가 전까지 교체 가능(단, 교체 전 학생의 근로 시간을 차감)
다.
국가근로 및 교내근로로 선발 시 학과근로 선발에서 제외됨
(선발 우선순위: 1. 국가근로, 2. 교내근로, 3. 학과근로)
–
신청절차
가. 학생신청방법: u-SAINT포털 → 등록/장학 → 장학메뉴 ‘근로장학금’→학과근로A 신청 → 지원서 출력 → 지원서 제출
※
u-SAINT
출력본 제출 필수
나. 온라인접수 및 서류제출기간:
2025
년
8
월
4
일
(
월
) 10:00 ~ 8
월
8
일
(
금
) 17:00
※
제출 일시 이후 제출본은 불인정하니 유의
1) 제출서류: 지원서(u-SAINT출력본)
2) 제출장소: 각 학과사무실
–
선발결과 발표
:
2025년 8월 25일(월) 18:00 이후 본교 홈페이지 공지사항 공지 예정
문의
: 중어중문
학과 사무실 (02-820-0390)"
chinese_language,[장학] 2025학년도 2학기 백마성적우수장학생 선발 안내,N/A,2025-07-09,https://chilan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=2432,"1. 자격요건
가. 2025학년도 2학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 1차 신청자에 한하여 등록금고지서 사전감면
2) 1차 미신청자 : 2차 신청/서류제출 확인 후 지급
(2차 신청자도 선발 및 사후지급가능하므로 학과에서는 현재 미신청자도 선발 요망)
3) 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인유학생은 선발 불가)
나. 2025학년도 2학기 재학 및 복학 예정자로 해당학기 등록금 납부 예정인 자
1) 2025학년도 2학기 前 등록휴학 후 복학시 선발대상에서 제외(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동시 모든 장학금 취소
3) 선발 후, 학기 중 휴학 시 백마성적우수장학금은 복학학기로 이월
※ 추가 또는 교체선발 시 재학 중인 학생만 선발 (휴학생에 대한 추가/교체 불가)
다.
직전학기 15학점 이상 이수
한 자 (졸업 직전학기는 직전학기 12학점 이상)
라. 정규등록학기가 8학기 이내인 자(건축학과 건축학전공: 정규등록 10학기 이내인 자)
마.
F학점 포함 학적부성적 기준 직전학기 3.8 이상
인 자
바. 모든 교내장학금간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금 자동선발
2) 중복수혜 가능 장학금: 국가장학금, 교외장학금, 학과우수장학금, 기타 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)하므로 유의
2. 2025-2학기 중어중문학과 선발 예정 인원
총 14명
(전원 쿼터로 지급)
3. 2025-2학기 중어중문학과 백마성적우수장학금 선발 기준
가. 석차순
나. 1차 국가장학금 신청하여 소득분위 조회 가능한 자(단, 1차 미신청자 중 2차 신청기간에 신청하겠다고 한 사람 포함)
다. 중어중문학과
전공 과목 2개 이상 수강
한 자
라. 다음 학기
중어중문학과 등록
하는 자 (다음 학기 전과 인원 제외)
※ 백마 장학생 선발 시 학과 내규에 따라 순위 산정 및 장학생 선발에서 배제될 수 있음을 알려드립니다.(2025년 07월 09일)
숭실대학교 중어중문학과 (Tel. 02-820-0390)"
chinese_language,[공지] 25-1학기 숭실대-제남대 교류 실습과목 출석 및 수료 공지,N/A,2025-06-25,https://chilan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=2428,"안녕하세요. 중문과 사무실입니다.
이번 학기 제남대 출석 확인 표 공지드립니다.
고급중국어 1,2를 수강하신 학생분들께서는 졸업논문 대체성적으로 인정해드리니 참고 바랍니다.
이번 학기에 열심히 수강해주신 학생 여러분들께 감사를 전합니다. 고생하셨습니다.
[수료자 명단]
고급 중국어 1 : 완번영(22), 잔티튀응아(21), 윤성빈(19), 요네쿠보 유나(22), 팜티루이(21), 판투타오(21), 임재빈(21), 짠티반안(21)
고급 중국어 2 : 부이푸엉호아(21), 레티홍응앗(23), 응옌레하이짱(21), 도티튀린(22), 레피이엔(22), 짠티푸엉안(22), 남보라(25), 레티타오늉(21), 박정훈(22), 서승은(20)
MZ세대 중국인 : 최인영(25), 조은서(25), 구주은(23), 이진아(AI융합, 23)
HSK 중급 : 쩐레쭉안(23), 유이랑(25), 칼홍찐(23), 팜튀히엔(23)
여행중국어 : 이슬아(25), 이예원(25), 짠티투하(22)
학과 사무실 드림."
chinese_language,[중요] 2025-8월 중어중문학과 졸업요건 제출 기한 안내,N/A,2025-03-27,https://chilan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=2395,"1. 대 상:
7
학기 이상 재학생
(8학기 이상 재학생 및 수료생 중 졸업계획서 미제출자 포함)
2. 중어중문학과 졸업 요건 (아래의 두 졸업요건 해당 사항 확인 요망, 두 졸업요건 중 선택 가능)
2.1. (구) 졸업요건 (2021학번 이전)
1) (필수) 한자능력검정시험 2급 이상(* 국가 공인: 시험 주최기관 상관없음)
2) (선택) 외국어 성적 또는 논문
가. 외국어 성적 (택 1)
내국인
외국인
유효기간
➀
HSK 6
급
➁
TOEIC 750
점 이상
➂
IBT 66
점 이상
➃
관광통역안내사 자격증
<
중어권
>
➀
TOEIC 750
점 이상
➁
IBT 66
점이상
➂
관광통역안내사 자격증
<
영어권
>
➀
新
HSK 5
급
210
점 이상
➁
관광통역안내사 자격증
*
중어권과 영어권을 제외한
외국인학생은 내국인과 동일
논문대체 외국어성적표 및 모든 자격증은
시험일로부터
2
년 이내 유효
나. 논문
– 논문계획서 제출 시 필수 항목: 지도교수 위촉, 논문 제목, 참고 문헌
– 본문 20,000字 내외 및 참고목록 20권 이상의 논문 규격을 갖춘 논문 제출
– 졸업 학기(1학기-6월 중순, 2학기-12월 중순)까지 논문 작성 및 심사 완료 되어야 함
2.2. 신규 졸업요건 (2021학번부터 적용)
내국인
외국인
필수
: HSK 5
급
필수
: HSK 5
급
(
단
,
중국어를 모국어로 하는 자는
한자능력검정시험
2
급 이상으로 대체
)
선택 1
➀ 한자능력검정시험 2급 이상➁ TOEIC 750점 이상
➂ 관광통역안내사 자격증
➃ 졸업논문
(본문 20,000자 내외,
참고목록 20권 이상)
선택 1
➀ 한자능력검정시험 2급 이상➁ TOEIC 750점 이상
➂ 관광통역안내사 자격증
➃ TOPIK 한국어능력시험 5급 이상
⑤
졸업논문
(본문 20,000자 내외,
참고목록 20권 이상)
비고: 논문을 대체한  모든 외국어성적표 및 자격증은 시험일로부터 2년 이내 유효
토익 750점 이상과 동일 수준의 시험 성적을 인정
(TOEFL 66점 이상, TEPS 650점 이상, OPIc IM3 이상, TOEIC-Speaking 140점 이상)
3. 졸업(논문)계획서 제출기간:
~ 2025. 05. 09. (금
) 17:00
까지
4. 제출방법: 졸업(논문)계획서를 작성하여 학과사무실 방문 또는 이메일(chilan@ssu.ac.kr) 제출
※ (기 제출자)논문계획서 변경 신청기간 :
~ 2025. 05. 09. (금
) 17:00
까지
<
졸업요건 제출
–
한자
2
급
, HSK 5
급
,
논문 또는 대체성적
(
외국어
)>
대 상:
2025
년 8
월 졸업희망자
제출기간:
~ 2025.06. 13. (금
) 17:00
까지 (※ 대체성적(외국어)을 제출하지 못할 경우에는 논문을 제출하셔야 합니다. 그러지 않을 경우 졸업 불가합니다.)
제출방법 : 학과사무실 방문 또는 이메일(
chilan@ssu.ac.kr
) 제출
제출서류
가. 한자자격증 사본
나. 외국어성적표 사본 (* 유효기간 이내)
<
졸업요건 제출
–
논문
>
대 상:
2025
년 8
월 졸업희망자
제출기한:
~2025. 06. 06. (금
) 17:00
까지
제출방법 : 학과사무실 방문 또는 이메일(
chilan@ssu.ac.kr
) 제출
제출서류
가. 논문
– 본문 20,000字 내외, 참고목록 20권 이상의 논문 규격을 갖추고 지도교수의 지도를 받은 논문(완본) 제출
※ 문 의 : 학과사무실(조만식기념관 644호) 02-820-0390,
chilan@ssu.ac.kr
업무시간 9:00 ~ 17:30"
chinese_language,2025년 3월 27일 채용 및 대외활동 정보,N/A,2025-03-27,https://chilan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=2393,"🔥정부지원 온라인 자격증 강의 300개+
😎대학/취준생,직장인 누구나!
https://mobile.jobgo.ne.kr/main
💡 ESG 전문가 양성 교육생 모집!(무료)
👉 인턴십·정규직 연계까지
https://linkareer.com/activity/230429
■ 금주 채용 정보📣
[CJ올리브네트웍스] 2025 상반기 신입사원 모집(~4/3 18:00)
https://vo.la/pDCMAo
■ 금주 교육 정보📣
[그로스쿨] 패스트트랙 9기(~4/5)
https://vo.la/ZXJfhh
[한국경영인증원] ESG 경영관리 전문인력 양성 및 취업연계 프로그램(~4/13)
https://vo.la/HHNWZO
[현대이지웰+멀티캠퍼스] Java 풀스택 개발자 아카데미 모집
https://vo.la/KGWFJw
[이스트소프트] 프론트엔드 개발 오르미 6기 모집(~4/8)
https://vo.la/MDGAMy
[한컴아카데미] NVIDIA AI ACADEMY 6기
https://vo.la/lBHouT
■ 금주 대외활동 정보📣
[경기도공익활동지원센터] 공익해봄 프로젝트 1기 참여자 모집(~4/18)
https://vo.la/CETicV
[한국핀테크지원센터] 13기 대학생 기자단 핀플루언서 (~3/31)
https://vo.la/qVmWgT
[LG생활건강X환경재단] 내추럴뷰티크리에이터 7기 모집(~4/20)
https://vo.la/sXHhqO
■ 금주 공모전 정보📣
[CJ제일제당] Future Marketer League (~4/10)
https://vo.la/DbmrDc
2025 국제퀀트모의투자 대회 (~5/14)
https://vo.la/dzHCKl
[하이트진로] 제5회 진로 두꺼비 스타일링 콘테스트(~4/10)
https://vo.la/JvIizJ
[한국산업안전보건공단] 제12회 산업안전보건 조사자료 논문경진대회 (~6/1)
https://vo.la/yZdWLs
■ 금주 기타 정보📣
[Adobe] 공모전 수상자의 어도비 노하우 대공개! 찐 대학생들이 알려 주는 Creative Cloud 활용법
https://vo.la/DmUeAv
2025 경기청년 사다리 프로그램
https://vo.la/dOEoWN"
chinese_language,2025-1학기 중어중문학과 중국해외문화탐방 신청,N/A,2025-03-10,https://chilan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=2382,"안녕하세요.
중어중문학과 사무실입니다.
25-1학기 중문과 중국 답사 인원을 신청 받고 있습니다.
답사 기간 : 2025 / 05 / 08 (목) ~ 2025 / 05 / 11 (일), 3박 4일
신청 폼 :
https://forms.gle/1FfTNPX652Qpkrxz8
신청 기간 : 2025 / 03 / 10 (월) ~ 2025 / 03 / 18 (화)
선정 인원 : 20명 (4명씩 5개조)
비용 : 학과 지원 1천만 원, 개인 부담금 60만원 (답사 간 개인 경비 추가 발생 예정)
인원 초과 시, 학과 내부 기준에 따라 선정 예정입니다.
기타 문의사항은 02)820-0390 (중어중문학과 학과사무실)로 문의 바랍니다."
chinese_language,2025년 2월 26일 채용 및 대외활동 정보,N/A,2025-03-05,https://chilan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=2380,"기업/기관 실무 담당자와 매칭되는
서울 청년 기획봉사단 2기 모집
https://vo.la/qguzyN
■ 금주 교육 정보
[그로스쿨] CCFM 채용패키지 2기 (~03/16)
https://abit.ly/js1zwb
[현대이지웰+멀티캠퍼스] Java 풀스택 개발자 아카데미 모집 (~3/23)
https://vo.la/abFJph
■ 금주 대외활동 정보
[애경 서포터즈] 2025 AK Lover 프리미어 뷰티/라이프 클럽 모집(~3/5)
https://vo.la/dOjqyr
[아모레퍼시픽] 비레디 서포터즈 B.READY SUPPORTERS 4기 모집 (~3/5)
https://vo.la/XFzDqO
[LG에너지솔루션] 배터리더스 4기(~3/16)
https://vo.la/ItENID
[서울주택도시공사] 제14기 서울홈즈 블로그 기자단 모집(~3/10)
https://vo.la/xoMkHX
[현대차정몽구재단] 대학생 기자단 3기 모집(~3/12)
https://vo.la/AezEyn
[인천광역시] 최대 350만원 지원, 인천시 청년도전지원사업 참여자 모집
https://vo.la/PnbsCN
[와이피랩스] 커넥팅 서포터즈 팅구단 2기 모집(~02/26)
https://vo.la/hPyIRr
[서울시자원봉사센터] 서울 청년 기획봉사단 2기 모집(~3/19)
https://vo.la/inLiwP
[제주특별자치도/국제평화재단] 제20회 제주포럼 청년 사무국 6기(~3/7)
https://vo.la/yHAeqh
[EBS] EBS 화상튜터링 대학생 멘토 모집(~3/9)
https://vo.la/fFMDAy
■ 금주 공모전 정보
[KOICA/코웍스] 2025 리턴프로그램(창업지원프로그램) 모집(~3/4)
https://vo.la/qHmTJE
[한화에어로스페이스&한화시스템] 2025 Space Challenger 우주동아리 지원 공모전(~3/10)
https://vo.la/wgnGtj
[한국공예·디자인문화진흥원] 2025 한복디자인 프로젝트 공모전 (~3/14)
https://vo.la/YGJNGy
[남원시청] 제95회 춘향제 홍보 콘텐츠&아이디어 공모전 (~2/28)
https://vo.la/VBBzir
■ 금주 기타 정보
대기업 합격 선배들의 선택! 취업의 시작은 OPIc!
https://vo.la/MXjmCp"
