department,title,author,date,link,content
german_language,[공지] 원어연극부 「die Bühne」 2026학년도 연출 모집,N/A,2025-11-04,https://gerlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=38758,"독어독문학과 원어연극부 「die Bühne」의 2026학년도 연출을 모집합니다.
대상: 독어독문학과 재학생 및 휴학생
기간: 11/4 화요일 ~ 11/14 금요일
면접일자: 추후안내예정
제출서류: 지원서, 기획안 (첨부파일 확인)
– 지원서는 첨부파일 양식 이용
– 기획안은 참고용으로 작가 및 작품 소개, 연출 의도 위주로 자유롭게 작성 (ppt 이용)
지원을 희망하는 학생은 기간 내에 독어독문학과 메일(gerlan@ssu.ac.kr)로 지원서 및 기획안을 제출해주시기 바랍니다.
서류 검토 후 면접대상자에게 별도로 연락 드리겠습니다."
german_language,[공지] 2025-2학기 졸업논문 및 졸업심사자료 제출 안내,N/A,2025-09-10,https://gerlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=38748,"1. 제출기한 : 2025년 12월 5일 (금) 17:00
2. 제출장소 : 독어독문학과 사무실(조만식기념관 642호) 또는 독어독문학과 이메일 gerlan@ssu.ac.kr
3. 대상자: 졸업논문계획서를 제출한 졸업예정자 (아래 참고)
가) 8학기 및 127학점 이상 취득 예상 재학생 혹은 수료생인 졸업예정자
나) 6~7학기 재학 중인 조기졸업 승인된 졸업예정자
다) 7학기 이수중인 학·석사 연계과정 승인된 졸업예정자
4. 논문양식
– 분량 : A4 20장 이상
– 글자크기 : 11
– 행간 : 180
– 폭, 여백은 편집하지 말 것
–
페이지 쪽수, 출처 반드시 기재할 것
–
파일명: 졸업심사자료_이름(학번)_논문/ZD  –  ex: 졸업심사자료_윤ㅇㅇ(20250000)_논문
5. 어학자격증 대체자 또한 기간 내 제출해야 함
6. 관련 문의는 독어독문학과 사무실로 해주시기 바랍니다.(02-820-0350)"
german_language,[공지] 2025-2학기 졸업논문계획서 제출 안내 (ZD 대체자도 필독),N/A,2025-09-10,https://gerlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=38745,"1. 제출기한 : 2025년 10월 10일(금) 17:00
2. 제출장소 : 독어독문학과 사무실(조만식기념관 642호) 또는 독어독문학과 이메일 gerlan@ssu.ac.kr
3. 대상자: 다음과 같은 졸업을 희망하는 학생
– 7학기 이상 이수중인 재학생
(*7학기 재학생은 제출 가능 대상으로, 제출 의무대상은 아님 (조기졸업 원하는 경우에는 반드시 제출))
– 수료생 전체
– *이전 학기에 제출한 학생은 제출할 필요 없음
– 내규에 따라서
24학번부터
졸업사정표
에
단일전공자는 전공(선택, 필수) 84학점
,
복수전공자는 전공(선택, 필수) 48학점을
수강하여야 졸업심사가 가능함
4. 작성방법
– ‘담당교수’란 기입하지 말 것
– ZD 대체자도 논문계획서를 작성해야 함  (예시 : ZD B1 대체)
–> ZD 제출 예정자: 제목/내용에 ‘ZD B1 대체’ 라고만 기입해주시면 됩니다. (논문 관련 내용 기재 불필요)
– 양식은 첨부파일 확인
(파일명: 졸업논문계획서_이름(학번)_논문/번역/ZD  –  ex: 졸업논문계획서_윤ㅇㅇ(20250000)_논문)"
german_language,[공지]독어독문학과 졸업심사자료 변경 안내,N/A,2025-02-05,https://gerlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=38695,"2025-1학기부터 적용되는 졸업심사자료 변동에 대한 내용입니다.
-제4조(졸업논문계획서 및 졸업심사자료 제출)의  “문학작품 번역” 삭제
따라서, 25-1학기부터 적용되는 졸업심사자료는 졸업논문, 독일어 국제공인 어학증명서 2가지입니다.
공지사항 숙지 후 졸업논문계획서 제출 부탁드립니다.
궁금한 점은 학과 사무실로 문의해주세요. (조만식기념관 642호 / 02-820-0350 / gerlan@ssu.ac.kr)"
german_language,[공지] ★중요★ 전공과목 이수 관련 변경사항 안내 (수정),N/A,2023-12-15,https://gerlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=38228,"전공과목 이수 관련 변경사항을 안내합니다.
유세인트 시간표에는 변경 후 내용이 반영되어 있습니다.
공지사항 숙지 후 반드시 본인 학번에 맞게 수강신청 하시기 바랍니다.
궁금한 점은 학과 사무실로 문의해주세요.
(조만식기념관 642호 / 02-820-0350 / gerlan@ssu.ac.kr)
1. 변경사항
(1) 1학년 전공과목
이수구분
변경
– 2024학년도부터 학번 관계없이 모든 학생에게 적용됩니다.
– 2024학년도 이전에 수강한 1학년 전공과목은 ‘전공기초’ 학점으로 인정됩니다.
– 졸업요건 충족을 위하여 ‘전공기초’ 학점으로 인정받아야 하는 경우 이수구분변경을 신청하시기 바랍니다.
*학교 홈페이지 ‘교과과정의 이수’
– 학적변동 및 교과과정 변경이 된 경우에는 교양필수, 전공기초(계열기초), 전공필수, 복수전공필수, 부전공필수, 연계전공 필수 등은 입학년도 당시에 편성된 교과목을 반드시 이수하여야 하는 것은 아니며, 학적변동 및 교과과정 변경 후 이수하는 시점의 이수구분을 기준으로 지정된 학점 이상을 충족하여야 합니다.
(2)
전공이수학점
변경
–
학번 별로 상이하니
본 공지사항의 ‘3. 학번 별 전공과목 최소 이수학점’ 및 ‘입학년도 기준 이수구분별 학점 이수체계표’ 참고 바랍니다.
(입학년도 기준 이수구분별 학점 이수체계표:
ssu.ac.kr/학사/교육·교과과정/교과과정/교과과정의-이수
)
–
독어독문학과에는 전공이수학점과 관련하여
별도 내규(제3조)
가 있습니다. 반드시 확인하시고 졸업에 차질 없기 바랍니다. (24학번부터 변경)
*학교 홈페이지 ‘교과과정의 이수’
– 이수구분별 이수학점은 입학년도(학번)을 기준으로 합니다.
(3) 1학년 전공과목
복수/부전공선택 인정
(독문과 다전공 중인 타학과 학생 해당 사항)
– 1학년 전공과목들이 복수/부전공선택 학점으로 인정되지 않았으나,
2024학년도부터는 인정
됩니다.
– 2024학년도 이전에 수강한 경우 복수선택 학점으로 인정되지 않습니다.
– 복수/부전공필수 과목은 전 학번 모두 없습니다.
*관련 규정
(학칙시행세칙(학사과정))
제48조(이수학점)
③ 복수전공 학과(부)의 전공기초과목은 복수전공 이수학점으로 인정하지 않는다. 단, 전공기초과목 중 복수전공 필수과목인 경우는 예외로 한다.
-> 2024학년도부터 1학년 전공과목들의 이수구분이 전공기초에서 전공필수 및 전공선택으로 변경되어 인정 가능해졌습니다
.
2. 학번 별 전공과목 최소 이수학점
(※ 독어독문학과 내규를 반드시 확인 바랍니다.)
(1) 2023학년도 입학자까지
※ 졸업사정표에 다음과 같이 기재되어 있어야
졸업심사가 가능함
(부전공의 경우 단일전공자와 동일)
– 단일전공자(전공 최소 75학점 이수): 전공기초 15학점, 전공 60학점(전공선택)
– 복수전공자(전공 최소 57학점 이수): 전공기초 15학점, 전공 42학점(전공선택)
(2023학년도까지 전공기초 미수강한 경우 1학년 전공과목 수강 후 졸업 전 이수구분변경 신청 필요)
(2)
2024학년도 입학자부터
※ 졸업사정표에 다음과 같이 기재되어 있어야
졸업심사가 가능함
(부전공의 경우 단일전공자와 동일)
– 단일전공자(전공 최소 84학점 이수): 전공필수 12학점, 전공 84학점(전공필수+전공선택)
– 복수전공자(전공 최소 48학점 이수): 전공필수 12학점, 전공 48학점(전공필수+전공선택)
※ 즉, 24학번부터는 졸업사정표 전공 계산값에
단일전공자 84학점, 복수전공자 48학점 이상
기재 되어있어야 졸업심사 가능
(‘충족’ 판정되었어도 반드시 학과 내규에 따른 학점을 채워야 함)
3. 예시
–
22학번
이 ‘독일명작의이해’ 수강 후 ‘전공선택’으로 이수구분 변경
절대 불가
(‘전공기초’ 학점으로 인정받아야 졸업 가능)
– 단일전공
23학번
이 2024학년도에 1학년 전공과목 수강 시 전공기초로
‘이수구분변경’ 신청 필요
(2023학년도까지 수강한 내역은 ‘전공기초’로 자동 인정)
– 독문과 복수전공 중인 타학과 학생이 2024학년도에 ‘집중독일어1’ 수강 시
‘복수선택’ 학점으로 인정O"
german_language,2025년 제9회 교수협의회 장학생 선발결과,N/A,2025-10-29,https://gerlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=38756,"2025학년도 제9회 숭실대학교 교수협의회 장학생 수상자는 다음과 같습니다.
<진리상>
김*인(24학번)
<봉사상>
민*연(22학번)
수상을 축하드립니다!"
german_language,2025년 숭실대학교 교수협의회 장학생 선발 안내,N/A,2025-09-10,https://gerlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=38750,"2025년 숭실대학교 교수협의회 장학생 선발 안내
2025학년도 숭실대학교 교수협의회 장학생 선발을 다음과 같이 안내하오니 본교 학부 재학생(휴학생, 졸업유예 포함)의 많은 신청 바랍니다.
– 다 음 –
1. 수상내역
1) 학술영역 진리상: 전공영역과 관련하여 대외적으로 학교의 명예를 드높이거나, 대내적으로 전공과 관련한 학술활동에 적극적으로 참여한 자.
2) 봉사영역 봉사상: 봉사활동을 통하여 국가 및 지역 사회에 도움을 주고자 적극적으로 활동함으로써 학교의 명예를 드높인 자.
2. 선발인원
1) 진리상: 5명
2) 봉사상: 5명
3. 포상대상 및 포상내역
1) 포상대상: 본교 학부 재학생(휴학생, 졸업유예 포함)
2) 포상내역: 교수협의회에서 수여하는 장학증서와 포상금
(장학금 1인당 1,000,000원, 국가장학금과 중복 수혜가능)
4. 수상자 발표: 2025년 10월 14일(화) 예정
교수협의회 홈페이지 공지사항 (
https://prof.or.kr/)
5. 장학증서 수여식: 2025년 10월 17일(금) 예정 (개교기념일 수여식 행사)
6. 제출서류
1) 신청서(소정양식) 1부
2) 재학증명서 1부
3) 성적증명서 1부 (2025학년도 1학기 포함하여 재학기간 전체)
4) 추천서
– 자유양식, 추천인(교수 및 외부인사)이 직접 교협 메일로 추천서 송부
① 진리상: 소속학과(부) 전임교수 2인
② 봉사상: 소속학과(부) 전임교수 1인과 봉사관련 외부 인사 1인
5) 해당 영역 활동사항 및 사항별 증빙자료
6) 기타 심사에 도움이 되는 자료
7. 신청기간: 2025년 9월 22일(월)~10월 10일(금) 오후 5시
8. 접수 및 문의:
prof@ssu.ac.kr
(이메일로만 접수 받습니다.)
교수협의회 사무국 (02-820-0860)"
german_language,독어독문학과 신우회 관련 안내,N/A,2025-09-01,https://gerlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=38742,"안녕하세요, 학생 여러분!
새 학기가 시작되었네요. 여름방학은 잘 보내셨나요?
새로운 시작을 맞아 우리 학과 기독교 신우회 모임을 다시 시작하려고 합니다. 믿음에 관심 있는 분, 함께 교제하고 싶은 분, 신앙에 대해 궁금한 점이 있는 분 모두 환영합니다!
편안하고 따뜻한 분위기에서 함께 교제하고, 기도하며 서로에게 힘이 되어주는 모임이 되었으면 합니다. 관심 있는 분들은 아래 기간 내에 신청해주세요.
지도교수: 김대권 교수님
신청기간: 2025년 9월 1일(월) ~ 9월 15일(월)
신청메일:
saarkim@ssu.ac.kr
신우회 모임은 교목실과 협력하여 진행될 예정이며, 자세한 모임 일정과 장소는 신청자분들께 개별적으로 안내해 드릴게요. 여러분의 많은 관심과 참여 바랍니다!"
german_language,[공지]2025학년도 2학기 백마성적우수장학생 선발기준 안내,N/A,2025-07-09,https://gerlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=38738,"1. 자격요건
가.
2025학년도 2학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 국가장학금 1차 신청자에 한하여 등록금고지서 사전감면
2) 1차 미신청자: 2차 신청/서류제출 확인 후 지급
(2차 신청자 중 한국장학재단 구제신청 시 사후지급)
3) 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인유학생은 선발 불가)
나. 2025학년도 2학기 재학 및 복학 예정자로 해당 학기 등록금 납부 예정인 자
1) 2025학년도 2학기 前 등록휴학 후 복학 시 선발 대상에서 제외(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동 시 모든 장학금 취소
3) 선발 후, 학기 시작 준 또는 중도 휴학 시 백마성적우수장학금은 복학 학기로 이월
※ 추가 또는 교체 선발 시 재학 중인 학생만 선발 가능(휴학생에 대한 추가/교체 불가)
다. 직전 학기 15학점 이상 이수한 자(졸업 직전학기는 직전학기 12학점 이상)
라. 2025학년도 2학기가 정규등록학기 8학기 이내인 자(건축학부 건축학전공: 정규등록 10학기 이내인 자)
마. F학점 포함 학적부성적 기준 직전 학기
3.8 이상
인 자
바. 모든 교내장학금간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금으로 자동 선발
2) 중복수혜 가능 장학금: 국가장학금, 교외장학금, 학과우수장학금, 기타 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)하므로 유의
2. 2025학년도 2학기 독어독문학과 선발 세부기준 (근거: 독어독문학과 내규)
– 선발 인원: 전액 1명, 반액 1명, 25% 12명
– 백마성적우수장학생 기본 자격요건에 부합하는 학생
– 전체 평점평균 순으로 배정 (평점평균 동점시 평점계 순, 평점계도 동점시 산술평균 순)
– 학과 소속 학생을 대상으로 하는 장학금이므로 타학과로 전과가 정해진 학생은 선발대상에서 제외한다.
– 1학년의 경우에는 1학기에 독어독문학과 전공과목을 2과목 이상, 2학기에 독어독문학과 전공과목을 1과목 이상 수강해야 한다."
german_language,"[공지] ZD B1(25년 7, 8월 시험) 대비 현희교수님 특강 안내",N/A,2025-06-12,https://gerlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=38734,"2025년 7, 8월에 실시되는 ZD B1 시험 대비 현희 교수님 특강을 신청 받습니다.
1. 특강정보
– 수강대상: 2025년 7, 8월 시험 응시자
– 특강신청기한: ~6/18 (수) 17시
– 특강방식: Zoom 으로 수업 (Model Test 이용하여 쓰기, 말하기 위주로 진행)
– 특강일정: 첫 미팅 6/20 (금) 08시 (첫 미팅에서 추후 일정 정해질 예정)
2. 시험정보
– 시험일자:
7/30
8/5, 8/13
8/27
– 시험접수기간:
6/17~6/20
7/1~7/4
7/15~7/18
* 단체접수는 더 이상 제공되지 않으며, 자세한 사항은 주한독일문화원 홈페이지 참고 바랍니다.
3. 특강신청방법
학과 메일(gerlan@ssu.ac.kr)로 신청 (이름, 학번, 연락처 기재)
(추후에 학과 사무실에서 신청자 대상으로 연락 드리겠습니다.)"
