department,title,author,date,link,content
history,2025학년도 2학기 논문계획서 및 졸업논문 제출 안내,N/A,2025-09-03,https://history.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/?term_id&slug=2281,"2025학년도 2학기 논문계획서 및 졸업논문 제출에 관하여 다음과 같이 공지합니다.
1. 논문 계획서 제출
가. 대상: 7학기 이상 재학생 또는 수료생
나. 제출 기한 및 방법:
2025년 11월 7일(금) 17:30 까지
첨부파일의 양식을 받아서 작성 후 과 사무실로 직접 제출(조만식기념관 740호)
※ 취업 등의 사유가 있는 경우 학과사무실로 사전 연락 후 학과 이메일(history@ssu.
ac.kr
)로 제출 가능
※ 메일 제목에 학번, 이름, 논문 제목(졸업 논문 대체의 경우 번역 대체, 혹은 자격증 대체로 표기)을 표기. 미표기 시 다시 제출
2. 졸업논문 제출
가. 대상자: 7학기 이상 졸업예정자 (논문 제출 후에도 졸업유예 가능)
나. 제출 기한:
2025년 12월 3일(수) 17:30까지 (기한 엄수)
다. 제출방법: 사학과 사무실로 직접 제출
※ 직접 제출이 불가한 자는 학과사무실로 사전 연락 후 인쇄본을 우편으로 송부(학과 이메일로 제출 불가)
3. 졸업논문 작성 방법
가.
논문 주제 및 내용에 대해 해당 전공 교수님과 사전 협의 후, 논문 계획서 제출
나. 번역 대체는 학과 신청이 아닌, 해당 교수님(한문-김정열 교수님, 영문-양승조 교수님)께 학생 본인이 직접 신청 후, 논문 계획서 제출
다. 자격증 대체는
학과 홈페이지 내부규정 확인 후
, 논문 계획서에 해당 자격증 기재 후 제출(지도교수 생략 가능).
졸업 논문 제출 마감일 전까지 자격증 사본 제출은 필수
4. 유의사항
가. 위에 명시된 제출 기한과 방법을 엄수
나. 논문 주제에 대해서 반드시 해당 교수님과 사전 협의
다. 자격증 대체의 경우, 2년 이내에 취득한 자격증에 한 해 인정
문의: 사학과 사무실(02-820-0380)"
history,2025학년도 2학기 백마성적우수장학금 선발 안내,N/A,2025-07-10,https://history.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/?term_id&slug=1951,"1. 자격요건
가. 2025학년도 2학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 국가장학금 1차 신청자에 한하여 등록금고지서 사전감면
2) 1차 미신청자: 2차 신청/서류제출 확인 후 지급
(2차 신청자 중 한국장학재단 구제신청 시 사후지급)
3) 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인유학생은 선발 불가)
나. 2025학년도 2학기 재학 및 복학 예정자로 해당 학기 등록금 납부 예정인 자
1) 2025학년도 2학기 前 등록휴학 후 복학 시 선발 대상에서 제외(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동 시 모든 장학금 취소
3) 선발 후, 학기 시작 준 또는 중도 휴학 시 백마성적우수장학금은 복학 학기로 이월
※ 추가 또는 교체 선발 시 재학 중인 학생만 선발 가능(휴학생에 대한 추가/교체 불가)
다. 직전 학기 15학점 이상 이수한 자(졸업 직전학기는 직전학기 12학점 이상)
라. 2025학년도 2학기가 정규등록학기 8학기 이내인 자(건축학부 건축학전공: 정규등록 10학기 이내인 자)
마. F학점 포함 학적부성적 기준 직전 학기 3.8 이상인 자
바. 모든 교내장학금간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금으로 자동 선발
2) 중복수혜 가능 장학금: 국가장학금, 교외장학금, 학과우수장학금, 기타 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)하므로 유의
2. 사학과 선발 방식
가. 학과 전체 성적순을 기본으로 하여 전액 1명, 나머지 인원 반액으로 선발
(학과 선발 방식은 매 학기 변경될 수 있으며, 기본자격 미충족시 차등 학생에게 지급됨)
나. 사학과 내규에 의하여 장학금 지급 대상은 차학기 사학과 학생을 대상으로 함 (전과 시, 장학금 선발불가)
문의 사학과 사무실 02-820-0380"
history,2025학년도 1학기 논문계획서 및 졸업논문 제출 안내,N/A,2025-03-11,https://history.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/?term_id&slug=1938,"2025학년도 1학기 논문계획서 및 졸업논문 제출에 관하여 다음과 같이 공지합니다.
1. 논문 계획서 제출
가. 대상:
현재 7학기 이상 재학생 또는 수료생 전체
나. 제출 기한 및 방법:
2025년 5월 2일(금) 17:30 까지
첨부파일의 양식을 받아서
작성 후 과 사무실로 직접 제출(조만식기념관 740호)
※ 취업 등의 사유가 있는 경우
학과사무실로 사전 연락 후
학과 이메일(history@ssu.ac.kr)로 제출 가능
※ 메일 제목에 학번, 이름, 논문 제목(졸업 논문 대체의 경우 번역 대체, 혹은 자격증 대체로 표기)을 표기. 미표기 시 다시 제출
2. 졸업논문 제출
가. 대상자: 7학기 이상 졸업예정자(논문 제출 후에도 졸업유예 가능)
나. 제출 기한:
2025년 6월 4일(수) 17:30까지 (기한 엄수)
다. 제출방법:
사학과 사무실로 직접 제출
※ 직접 제출이 불가한 자는 학과사무실로 사전 연락 후 인쇄본을 우편으로 송부(학과 이메일로 제출 불가)
3. 졸업논문 작성 방법
가.
논문 주제 및 내용에 대해
해당 교수님과 사전 협의 후
, 논문 계획서 제출
나. 번역 대체는 학과 신청이 아닌, 해당 교수님(한문-김정열 교수님, 영문-양승조 교수님)께 학생 본인이 직접 신청 후, 논문 계획서 제출
다. 자격증 대체는 학과 홈페이지 내부규정 확인 후, 논문 계획서에 해당 자격증 기재 후 제출(지도교수 생략 가능). 졸업 논문 제출 마감일 전까지 자격증 사본 제출은 필수
4. 유의사항
가. 위에 명시된 제출 기한과 방법을 엄수
나. 논문 주제에 대해서 반드시 해당 교수님과 사전 협의
다. 자격증 대체의 경우, 2년 이내에 취득한 자격증에 한 해 인정
문의: 사학과 사무실(02-820-0380)"
history,2025학년도 1학기 백마성적우수장학생 선발 안내,N/A,2025-01-15,https://history.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/?term_id&slug=1935,"1. 자격요건
가.
2025학년도 1학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 국가장학금 1차 신청자에 한하여 등록금고지서 사전감면
2) 1차 미신청자: 2차 신청/서류제출 확인 후 지급
(2차 신청자 중 한국장학재단 구제신청 시 사후지급)
3) 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인유학생은 선발 불가)
나. 2025학년도 1학기 재학 및 복학 예정자로 해당 학기 등록금 납부 예정인 자
1) 2025학년도 1학기 前 등록휴학 후 복학 시 선발 대상에서 제외(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동 시 모든 장학금 취소
3) 선발 후, 학기 중 휴학 시 백마성적우수장학금은 복학 학기로 이월
※ 추가 또는 교체 선발 시 재학 중인 학생만 선발 가능(휴학생에 대한 추가/교체 불가)
다. 직전 학기 15학점 이상 이수한 자(졸업 직전학기는 직전학기 12학점 이상)
라. 2025-1학기가 정규등록학기 8학기 이내인 자(건축학과 건축학전공: 정규등록 10학기 이내인 자)
마.
F학점 포함 학적부성적 기준 직전 학기 3.8 이상인 자
바. 모든 교내장학금간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금으로 자동 선발
2) 중복수혜 가능 장학금: 국가장학금, 교외장학금, 학과우수장학금, 기타 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)
2. 사학과 선발 방식
가. 학과 전체 성적순을 기본으로 하여 전액 1명, 나머지 인원 반액으로 선발
(학과 선발 방식은 매 학기 변경될 수 있으며, 기본자격 미충족시 차등 학생에게 지급됨)
나. 사학과 내규에 의하여 장학금 지급 대상은 차학기 사학과 학생을 대상으로 함
(전과 시, 장학금 선발불가)
문의 사학과 사무실 02-820-0380"
history,2024학년도 2학기 논문계획서 및 졸업논문제출 안내,N/A,2024-09-06,https://history.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/?term_id&slug=1930,"2024학년도 2학기 논문계획서 및 졸업논문 제출에 관하여 다음과 같이 공지합니다.
1. 논문 계획서 제출
가. 대상: 현재 7학기 이상 재학생 또는 수료생 전체
나. 제출 기한 및 방법: 2024년 11월 01일(금) 17:00 까지 첨부파일의 양식을 받아서 작성 후 과 사무실로 직접 제출(조만식기념관 740호)
※ 취업 등의 사유가 있는 경우 학과사무실로 사전 연락 후 학과 이메일(history@ssu.ac.kr)로 제출 가능
※ 메일 제목에 학번, 이름, 논문 제목(졸업 논문 대체의 경우 번역 대체, 혹은 자격증 대체로 표기)을 표기. 미표기 시 다시 제출
2. 졸업논문 제출
가. 대상자: 7학기 이상 졸업예정자(논문 제출 후에도 졸업유예 가능)
나. 제출 기한: 2024년 12월 04일(수) 17:00까지 (기한 엄수)
다. 제출방법: 과 사무실로 오프라인 제출
※ 직접 제출이 불가한 자는 학과사무실로 사전 연락 후 인쇄본을 우편으로 송부(학과 이메일로 제출 불가)
3. 졸업논문 작성 방법
가. 논문 주제 및 내용에 대해 해당 교수님과 사전 협의 후, 논문 계획서 제출
나. 번역 대체는 학과 신청이 아닌, 해당 교수님(한문-김정열 교수님, 영문-양승조 교수님)께 학생 본인이 직접 신청 후, 논문 계획서 제출
다. 자격증 대체는 학과 홈페이지 내부규정 확인 후, 논문 계획서에 해당 자격증 기재 후 제출(지도교수 생략 가능). 졸업 논문 제출 마감일 전까지 자격증 사본 제출은 필수
4. 유의사항
가. 위에 명시된 제출 기한과 방법을 엄수
나. 논문 주제에 대해서 반드시 해당 교수님과 사전 협의
다. 자격증 대체의 경우, 2년 이내에 취득한 자격증에 한 해 인정
문의: 사학과 사무실(02-820-0380)"
history,2024학년도 2학기 학과근로장학생 선발 안내,N/A,2024-07-29,https://history.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/?term_id&slug=1927,"2024학년도 2학기 학과근로장학생을 다음과 같이 모집하니 많은 지원 바랍니다.
1. 근로장학생 자격 및 선발기준
가.
2024학년도 1학기 국가장학금을
1차
신청하고 소득분위가 8분위 이내인 자
※ 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인 유학생은 선발 불가)
나. 2024학년도 2학기 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
1) 2024학년도 2학기 전 등록휴학 후 복학시 선발 불가(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동시 모든 장학금 취소
3) 2024학년도 2학기 기준 이수학기가 2~8학기만 가능
다. 직전학기 취득학점 및 학업성적 제한 없음
라. 타 장학금과 중복수혜 가능(근로장학금 간 중복 불가)
※ 본 장학금은 학업장려비 지원 목적으로 등록금(수업료)을 초과하여 지급
마. 국가근로장학생 및 교내근로장학생에 선발되지 않은 자
※ 국가근로 및 교내근로 선발자가 포기 후 학과근로 선발될 수 없음
2. 근로장학생 종류별 장학금액 및 근로시간
– 학과근로A : 9,860원, 10시간*20주=200시간 1,972,000원
– 학과근로B: 9,860원 5시간*20주=100시간 986,000원
※ 장학금은 매월 지급하며, 실 지급액은 근로시간에 따라 달라질 수 있음
※ 주 기준은 학기당 받을 수 있는 장학금액 산정을 위한 것이며, 총 시간 내에서 8월까지 근로할 수 있음
※ 장학금 지급일: 익월 셋째 주 금요일
3. 유의 사항
가. 선발된 학생은 소속부서에서 지정된 근로시간 동안 근무해야 하며, 학기 중 학적변동(휴학, 자퇴, 제적 등) 등 불가피한 사유가 인정되는 중도 포기 시 근로 시간 만큼 지급
나. 2024년 12월 근로평가 전까지 교체 가능(단, 교체 전 학생의 근로시간을 차감)
다. 국가근로 및 교내근로로 선발 시 학과근로 선발에서 제외됨
(선발 우선순위: 1. 국가근로, 2. 교내근로, 3. 학과근로)
4. 신청절차
가. 학생신청방법: u-SAINT포털 → 등록/장학 → 장학메뉴 ‘근로장학금’→학과근로A/B신청 → 지원서 출력 → 지원서 제출 (
※ u-SAINT출력본 제출 필수
)
나.
온라인접수 및 서류제출기간: 2024년 8월 1일(목) 10:00 ~ 8월 9일(금) 17:00
1) 제출서류: 지원서(u-SAINT출력본, 본인 서명 필수)
2) 제출장소: 사학과 사무실(조만식기념관 740호)
5. 선발결과 발표
: 2024년 8월 23일(금) 18:00 이후 본교 홈페이지 공지사항 공지 예정
6. 문의: 사학과 사무실 02-820-0380"
history,2024학년도 2학기 백마성적우수장학금 안내,N/A,2024-07-15,https://history.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/?term_id&slug=1924,"1. 자격요건
가. 2024학년도 2학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 1차 신청자에 한하여 등록금고지서 사전감면 가능
2) 1차 미신청자: 2차 신청/서류제출 확인 후 지급
(2차 신청자 중 한국장학재단 구제신청 시 사후지급)
3) 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인 유학생은 선발 불가)
나. 2024학년도 2학기 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
1) 2024학년도 2학기 前 등록휴학 후 복학 시 선발대상에서 제외(등록대체자)
2) 학기 중 미등록, 자퇴, 제적, 입학취소, 복학 취소 등 학적변동시 모든 장학금 취소
3) 선발 후, 학기 중 휴학 시 백마성적우수장학금은 복학 학기로 이월
–
복학 학기에 국가장학금 신청 필수
4) 추가 또는 교체 선발 시에는 재학 중인 학생만 선발 가능(휴학생 추가/교체 불가)
다. 직전학기 15학점 이상 이수한 자(졸업 직전학기는 직전학기 12학점 이상)
라. 정규등록학기가 8학기 이내인 자(건축학과 건축학전공: 정규등록 10학기 이내인 자)
마. F학점 포함 학적부성적 기준 직전 학기
평점평균 3.8 이상
인 자
바. 모든 교내장학금간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금 선발
2) 중복수혜 가능 장학금: 국가장학금, 교외장학금, 학과우수장학금, 기타 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)
2. 사학과 선발 방식
가.
학과 전체 성적순
을 기본으로 하여
전액 1명, 나머지 인원 반액
으로 선발
(학과 선발 방식은 매 학기 변경될 수 있으며, 기본자격 미충족시 차등 학생에게 지급됨)
나. 사학과 내규에 의하여 장학금 지급 대상은
차학기 사학과 학생을 대상
으로 함
(전과 시, 장학금 선발불가)
문의 사학과 사무실 02-820-0380"
history,서울 숭실 세움 70주년 기념행사(포스터),N/A,2024-04-15,https://history.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/?term_id&slug=1918,
history,서울숭실세움 70주년 기념 행사 안내,N/A,2024-04-15,https://history.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/?term_id&slug=1910,
history,2024학년도 1학기 논문계획서 및 졸업논문 제출 안내,N/A,2024-03-06,https://history.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/?term_id&slug=1891,"2024학년도 1학기 논문계획서 및 졸업논문 제출에 관하여 다음과 같이 공지합니다.
1. 논문 계획서 제출
가. 대상: 현재 7학기 이상 재학생 또는 수료생 전체
나. 제출 기한 및 방법:
2024년 5월 3일(금) 17:00 까지
첨부파일의 양식을 받아서
작성 후 과 사무실로 직접 제출(조만식기념관 740호)
※ 취업 등의 사유가 있는 경우
학과사무실로 사전 연락 후
학과 이메일(history@ssu.ac.kr)로 제출 가능
※ 메일 제목에 학번, 이름, 논문 제목(졸업 논문 대체의 경우 번역 대체, 혹은 자격증 대체로 표기)을 표기. 미표기 시 다시 제출
2. 졸업논문 제출
가. 대상자: 7학기 이상 졸업예정자(논문 제출 후에도 졸업유예 가능)
나. 제출 기한:
2024년 6월 5일(수) 17:30까지 (기한 엄수)
다. 제출방법:
사학과 사무실로 직접 제출
※ 직접 제출이 불가한 자는 학과사무실로 사전 연락 후 인쇄본을 우편으로 송부(학과 이메일로 제출 불가)
3. 졸업논문 작성 방법
가.
논문 주제 및 내용에 대해 해당 교수님과 사전 협의 후, 논문 계획서 제출
나. 번역 대체는 학과 신청이 아닌, 해당 교수님(한문-김정열 교수님, 영문-양승조 교수님)께 학생 본인이 직접 신청 후, 논문 계획서 제출
다. 자격증 대체는 학과 홈페이지 내부규정 확인 후, 논문 계획서에 해당 자격증 기재 후 제출(지도교수 생략 가능). 졸업 논문 제출 마감일 전까지 자격증 사본 제출은 필수
4. 유의사항
가. 위에 명시된 제출 기한과 방법을 엄수
나. 논문 주제에 대해서 반드시 해당 교수님과 사전 협의
다. 자격증 대체의 경우, 2년 이내에 취득한 자격증에 한 해 인정
문의: 사학과 사무실(02-820-0380)"
