department,title,author,date,link,content
korean_language,2025-2학기 논문계획서 및 졸업논문 제출 일정 안내,N/A,2025-09-01,https://korlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=1774,"안녕하세요. 국어국문학과 사무실에서 2025학년도 2학기 논문계획서 및 졸업논문 제출에 관하여 다음과 같이 알려드립니다.
1.
논문계획서
(
논문제목
,
지도교수
)
입력 및 결과 제출
가. 대상자 :
1) 7학기 이상 이수중인 재학생 중 계획서를 제출하지 않은 자
2) 수료생 중 졸업을 희망하는 자
나. 기간: 2025년 10월 1일(수) 17:00까지
다. 제출방법: 첨부파일의 양식을 받아서 작성 후 오프라인 제출(학과 사무실 조만식기념관 641호)
※ 취업으로 인한 사유가 있는 경우 학과사무실로
반드시 사전 연락
후 이메일 제출 가능.
라. 유의사항
논문 계획서와 다르게 논문을 제출하실 분들은 논문계획서를 다시 제출하셔야 합니다.
2.
졸업논문 제출
가. 대상자 :
1) 8학기 이상 이수중인 졸업예정자
2) 6~7학기 이수중인 조기졸업 대상자
3) 수료생 중 졸업을 희망하는 자
나. 기간: 2025년 11월 28일(금) 17:00까지
다. 제출방법: 스프링 제본을 완료한 논문을 오프라인(학과 사무실 조만식641호)으로 제출
라. 분량: 표지와 목차를 제외한, 논문규격에 맞춘 A4 용지 30장 내외
마. 제출기한
2025년 11월 28일(금) 17:00 이전까지 스프링 제본을 완료한 논문을 제출해야하며 이후 논문 제출 절대 불가. 11월 28일(금) 17:00 이후 제출자에게는 다음 학기에 논문을 제출하도록 안내할 예정.
외국 거주중인 유학생, 조기취업 등으로 인하여 직접 제출이 불가한 자는
사전 연락 후
국어국문학과 이메일(korlan@ssu.ac.kr) 또는 우편으로 송부 가능.
단, 학과사무실에서 논문을 수령한 시간이 11월 28일(금) 17:00 이전이어야 함.
※ 학과 이메일로 발송하는 경우에도 11월 28일 17:00이전까지 송부하는 논문만 인정
참고 : 지도교수 란은 자신이 쓰고 싶은 논문 주제와 맞는 해당 분야 전공 교수님 성함을 써주시기 바랍니다.
국어학(형태론, 통사론) : 오충연 교수님
국어학(의미론, 화용론, 한국어교육) : 임채훈 교수님
국어학(음운론, 한국어교육): 김수영 교수님
고전문학 : 장경남 교수님
현대문학(소설) : 이경재 교수님
현대문학(시): 박동억 교수님
3.
유의사항
가. 위에 명시된 제출 기한을 꼭 지켜주시기 바라며, 이후에는 받지 않습니다.
나. 논문계획서는 자필, 워드 모두 가능하며 논문은 반드시 스프링 제본을 마친 완본을 제출하셔야 합니다.
다. 논문 작성 시 반드시 정해진 규격을 준수해야 합니다.
라. 타인의 연구 자료를 무단으로 도용하거나 인터넷 이곳저곳에 있는 자료를 임의로 짜깁기하는 행위는 절대로 있어서는 안 되는 매우 부끄럽고 파렴치한 행위이며 범죄입니다. 여러분은 국어국문학과 학부 교과과정을 4년 동안 훌륭하게 이수한 학생입니다. 전공자의 기품과 실력에 어울리는 정직한 논문을 써주시기 바랍니다. 특히 인용한 내용에 대해서는 각주 및 참고문헌을 정확히 기재해 주시기 바랍니다. 부정이 발견되면 졸업하지 못합니다.
마. 자격증 및 수상실적으로 논문을 대체하는 논문 제출 마감일 전까지 자격증 사본을 꼭 제출해 주시기 바랍니다.
바. 자격증 및 수상실적으로 논문을 대체하는 학생도 논문계획서는 기간 내에 꼭 제출해 주셔야 합니다.
사. 논문 대체를 위한 자격증 및 수상실적 범위는 학과 홈페이지의 내규를 참고해 주세요. 논문 제목이 바뀐 분들도 논문 계획서를 다시 제출하셔야 합니다.
※ 논문계획서양식 혹은 논문양식 워드(docx) 파일이 필요하신 경우, 학과사무실로 문의 부탁드립니다.(홈페이지 문제로 워드파일이 업로드되지 않음)"
korean_language,2025-2학기 제8회 백규 조규익 국어국문학 장학금 선발 안내,N/A,2025-08-18,https://korlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=1801,"국어국문학과 명예교수님이신 조규익 교수님께서 ‘백규 조규익 국어국문학 장학금’을 출연하셨습니다.
가정형편이 어려운 학생들의 짐을 조금이나마 덜어 주고자 하시는 조규익 교수님의 뜻에 따라 대상자를 선발하고자 하니,
아래의 사항에 맞추어 관련 서류를 학과사무실(조만식기념관 641호)로 제출해 주시기 바랍니다.
1. 장학금 명칭 : 백규 조규익 국어국문학 장학금(약칭 ‘백규 장학금’)
2. 대상
가. 국어국문학과 2025-2학기 학부 재학생(8학기 이내의 정규학기 재학생만 해당) 중 직전학기 평점평균 B0(3.3) 이상인 자
/ 국어국문학과 2025-2학기 대학원 재학생(4학기 이내의 정규학기 재학생만 해당)
나. 가정형편이 어려운 학생(본 장학금은 생활비지원 성격으로 지급될 예정으로, 국가장학금과 중복 수혜 가능)
다. 제출서류 : 세대주의 건강보험납부확인서(의료보험납부확인서) 1부.
– 납부확인서와 국가장학금 소득분위를 종합적으로 판단하여 학과에서 선발할 예정임.
– 제출서류는 선발절차 후 개인정보 보호를 위해 파기할 예정.
라. 선발인원 : 학부, 대학원 각 1명(단, 심사 회의에 따라 학부생 2명, 대학원 0명 선발 가능)
마. 지급금액 :  1인당 300만원
바. 본 장학금의 선발 횟수는 1회로 제한되며, 이번 학기 선발시 이후 신청하더라도 수여대상에서 제외됨.
3. 제출기한 : 2025.08.25(월) 17:00까지 조만식기념관 641호 국어국문학과 사무실로 직접 제출 (사무실 운영시간 10:00~17:00)
4. 장학금 선발자에게는 조규익 교수님께서 기념패를 함께 수여하실 예정이므로, 추후 예정된 수여행사에 반드시 참석하여야 합니다.
관련문의) 국어국문학과 사무실(02-820-0320)"
korean_language,2025학년도 2학기 학과근로장학생 모집 안내,N/A,2025-07-29,https://korlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=1797,"2025학년도 2학기 학과근로장학생을 다음과 같이 모집하니 많은 지원 바랍니다.
근로장학생 자격 및 선발기준
가. 2025학년도 2학기 국가장학금을
1
차
신청하고 소득분위가
9
분위 이내인 자
※ 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인 유학생은 선발 불가)
나. 2025학년도 2학기 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
1) 2025학년도 2학기 전 등록휴학 후 복학시 선발 불가(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동시 모든 장학금 취소
3) 2025학년도 2학기 기준
이수학기가
2~7
학기만 가능
(
건축학 전공은
9
학기까지
)
※
마지막학기 재학생은 선발 불가
다. 직전학기 취득학점 및 학업성적 제한 없음
라. 타 장학금과 중복수혜 가능(근로장학금 간 중복 불가)
※ 본 장학금은 학업장려비 지원 목적으로 등록금(입학금 및 수업료)를 초과하여 지급
마. 국가근로장학생 및 교내근로장학생에 선발되지 않은 자
※
국가근로 및 교내근로 선발자가 포기 후 학과근로 선발될 수 없음
근로장학생 종류별 장학금액 및 근로시간
장학금명
시간당 장학금
총 근로시간 (학기)
1인당 장학금액(원)
학과근로A
10,030원
10시간*20주=200시간
2,006,000
학과근로B
10,030원
5시간*20주=100시간
1,003,000
※ 장학금은 매월 지급하며, 실 지급액은 근로시간에 따라 달라질 수 있음
※ 주 기준은 학기당 받을 수 있는 장학금액 산정을 위한 것이며, 총 시간 내에서 2월까지
근로할 수 있음
※ 장학금 지급일: 매월 셋째주 금요일 예정(Ex. 9월분 근로장학금 지급일: 10월 셋째주 금요일)
유의 사항
가. 선발된 학생은 소속부서에서 지정된 근로시간 동안 근무해야 하며, 학기 중 학적변동
(휴학, 자퇴, 제적 등) 등 불가피한 사유가 인정되는 중도 포기 시 근로 시간 만큼 지급
나. 2026년 1월 근로평가 전까지 교체 가능(단, 교체 전 학생의 근로시간을 차감)
다.
국가근로 및 교내근로로 선발 시 학과근로 선발에서 제외됨
(선발 우선순위: 1. 국가근로, 2. 교내근로, 3. 학과근로)
–
신청절차
가. 학생신청방법: 온라인 접수 후 서류 출력하여 학과 사무실로  직접 제출
(u-SAINT포털 → 등록/장학 → ‘근로장학금 신청’→학과근로A/B신청 → 지원서 출력)
※
u-SAINT
출력본 제출 필수
나. 온라인접수 및 서류제출기간:
2025
년 8
월 4
일
(
월
) 10:00 ~ 8
월 8
일
(
금
) 17:00
※
제출 일시 이후 제출본은 불인정하니 유의
1) 제출서류: 지원서(u-SAINT출력본)
2) 제출장소: 각 학과사무실
–
선발결과 발표
:
2025년 8월 25일(월) 18:00 이후 숭실대학교 홈페이지 공지사항 공지 예정
문의
:
각 학과 사무실"
korean_language,백마성적우수장학생 선발 기준 안내(2025-2학기),N/A,2025-07-09,https://korlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=1792,"백마성적우수장학생 선발 기준을 공지드리오니 참고바랍니다.
A. 기본 자격요건(학교 전체 공통)
가. 2025학년도 2학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 1차 신청자에 한하여 등록금고지서 사전감면
2) 1차 미신청자 : 2차 신청/서류제출/구제신청 확인 후 사후지급
(2차 신청자 중 한국장학재단 구제신청기간에 구제신청 시 사후지급)
3) 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인유학생은 선발 불가)
나. 2025학년도 2학기 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
1) 2025학년도 2학기 前등록휴학 후 복학시 선발대상에서 제외 (등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동시 모든 장학금 취소
3) 선발 후, 학기 중 휴학 시 백마성적우수장학금은 복학학기로 이월
※ 복학 학기에 국가장학금 신청 의무
4) 추가 또는 교체선발 시 재학 중인 학생만 선발 가능 (휴학생에 대한 추가/교체 불가)
다. 직전학기 15학점 이상 이수한 자 (졸업 직전학기는 직전학기 12학점 이상)
라. 정규등록학기가 8학기 이내인 자 (건축학전공: 등록 10학기 이내인 자)
마. F학점 포함 학적부성적 기준 직전학기 3.8 이상인 자
바. 모든 교내장학금간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금 자동선발
2) 중복수혜 가능 장학금: 국가장학금, 교외장학금, 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)
B. 국어국문학과 내부 자격요건
가. 학년별 수석에게 전액 지급, 차석에게 반액 지급이 원칙이나, 장학금액 구성 요건에 따라 25%까지 조정될 수 있음.
나. 국어국문학과 전공 과목을 최소 2과목 이상 수강했어야 함.
다. 위 조건을 모두 충족하더라도 A의 조건을 충족하지 못할 시 선발 대상 제외.
c. 2025-2학기 선발 예정 인원(총 8인, ‘B-가’ 요건에 따라 장학금액 조정될 수 있음)
가. 수업료 100% 지급- 각 학년별(1~3) 수석 3인 선발
나. 수업료 25% 지급- 각 학년별(1~3) 차석 3인 선발
다. 수업료 50%지급- 4학년 수석 1인, 차석 1인 선발"
korean_language,2024-2학기 졸업논문 제출 기한 연장 안내,N/A,2024-11-28,https://korlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=1788,"안녕하세요, 국어국문학과 사무실에서 2024-2 졸업논문 제출 기한 연장에 관하여 안내드립니다.
기존 논문제출 마감일인 11월 29일 금요일에 2025 수시 면접고사 일정으로
조만식기념관 출입이 제한됨에 따라,  제출 기한을 12월 2일 월요일까지로 연장합니다.
변경 내용은 아래와 같습니다.
기존: 11월 29일 금요일 5:00까지 학과 사무실 오프라인 제출
변경: 12월 2일 월요일 5:00까지 학과 사무실 오프라인 제출
*부득이한 사정으로 인해 월요일에 오프라인 제출이 불가능한 경우,
학과 메일로 사유를 보내주시기 바랍니다. (korlan@ssu.ac.kr)"
korean_language,2025학년도 1학기 학·석사 연계과정 지원 및 선발 안내,N/A,2024-11-13,https://korlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=1777,"2025학년도 1학기 학·석사연계과정 지원 및 선발을 아래와 같이 안내합니다.
1. 지원기간 : 2024.12.02(월)~12.13(금)
2. 모집학과 : 학사과정과 석사과정에 동일(또는 유사)학과가 있는 학과(계약학과 제외)
3.지원자격 :
다음 각호 모두 해당되는 자
가. 지원일 당시 학사과정 4학기 이상 6학기 이내 재학 중(건축학부 건축학전공은 6학기 이상 8학기 이내 재학 중)인 자 (학·석사연계과정 신청자는 조기졸업 신청을 할 수 없음)
나. 재수강 이전 과목, 학점포기한 과목, F학점 과목 등을 포함한 전체 과목의 총평점평균이 3.0 / 4.5 이상인 자
다. 7학기 또는 8학기(건축학부 건축학 전공은 9학기 또는 10학기)에 학사과정의 졸업요건을 충족할 수 있는 자
라. 지원하고자 하는 일반대학원 학과 주임교수와 지도교수의 추천을 받은 자
마. 지원하고자 하는 일반대학원의 동일(또는 유사)학과를 주전공 또는 복수전공으로 하는자
4. 제출서류 및 지원방법
가. 학·석사연계과정 신청서 1부.
나. 대학원 교학팀으로 방문 접수(웨스트민스터홀 658호)
5. 선발인원 : 석사과정 입학정원의 20%
6. 발표일 : 2025.01.24(금) 예정 – 학과 및 개별통지
7. 관련안내
가. 대상 : 지원가능 대상자 및 학과
나. 방법 : 안내문 배포 및 대학원 홈페이지 공지
8. 문의처 : 대학원 교학팀(02-820.0258~9 , grad@ssu.ac.kr)"
korean_language,제10회 김현승시문학상 수상작 심사평,N/A,2024-07-05,https://korlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=1752,"제10회 김현승시문학상 수상작 심사평을 게시합니다.
다시 한 번 축하드립니다."
korean_language,2024학년도 교직과정 이수 신청기간 안내,N/A,2024-07-03,https://korlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=1746,"2024학년도 교직이수 신청기간을 다음과 같이 안내합니다.
1. 교직이수 신청기간: 2024.6.17.(월) 10:00 ~ 12.6.(금) 23:59
※ 2024-1학기 기준 2학년 2학기(4학기) 재학 중인 학생은
2024.8.31.(토) 23:59까지
u-SAINT를 통한 신청 및 적·인성 검사 응시를 완료하여야 함
2. 선발대상
가 .교직과정 설치학과(부) 소속
2학년(3학기 혹은 4학기) 재학생
’24-1학기 기준 학적
’24-2학기 기준 학적
신청가능 여부
2학년 1학기(3학기) 재학
2학년 1학기(3학기) 재학
신청
가능
2학년 1학기(3학기) 이수 후 휴학
2학년 1학기(3학기) 이수 후 휴학
2학년 2학기(4학기) 재학
2학년 2학기(4학기) 재학
2학년 2학기(4학기) 이수 후 휴학
2학년 2학기(4학기) 이수 후 휴학
신청
불가
※ 재입학생 및 편입생은 교직과정 이수
불가
(예외사항 붙임 안내문 참조)
3. 교직과정 설치학과(부)별 선발 인원
대학
학과(부)
표시과목
선발인원(명)
인문대학
국어국문학과
국어
3
영어영문학과
영어
7
중어중문학과
중국어
2
일어일문학과
일본어
3
철학과
철학
2
사학과
역사
3
자연과학대학
수학과
수학
3
물리학과
물리
4
화학과
화학
4
경제통상대학
경제학과
일반사회
3
글로벌통상학과
상업
5
경영대학
경영학부
상업
8
회계학과
상업
2
공과대학
화학공학과
화공
3
전기공학부
전기
6
IT대학
전자정보공학부
전자공학전공
전자
4
통신
전자정보공학부
IT융합전공
전자
4
통신
컴퓨터학부
정보·컴퓨터
7
계
73
4. 학교 홈페이지 공지사항 참조:
https://scatch.ssu.ac.kr/vvsp"
korean_language,제10회 김현승시문학상 수상작 발표,N/A,2024-07-02,https://korlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=1744,"제10회 김현승시문학상 수상작은 다음과 같습니다.
당선작 : <한 발자국>
최선재(숭실대학교 국어국문학과 3학년)
가작 : <낮에 하는 일>
김선우(단국대학교 문예창작학과 3학년)
가작 : <산책의 기술>
김민서(연세대학교 대학원 국어국문학과 석사 2학기)
시상식 등의 일정은 수상자에게 개별적으로 공지할 예정입니다.
축하드립니다."
korean_language,대학원 종합시험 리딩리스트,N/A,2020-09-09,https://korlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=1325,"대학원 종합시험 각 분야별 리딩리스트를 올려드립니다.
국어학
<우리말 문법론>(집문당), <한국어 의미론>(사회평론아카데미), <국어 음운론 강의>(집문당, 2021.)
고전문학
<한국문학통사 1~4>(지식산업사),  <한국고소설강의>(돌베개)
현대문학
석사 : <시 – 대학생들이 던진 33가지 질문에 답하기>(새움출판사), <한국소설사>(문학동네)
박사 : <한국시의 미학적 패러다임과 시학적 전통>(소명출판), <한국현대문학과 민족의 만화경>(소명출판)
한국어문화
<한국어 교육의 이론과 실제2>(아카넷), <한국문화교육론>(역락)"
