department,title,author,date,link,content
philosophy,2026학년도 1학기 한국장학재단 국가장학금 1차 신청 안내,N/A,2025-11-20,https://philo.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=5774,"1. 신청 기간: 2025.11.20(목) 9:00~2025.12.26(금) 18:00까지
2. 서류 제출 및 가구원 동의 기간: 2025.11.20(목) 9:00~2026.01.02(금) 18:00까지
3. 신청대상: 신입생(고3, 재수생 등 입학예정자), 재학생, 편입생, 재입학생, 복학생 및 휴학생 등 모든 학적 신청가능
*재학생은 1차 신청이 원칙이며, 재학 중 2회에 한해 2차 신청으로 수혜 가능 (단, 구제신청 2회 기사용 또는 기타 탈락사유 존재 시 지원 불가)
*국가장학금 신청 후 소득분위 심사가 완료된 학생에게 교내장학금 지급이 가능하므로 반드시 신청.
4. 신청방법: 한국장학재단
누리집(www.kosaf.go.kr)
및 모바일 앱에서 신청"
philosophy,[공지] 2025학년도 2학기 학부 기말 강의평가 안내,N/A,2025-11-13,https://philo.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=5753,간단 안내입니다. 확인 부탁드립니다.
philosophy,[특강] 2025-2학기 숭실철학특강-“AI 윤리와 정서적 관계주의-도덕적 지위를 중심으로”,N/A,2025-11-05,https://philo.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=5723,"숭실대 철학과에서는 우송대 김남호 선생님을 모시고, “AI 윤리와 정서적 관계주의-도덕적 지위를 중심으로” 특강을 진행하고자 합니다.
<일자 및 장소>
-일자: 11월 18일(화) 오후 5시 30분~
-장소: 미래관 107호
<신청 기간 및 방법>
-신청기간: 2025. 11. 05~2025. 11. 18
-신청 방법: 슈패스(ssu-path) 신청 및 등록. 링크:
-신청 자격: 숭실대 전체 학생(학과, 학년 무관)
-신청 링크:
https://path.ssu.ac.kr/ptfol/imng/icmpNsbjtPgm/findIcmpNsbjtPgmInfo.do?encSddpbSeq=c022de26a28daf20cc1df040d728bc9b&paginationInfo.currentPageNo=1
기타 문의는 철학과 사무실(02-820-0370. philosophy@ssu.ac.kr)로 부탁드립니다."
philosophy,[졸업] 2025-2학기 졸업논문 계획서 및 졸업논문 제출 안내,N/A,2025-10-22,https://philo.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=5599,"안녕하세요, 철학과 사무실입니다.
2025-2학기 졸업논문 계획서 및 졸업논문 제출과 관련하여 공지 드립니다.
논문계획서 제출
가. 제출 마감 기한 :
2025년 11월 28일 (금요일) 17시까지
나. 대상 : 해당 학과의 7학기 이상 재학생 또는 수료생 전체
다. 방법 : 졸업 논문 계획서 양식을 다운로드하여 작성
*지도를 희망하는 전임 교수, 연구 교수 있을 시 기재 (연구년 중인 교원 배정 불가)
교원 사정과 지도교수 희망 인원에 따라서 희망 내역이 반영되지 못 할 수 있으니 양해 부탁드립니다.
*논문 계획서 제출은 졸업 요건이 아니지만 지도교수 배정 및 논문 지도를 받는 데 필수적인 자료이므로 제출을 권고드립니다.
=> 작성 후, 학과 이메일(
philosophy@ssu.ac.kr)
로 송부
졸업논문 제출
가. 제출 마감 기한 :
2025년 12월 12일(금요일) 17시까지
나. 대상 : 매 학기 졸업예정자(아래 참조)
1) 8학기 및 133학점 이상 취득예상 재학생인 졸업예정자
2) 6~7학기 재학 중인 조기졸업 승인된 졸업예정자
3) 7학기 이수중인 학·석사 연계과정 승인된 졸업예정자
4) 수료생 중 졸업논문, 졸업종합시험 신규 합격자
다. 방법: 학과 홈페이지에서 졸업 논문 작성법을 참고하여 양식틀에 맞춰 작성
필수요건:
*논문은 기본적으로 11p, 줄간격 160%로 15장 이상이어야 함.
표지와 목차, 참고문헌을 제외해서 15장이니 이점 유의.
(즉, 표지 1장 + 목차 1장 + 참고문헌 1장 + 내용 15장 이상 = 총 18장 이상)
*표지 양식에는 논문제목, 학과, 학번, 이름, 지도교수가 반드시 포함되어야만 함.
*쪽 번호는 머리말부터 들어감. (표지 및 목차에는 넣지 않음)
*참고문헌은 10개 이상. 본문에 직접 인용되어 있어야 함.
※ 학사일정으로 인해 기한을 넘길 시에는 받지 않습니다.
※ (졸업논문) 반드시 기한 내에
(1)
학과사무실 이메일 (philosophy@ssu.ac.kr)
로 송부해주시고,
(2)
직접 출력
하여 과사무실로 제출해 주시기 바랍니다.
※ 졸업 유예 예정인 학생의 논문은 받지 않습니다. 졸업 희망 학기 때 제출해주세요."
philosophy,[공지] 2025년 학부/대학원생을 위한 폭력예방교육(법정의무교육) 안내(1학기 이수자 해당사항 없음),N/A,2025-10-14,https://philo.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=5648,"1. 교육 개요
가. 과정명: 2025년 학부/대학원생을 위한 폭력예방교육
나. 유형: 필수교육(법정의무교육)
다. 기간: 2025.10.01.(수) ~ 2025.12.31.(수)
라. 대상: 학부/대학원 재학생(외국인 포함)
※ 1학기에 해당 교육을 이수한 인원은 재이수 불필요
마. 방식: 온라인 동영상 강의(한국어, 영어, 중국어 제공)
바. 내용: 성희롱, 성폭력, 가정폭력, 인권, 성인지, 2차 피해
사. 이수 기준 및 이수증: 차시에 상관없이 언어별 1개 강의 100% 이수 시 이수증 발급
2. 교육 이수 방법(붙임 매뉴얼 참조)
u-SAINT 로그인 → LMS 바로가기(왼쪽 메뉴 영역 중간) → 마이페이지(Learning)
→ 2025년 학부/대학원생을 위한 폭력예방교육→ ‘과목 홈 바로가기’ → 주차학습
→ 언어별 강의 선택 (한국어, 영어, 중국어 중 택 1 가능)
3. 안내사항
가. 미이수자 학기말 성적 조회 제한
1)
2025.12.20(2학기 종강일)까지 이수 시 성적조회 기간에 조회 가능
2) 2025.12.21(일)부터 성적조회 기간 내 이수 시 교육 이수 다음날 오후에 성적조회 가능
나. 이수율 저조 시 미이수자에게 독려 문자 및 메일 발송 예정."
philosophy,[공지] 생성형 AI 모델 활용 플랫폼 ‘팩트챗’ 서비스 무료 배포 안내,N/A,2025-09-03,https://philo.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=5506,"1. 본교 재직 교직원 및 재학생을 대상으로 다양한 생성형 AI 모델을 무료로 활용할 수 있는 ‘팩트챗(FactChat)’ 서비스가 2025년 9월 1일부터 제공됨을 안내드립니다.
2. 주요 내용
가. 대상 : 본교 교직원 및 학부, 대학원 재학생(졸업생, 수료생 제외)
나. 제공량 : 1인당 매월 5,000 크레딧(토큰) 제공(매월 초기화)
다. 접속 경로 : https://ssu.factchat.bot
라. 이용 방법 및 상세 안내 :
붙임 파일 참조
3. 서비스 이용 중 개선 의견은 아래 URL을 통해 제출하여 주시기 바랍니다.
가. 의견 취합 링크 :
https://forms.gle/3zS7sTTKWfuLR1CfA
붙임 1. 숭실대학교 생성형 AI 팩트챗 사이트 이용안내 1부"
philosophy,[공지] 2025학년도 2학기 유고결석 안내,N/A,2025-08-28,https://philo.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=5470,"*상단의 첨부파일을 통해 유세인트 신청방법을 확인하실 수 있습니다.
보건결석 및 유고결석 안내사항
※ 학사관리에 관한 내규 제7조(출석인정의 예외)에 따라, (보건)유고결석의 최종 승인 여부는
담당 교수의 재량
임.
✔
보건결석 신청
[1
회
1
일 신청 가능
,
학기
3
회 제한
]
※ 보건결석 신청 시 증빙서류 필요 없음
-보건결석은 여학생이 월경통으로 인해 부득이하게 결석할 시 출석으로 인정하는 제도
– 결석일로부터
7
일 이내에 신청
되어야 하며,
7
일 경과 시 추후 신청 불가
-결석사유에는 “
보건
,
월경
,
생리
”로 기재하여야 승인 가능.
-기타질병(복통, 감기몸살, 병원치료 등)에 대해서는 승인 불가(기타 질병은 질병결석으로 신청)
-다음 신청은 직전 결석일
다음날로부터
22
일째 되는 날
부터 재신청 가능
[(예시) 9월 1일 보건결석일 -> 9월 23일 보건결석 신청 가능]
✔
유고결석 신청 안내
-결석 종료일 기준(결석일 포함)
10
일 이내에 신청
처리 되어야 하며,
10
일 이내 미신청 시 신청 불가
✔
(
보건
)
유고결석 절차 및 주의사항
학생
➜
학생서비스팀
➜
시스템
➜
교수
학생
유고결석 신청
유세인트
[u-Saint]
[
증빙서류 업로드 필수
]
학생서비스팀 승인
LMS
자동 연동
담당 교수 확인 후
최종 승인 여부 결정
[
승인 여부 교수 권한
]
결석신청 및 조회
[
진행상태
]
확인
✔
신청방법 및 주의사항
신청방법: 유세인트 ->학사관리 ->수업/출석-> 결석신청 및 조회->결석신청정보[신청] 클릭 -> 유의사항 확인 후 체크
-> 결석신청 내용 입력 ->증빙 파일 업로드한 뒤 [신청] 클릭 ->결석적용 과목 체크 및 확인 후 [저장] 클릭
※“구분”이란 항목은 결석사유에 맞게, 결석일의 해당 과목은 한꺼번에 신청 필수)
결석구분은
병무관계
,
혈족사망
,
공식행사
,
질병 중 선택
하여,
결석 사유를 정확히 기재
하여 신청 바람
※ 여학생 월경통은 보건결석으로 신청 바람]
승인이 거부되면 신청페이지에 “거부”로 기재되며, 거부된 신청은 신청 횟수에 포함되지 않습니다.
결석일로부터 기간
[
유고결석
10
일
/
보건결석
7
일
]
이내에 거부 사유를 수정하여 반드시 신청
되어야 합니다.
질병 유고결석 관련 증빙서류 제출 시 진료 일자 및 병명 수기 작성은 반드시 해당란에
병원장 확인 도장을 받아야 합니다.
질병 유고결석 관련 증빙서류는
진료확인서
/
진단서
/
입통원확인서 중
1
개는 필수 제출
이며,
필수 서류 제출을 하지 않거나 이외 서류를 제출 시 거부
됩니다.
기말고사, 성적 평가, 계절학기 기간은 신청할 수 없습니다. [본교 학사일정 기준]
개인적으로 참가한 공모전, 대회, 행사, 기업 면접, 졸업 시험, 대외활동, 교통편 연착, 졸업 여행 등은
유고결석으로 인정하지 않습니다
.
채플은 보건결석으로 인정되지 않으므로 사용이 불가
합니다.
기간 이내에 승인 여부를 반드시 확인하여야 하며,
미확인으로 인한 불이익은 본인
에게 책임이 있습니다.
학생서비스팀
승인 후 변경 및 취소는 불가
하니 신중히 신청하여야 합니다.
※ 유고결석 증빙서류 허위(위조)로 제출하여 현재까지 다수의 학생이 학칙에 의거 징계처리 되었습니다.
증빙서류 위조는 교내 징계뿐만 아니라 형법상 공
/
사문서 위조죄 관련 규정에 따라 형사처벌 대상이 될 수 있는 범법행위임을 유념
하시기 바랍니다.
유고 결석 사유 및 서류 보기
사유
예시
허용기간
증빙서류 및 안내
본인결혼
본인결혼
당일부터 7일
[필수]
혼인관계증명서
[필수]
청첩장
※ 결혼식 당일부터 7일
혈족사망
2촌 이내
당일부터 5일
[필수]
사망진단서
(시체검안서 인정, 장례확인서 인정 불가)
[필수]
가족관계증명서
※ 사망일과 가족관계 확인용
4촌 이내
당일부터 3일
질병
(
학기당
3
회
)
입
,
퇴원
2일 ~ 5주 미만 입원
[전염병 포함]
입원 일자
[필수]
입
,
퇴원확인서 또는 진료확인서
[추가] 진료기록부(병명 확인용, 직인 필수)
※ 입·퇴원확인서에 병명이 기재되지 않을 시 추가서류 첨부
※ 진료기록부만 제출 시 인정 불가
※ 모든 증빙서류는 병원 또는 병원장 직인이 있어야 하며, 병원명, 주소, 연락처, 의사명 포함 필수
※
진료비 계산서
·
영수증
·
처방전 및
안정가료
인정 불가
당일
감기, 복통 몸살, 등 경미한 질병
진료 당일 1일
[필수]
진료확인서 또는 진단서
[추가] 진료기록부(병명 확인용, 직인 필수)
※ 진료확인서에 병명이 기재되지 않을 시 추가서류 첨부
※ 진료기록부만 제출 시 인정 불가
※ 모든 증빙서류는 병원 또는 병원장 직인이 있어야 하며, 병원명, 주소, 연락처, 의사명 포함 필수
※
진료비 계산서
·
영수증
·
처방전 및
안정가료
인정 불가
병무관계
예비군, 병무신체검사,
공군 면접 등
당일
(최대 3일)
[필수]
신체검사확인서 또는 면접 참석 확인서
※ 병무청, 군부대 발행된 공식문서만 인정
※ 사전에 발급된 수험표(신청서) 인정 불가
공식행사
체육대회, 학과(부) MT, 학교 공식행사 등
해당 기간
[필수]
단과대학장 승인 공문 필수
(연중 각 1회 허용)
교육실습
현장실습
학술답사
학술대회
해당 기간
[필수]
단과대학장 승인 공문 필수
· 교육실습: 전공 수업 관련 교육실습만 인정
· 현장실습: 전공 수업 관련 현장실습만 인정
· 학술답사 및 학술대회: 전공 수업 또는 소속 학회 활동일 경우만 인정
※
강의계획서에 명시된 커리큘럼
,
전공 관련만 인정
※
교육 및 현장실습
,
학술답사
,
학술대회의 경우 전공 수업 외 별도 활동
(
개인 신청 등
)
은 인정 불가
※
학과 자체 학회 인정 불가
※
행사 참여 후 학생 본인이 직접 신청 필수
※
개인적으로 참가하는 것은 인정 불가
※
학과
(
부
),
행정부서
,
소모임 등의 행사 관련 인정 불가
기타
해당 기간
[필수]
학생처장이 승인하는 경우
※ 유고결석 인정 기간: 총 수업일수의 3분의 1 이내
[
문의
:
학생서비스팀
(
학생회관
406
호
)
☎
02-820-0162]"
philosophy,2025학년도 2학기 교내장학금 2차 신청 안내,N/A,2025-08-21,https://philo.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=5420,"1. 교내 장학금 자격요건
가. 2025학년도 2학기 국가장학금 신청 및 서류 제출을 완료하고 소득분위가 조회된 자
(국가장학금 지급 대상 분위의 경우 심사가 완료된 자)
※ 국가장학금 1차 신청기간: 2025.05.23(금) 9:00~06.23(월) 18:00<마감>
국가장학금2차 신청기간: 2025.08.13(수) 9:00~09.10(수) 18:00
나. 2025학년도 2학기 재학 및 복학(예정)자로 등록금 납부 예정인 자
1)2025학년도 2학기
前
등록휴학 후 복학 시 장학생 선발대상에서 제외
2)미등록, 입학취소, 복학취소, 휴학 등 학적변동 시 모든 장학금 취소
다. 직전학기 15학점 이상 이수한 자(최종 직전학기는 12학점)
라. 정규등록학기가 8학기 이내인 자(건축학부 건축학전공은 10학기 이내)
2. 학생신청절차
가. 온라인 신청 및 서류제출기간: 2025.09.01(월) 9:00~2025.09.26(금) 17:30
나. 신청방법: u-SAINT포털->등록/장학->장학->장학금 신청
다. 서류제출: 온라인 신청기간 내 방문 및 등기우편제출 가능(세부내용 붙임 파일 참조)
※ 단, 전문자격시험합격자장학금의 경우 등기우편 불가
추가로 확인 가능한 장학금 관련 안내 문서들을 공유해드립니다. 첨부 파일 확인 바랍니다."
philosophy,[장학] 2025-2학기 백마성적우수장학금 선발 기준 안내,N/A,2025-07-11,https://philo.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=5381,"1. 선발 요건
가. 2025학년도 2학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 1차 신청자에 한하여 등록금고지서 사전감면
2) 1차 미신청자 : 2차 신청/서류제출 확인 후 지급
(2차 신청자도 선발 및 사후지급가능하므로 학과에서는 현재 미신청자도 선발 요망)
3) 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인유학생은 선발 불가)
나. 2025학년도 2학기 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
1) 2025학년도 2학기 前등록휴학 후 복학시 선발대상에서 제외(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동시 모든 장학금 취소
3) 선발 후, 학기 중 휴학 시 백마성적우수장학금은 복학학기로 이월
※ 추가 또는 교체선발 시 재학 중인 학생만 선발 (휴학생에 대한 추가/교체 불가)
다. 직전학기 15학점 이상 이수한 자 (졸업 직전학기는 직전학기 12학점 이상)
라. 정규등록학기가 8학기 이내인 자(건축학과 건축학전공: 정규등록 10학기 이내인 자)
마. F학점 포함 학적부성적 기준 직전학기 3.8 이상인 자
바. 모든 교내장학금간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금 자동선발
2) 중복수혜 가능 장학금: 국가장학금, 교외장학금, 학과우수장학금, 기타 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)하므로 유의
2. 2025학년도2학기 선발 예정 인원
가. 수업료 100% 1인
나. 수업료 50% 4인
다. 수업료 25% 6인 (총 11명)
3. 2025학년도 2학기 백마성적우수장학금 선발 기준
가. 직전 학기 평점평균 기준 전체 학년 석차순 (학년 석차 1위이나, 기 선발 장학금, 등록학기 등의 이유로 선발 불가할 수 있음.)
나. 전체 석차 중, (각 학년 석차 1위 제외) 본교 장학팀 배정 인원까지 상위부터 선발.
다. 단, 동점자가 있을 경우 취득학점이 높은 학생을 상위 장학금에 배정."
philosophy,[숭철고전] 숭실철학 필독 고전도서 43선과 추천도서 3선 (2025),N/A,2025-03-26,https://philo.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=5247,
