department,title,author,date,link,content
sports,"2026학년도 1학기 복학, 휴학, 유급 신청 안내",N/A,2025.10.22,https://sports.ssu.ac.kr/%ec%9e%90%eb%a3%8c%ec%8b%a4/%ec%8b%a0%ec%95%99%ec%9e%90%eb%a3%8c%ec%8b%a4/?term_id&slug=4003,
sports,2025학년도 겨울계절제 수업 일정 안내,N/A,2025.10.14,https://sports.ssu.ac.kr/%ec%9e%90%eb%a3%8c%ec%8b%a4/%ec%8b%a0%ec%95%99%ec%9e%90%eb%a3%8c%ec%8b%a4/?term_id&slug=3998,
sports,2025학년도 2학기 학부 재학생 중간 강의평가 실시 안내[2025.10.6.(월) ~ 10.17.(금)],N/A,2025.10.10,https://sports.ssu.ac.kr/%ec%9e%90%eb%a3%8c%ec%8b%a4/%ec%8b%a0%ec%95%99%ec%9e%90%eb%a3%8c%ec%8b%a4/?term_id&slug=3994,"2025학년도 2학기
학부 재학생 중간 강의평가
를 다음과 같이 실시하니 많은 관심과 적극적인 참여를 부탁드립니다.
중간 강의평가는 이번 학기에 수강 중인
수업에 대한 수강 학생의 의견을 교수님께서 확인
하고
이번 학기
남은 기간 수업에 반영
하여
더 좋은 수업을 만들기 위한 목적으로 실시
됩니다.
학부 재학생 여러분의 소중한 의견이 교수님께 전달되어
수업 개선을 위해 적극 활용
될 수 있도록
기간 내에 꼭 실시
하여 주시기 바랍니다.
<유의 사항>
강의평가는 익명으로 진행되며 성실하고 공정하게 답변하여 주시기 바랍니다.
서술형 문항 작성 시 수업 개선과 관련 없는 비방이나 욕설, 인격 모독적 표현은 삼가주시고
수업 내용, 강의 방식, 학습 환경 등 강의 개선에 도움이 될 수 있는 내용을 중심으로 작성해 주시기 바랍니다."
sports,2025학년도 2학기 졸업예정자 대상 다전공 포기/이수구분 변경/졸업확정신고 안내 (1차),N/A,2025.09.25,https://sports.ssu.ac.kr/%ec%9e%90%eb%a3%8c%ec%8b%a4/%ec%8b%a0%ec%95%99%ec%9e%90%eb%a3%8c%ec%8b%a4/?term_id&slug=3979,
sports,2025학년도 2학기 조기졸업 신청 안내,N/A,2025.09.22,https://sports.ssu.ac.kr/%ec%9e%90%eb%a3%8c%ec%8b%a4/%ec%8b%a0%ec%95%99%ec%9e%90%eb%a3%8c%ec%8b%a4/?term_id&slug=3972,
sports,2025학년도 2학기 다전공(신청/변경/포기) 신청 기간 안내,N/A,2025.09.22,https://sports.ssu.ac.kr/%ec%9e%90%eb%a3%8c%ec%8b%a4/%ec%8b%a0%ec%95%99%ec%9e%90%eb%a3%8c%ec%8b%a4/?term_id&slug=3970,
sports,2025-2학기 수강과목 취소(drop) 안내,N/A,2025.09.18,https://sports.ssu.ac.kr/%ec%9e%90%eb%a3%8c%ec%8b%a4/%ec%8b%a0%ec%95%99%ec%9e%90%eb%a3%8c%ec%8b%a4/?term_id&slug=3952,★2025.09.22(월) ~ 2025.09.26(금) 이후 수강과목 취소 불가★
sports,"2025학년도 2학기 교내장학금 사후지급 일정 안내(베어드입학우수, 백마성적우수장학금 포함)",N/A,2025.09.10,https://sports.ssu.ac.kr/%ec%9e%90%eb%a3%8c%ec%8b%a4/%ec%8b%a0%ec%95%99%ec%9e%90%eb%a3%8c%ec%8b%a4/?term_id&slug=3912,"★2025학년도 2학기 교내장학금 사후지급 일정을 다음과 같이 안내합니다.★
1. 사후지급 대상 : 교내장학금 1차 신청자 중 심사보류자 및 2차 신청자 중 대상자
2. 교재장학금 사후지급 일정
교내장학금
지급차수
한국장학재단 홈페이지
국가장학금 신청상태
‘대학지급’  (재단 → 대학)
교내장학금 선발 예정일
(u-SAINT에서 상태 확인 가능)
교내장학금
학생지급 예정일
(해당 일자 오후 지급 예정)
1
2025.10.16(목)
2025.10.24(금)
2025.11.06(목)
2
2025.10.30(목)
2025.11.07(금)
2025.11.20(목)
3
2025.11.13(목)
2025.11.21(금)
2025.12.04(목)
※ 학생별 지급 시기는 상이하며, 위 차수 중 한 차수에 지급. 일정은 상황에 따라 변동될 수 있음
※ u-SAINT  → 등록/장학  → 장학  → 장학금수혜내역조회  → ＊처리상태에서 진행 내역 확인 가능
(＊처리상태 : 학생신청, 심사보류, 최종승인, 지급예정, 지급완료로 명시되며, ‘심사보료’인 경우 한국장학재단 소득구간 심사완료 후 지급됨,
만약
국가장학금 1차 미신청자는
09.10(수) 18:00까지 국가장학금 2차를 신청하지 않을 시 최종 지급 불가
)
※
등록금 분할납부자의 경우 1,2차에 해당하더라도 분할납부 완료 후 3차에 일괄 지급 예정
3. 지급방법 : 학생계좌 지급 또는 학자금 대출 상환
가. 등록금을 자비로 납부한 경우,
학생 본인 명의 계좌로 지급
(u-SAINT  → 학사관리  → 학적정보  → 부가정보  → 은행계좌정보에 계좌정보 직접 입력 필요, 정보 없을 시 지급 일정 지연 또는 불가하니 반드시 확인)
나. 한국장학재단, 공무원연금공단에서 학자금 대출을 받아 납부한 경우
대출상환으로 지급(학생 선택불가)
※기타 기관에서 학자금 대출을 받은 경우, 학생이 반드시 대출 상환해야 함. 미상환 시 중복지원으로 인하여 학자금 지원이 제한될 수 있음.
다. 수업료 지원 목적의 장학금을 수업료 범위를 초과하여 수혜한 경우, 초과분을 반환해야 하며 미반환 시 추후 학자급 지원이 제한될 수 있음.
(한국장학재단 중복지원 방지 기준 준수)
라. 모든 교내장학금은 중복수혜 불가
마. 장학금 지급 우선순위 : 1.교외장학금 2.국가장학금 3.교내장학금
바. 형제장학금은 1월 중 선발 및 지급 예정"
sports,2025학년도 2학기 유고결석 안내,N/A,2025.09.08,https://sports.ssu.ac.kr/%ec%9e%90%eb%a3%8c%ec%8b%a4/%ec%8b%a0%ec%95%99%ec%9e%90%eb%a3%8c%ec%8b%a4/?term_id&slug=3906,
sports,"2024학년도 교양수업 생활스포츠(스키, 스노보드) 집중강좌 안내",N/A,2024.12.07,https://sports.ssu.ac.kr/%ec%9e%90%eb%a3%8c%ec%8b%a4/%ec%8b%a0%ec%95%99%ec%9e%90%eb%a3%8c%ec%8b%a4/?term_id&slug=3651,"2024-2학기 교양수업 생활스포츠(스키, 스노보드) 집중강좌 안내드립니다.
■ 교육일정 : 2024.12.19.(목) ~ 12.21.(토) 2박 3일
■ 교육장소 : 알펜시아리조트
■ 집합시간 : 24.12.19.(목) 08:20 (출석체크 진행)
■ 집합장소 : 조만식기념관 1층 체육관
■ 준비물 : 신분증, 스키/보드복, 스키/보드장갑, 모자, 두꺼운 양말, 여분의 옷, 개인용품, 세면도구, 수건, 보호구, 상비약 등
■ 의류 렌탈 및 장갑구매 신청 : 24.12.07.(토) ~ 12.10.(화)
■ 개인정보이용동의서 및 의류렌탈 바로가기 :
https://forms.gle/FWGdP6u1uF6UwDBk6
※ 자세한 사항은 첨부파일 [2024 교양스키 OT] 자료 참고 부탁드립니다.
기타 문의사항 : 스포츠학부 사무실(02-820-0045)"
