department,title,author,date,link,content
computer,2025학년도 재학생 교육 수요자 만족도 조사(~11/28까지),최고관리자,2025-11-12,https://cse.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=4874&page=1,"교육성과연구팀에서는 2025학년도 교육수요자만족도조사를 다음과 같이 실시합니다. 각 단과대학, 대학원 등의 소속 재학생들이 참여할 수 있도록 안내 및 홍보 협조를 요청드립니다.
1. 2025학년도 교육수요자만족도조사 개요
가. 목적: 본교 교육수요자의 만족도를 측정하고 요구사항을 파악하여 발전전략 추진을 위한 기초자료로 활용
나. 조사 대상 및 내용
대상
조사
방법
조사 내용
학부생
(내국인)
온라인 설문 및
FGI 조사
(8그룹 예정)
- 교육과정(전공, 교양, 다전공)
- 소속 학과
-
학교 시설
- 학사제도 및 운영
- 학생지원 프로그램
- 학교 몰입
- 숭실대학교 이미지
- 행정 서비스
- 전반적 만족도
학부생
(외국인)
온라인 설문
대학원생
(내국인)
온라인 설문
- 교육과정(전공, 교양, 다전공)
- 소속 학과
-
학교 시설
- 학사제도 및 운영
- 학교 몰입
- 숭실대학교 이미지
- 행정 서비스
- 전반적 만족도
대학원생
(외국인)
온라인 설문
졸업생
온라인 설문
- 교육과정(전공, 교양, 다전공)
- 학생지원 프로그램
- 졸업생 지원 서비스 이용 의향
- 숭실대학교 이미지
- 전반적 만족도
학부모
온라인 설문
- 교육과정 및 교육서비스 만족도
- 숭실대학교 이미지
- 숭실대학교 기부 의향
산업체
온라인 설문
- 숭실대학교 이미지
- 직무 수행
지역주민
온라인 설문
- 숭실대학교 이미지
타대학
현장 설문
- 교육과정(전공, 교양, 다전공)
-
학교 시설
- 학사제도 및 운영
- 학생지원 프로그램
- 학교 몰입
- 숭실대학교 이미지
- 행정 서비스
- 전반적 만족도
다.
설문 기간: 2025.11.6.(목) ~ 11.28.(금)
2. 협조 요청사항
가. 학과(부) 또는 부서 홈페이지 등 학생 소통 채널 통해 설문 참여 링크 공유
대상
설문 참여 링크
주요 유관부서
학부생
(내국인)
https://seolmoon.com/?4135L
단과대학/학부(과)
학부생(외국인-한영)
https://seolmoon.com/?4136L
단과대학/학부(과)
및 국제팀
학부생(외국인-한중)
https://seolmoon.com/?4137L
단과대학/학부(과)
및 국제팀
대학원생(내국인)
https://seolmoon.com/?4138L
일반/특수 대학원
대학원생(외국인-한영)
https://seolmoon.com/?4139L
일반/특수 대학원 및 국제팀
대학원생(외국인-한중)
https://seolmoon.com/?4140L
일반/특수 대학원 및 국제팀"
computer,2026학년도 1학기 학·석사연계과정 지원 및 선발 안내,최고관리자,2025-11-12,https://cse.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=4873&page=1,"2026학년도 1학기 학·석사연계과정 지원
1. 지원기간 : 2025.12.1.(월)~12.12.(금)
2. 모집학과 : 학사과정과 석사과정에 동일(또는 유사)학과가 있는 학과(계약학과 제외)
3.지원자격 :
다음 각호 모두 해당되는 자
가. 지원일 당시 학사과정 4학기 이상 6
학기 이내 재학 중(건축학부 건축학전공은 6학기 이상 8학기 이내 재학 중)인 자
(학
·석사연계과정 신청자는 조기졸업 신청을 할 수 없음)
나. 재수강 이전 과목, 학점포기한 과목, F학점 과목 등을 포함한 전체 과목의
총평점평균이 3.0 / 4.5 이상인 자
(학적부성적)
다.
7학기 또는 8학기
(건축학부 건축학 전공은 9학기 또는 10학기)
에 학사과정의 졸업요건을 충족할 수 있는 자
라. 지원하고자 하는 일반대학원 학과 주임교수와 지도교수의 추천을 받은 자
마. 지원하고자 하는 일반대학원의 동일(또는 유사)학과를 주전공 또는 복수전공으로 하는자
4. 제출서류
가. 학·석사연계과정 신청서(붙임 1) 1부.
나. 학적부성적 1부.
5. 지원방법 :
대학원 교학팀으로 방문 접수(웨스트민스터홀 658호)
6. 선발인원 : 석사과정 입학정원의 20%
7. 발표일 : 2026.1.23.(금) 예정 - 학과 및 개별 통지
8.
문의처 : 대학원 교학팀(02-820.0258~9 , grad@ssu.ac.kr)"
computer,[2026년 2월 졸업예정자]졸업서류제출 안내_1차(11/24~12/5까지),최고관리자,2025-11-11,https://cse.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=4872&page=1,"2026
년 2
월 졸업 예정자 졸업서류제출을 아래와 같이 안내해 드리니 일정에 맞추어 제출을 부탁드립니다
.
1.
제출기한
: 11
월 24
일
(
월
) ~ 12
월 5
일
(
목
) 16
시까지​
*12/22부터 12/26까지 2차 제출 받을 예정이니 서류가 준비가 되지 않은 학생들은 2차 제출 기간에 제출해주시기 바랍니다.
2.
제출방법
가
.
방문제출
1)
제출 장소
:
정보과학관
104
호 졸업서류제출창구
2)
방문시간
:
제출기한 내 월
~
금 매일
10
시부터
16
시까지
(
점심시간
12:10 ~ 13:20
까지
)
*
제출 기한 전
/
후로는 받지 않으니 반드시 기한 확인 후 기한 내 제출 바랍니다
.
3.
제출서류
가
.
졸업 자격심사신청서
1
부
.(
첨부파일
)
나
.
전공 자격요건 증빙서류
1
부
.
다
.
영어 자격요건 증빙서류
1
부
.
4.
유의사항
(
반드시 숙지 요망
)
가
. 26
년 2
월 졸업을 희망하는 학생은
컴학부 졸업자격심사신청
과
학교 학사팀에서 안내하는 졸업 확정신고
를
모두 완료
해야 졸업 가능합니다
.
둘 중 하나라도 미완료 시 졸업이 불가합니다
.
*졸업서류제출 전에 졸업확정신고를 먼저 진행할 수 있습니다.
나
. 졸업사정표 내 [졸업논문 및 졸업 종합시험] 항목 충족 표기는 12월 30일 이후 확정될 수 있으니 12월 30일 이후에 확인 바랍니다.
다
.
토익 시험의 경우 12
월 7
일에 시행하여 12
월 16
일에 성적 발표하는 시험까지만 인정하며
,
해당 시험 보는 학생은 2차 기간에 서류 제출해주시기 바랍니다.
※
토익 외 다른 시험도 2차 제출기간까지
성적 발표되어 서류를 제출할 수 있는 경우에만 인정됩니다.
라
.
기존에 졸업심사신청서 제출하여 졸업사정표에
[
졸업논문 및 졸업 종합시험
]
항목이
Y(
충족
)
로 표기되어 있는 경우, 서류 재제출 없이 졸업 원하는 학기에 졸업 확정신고만 진행하시면 됩니다
.
마
.
자세한 자격요건 사항은 본 공지문을 반드시 확인하시고 안내문에서 확인 불가한 사항들이나 문의가 필요한 사항들은 전화 혹은 메일 문의 부탁드립니다
.
*기
타 문의 사항
:
컴퓨터학부사무실
(820-0920) / cse_office@ssu.ac.kr
5.
컴퓨터학부 졸업자격 요건
:
아래의 전공 자격요건과 영어 자격요건 모두 충족 시 졸업 가능
*
만료기간이 표기되어 있는 증빙서류의 경우
26
년 3
월 1
일 이전에 만료되는 점수는 인정하지 않습니다
.
예
) 26/02/28 만료되는 성적은
불인정
, 26/03/01
만료되는 성적은 인정
가
.
컴퓨터학부 전공 자격요건
(
택
1)
1) 2014
학년도 입학자 및
2014
학년도 이전 입학자
①
졸업시험 통과
*
전필
5
과목
-
알고리즘
,
운영체제
,
자료구조
,
컴퓨터구조
,
프로그래밍언어
**
졸업시험은
2020
년 이후로 시행하지 않음
②
전공종합설계
1
과
2
를 모두 이수한 자
(
증빙자료
:
성적표 제출
)
③
정보처리기사 자격증 소지자
(
증빙자료
:
자격증 사본 제출
)
④
ACM-ICPC Asia Regional
본선 진출자
(
증빙자료
:
상장 사본 제출
)
⑤
컴퓨터학부
S/W
공모전 동상 이상 수상자
(
증빙자료
:
상장 사본 제출
-
컴학부 졸업요건 참조
)
2) 2015
학년도 이후 입학자
①
전공종합설계
1, 2
모두 이수로 대체
(B-
이상 취득
)(
증빙자료
:
성적표 제출
)
②
정보처리기사 자격증 획득
(
증빙자료
:
자격증 사본 제출
)
③
TOPCIT 2
등급 이상 획득
(
증빙자료
:
성적표 사본 제출
/
교내
TOPCIT
응시자도 성적표 제출해야함
.)
④ 2025년부터
ACM-ICPC 참가자: Seoul Regional
본선에 진출
(
증빙자료
:
상장 사본 제출
)
* ~2024년까지의 ACM-ICPC 참가자: ICPC 교내대회 5위 이내 수상 (증빙자료: 상장 사본 제출)
⑤
컴퓨터학부
S/W
공모전 동상 이상 수상자
(
작품당
3
인 이내
/
증빙자료
:
상장 사본 제출
-
컴학부 졸업요건 참조
)
* 2016년~
2024년까지 S/W공모전 참여 학생의 경우: 소공전 은상 이상 수상자(작품 당 4인 이내)
나
.
컴퓨터학부 영어 자격 요건
(
택
1)
1) TOEIC
시험에서
600
점 이상 획득
(
증빙자료
:
성적표 사본 제출
)
2) TOEFL IBT 64
점 이상 획득
(
증빙자료
:
성적표 사본 제출
)
3) NEW TEPS 228
점 이상
(
증빙자료
:성적표
사본 제출
)
4) Practical English Listening & Reading(
과목번호
:50105880)
에서
B-
이상 획득
(
증빙자료
:
성적표 제출
)
*2015-2
학기까지는 과목명이
TOEIC(Listening and Reading)
이었음
.
5) TOEIC SPEAKING
에서
“Intermediate Mid 1
등급
”
이상 상응하는 점수 획득
(
증빙자료
:
성적표 사본 및 토익 환산 점수표 제출
)
6)
기타 널리 사용되는 영어평가시험에서 이와 상응하는 점수를 획득
.
단
,
상응하는 점수는 응시자가 구체적인 증거에 근거하여 제시하여야 함
. (
환산 점수표 제출 등
)
*
단
, OPIc
은 인정되지 않습니다
.
※
졸업자격심사신청서 상 허위사실 기재 및 허위증빙서류 제출일 경우 졸업이 취소될 수 있으며
,
향후 불이익을 받을 수 있음
."
computer,2025년 학부/대학원생을 위한 폭력예방교육(법정의무교육) 안내(~12/31까지),최고관리자,2025-10-14,https://cse.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=4865&page=1,"2025년 학부/대학원생을 위한 폭력예방교육을 다음과 같이 진행할 예정입니다.
1. 교육 개요
가. 과정명: 2025년 학부/대학원생을 위한 폭력예방교육
나. 유형: 필수교육(법정의무교육)
다. 기간: 2025.10.01.(수) ~ 2025.12.31.(수)
라. 대상: 학부/대학원 재학생(외국인 포함)
※ 1학기에 해당 교육을 이수한 인원은 재이수 불필요
마. 방식: 온라인 동영상 강의(한국어, 영어, 중국어 제공)
바. 내용: 성희롱, 성폭력, 가정폭력, 인권, 성인지, 2차 피해
사. 이수 기준 및 이수증: 차시에 상관없이 언어별 1개 강의 100% 이수 시 이수증 발급
2. 교육 이수 방법(붙임 매뉴얼 참조)
u-SAINT
로그인 → LMS 바로가기(왼쪽 메뉴 영역 중간) → 마이페이지(Learning)
→ 2025년 학부/대학원생을 위한 폭력예방교육
→
'과목 홈 바로가기' → 주차학습
→ 언어별 강의
선택 (한국어, 영어, 중국어 중 택 1 가능)
3. 안내사항
가. 미이수자 학기말 성적 조회 제한
1) 2025.12.20(2학기 종강일)까지 이수 시 성적조회 기간에 조회 가능
2) 2025.12.21(일)부터 성적조회 기간 내 이수 시 교육 이수 다음날 오후에 성적조회 가능
붙  임  LMS 교육 이수 매뉴얼 1부.  끝."
computer,[중요] 백마성적우수장학금 선발 자격 요건 변경 안내,최고관리자,2025-09-18,https://cse.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=4860&page=1,"안녕하세요.
학부사무실입니다.
25-2학기 부로 백마성적우수장학 요건이 변경되어 안내드립니다.
본 변경 건은 25-2학기 성적으로 산정하는 26-1학기 백마성적우수장학금 선발 시부터 적용되니 학생들은 참고하여 주시기 바랍니다.
<기존 백마성적우수장학금 선발 자격 요건>
① 직전학기 진로지도교수와 면담한자
② 1학년: 전공교과목 12학점 이상 총 18학점 이상 수강자(23학년도 입학자부터 적용)
③ 2학년 : 전공교과목 15학점 이상 총 17학점 이상 수강자
④ 3학년 : 전공교과목 12학점 이상 총 15학점 이상 수강자
⑤ 4학년 : 전공교과목 9학점 이상 총 12학점 이상 수강자
<변경 후 백마성적우수장학금 선발 자격 요건>
①
1학년: 전공교과목 12학점 이상 총 18학점 이상 수강자(23학년도 입학자부터 적용)
③ 2학년 : 전공교과목 15학점 이상 총 17학점 이상 수강자
④ 3학년 : 전공교과목 12학점 이상 총 15학점 이상 수강자
⑤ 4학년 : 전공교과목 9학점 이상 총 12학점 이상 수강자
*진로지도상담 조항 삭제
-학부사무실 드림."
computer,복수필수 교과목 변경 관련 안내드립니다.,최고관리자,2025-07-29,https://cse.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=4829&page=1,"안녕하세요.
학부사무실입니다.
2024년 입학자부터 컴퓨터학부 복수필수 교과목이 변경되었습니다.
24년
  이전 입학자 복필과목
24년
  입학자 이후 복필과목
과목번호
과목명
과목번호
과목명
1
21501899
자료구조
21505285
알고리즘
2
21502133
프로그래밍언어
21505162
운영체제
3
21502464
컴퓨터구조
4
21505285
알고리즘
5
21505162
운영체제
24년 입학자부터는 현재 복필로 지정되어 있는 알고리즘, 운영체제만 수강하면 복수필수 학점(6학점)을 모두 이수할 수 있습니다.
하지만, 24년 이전 입학자 중 컴퓨터학부 복수전공을 하고 있는 학생은 기존 복필 이수 학점인 15학점을 모두 이수해야 졸업이 가능하니
반드시 자료구조, 프로그래밍언어, 컴퓨터구조 과목을 수강 후 8학기에 복선->복필로 이수구분 변경 신청해야합니다.
감사합니다.
-학부사무실 드림."
computer,2025학년도 교직과정 이수 신청 안내,최고관리자,2025-07-01,https://cse.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=4816&page=1,"적인성 검사 응시링크
← 클릭하여 이동(혹은 아래 QR코드 스캔)"
computer,[컴퓨터학부 복수전공자 필독] 복수전공자 수강신청 안내,최고관리자,2023-02-23,https://cse.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=4601&page=1,"안녕하세요 컴퓨터학부 사무실입니다.
컴퓨터학부를 복수전공하는 학생들에게 수강신청 관련하여 다시 재안내드립니다.
1. 컴퓨터학부 1학년 2학년 과목 중 복선 또는 복필 과목은 기본적으로 학년별 수강신청일에는 주전공자 우선이고 전체수강일에는
자료구조를 제외
한 과목은 복수전공자 2학년도 수강신청 가능합니다.
2. 복수전공자 3,4학년이 1,2학년 복선 또는 복필 수강을 할 경우에는 공통반으로 수강신청하셔야하며, 공통반 수강신청이 어려울 경우 교수님께 개별적으로 허가요청 후 허가받으실 경우에만 학부사무실에서 관리자 수강신청이 가능합니다.
감사합니다."
computer,컴퓨터학부 메일 주소 안내,관리자,2022-08-22,https://cse.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=4533&page=1,"안녕하세요.
학부사무실입니다.
학부메일주소 안내드립니다.
cse_office@ssu.ac.kr
감사합니다.
-학부사무실 드림."
computer,2021-1학기 이후 컴퓨터학부 복수전공 승인자 복필과목 수강 관련 안내,최고관리자,2021-09-03,https://cse.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=4415&page=1,"안녕하세요. 학부사무실입니다.
2021-1학기 이후 컴퓨터학부 복수전공 승인 학생들의 복수필수 과목 수강과 관련하여 아래와 같이 안내합니다.
1.
컴퓨터학부 복수전공필수 지정과목
대 학
개 설
학과
(
부
)
복수전공 지정과목
과목명
이수
구분
개설
학기
시간
/
학점
계
(
과목수
/
학점수
)
IT
대학
컴퓨터학부
자료구조
전필
2/1
3/3
5/15
알고리즘
전필
2/2
3/3
컴퓨터구조
전필
2/2
3/3
프로그래밍언어
전필
3/1
3/3
운영체제
전필
3/2
3/3
2010
학번을 포함한 이후 학번은 위
5
과목만 복수전공필수 과목입니다
.
(10년도 이전 입학자는 학부사무실로 문의 바랍니다.)
3. 다전공 관련 이수구분 변경
-
이수구분 변경 신청 기간
: 3
월 중순
/ 9
월 중순
-
이수구분 변경 대상자
:
해당 학기 졸업예정자
(8
학기 이상
) /
아래 사항에 해당되는 학생만 신청 가능
1)
전공필수 졸업요건 예외처리
주전공에서 인정된 과목은 다전공에서 중복 인정되지 않는 것이 원칙이며 중복으로 인정되고 있는 경우
학사팀 확인 후 이수구분 변경 신청
*
다전공의 필수과목
(
복필
,
부필
)
과 주전공의 필수과목
(
전기
,
전필 등
)
이 중복되는 경우
:
학과사무실에 확인 후 예외처리 신청
예시
1)
주전공의 전공기초
,
전공필수
와 복수전공필수가 겹치는 경우
->
주전공에 우선순위를 두고 주전공의 학점으로 인정되며
,
복수전공필수 학점에 대해서만 예외처리
(
전공기초
3
학점과 복수필수
3
학점이 겹치는 경우 복수필수 예외처리 후 복선 3학점 추가 이수
)
예시
2)
주전공의 전공선택
,
복수전공필수가 겹치는 경우
->
복수전공필수를 우선순위로 두고 복수전공필수 과목으로 인정되며
,
이 경우 주전공 학점으로는 인정되지 않으므로 유의해야 함.
※
각 학과
,
학번에 따라 이수구분 인정에 차이가 있을 수 있으므로
,
문의가 있을 경우 필히 졸업 전에 학부사무실(TEL 02 820 0920)로 연락바랍니다
."
