department,title,author,date,views,link,content
electronic_engineering,[전자공학전공] 졸업작품 및 연구분야 설명회 신청 접수,전자정보공학부,2025. 11. 14,177,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2443&pNo=1&code=notice,"[전자공학전공] 졸업작품 및 연구분야 설명회 신청 접수
2025. 11. 14
177
[
전자공학전공
]
특성화 사업
-
졸업작품 및 연구분야 설명회
전자공학전공의 특성화 사업 연계 졸업작품 및 연구 분야 설명회를 다음과 같이 개최 합니다
.
내용
-
졸업작품 설명
:
각 연구실별
2026
학년도 졸업작품 수행 방식 및 주제 설명
-
연구분야 설명
:
각 연구실별 연구 분야 및 해당 분야의 연구 및 취업 동향 설명
-
석사진학 설명
:
각 분야별 대학원에서의 학업 내용 및 각 연구실별 대학원 운영 설명
취지
-
졸업작품 수행 관심 연구실의 졸업작품 수행 방식을 한자리에서 제공
-
흥미 연구 분야 설정을 위한 해당 연구 분야의 실제 수행 업무 동향 제공
-
취업 및 진학
,
대학원 장학 제도 등에 대한 실질적인 정보 제공
기타
-
참석자 명단은 전자공학전공 소속 교수님들께 배포 및 졸업작품 인원 선발시 참고할 예정
-
질의응답 등 상황에 따라 시간은 다소 변동 될수 있음
.
대상
-
전자공학전공 전체 재학생
-
현
1
학년
:
전공교과목의 본격적인 수강 이전에 전자공학 분야 전반에 대한 실질적 이해 목적
-
현
2
학년
:
관심 분야 설정 및 해당 분야 진출을 위한
3
학년 수강 교과목 이해 목적
-
현
3
학년
: (
주 대상 학년
)
졸업작품 분야 이해 및 흥미 분야 도출 목적
-
현
4
학년
:
취업 진로 설정을 위한 해당 분야 업무 파악 목적
진행
-
일시
: 2025.11.22 (
토
) 14:00 ~16:30
-참여 신청: 슈패스 신청
숭실대학교 슈패스(SSU-PATH) 시스템
-
방식
:
각 연구실 상황에 따라 교수님 혹은 대학원생이 자유 양식으로 진행
-
장소
: 교육관 303호
-
순서
> 14:00 ~ 14:15: (
박창근 주임교수
)
졸업작품 및 대학원 동향 전반 소개
> 14:15 ~ 14:30:
임성빈 교수님 연구실
> 14:30 ~ 14:45:
이성수 교수님 연구실
> 14:45 ~ 15:00:
신현출 교수님 연구실
> 15:00 ~ 15:15:
이호진 교수님 연구실
> 15:15 ~ 15:30:
홍순기 교수님 연구실
> 15:30 ~ 15:45:
김철기 교수님 연구실
> 15:45 ~ 16:00:
안병권 교수님 연구실
> 16:00 ~ 16:15:
정동현 교수님 연구실
> 16:15 ~ 16:30:
박창근 교수님 연구실"
electronic_engineering,,전자정보공학부,2025. 11. 14,150,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2442&pNo=1&code=notice,"2025. 11. 14
150
<AI융합학부 콜로퀴움(4차) 안내>
1. 일시 : 2025.11.20(목) 15:00
2. 장소 : 안익태기념관 404호
3. 강사 : 김성동 연구팀장 (Config Intelligence)
4. 주제 : Scaling data for Generalizable Robot Foundation Models
5. 신청 : 11.18(화)까지 슈패스(https://path.ssu.ac.kr/ptfol/imng/icmpNsbjtPgm/findIcmpNsbjtPgmInfo.do?encSddpbSeq=7bd47621601eb102b4c16aee4e6cdc74&paginationInfo.currentPageNo=1)"
electronic_engineering,[스파르탄SW교육원] 2025-겨울계절제 Co-op 집중학기제,전자정보공학부,2025. 11. 14,72,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2439&pNo=1&code=notice,"[스파르탄SW교육원] 2025-겨울계절제 Co-op 집중학기제
2025. 11. 14
72
안녕하세요.
스파르탄SW교육원입니다.
저희 스파르탄SW교육원에서는 매 학기 진행하는 Co-op 집중학기제를 이번 겨울방학 계절학기로 개설하고자 합니다.
하여 이번 학기 신청과 관련, 홍보를 각 학과 홈페이지에 요청드립니다.
1. 2025-겨울계절제 Co-op집중학기제(SAP트랙)
슈패스 링크:
https://path.ssu.ac.kr/
ptfol/imng/icmpNsbjtPgm/
findIcmpNsbjtPgmInfo.do?
encSddpbSeq=
b80a57d6713f94208a751b6324e6c2
46&paginationInfo.
currentPageNo=1#
;
2. 2025-겨울계절제 Co-op집중학기제(AI클라우드트랙)
슈패스 링크:
https://path.ssu.ac.kr/ptfol/
imng/icmpNsbjtPgm/
findIcmpNsbjtPgmInfo.do?
encSddpbSeq=
c612b7d73f992be9d70526016f6331
6a&paginationInfo.
currentPageNo=1#
;
※ Co-op 집중학기제 설명회
1. 일자: 2025.11.17.(월) 19:30~12:30(sap/클라우드 설명회)
2. zoom: 844 7500 7879 / 251117
3. 링크:
https://ssu-ac-kr.zoom.us/
j/84475007879?pwd=
zkOFCYVUHtGzTAz6FXZodrVbcQbxAv
.1
★ 설명회는 누구나 참여할 수 있으며, 참여 후 프로그램 신청여부를 정하셔도 됩니다.
★ 설명회를 반드시 참석하여 교과목 운영방법/성적 등 안내를 받으시기 바랍니다."
electronic_engineering,[전자공학전공] 무선통신 분야 전문가 특강 신청 안내(IT융합전공도 신청가능),전자정보공학부,2025. 11. 13,106,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2438&pNo=1&code=notice,"[전자공학전공] 무선통신 분야 전문가 특강 신청 안내(IT융합전공도 신청가능)
2025. 11. 13
106
'전자공학 전공을 배워서 어디에 쓰는지 모르겠다고요?'
'통신, 신호처리, 반도체, 회로, 전파... 배우긴 하는데, 이게 실제로 어디에 쓰이는 걸까?'
'내가 배운 전자공학으로 어떤 일을 할 수 있을까?'
그 궁금증에 대한 답을 이번 특강을 통해 찾아보세요. 이번 전자공학 특강에서는 구체적인 회사소개, 전자공학 전공자가 실제로 수행하는 업무, 그리고 취업과 진로 준비에 도움이 될 현실적인 팁까지 직접 들을 수 있는 소중한 기회가 될 것입니다.
제 3차 특강 안내: ""전자공학, 기술로 세상을 연결하다 - 무선통신 분야""
﻿전자공학이 세상을 바꾼다는 말, 이젠 세상을 연결하는 기술로 이어지고 있습니다.
대한민국은 전 세계 무선통신 기술을 선도하는 나라입니다.
산업계의 최전선에서 첨단 무선통신 기술의 현장을 이끄는
LG전자와 Ettifos의
연구자
들이 직접 찾아옵니다!
*신석민 책임연구원(LG전자 CTO부문 6G 무선표준팀)
*오종규 박사 (Ettifos 알고리즘팀, 전 삼성전자 연구원)
이번 특강에서는 디지털통신, 신호처리, 전파공학 등 여러분이 배우는 전자공학의 핵심 기술이 실제로 어떻게 무선통신 분야에서 활용되는지 생생하게 들을 수 있습니다.
- 일시: 12월 3일(수) 16-18시
- 대상: 전자공학전공 학생(선착순, IT융합도 신청가능하나, 신청인원을 초과할 경우 전자공학전공 학생 우선 선발)
- 장소: 안익태기념관 405호
- 신청기간: 12월 3일(화) 15시까지
- 신청 방법: 슈패스 참여신청
숭실대학교 슈패스(SSU-PATH) 시스템
- 문의사항: 02-820-0639(정다빈조교)"
electronic_engineering,2025학년도 2학기 졸업예정자 대상 졸업일정 안내 (12월 24일까지 논문제출),전자정보공학부,2025. 11. 11,348,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2436&pNo=1&code=notice,"2025학년도 2학기 졸업예정자 대상 졸업일정 안내 (12월 24일까지 논문제출)
2025. 11. 11
348
2025 졸업심사위원명단.hwp
졸업+성적표(졸업논문).hwp
졸업논문양식+실례.hwp
1.
2025. 12. 24.(수
)
오후
5
시까지
①
논문
과 학번 이름 등을 기재한
②
논문성적표
를 본인 지도교수님께 이메일 또는 대면 을 통해
제출
(논문성적표와 논문(책제본) 두 개 제출!!!)
2.
각 지도교수님께서 작성한 졸업논문 평가표를 12
월
29
일까지 학부사무실로 전달예정
3.
학부사무실에서는 12
월 30
일까지 논문성적 입력완료
(학사팀 마감날짜이므로 꼭 그전에 제출하여 학부사무실에서 입력할수있도록 해주세요)
<
수료생 (정통전학생만 해당) 안내사항
>
-
수료생 중 최종졸업을 희망하고자 하는 학생도 졸업논문 또는 공인영어성적을 제출하시기 바랍니다
.
(
졸업의 요건
:
수료
+
졸업논문
(
성적표
)
제출
+
졸업확정신고
)
<
공통 안내사항
>
-
영어성적(정통전학생만해당)은 졸업하는 시기까지 유효기간이 남아있어야합니다
.
(
학위수여 2
월 예정
)
(
영어성적은 과거
정보통신전자공학부 시절 신청자
에 한해서만 가능
. 2017
년경 공인영어시험성적 졸업제도 폐지됨
)
-
졸업예정자는 졸업사정표를 확인하여 누락분이 발생하지 않도록 점검하여 주시기 바랍니다
.
-
이번 졸업예정자는 졸업확정신고까지 완료하시기 바랍니다
."
electronic_engineering,<2025학년도 교육수요자만족도조사> 재학생 홍보,전자정보공학부,2025. 11. 11,95,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2432&pNo=1&code=notice,"<2025학년도 교육수요자만족도조사> 재학생 홍보
2025. 11. 11
95
2025년 숭실대학교 재학생 실태조사 포스터_학부생.pdf
교육성과연구팀에서는 2025학년도 교육수요자만족도조사를 다음과 같이 실시합니다. 각 단과대학, 대학원 등의 소속 재학생들이 참여할 수 있도록 안내 및 홍보 협조를 요청드립니다.
1. 2025학년도 교육수요자만족도조사 개요
가. 목적: 본교 교육수요자의 만족도를 측정하고 요구사항을 파악하여 발전전략 추진을 위한 기초자료로 활용
나. 조사 대상 및 내용
대상
조사
방법
조사 내용
학부생
(내국인)
온라인 설문 및
FGI 조사
(8그룹 예정)
- 교육과정(전공, 교양, 다전공)
- 소속 학과
-
학교 시설
- 학사제도 및 운영
- 학생지원 프로그램
- 학교 몰입
- 숭실대학교 이미지
- 행정 서비스
- 전반적 만족도
학부생
(외국인)
온라인 설문
대학원생
(내국인)
온라인 설문
- 교육과정(전공, 교양, 다전공)
- 소속 학과
-
학교 시설
- 학사제도 및 운영
- 학교 몰입
- 숭실대학교 이미지
- 행정 서비스
- 전반적 만족도
대학원생
(외국인)
온라인 설문
졸업생
온라인 설문
- 교육과정(전공, 교양, 다전공)
- 학생지원 프로그램
- 졸업생 지원 서비스 이용 의향
- 숭실대학교 이미지
- 전반적 만족도
학부모
온라인 설문
- 교육과정 및 교육서비스 만족도
- 숭실대학교 이미지
- 숭실대학교 기부 의향
산업체
온라인 설문
- 숭실대학교 이미지
- 직무 수행
지역주민
온라인 설문
- 숭실대학교 이미지
타대학
현장 설문
- 교육과정(전공, 교양, 다전공)
-
학교 시설
- 학사제도 및 운영
- 학생지원 프로그램
- 학교 몰입
- 숭실대학교 이미지
- 행정 서비스
- 전반적 만족도
다.
설문 기간: 2025.11.6.(목) ~ 11.28.(금)
2. 협조 요청사항
가. 학과(부) 또는 부서 홈페이지 등 학생 소통 채널 통해 설문 참여 링크 공유
대상
설문 참여 링크
주요 유관부서
학부생
(내국인)
https://seolmoon.com/?4135L
단과대학/학부(과)
학부생(외국인-한영)
https://seolmoon.com/?4136L
단과대학/학부(과)
및 국제팀
학부생(외국인-한중)
https://seolmoon.com/?4137L
단과대학/학부(과)
및 국제팀
대학원생(내국인)
https://seolmoon.com/?4138L
일반/특수 대학원
대학원생(외국인-한영)
https://seolmoon.com/?4139L
일반/특수 대학원 및 국제팀
대학원생(외국인-한중)
https://seolmoon.com/?4140L
일반/특수 대학원 및 국제팀
나. '붙임' 홍보 포스터 파일 활용 가능"
electronic_engineering,[졸업작품 발표회 유고결석 신청자 대상] 유고결석 증빙 공문 첨부,전자정보공학부,2025. 11. 10,119,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2429&pNo=1&code=notice,"[졸업작품 발표회 유고결석 신청자 대상] 유고결석 증빙 공문 첨부
2025. 11. 10
119
유고결석 공문.pdf
안녕하세요
졸업작품발표회로 유고결석 신청하는 학생들은
아래
pdf의 증빙(공문)을 다운받아서 첨부
해야한다고 합니다.
다른증빙말고 공문을 첨부해야하니 참고바랍니다!
유고결석 미신청 학생은
추가신청은 불가
합니다."
electronic_engineering,"[전자공학전공] 방산,우주 분야 전문가 특강 신청 안내(IT융합전공도 신청가능)",전자정보공학부,2025. 11. 07,304,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2428&pNo=1&code=notice,"[전자공학전공] 방산,우주 분야 전문가 특강 신청 안내(IT융합전공도 신청가능)
2025. 11. 07
304
'전자공학 전공을 배워서 어디에 쓰는지 모르겠다고요?'
'통신, 신호처리, 반도체, 회로, 전파... 배우긴 하는데, 이게 실제로 어디에 쓰이는 걸까?'
'내가 배운 전자공학으로 어떤 일을 할 수 있을까?'
그 궁금증에 대한 답을 이번 특강을 통해 찾아보세요. 이번 전자공학 특강에서는 구체적인 회사소개, 전자공학 전공자가 실제로 수행하는 업무, 그리고 취업과 진로 준비에 도움이 될 현실적인 팁까지 직접 들을 수 있는 소중한 기회가 될 것입니다.
제 2차 특강 안내: ""전자공학, 기술로 세상을 지키다 - 방산, 우주 분야""
﻿전자공학이 세상을 바꾼다는 말, 이젠 세상을 지키는 기술로 이어지고 있습니다.
대한민국의 첨단 방산 기술과 위성 시스템 개발을 이끄는
한화시스템과
LIG넥스원의 연구자
들이 직접 찾아옵니다!
*박헌웅 선임연구원(한화시스템 우주연구소 위성시스템2팀)
*김민혁 박사 (LIG넥스원 정지궤도위성개발단)
이번 특강에서는 신호처리, 통신, 전파공학 등 여러분이 배우는 전자공학의 핵심 기술이 실제로 어떻게 방산, 우주 분야에서 활용되는지 생생하게 들을 수 있습니다.
- 일시: 11월 28일(금) 16-18시
- 대상: 전자공학전공 학생(선착순, IT융합도 신청가능하나, 신청인원을 초과할 경우 전자공학전공 학생 우선 선발)
- 장소: 백마관 318호
- 신청기간: 11월 25일(화) 15시까지
- 신청 방법: 슈패스 참여신청
숭실대학교 슈패스(SSU-PATH) 시스템
- 문의사항: 02-820-0639(정다빈조교)"
electronic_engineering,[전자공학전공] 자동차분야 전문가 특강 신청 안내(IT융합전공도 신청가능)_신청기한 연장,전자정보공학부,2025. 11. 07,236,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2427&pNo=1&code=notice,"[전자공학전공] 자동차분야 전문가 특강 신청 안내(IT융합전공도 신청가능)_신청기한 연장
2025. 11. 07
236
'전자공학 전공을 배워서 어디에 쓰는지 모르겠다고요?'
'통신, 신호처리, 반도체, 회로, 전파... 배우긴 하는데, 이게 실제로 어디에 쓰이는 걸까?'
'내가 배운 전자공학으로 어떤 일을 할 수 있을까?'
그 궁금증에 대한 답을 이번 특강을 통해 찾아보세요. 이번 전자공학 특강에서는 구체적인 회사소개, 전자공학 전공자가 실제로 수행하는 업무, 그리고 취업과 진로 준비에 도움이 될 현실적인 팁까지 직접 들을 수 있는 소중한 기회가 될 것입니다.
제 1차 특강 안내: ""전자공학, 지능으로 세상을 달리다 - 자동차 분야""
﻿전자공학이 세상을 바꾼다는 말, 이젠 세상을 움직이는 기술로 이어지고 있습니다.
대한민국의 첨단 자율주행과 차량 전자 기술을 이끄는
서울대학교와 현대자동차의 연구자
들이 직접 찾아옵니다!
*전민구 박사( 서울대학교 전자정보공학부, 자율주행 전문가)
*권영훈 책임연구원 (현대자동차)
이번 특강에서는 신호처리, 비전, 제어, 통신, 센서융합 등 여러분이 배우는 전자공학의 핵심 기술이 실제로 어떻게 자율주행, 자동차 전자 시스템에 적용되는지 생생하게 들을 수 있습니다.
- 일시: 11월 17일(월) 16-18시
- 대상: 전자공학전공 학생(선착순, IT융합도 신청가능하나, 신청인원초과할 경우 전자공학전공 학생 우선 선발)
- 장소: 조만식 기념관 329호 (김도림 강의실)
- 신청기간: 11월 17일(월) 15시까지
- 신청 방법: 슈패스 참여신청
숭실대학교 슈패스(SSU-PATH) 시스템
- 문의사항: 02-820-0639(정다빈조교)"
electronic_engineering,[IT융합전공] 삼성전자 반도체 공정기술 마스터 특강 신청 관련 안내,전자정보공학부,2025. 11. 05,333,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php?m=v&idx=2423&pNo=1&code=notice,"[IT융합전공] 삼성전자 반도체 공정기술 마스터 특강 신청 관련 안내
2025. 11. 05
333
안녕하세요 학부사무실입니다.
IT융합전공 삼성전자 반도체 공정기술 마스터 특강 신청 관련 안내드립니다.
신청해주신 학생분들 개인 메일로 신청자 대상 메일 보내드렸습니다.
신청해주신 학생분들께서는 이메일에 나와있는 특강 장소로 일자에 맞춰 참석하여 주시기 바랍니다.
감사합니다."
