department,title,author,date,link,content
infosec,2025년도 2학기 진로지도교수제 상담 신청 추가접수 안내,최고관리자,2025-09-15,https://sec.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=838&page=1,"1. 내 용 : 25-2학기 진로지도교수제 상담 희망자 추가 신청 접수
2. 상세내용
가. 신청대상 : 최초 신청기간에 접수하지 않은 25-2학기 2~5학년 재학생 중 상담 희망자
나. 추가접수기간 : 2025.09.12.(금) 09:00 ~ 09.18.(목) 17:30
다. 접수방법 : 학교 홈페이지 공지글 안내에 따라 네이버 폼
https://naver.me/5AgcDmui
으로 신청
학교 대표홈페이지 접속(ssu.ac.kr) → 공지사항
→
비교과
·행사 → 상단 공지사항 확인"
infosec,[정보보호학과 2024-2025학년도 대회 수상실적 안내],최고관리자,2025-08-06,https://sec.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=835&page=1,"정보보호학과 재학생들의 2024-2025학년도 대회 수상실적을 안내합니다.
탁월한 성과를 이뤄낸 학생 여러분께 진심으로 축하의 박수를 보냅니다.
▶ 제5회 호남 사이버보안 콘퍼런스
일시: 2024.10.02
수상내용: 최우수상
수상자: 이세형(2024학번)
▶ ELECCON 2024
일시: 2024.11.13 - 2024.11.14
수상내용: 1등
수상자: 김희찬(2024학번), 이서준(2024학번)
▶ 화이트햇 스쿨 3기 최종 합격
김진호(24), 함주혁(24)
주관 : KITRI
일시 : 2025.03
▶ SCON 2025
일시: 2025.05.17
수상내용: 1등
수상자: 장현수(2025학번)
▶ SW마에스토로 제16기 프롬프트 엔지니어링 대회
일시: 2025.06.15
수상내용: 10등
수상자: 장현수(2025학번)
▶ 2025 험테온 세종
일시: 2025.07.10
수상내용: 고급부 대상
수상자: 이세형(2024학번)
수상내용: 고급부 원수상
수상자: 이서준(2024학번)
▶ 2025 Hacksium Busan
일시: 2025.07.15 - 2025.07.17
수상내용: 대상
수상자: 김희천(2024학번), 이서준(2024학번)
수상내용: 원수상
수상자: 김서진(2025학번), 백부승(2025학번)"
infosec,(중요) 정보보호학과 휴학 신청 안내 공지,최고관리자,2025-03-31,https://sec.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=833&page=1,"정보보호학과 학생 여러분께 안내드립니다.
정보보호학과는 학과 운영 방침에 따라 일반휴학은 운영위원회의 허가 없이 진행할 수 없습니다.
정보보호학과에서는 학업 연속성과 학사 운영의 원활한 진행을 위해 휴학 신청 절차를 엄격히 운영하고 있습니다. 이에 따라 휴학을 신청하고자 하는 학생들은 아래 사항을 반드시 준수해 주시기 바랍니다.
1. 일반휴학 신청 절차
•
운영위원회의 허가 없이 일반휴학 신청 불가
•
일반휴학을 원하는 학생은 사전에 학과 운영위원회의 승인을 받아야 하며, 승인 없이 개별적으로 신청하는 것은 불가능합니다.
•
휴학 신청을 희망하는 경우, 학과 사무실에 방문하여 사전 상담 후 운영위원회 심사를 거쳐 승인을 받아야 합니다.
2. 군휴학 및 기타 휴학 신청 절차
•
군휴학, 출산휴학 등의 사유로 휴학을 신청하는 경우에도 반드시 학부에 미리 신청 시기를 고지해야 합니다.
•
휴학 신청 일정을 정한 후 사전에 학과 사무실에 문의하여 안내받은 후 휴학신청을 해-` 주시기 바랍니다.
휴학 신청 절차를 위반할 경우 학사 일정에 불이익이 발생할 수 있으므로, 반드시 위 내용을 숙지하고 절차를 준수해 주시기 바랍니다.
문의사항이 있을 경우 정보보호학과 사무실로 문의해 주세요.
정보보호학과 사무실
☎ 전화번호: [02-820-0962]
감사합니다."
infosec,LG일반장학금 규정,최고관리자,2024-03-05,https://sec.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=826&page=1,
infosec,정보보호학과 졸업자격 요건,최고관리자,2024-03-05,https://sec.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=825&page=1,"1. 정보보호학과생은 위와 같이 전공자격요건 1개, 영어요건 1개를 충족해야 졸업이 가능합니다.
2. 졸업학점변경 관련
졸업학점
채플
교양선택
전공선택
133학점
6학기*.05학점
20학점
72학점
3. 진로지도교수제
매 학기 최소 한 번은 지도교수와 면담해야함."
infosec,정보보호학과 교과과정,최고관리자,2024-02-19,https://sec.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=823&page=1,"정보보호학과 교과과정 공유
1. 정보보호학과는 따로 전공기초 전공필수가 지정되어 있지 않습니다.
2. 채플은 지정채플로 학부사무실에서 일괄 수강신청처리합니다.
3. 교양필수도 해당하지 않습니다. 한반도평화통일스쿨도 필수가 아닙니다."
infosec,정보보호학과 채플 수강신청 관련 공지,최고관리자,2024-02-08,https://sec.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=821&page=1,"안녕하세요 학부 사무실입니다.
수강신청 관련 안내드립니다.
숭실대학교는 미션스쿨로 6학기까지 채플수업을 수강하셔야합니다. 정보보호학과는 지정채플을 수강하시게되며 해당 채플은 사전녹화 채플입니다.
학생들이 직접수강신청을 하지 않고  학부사무실에서 일괄처리할 예정입니다.
감사합니다."
infosec,AI대학 선포식 패널토론 질문 공모,최고관리자,2025-09-19,https://sec.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=839&page=1,"안녕하세요 학생 여러분 학부 사무실입니다.
현재 2026년 AI단과대학 신설을 맞이하여, 10월 17일(금) 오후 13:30분부터 AI대학 비전 선포식이 개최될 예정입니다.
선포식 내 프로그램으로 AI전문가 6분을 모시고 AI에 관한 패널 토론이 준비되어 있습니다. 이에 학생분들의 참여 일환으로 학생 여러분께 AI관련 질문을 받아 패널분들이 답변을 할 수 있는 시간을 마련하고자 합니다.
https://forms.gle/jUgLCh1ZUwsw388e9
해당 구글폼에 접속하셔서 9월 25일(목) 오후 15시까지 자유롭게 질문을 남겨주시면 패널분들께 질문을 정리하여 공유하도록 하겠습니다.
다양한 프로그램을 준비하여 곧 재학생 여러분을 초청하도록 하겠습니다.
당일 행사에서는 학생 여러분을 위한 다양한 기념품이 준비되어 있으니 많은 관심과 참여 부탁드립니다."
infosec,정보보호학과 개강식 취소 안내,최고관리자,2025-08-27,https://sec.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=837&page=1,"안녕하세요 정보보호학과 사무실입니다.
2025.09.04(목) 오전 10시에 예정되어 있던 개강식은 취소되었습니다.
LG U+와 산학대여장학 관련 등 추가적으로 논의를 진행인 건이 있어 정확하고 확실한 정보를 전달드리기 어렵다고 판단되었습니다. 추후 다른 자리를 마련하여 재학생 여러분을 찾아뵙겠습니다.
재학생 여러분들의 많은 양해를 부탁드립니다.
감사합니다."
infosec,2025-2학기 정보보호학과 개강식 공지,최고관리자,2025-08-26,https://sec.ssu.ac.kr/bbs/board.php?bo_table=notice&wr_id=836&page=1,"안녕하세요 정보보호학과 사무실입니다.
2025-2학기 정보보호학과 개강식을 개최하려합니다.
아래의 내용을 확인하시고 많은 참여 부탁드립니다.
1학년 신입생 여러분을 환영합니다. 참석 부탁드립니다.
1. 일시 : 9월 4일(목) 오전10시
2. 장소: 정보과학관 406호 실습실
3. 점심식사 제공
4. 개강식 개요.
가. 학부 구성원 소개
나. 학부 소개
다. 학생회 소개
점심식사  수령 후 퇴실
감사합니다."
