department,title,author,date,link,content
globallaw,[모집] 2026학년도 1학기 학·석사연계과정 지원 및 선발 안내,N/A,2025-11-12,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4971,"2026학년도 1학기 학·석사연계과정 지원 및 선발을 아래와 같이 진행합니다.
1. 지원기간 : 2025.12.1.(월)~12.12.(금)
2. 모집학과 : 학사과정과 석사과정에 동일(또는 유사)학과가 있는 학과(계약학과 제외)
3.지원자격 :
다음 각호 모두 해당되는 자
가. 지원일 당시 학사과정 4학기 이상 6학기 이내 재학 중(건축학부 건축학전공은 6학기 이상 8학기 이내 재학 중)인 자 (학·석사연계과정 신청자는 조기졸업 신청을 할 수 없음)
나. 재수강 이전 과목, 학점포기한 과목, F학점 과목 등을 포함한 전체 과목의 총평점평균이 3.0 / 4.5 이상인 자 (학적부성적)
다. 7학기 또는 8학기(건축학부 건축학 전공은 9학기 또는 10학기)에 학사과정의 졸업요건을 충족할 수 있는 자
라. 지원하고자 하는 일반대학원 학과 주임교수와 지도교수의 추천을 받은 자
마. 지원하고자 하는 일반대학원의 동일(또는 유사)학과를 주전공 또는 복수전공으로 하는자
4. 제출서류
가. 학·석사연계과정 신청서(붙임 1) 1부.
나. 학적부성적 1부.
5. 지원방법 : 대학원 교학팀으로 방문 접수(웨스트민스터홀 658호)
6. 선발인원 : 석사과정 입학정원의 20%
7. 발표일 : 2026.1.23.(금) 예정 – 학과 및 개별 통지
8. 관련 안내
가. 대상 : 지원 가능 대상자 및 학과
나. 방법 : 안내문(붙임 2) 배포 및 대학원 홈페이지 공지
9. 문의처 : 대학원 교학팀(02-820.0258~9 ,
grad@ssu.ac.kr
)
붙임 1. 학·석사연계과정 신청서 1부.
2. 2026-1 학·석사연계과정 안내문 1부.  끝."
globallaw,[안내]  법학 연구소 & 유엔 국제(상)거래법 위원회 아시아태평양지역센터(RCAP) 공동 주관 행사,,2025-11-6,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4957,"법학 연구소가 유엔 국제(상)거래법 위원회(UNCITRAL)의 아시아 태평양 지역 센터(Regional Center of Asia and Pacific(RCAP)와 공동으로 다음 행사를 개최합니다. 관심 있는 학우/원우들/교수님들의 많은 참여 바랍니다.
발표자는 길시온(법률전문관, 본교 동문), 아티타 코민더(RCAP 소장, 영상발표), 마이클 찬(법률전문관)입니다.
다과도 준비되어 있습니다.  많은 참여 부탁드립니다.
주제: 국제 세미나 “무역의 디지털 화: 처음부터 끝까지”
시간: 2025.11.7. (금) 10:30 -11:50
장소: 진리관 407호
주관:  숭실대학교 법학 연구소 & 유엔 국제(상)거래법 위원회 아시아태평양지역센터(RCAP)"
globallaw,[졸업] 2025-2학기 국제법무학과 졸업시험 시행 안내,,2025-10-22,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4872,"2025-2
학기 국제법무학과 졸업시험 시행 안내를 드리오니 졸업대상자에 해당하는 학생들은 확인하시고 신청하시길 바랍니다
.
1.
대상자
:
2026
년
2
월 졸업 대상자
(4
학년
2
학기 재학생
,
조기졸업 대상자
,
수료생 중 졸업예정등록 신청자
)
2.
시험일정
–
일시
:
2025.11.12.(
수
) 18:00 ~ 20:10
1
교시 한국법
(18:00~19:00)
2
교시 외국법
(19:10~20:10)
※쉬는시간
19:00~19:10
–
장소
:
진리관 308호
3.
졸업시험 신청
–
일시
:
2025.10.20.(
월
) ~ 2025.10.27(
월
) 14:00
까지
–
신청방법
: 구글폼 작성 https://forms.gle/oHJLgAQhvGuqgBbT8
–
신청 시 첨부 서류
:
이수구분별 성적표
1
부
(U-saint
→학사관리→성적‧졸업→이수구분별 성적표
)
*
신청 이후 시험과목 변경이 불가능하오니 신중하게 과목을 선택하시기 바랍니다
.
4.
졸업종합시험 과목
(
총
4
과목
)
1)
한국법
2
과목
가
)
다음의 과목 가운데 택
1 (
헌법
,
재산법특강
,
형법특강
)
나
)
다음의 과목 가운데 택
1 (
지식재산권법
,
행정법
,
사회법
,
민사절차법
,
형사절차법
,
대륙법과영미법
)
2)
외국법
2
과목
가
)
다음의 과목 가운데 택
1 (Contract, Real Property, Torts, Evidence, Constitution, Civil Procedure, Comparative Criminal Law)
나
)
다음의 과목 가운데 택
1 (
동아시아법
, EU
법
,
국제법
, Private International Law, International Business Transaction)
5.
졸업시험 대체 인정
–
기한
:
2025.11.12.(
수
) 11:00
까지
(
※학과사무실 운영시간
09:00~17:30)
–
장소
:
국제법무학과 사무실
(
진리관
515
호
)
–
제출방법
:
아래 대체인정항목 중 택
1
하여 증빙서류를 방문 및 우편으로 제출
(
팩스나 이메일 제출 불가
)
□대체인정항목
(
※증명서 첫 장 오른쪽 상단에 학번
,
휴대폰번호 반드시 기재
)
학술지 논문 등재
(
등재지
–
공저
,
등재후보지
–
단독 이상
)
국제모의재판경연대회 입상
각종 국제대회 입상
다음의 자격 취득
(
최종합격
)
법무사
,
변리사
,
공인회계사
,
공인노무사
,
행정사
,
세무사
,
관세사
,
공인중개사
,
감정평가사
,
보험계리사
,
보험중계사
,
손해사정사
,
사회복지사
(1
급
),
가맹사업 거래상담사
공무원 시험 최종 합격
(
재직증명서 및 최종합격통지서
)
행정고시
,
외무고시
1
차 합격
6.
합격 기준
-4
과목 평균
60
점 이상
-4
과목 중
1
과목이라도
40
점 미만일 경우 불합격
7.
시험범위
구분
과목
시험범위
한국법 가
(
택
1)
헌법
강경근,『국헌학』(법문사 2021년), 362~367, 373~376면.(총 10페이지)
재산법특강
물권의 효력과 변동
형법특강
중지미수(제26조)와 공동정범(제30조)- 의의, 행위공동설과 범죄공동설, 성립요건 (합동범 제외)
책은 어느 책이든 상관 없지만 중지미수 전체와 공동정범 해당 부분의 쟁점들이 출제 대상
예: 박상기·전지연, 형법학 4판 기준, p.219-232과 p.252-267 (박상기·전지연, 형법학 5판 기준, p.219-233과 p.252-267)
유의사항: 법전 참조 금지 [필요한 경우 법전의 관련 조문을 문제지에 제공]
한국법 나
(
택
1)
지식재산권법
(1) 산업재산권법과 저작권법의 제도적 차이
(2) 브랜드를 법적으로 보호하는 다양한 방법
(3) 아이디어를 보호하는 다양한 방법
행정법
–
사회법
사회법 전체
민사절차법
변론주의와 처분권주의
형사절차법
체포·구속된 자의 권리와 공소 제기의 효과
어느 책이든 관계 없으나 ’체포·구속된 자의 권리‘와 ’공소 제기의 효과‘가 출제 대상
(예: 이주원, 형사소송법 제3판 기준, p.149~161과 p.258-270)
법전 참조 허용 [판례가 법전에 표기되어 있지 않아야 함]
대륙법과 영미법
대륙법과 영미법 비교
외국법 가
(
택
1)
Contract
Consideration
Real
Property
The rule against perpetuities
Torts
Scope: Negligence (duty, breach, causation, damages), premises liability to invitees, comparative negligence/assumption of risk, strict liability for abnormally dangerous activities, basic products liability (manufacturing vs. design defect; failure to warn).
Instructions: Open-book for printed materials only; no electronic devices. Choose one of the
following questions and answer it in RAC format —state the governing rule(s), apply them to the facts, and give a concise conclusion.
Evidence
Scope: Relevance (FRE 401–403), character evidence & prior acts (FRE 404–405), impeachment (FRE 608 –609), hearsay basics & key exceptions (FRE 801 –803, 805), and the foundations of expert reliance (FRE 702–703). Do not discuss authentication (FRE 901) or the best evidence rule (FRE 1002).
Instructions: Open-book for printed materials only; no electronic devices. Choose one of the following questions and answer it in RAC format —state the governing rule(s), apply them to the facts, and give a concise conclusion. If an item would normally raise authentication/best -evidence issues, assume those are satisfied and do not analyze them.
Constitution
Scope: The entire class material.
Directions : Open-book for printed materials only; no electronic devices. Choose any three of the following questions and answer them.
Civil Procedure
Scope: Personal jurisdiction (specific vs. general), subject -matter jurisdiction (federal
question/diversity; amount in controversy), venue & transfer (28 U.S.C. §§ 1391, 1404), basics of removal, and Erie (Hanna/Shady Groveframework; Rules Enabling Act; “twin aims”). This section does not include summary judgment or Rule 8/plausibility.
Instructions: Open-book for printed materials only; no electronic devices. Choose one of the following questions and answer it in RAC format —state the governing rule(s), apply them to the facts, and give a concise conclusion. Apply the FRCP and relevant federal statutes and case law.
Comparative
Criminal Law
– The Doctrines of Mens Rea 중 다음 사항이 출제 대상임:
Concept of Mens Rea, Intent/Knowledge/Recklessness, Statutory Interpretation, MPC 1.13 (5) & 2.02
– (Richard G. Singer, John Q Law Fond Shima B. Baughman, Criminal Law, 7th edition, p.63~74, p.80~97)
–
유의사항
: You may not refer to any material
Questions will include proper Model Penal Code if it is necessary
외국법 나
(
택
1)
동아시아법
중국법, 일본법
EU
법
All items of EU law covered in class
국제법
국제법 기초
*중요*
기간 내 미신청자는 시험에 응시할수 없습니다.
신청후 미응시자는 결시로 불합격되며 추가로 진행되는 해당학기의 졸업시험에 응시자격이 없습니다."
globallaw,[안내] 2025-2학기 교차수강과목 변경안내,,2025-7-31,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=3748,"[안내] 교차수강 과목안내
2025-2학기부터 변경되는 교차수강 과목 안내드립니다.
기존 상법연습이 폐지됨에 따라 회사법으로 교차수강가능합니다.
교차수강 전체과목(25-2학기기준)
행정법1
국제법1
보험해상법
친족상속법
헌법소송법
민사법연습
법제사
회사법"
globallaw,[장학] 국제법무학과 백마성적우수장학금 선정기준 안내,,2024-8-14,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4520,"백마성적우수장학금과 관련하여 국제법무학과 내규를 다음과 같이 안내드립니다. (2022.07.25. 지식재산융합전공 관련 내용 추가)
1. 직전학기
15학점 이상
이수한 자
2. 국제법무학과에서
해당 학기에 개설된 해당 학년 전공과목을
4과목 이상
이수한 자
3. 해당 학기에 개설된 해당 학년 국제법무학과 전공과목 수가
4과목이 안되는 경우
다음의 기준을
순차적용
① 국제법무학과 전공과목 4과목(해당 학년 전공과목 필수) 이상 이수한 자
② 국제법무학과 전공과목 3과목(해당 학년 전공과목 필수) 이수 + 법학과 교차수강 8과목 중 1과목 이수한 자
(지식재산융합전공 이수자는 법학과 융합선택 10과목 중 1과목 이수한 자)
③ 국제법무학과 전공과목을 3과목(해당 학년 전공과목 필수) 이상 이수한 자
*타 학과를 복수전공 하는 학생의 경우 타 학과 전공 학점은 인정되지 않음
4. 등록학기가
8학기 이내인
자(편입생은 4학기 이내)
5. F학점 포함 학적부성적 기준 직전학기
3.8이상
인
자
*2024년 2월 19일 u-saint 장학공지에 [백마성적우수장학생 선발 기준 변경 공고] 확인
6. 국가장학금을 신청하여 소득분위 조회가 가능한 자(1차 신청자 사전감면, 2차 신청자 사후지급)
7. 성적장학금
제외대상
① 입학성적우수장학금(4학기), 특성화장학금(8학기), 숭실글로벌장학금 수혜자의 경우에는 성적우수장학금(백마장학금)과 중복수혜 불가
② 한국장학재단 국가장학금 미신청자
③
국제법무학과 전공과목 3과목 미만 수강자
8. 학과 비교과프로그램에 적극 참여한 자 중에서 성적우수자에게는 가산점 일부 반영
*
지식재산융합전공 필수과목
은 국제법무학과 해당 학기에 개설된 해당 학년 전공과목으로 인정(2022년~)
* 위 사항을 원칙으로 학과 교수진 회의를 통해 최종적으로 결정합니다.
* 백마성적우수장학금 대상자는 개별적으로 공지하지 않습니다.
* 문의 : 국제법무학과 학과사무실 (02-820-0486, ila@ssu.ac.kr)"
globallaw,[졸업사정] 이수구분 변경- 교차수강 및 타학과 전공인정 시행사항 (2021-1학기 개정),,2023-6-26,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4525,"** 학칙 시행세칙 제 20조
[개정 2009년 7월20일] 타학과에서 개설한 전공과목중 소속학부에서 지정한 과목을 이수한 경우 이를 전공선택 과목으로 인정할 수 있다. 단, 다전공 이수자에게는 이를 적용하지 아니한다. (융합전공 신청자는 전공선택 과목 관련하여 학과사무실에 문의)
*
2013년도부터 2016년도까지
진행되어 오던 전공 8과목
(민법총칙, 전공탐색세미나, 헌법1, 형법총론, 상법총칙, 국제법1, 노동법1, 민사소송법1)은 2011, 2012 학번 제외 인정
*
2016년도는
타학과 인정과목(법학과 전공선택 모든과목)은 모든 학번 대상 인정
*
2017-1학기부터 2020-2학기까지
이전에 인정되어오던 8과목이 없어지고
(행정법1, 국제법1, 보험해상법, 친족상속법, 헌법소송법, 민법연습, 상법연습)은 모든 학번 대상 인정
*
2017년도 2학기부터 2020-2학기까지
국제법 2는 모든 학번 대상 인정
*
2021-1학기부터
법학과 교차수강 과목(8)
(행정법 1, 국제법 1, 보험해상법, 친족상속법, 헌법소송법, 민법연습, 상법연습, 법제사)
*이수구분 변경방법
U-saint에서 학생 변경 신청(
8학기
째 신청)>학과 검토 및 승인>학사팀 최종 승인 후 반영됩니다."
globallaw,[졸업] 2025-2학기 졸업시험 신청자 명단 및 신청과목 안내,,2025-10-31,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4920,"2025-2학기 졸업시험 신청자 명단(학번)을 공지합니다.
아래와 같이 신청자들의 학번 및 신청과목을 공지하오니 참고바랍니다.
신청과목은 변경되지 않습니다.
학번
한국법(가)
한국법(나)
외국법(가)
외국법(나)
20220580
헌법
민사절차법
Evidence
국제법
20220033
재산법특강
지식재산권법
Civil Procedure
동아시아법
20220034
헌법
민사절차법
Constitution
동아시아법
20220579
헌법
형사절차법
Evidence
국제법
20211991
헌법
대륙법과영미법
Comparative Criminal Law
국제법
20210456
재산법특강
지식재산권법
Civil Procedure
동아시아법
20190827
헌법
사회법
Contract
EU법
20220587
형법특강
형사절차법
Evidence
국제법
20180052
헌법
지식재산권법
Civil Procedure
국제법
20222241
재산법특강
민사절차법
Evidence
동아시아법
20190798
재산법특강
사회법
Contract
국제법
20190797
헌법
사회법
Torts
EU법
20212337
재산법특강
민사절차법
Civil Procedure
동아시아법
20190821
헌법
민사절차법
Civil Procedure
국제법
20212330
재산법특강
형사절차법
Evidence
국제법
20202368
재산법특강
대륙법과영미법
Real Property
EU법
20190803
헌법
대륙법과영미법
Contract
EU법"
globallaw,[수상] 제20회 대학(원)생 지식재산우수논문 공모전,,2025-10-24,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4893,"[수상] 제20회 대학(원)생 지식재산우수논문 공모전
본교 법과대학 국제법무학과 김채원(22), 천예랑(23), 법학과 서지예(23) 팀이 지식재산처가 주최하고, 한국지식재산연구원이 주관하는 제20회 대학(원)생 지식재산우수논문 공모전에서 장려상(한국지식재산연구원장상)을 수상하였습니다.
축하와 격려를 보냅니다."
globallaw,[수상] 제17회 국제인도법 모의재판 경연대회,,2025-10-24,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4891,"[수상] 제17회 국제인도법 모의재판 경연대회
본교 법과대학 국제법무학과팀(유재현(21), 강지윤(21), 이하정(21))이 2025년 9월 27일(토)에 국제적십자위원회와 대한적십자사가 주최하는 제17회 국제인도법 모의재판대회에서 최고변론서상 The Best Memorial Award(피고측)을 수상하였습니다.
축하와 격려를 보냅니다."
globallaw,[안내] 10월 특강  Special Lecture in October,,2025-10-22,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4882,"1. 강좌명: 식민지 시기 일본의 한국에 대한 전쟁범죄 (Japanese War Crime against Koreans during Japanese colonial period)
2. 시간: 10월 29일 (수) 15:00 – 17:00
3. 장소: 웨스트민스터홀 442호
4. 강사: 신희석 박사 (전환기정의워킹그룹 법률분석관, 유엔 인권이사회 자의적 구금 실무 그룹 위원)
5. 대상 : 숭실구성원 누구나
6. 주관 : 국제법무학과, 평화통일연구원 공동주관
7. 신청 방법: 포스터 내 QR코드 인식 혹은 하단 링크 접속 후 구글폼 작성(https://docs.google.com/forms/d/e/1FAIpQLSeHO4PTBBDQurN0I6OivTXivzg9B3PkDE3ntyfw9xIszq8ZbQ/viewform)
8. 문의 : [국제법무학과 학과장] 이상현 교수 slee10@ssu.ac.kr"
globallaw,[안내] 2025학년도 2학기 학부 중간 강의평가 실시 방법 변경 안내,,2025-10-16,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4867,"중간 강의평가 실시 방법 변경 사항을 다음과 같이 안내하오니 참고하시기 바랍니다.
가. 2025학년도 2학기 학부 중간 강의평가 변경 사항 안내
구분
변경 전
변경 후
일정
2025. 10. 6.(월) 9:00
~ 10. 17.(금) 23:59
(6주차 ~ 7주차)
동일
실시
방법
· PC: u-SAINT 학사관리 → 수업/출석
→ 강의평가 실시 → 조회조건에서
학년도 및 학기 확인 후 “조회” 선택
→ 수강과목 선택 후 평가 실시
· 모바일: 스마트포탈 앱 → 우측 상단
메뉴 선택 → 수업 → 강의평가 →
수강 과목 선택 후 평가 실시
· u-SAINT 학사관리 → 수업/출석
→
강의평가 실시
→ 조회조건에서
학년도 및 학기 확인 후
“조회”
선택
→ 수강과목 선택 후 평가 실시
나. 변경 사유: 2025학년도 2학기부터 스마트포탈 앱 운영 중단에 따라 스마트포탈 앱을 통한 강의평가 실시 불가
다. 요청 사항: 2025학년도 2학기 중간 강의평가 참여율 제고를 위해 소속 학생 대상 일정 및 실시 방법 안내"
globallaw,[안내] 첨단 해양모빌리티 국제포럼 개최 및 프로그램 안내,,2025-10-16,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4865,
globallaw,[안내] 국제형사재판소의 제7차 아시아-태평양 포럼,,2025-10-16,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4862,"< 국제형사재판소의 제7차 아시아-태평양 포럼 >
-시간: 11월4일(화) 한국시간 오후 5-7시
-온/오프 하이브리드 방식 참여: 네덜란드 헤이그 현지 + 온라인 MS Teams 통해 참여 가능
-영어 진행 :첨부파일에 상세 스케줄 참조"
globallaw,[안내] 2025학년도 학부/대학원생을 위한 폭력예방교육,,2025-10-13,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4858,"2025
년 학부
/
대학원생을 위한 폭력예방교육을 다음과 같이 진행할 예정입니다
.
1.
교육 개요
가
.
과정명
: 2025
년 학부
/
대학원생을 위한 폭력예방교육
나
.
유형
:
필수교육
(
법정의무교육
)
다
.
기간
: 2025.10.01.(
수
) ~ 2025.12.31.(
수
)
라
.
대상
:
학부
/
대학원 재학생
(
외국인 포함
)
※
1
학기에 해당 교육을 이수한 인원은 재이수 불필요
마
.
방식
:
온라인 동영상 강의
(
한국어
,
영어
,
중국어 제공
)
바
.
내용
:
성희롱
,
성폭력
,
가정폭력
,
인권
,
성인지
, 2
차 피해
사
.
이수 기준 및 이수증
:
차시에 상관없이 언어별
1
개 강의
100%
이수 시 이수증 발급
2.
교육 이수 방법
(
붙임 매뉴얼 참조
)
u-SAINT
로그인 →
LMS
바로가기
(
왼쪽 메뉴 영역 중간
)
→ 마이페이지
(Learning)
→
2025
년 학부
/
대학원생을 위한 폭력예방교육→
‘
과목 홈 바로가기
‘
→ 주차학습
→ 언어별 강의 선택
(
한국어
,
영어
,
중국어 중 택
1
가능
)
3.
안내사항
가
.
미이수자 학기말 성적 조회 제한
1) 2025.12.20(2
학기 종강일
)
까지 이수 시 성적조회 기간에 조회 가능
2) 2025.12.21(
일
)
부터 성적조회 기간 내 이수 시 교육 이수 다음날 오후에 성적조회 가능
나
.
이수율 저조 시 미이수자에게 독려 문자 및 메일 발송 예정
.
붙 임
LMS
교육 이수 매뉴얼
1
부"
globallaw,[안내] 제4회 古堂 모의재판 경연대회,,2025-10-13,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4854,"제4회 古堂 모의재판 경연대회에 관해 안내드립니다.
1. 대상: 숭실대학교 재학생 누구나
2. 진행일정: 아래 포스터와 첨부된 한글파일 참고
3. 인원: 팀별 3~4명(변론경연시 두 명은 반드시 변론에 참가해야 함, 동일인의 복수 팀 참여 불가)
4. 문의처: 제 4회 古堂 모의재판 경연대회 운영위원회 담당자(이메일: 4thmocktrial@gmail.com)"
globallaw,법과대학 국제법무학과/법학과 9월 특강,,2025-9-22,https://lawyer.ssu.ac.kr/%ed%95%99%ea%b3%bc-%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc-%ea%b3%b5%ec%a7%80/?term_id&slug=4849,"1.
주제
:
감정평가사
/
법무사 소개 및 공인자격시험 대비 전략
(1)
감정평가사
/
법무사 소개
,
공인자격시험
2
차 대비 답안 작성 비법
송광용 법무사
/
감정평가사
(
본교 대학원 법학과 박사과정 재학
)
(2)
감정평가사 진로
,
감정평가법인의 업무
,
감정평가사 시험 준비 전략
정재운 감정평가사
(
본교 법대 국제법무학과 졸업
,
감정평가법인
)
2.
시간
: 9
월
30
일
(
화
)
오후
4
시
30
분
– 6
시
1) 4
시
35
분
~ 5
시
15
분
감평
/
법무사 소개
, 2
차시험 대비 논술형 답안작성 비법
2) 5
시20분
~ 6시
감정평가사 진로
:
감정평가법인의 업무
,
감정평가사 시험 준비 전략
3.
장소
:
진리관
302
호
4. 대상: 국제법무학과 법학과 학우들과 모든 숭실 학우들"
