department,title,author,date,link,content
law,[졸업] 2025-2학기 졸업 종합 안내,N/A,2025-11-03,https://law.ssu.ac.kr/menu5/m5sub3/?term_id&slug=1789,"안녕하세요, 법학과 사무실입니다.
2025-2학기 졸업 종합 안내드립니다.
자세한 내용은
첨부파일 참조
부탁드립니다.
1.  2025-2학기 졸업 관련 일정
구분
학생 신청 기간
학과 승인 일자
학사팀 처리 일자
다전공 포기/
이수구분 변경 1차
10/01(수)~10/14(화)
10/15(수)~10/21(화)
10/24(금)
졸업논문 제출
/
시험 결과 입력
~12/12(금)까지
학과사무실로 제출
~12/31(수)
다전공 포기/
이수구분 변경 2차
12/01(월)~12/07(일)
12/08(월)~12/12(금)
12/15(월)
졸업 확정 신고 1차
12/01(월)~12/19(금)
–
12/26(금)
졸업 확정 신고 2차
26/01/05(월)~01/18(일)
–
01/23(금)
졸업 일자
2026/02/20(금)
2.  졸업 절차 – 학적 상태 별 선택지
학적 상태 별 선택지는
1. 졸업, 2. 추가학기, 3. 유예, 4. 수료
가 있습니다.
첨부파일 안내를 참조하시어 본인에게 불이익이 없도록 잘 확인 부탁드립니다.
감사합니다."
law,[안내] 2025학년도 다전공 박람회(10/31),N/A,2025-10-24,https://law.ssu.ac.kr/menu5/m5sub3/?term_id&slug=1780,"안녕하세요, 법학과 사무실입니다.
2025학년도 다전공 박람회를 진행하오니 많은 참여 바랍니다.
1. 행사 개요
가. 일시: 2025.10.31.(금) 10:00 ~ 16:00
나. 장소: 진리관 앞 도로
다. 대상: 교내 구성원
라. 내용
1) 대학혁신지원사업 유관부서 부스 운영 및 사업 홍보
2) 다전공 관련 부서 부스 운영 및 다전공 제도 홍보, 간이 검사 진행
3) 홍보용 커피 트럭과 인생네컷 운영, 부스 탐방 완료 시 기념품 증정 및 행운권 추첨
2. 영역별 부스
가. 메인부스: ① 교육과정혁신팀(학생혁신단)
나. 다전공 영역: ② 전공설계지원팀, ③ 융합교육혁신팀, ④ 차세대반도체학과, ⑤ 학사팀
다. 교육혁신 영역: ⑥ 교수학습혁신팀, ⑦ 대학일자리플러스사업단
라. 연구산학 영역: ⑧ 창업지원팀, ⑨ 산학협력진흥팀
마. ESG/학생지원 영역: ⑩ 사회공헌팀, ⑪학술정보운영팀, ⑫ 학술정보지원팀\"
law,[수업] 2025학년도 겨울계절제 국내대학 학점교류 실시 및 신청,N/A,2025-10-22,https://law.ssu.ac.kr/menu5/m5sub3/?term_id&slug=1736,"안녕하세요, 법학과 사무실입니다.
2025학년도 겨울계절제 국내대학 학점교류 실시 및 신청 안내드립니다.
1. 신청 자격
가. 2025-2학기 3~7학기 재학생
나. 직전 학기까지 학업성적이 총 평점 평균 3.0 이상
다. 학칙에 의거 징계받은 사실이 없는 자
2. 신청 학점: 6학점 이내(계절제 수강신청 가능 총 학점 범위)
3. 국내 대학 학점교류 진행 방식
학생
학과
단과대학
학사팀
학점교류 신청서
(붙임1) 작성 후
학과에 제출
▷
학점교류 신청 접수 및 과목 승인
(학과(부)장)
▷
학과에서 제출한
서류를 취합하여
학사팀으로
공문 송부
▷
단과대학 신청
공문 취합,
학생 온라인 접수
(LMS) 확인 후
교류 학교로
공문 송부
◁
학점교류 신청 승인 결과 안내
승인 받은
학점교류 신청서
소속 학과에 제출,
온라인 접수(LMS)
학점교류생 명단
(붙임3)을 작성하여
학생 제출 서류와
함께 단과대학 제출
※  홈페이지▶학사▶학생교류지원▶학점교류 신청하기 게시판에
대학별 실시 계획이 확정되는 대로
계속 업데이트
예정
4. 제출 서류
국내대학 학점교류 신청서(붙임1) 작성하여 학과사무실 제출
교류대학별 신청 기한(
학교 홈페이지 공지
←클릭) 마감일
전날까지
신청 접수"
law,[안내] 2025학년도 2학기 학부 중간 강의평가 일정 및 방법(~10/17),N/A,2025-10-10,https://law.ssu.ac.kr/menu5/m5sub3/?term_id&slug=1692,"안녕하세요, 법학과 사무실입니다.
2025학년도 2학기 학부 중간 강의평가 일정 및 방법 안내드립니다.
가. 2025학년도 2학기 학부 중간 강의평가 변경 사항 안내
구분
변경 전
변경 후
일정
2025. 10. 6.(월) 9:00
~ 10. 17.(금) 23:59
(6주차 ~ 7주차)
동일
실시
방법
· PC: u-SAINT 학사관리 → 수업/출석
→ 강의평가 실시 → 조회조건에서
학년도 및 학기 확인 후 “조회” 선택
→ 수강과목 선택 후 평가 실시
· 모바일: 스마트포탈 앱 → 우측 상단
메뉴 선택 → 수업 → 강의평가 →
수강 과목 선택 후 평가 실시
· u-SAINT 학사관리 → 수업/출석
→
강의평가 실시
→ 조회조건에서
학년도 및 학기 확인 후
“조회”
선택
→ 수강과목 선택 후 평가 실시
나. 변경 사유: 2025학년도 2학기부터 스마트포탈 앱 운영 중단에 따라 스마트포탈 앱을
통한 강의평가 실시 불가
다. 강의평가 연동 학생 성적 조회 안내
구  분
중간 강의평가
실시
미실시
기말
강의평가
실시
교원 성적 입력 직후부터
성적 입력 기간 마감 3일 전부터
미실시
성적 입력 기간 마감 이후부터
·
교원 성적 입력 기간: 2025. 12. 8.(월) 9:00 ~ 12. 26.(금) 15:00
· 학생 성적 조회 및 이의 신청 기간: 2025. 12. 27.(토) 9:00 ~ 12. 30.(화) 23:59
※ 성적 조회 및 이의 신청 기간 중 강의평가 실시 여부와 관계없이 학생 성적 조회 가능"
law,[안내] 2025년 학부/대학원생 폭력예방교육(법정의무교육) 안내,N/A,2025-10-10,https://law.ssu.ac.kr/menu5/m5sub3/?term_id&slug=1690,"안녕하세요, 법학과 사무실입니다.
2025년 학부/대학원생 폭력예방교육 일정을 아래와 같이 안내드립니다.
1. 교육 개요
가. 과정명: 2025년 학부/대학원생을 위한 폭력예방교육
나. 유형: 필수교육(법정의무교육)
다. 기간:
2025.10.01.(수) ~ 2025.12.31.(수)
라. 대상: 학부/대학원 재학생(외국인 포함)
※ 1학기에 해당 교육을 이수한 인원은 재이수 불필요
마. 방식: 온라인 동영상 강의(한국어, 영어, 중국어 제공)
바. 내용: 성희롱, 성폭력, 가정폭력, 인권, 성인지, 2차 피해
사. 이수 기준 및 이수증: 차시에 상관없이 언어별 1개 강의 100% 이수 시 이수증 발급
2. 교육 이수 방법(붙임 매뉴얼 참조)
u-SAINT 로그인 → LMS 바로가기(왼쪽 메뉴 영역 중간) → 마이페이지(Learning)
→ 2025년 학부/대학원생을 위한 폭력예방교육→ ‘과목 홈 바로가기’ → 주차학습
→ 언어별 강의 선택 (한국어, 영어, 중국어 중 택 1 가능)
3. 안내사항
가.
미이수자 학기말 성적 조회 제한
1)
2025.12.20(2학기 종강일)까지 이수 시 성적조회 기간에 조회 가능
2) 2025.12.21(일)부터 성적조회 기간 내 이수 시 교육 이수 다음날 오후에 성적조회 가능
나. 이수율 저조 시 미이수자에게 독려 문자 및 메일 발송 예정."
law,[안내] 2025-2학기 진로지도교수 상담 신청 최종접수(~10/01),N/A,2025-09-25,https://law.ssu.ac.kr/menu5/m5sub3/?term_id&slug=1680,"안녕하세요, 법학과 사무실입니다.
2025-2학기 진로지도교수 상담 신청 안내드립니다.
2025학년도 2학기부터 진로지도교수 상담제도가 변경되어,
2~5학년
은
상담 신청자에 한하여
상담이 진행됩니다.
학과 교수님께 학기 중 진로지도
상담을 희망하는 학생
은 아래 링크에서 기한 내 신청하여 주시기 바랍니다.  금회 신청이 2025-2학기 상담 최종 신청이므로 향후 추가 신청은 불가합니다.
※ 1학년(25학번)은 의무 상담 대상이므로 별도의 신청이 필요하지 않습니다.
1.  대상자 : 2025-2학기
2~5학년
숭실대학교 재학생
2. 신청방법 : 아래 링크의 네이버 폼에서 신청
신청 링크 :
https://naver.me/5AgcDmui
3. 신청기간 :
2025.09.24.(수) 09:00 ~ 10.01.(수) 17:30
※ 문의 :
knh2@ssu.ac.kr
/ 02-820-0074
숭실대학교 진로취업센터"
law,[유고결석] 2025-2학기 유고결석 안내,N/A,2025-09-24,https://law.ssu.ac.kr/menu5/m5sub3/?term_id&slug=1673,"보건결석 및 유고결석 안내사항
※ 학사관리에 관한 내규 제7조(출석인정의 예외)에 따라, (보건)유고결석의 최종 승인 여부는
담당 교수의 재량
임.
✔
보건결석 신청
[1
회
1
일 신청 가능
,
학기
3
회 제한
]
※ 보건결석 신청 시 증빙서류 필요 없음
 보건결석은 여학생이 월경통으로 인해 부득이하게 결석할 시 출석으로 인정하는 제도
 결석일로부터
7
일 이내에 신청
되어야 하며,
7
일 경과 시 추후 신청 불가
 결석사유에는 “
보건
,
월경
,
생리
”로 기재하여야 승인 가능.
 기타질병(복통, 감기몸살, 병원치료 등)에 대해서는 승인 불가(기타 질병은 질병결석으로 신청)
 다음 신청은 직전 결석일
다음날로부터
22
일째 되는 날
부터 재신청 가능
[(예시) 9월 1일 보건결석일 → 9월 23일 보건결석 신청 가능]
✔
유고결석 신청 안내
 결석 종료일 기준(결석일 포함)
10
일 이내에 신청
처리 되어야 하며,
10
일 이내 미신청 시 신청 불가
✔
(
보건
)
유고결석 절차 및 주의사항
학생
➜
학생서비스팀
➜
시스템
➜
교수
학생
유고결석 신청
유세인트
[u-Saint]
[
증빙서류 업로드 필수
]
학생서비스팀 승인
LMS
자동 연동
담당 교수 확인 후
최종 승인 여부 결정
[
승인 여부 교수 권한
]
결석신청 및 조회
[
진행상태
]
확인
✔
신청방법 및 주의사항
신청방법: 유세인트 -> 학사관리 -> 수업/출석 -> 결석신청 및 조회 -> 결석신청정보[신청] 클릭 ->유의사항 확인 후 체크
-> 결석신청 내용 입력 -> 증빙 파일 업로드한 뒤 [신청] 클릭 -> 결석적용 과목 체크 및 확인 후 [저장] 클릭
※ “구분”이란 항목은 결석사유에 맞게, 결석일의 해당 과목은 한꺼번에 신청 필수)
결석구분은
병무관계
,
혈족사망
,
공식행사
,
질병 중 선택
하여,
결석 사유를 정확히 기재
하여 신청 바람
※ 여학생 월경통은 보건결석으로 신청 바람
승인이 거부되면 신청페이지에 “거부”로 기재되며, 거부된 신청은 신청 횟수에 포함되지 않습니다.
결석일로부터 기간
[
유고결석
10
일
/
보건결석
7
일
]
이내에 거부 사유를 수정하여 반드시 신청
되어야 합니다.
질병 유고결석 관련 증빙서류 제출 시 진료 일자 및 병명 수기 작성은 반드시 해당란에 병원장 확인 도장을 받아야 합니다.
질병 유고결석 관련 증빙서류는
진료확인서
/
진단서
/
입통원확인서 중
1
개는 필수 제출
이며,
필수 서류 제출을 하지 않거나 이외 서류를 제출 시 거부
됩니다.
기말고사, 성적 평가, 계절학기 기간은 신청할 수 없습니다. [본교 학사일정 기준]
개인적으로 참가한 공모전, 대회, 행사, 기업 면접, 졸업 시험, 대외활동, 교통편 연착, 졸업 여행 등은
유고결석으로 인정하지 않습니다
.
채플은 보건결석으로 인정되지 않으므로 사용이 불가
합니다.
기간 이내에 승인 여부를 반드시 확인하여야 하며,
미확인으로 인한 불이익은 본인
에게 책임이 있습니다.
학생서비스팀
승인 후 변경 및 취소는 불가
하니 신중히 신청하여야 합니다.
※ 유고결석 증빙서류 허위(위조)로 제출하여 현재까지 다수의 학생이 학칙에 의거 징계처리 되었습니다.
증빙서류 위조는 교내 징계뿐만 아니라 형법상 공
/
사문서 위조죄 관련 규정에 따라 형사처벌 대상이 될 수 있는 범법행위임을 유념
하시기 바랍니다.
유고 결석 사유 및 서류 보기
사유
예시
허용기간
증빙서류 및 안내
본인결혼
본인결혼
당일부터 7일
[필수]
혼인관계증명서
[필수]
청첩장
※ 결혼식 당일부터 7일
혈족사망
2촌 이내
당일부터 5일
[필수]
사망진단서
(시체검안서 인정, 장례확인서 인정 불가)
[필수]
가족관계증명서
※ 사망일과 가족관계 확인용
4촌 이내
당일부터 3일
질병
(
학기당
3
회
)
입,
퇴원
2일 ~ 5주 미만 입원
[전염병 포함]
입원 일자
[필수]
입

퇴원확인서 또는 진료확인서
[추가] 진료기록부(병명 확인용, 직인 필수)
※ 입·퇴원확인서에 병명이 기재되지 않을 시 추가서류 첨부
※ 진료기록부만 제출 시 인정 불가
※ 모든 증빙서류는 병원 또는 병원장 직인이 있어야 하며, 병원명, 주소, 연락처, 의사명 포함 필수
※
진료비 계산서
·
영수증
·
처방전 및
안정가료
인정 불가
당일
감기, 복통 몸살, 등 경미한 질병
진료 당일 1일
[필수]
진료확인서 또는 진단서
[추가] 진료기록부(병명 확인용, 직인 필수)
※ 진료확인서에 병명이 기재되지 않을 시 추가서류 첨부
※ 진료기록부만 제출 시 인정 불가
※ 모든 증빙서류는 병원 또는 병원장 직인이 있어야 하며, 병원명, 주소, 연락처, 의사명 포함 필수
※
진료비 계산서
·
영수증
·
처방전 및
안정가료
인정 불가
병무관계
예비군, 병무신체검사,
공군 면접 등
당일
(최대 3일)
[필수]
신체검사확인서 또는 면접 참석 확인서
※ 병무청군부대 발행된 공식문서만 인정
※ 사전에 발급된 수험표(신청서) 인정 불가
공식행사
체육대회, 학과(부) MT, 학교 공식행사 등
해당 기간
[필수]
단과대학장 승인 공문 필수
(연중 각 1회 허용)
교육실습
현장실습
학술답사
학술대회
해당 기간
[필수]
단과대학장 승인 공문 필수
· 교육실습: 전공 수업 관련 교육실습만 인정
· 현장실습: 전공 수업 관련 현장실습만 인정
· 학술답사 및 학술대회: 전공 수업 또는 소속 학회 활동일 경우만 인정
※
강의계획서에 명시된 커리큘럼
,
전공 관련만 인정
※
교육 및 현장실습
,
학술답사
,
학술대회의 경우 전공 수업 외 별도 활동
(
개인 신청 등
)
은 인정 불가
※
학과 자체 학회 인정 불가
※
행사 참여 후 학생 본인이 직접 신청 필수
※
개인적으로 참가하는 것은 인정 불가
※
학과
(
부
),
행정부서
,
소모임 등의 행사 관련 인정 불가
기타
해당 기간
[필수]
학생처장이 승인하는 경우
※ 유고결석 인정 기간: 총 수업일수의 3분의 1 이내
[
문의
:
학생서비스팀
(
학생회관
406
호
)
☎
02-820-0162]"
law,[졸업] 2025학년도 2학기 졸업논문 선정원 및 졸업논문 제출 일정 안내,N/A,2025-09-10,https://law.ssu.ac.kr/menu5/m5sub3/?term_id&slug=1661,"안녕하세요, 법학과 사무실입니다.
2025학년도 2학기 졸업논문 선정원 및 졸업논문 제출 일정을 다음과 같이 안내드립니다.
**본인이 8학기 등록 이상이며 졸업 확정 신고를 통해
2026년 2월에 졸업을 희망하는 학생은 반드시
해당 기일을 준수하여 제출하시기 바랍니다.
※
2025
년
2
학기 졸업논문 선정원 및 졸업논문 제출 일정 안내
▶
선정원 제출 대상 및 일정 안내
졸업논문 선정원
졸업논문 제출
(12월)
졸업논문 제출
(6월)
2026년 2월 졸업예정자
O
O
X
2026년 8월 졸업예정자
O
X/O
O
▶
졸업논문 제출 절차 및 일정 안내
내용
기한
지도교수 선정원
2026년 2월
졸업을 앞둔 재학생과
2026년 8월
졸업 예정인 재학생은 관심분야에 정통한 지도교수를 선정하여
지도교수 선정원을 학과사무실에 제출
하여야 함.
2025. 9. 15.(월) ~ 2025. 10. 14.(화)
논문 초안 작성 및 수정
졸업예정자는 지도교수의 논문지도를 받아
11월 28일(금)까지 A4지 20장 내외
의 졸업논물을 작성하도록 함.
이 과정에서 학생은 지도교수에게 수시로 면담을 요청할 수 있고, 지도교수는 이에 대응하여 소정의 지도를 하여야 함.
2025. 10. 14.(화) ~ 2025. 11. 28.(금)
졸업논문 완성본 제출
졸업예정자는 졸업논문을 완성하여
12월 12일(금)까지
A4 용지에 출력된 인쇄물을
법학과 사무실
(진리관 514호)에 제출하고 아울러 그 원고의 파일을
법학과 이메일
(law@ssu.ac.kr)로 제출하여야 함.
졸업논문의 편집 양식은 숭실대학교 법학연구소가 간행하는 법학논총의 것을 따르기로 함(첨부파일 투고규정 참고).
졸업논문은 표지와 본문으로 구성되며, 표지에는 반드시 지도교수의 서명이 있어야 하며, 논문 점수를 받아야 함.
졸업논문은 책자 형태로 제본할 필요가 없고, 스테플러로 편철한 것이면 충분함.
학과사무실 운영시간 : 월-금 9시 ~ 17시30분 (점심시간: 12시20분 ~ 13시20분)
2025. 12. 12.(금)"
law,[모집] 25-2학기 숭현관 실원 추가 모집 안내,N/A,2025-09-05,https://law.ssu.ac.kr/menu5/m5sub3/?term_id&slug=1658,"안녕하세요, 법학과 사무실입니다.
숭현관 실원 추가 모집 안내드립니다.
*본교 공공인재양성반 중 최고의 역사를 자랑하는 ‘숭현관(법학전문대학원대비반)’이 25년 2학기 실원을 추가 모집합니다.
1. 대상: 법학전문대학원 및 해외 저명로스쿨 진학, 법원행정직(5급)을 준비하는 본교 재학(휴학)생
2. 혜택: 개인 전용 좌석, 수험준비비 지원(이번 학기는 25만원까지), 세미나실/비치도서 이용 및 입시정보 제공
3. 입실신청 자격:
(1) 평균 GPA 85/100 이상 [법학 전공 강좌 1개 이상 수강해 평균 B0 이상 성취자 우대]
(2) 지원 분야별로 다음의 시험을 합격해야 합니다
[아래 면제 대상자는 평균 GPA 미달해도 고려함]
1) 국내 법전원 진학 희망자: 모의 LEET 언어이해
2) 해외 로스쿨 진학 희망자: 모의 LSAT Reading Comprehension (RC)
3) 법원행시 준비자: 모의 형법 객관식 시험
* 시험 면제: 2025년 LEET 110점 이상, LSAT 150점 이상,
24년/25년 법원행시 1차 합격 -> 시험 면제 증빙은 지도교수의 이메일로 보내기(
slee10@ssu.ac.kr
)
4.
시험일: 2025. 9.19(금)
의 다음 시간대 중 택일해
명시적으로 써서
신청서 파일과 함께 실장의 이메일로 보내기
1) 7시40분~ 8시50분(LSAT는 8시), 2) 12시~ 13시10분, 또는 3) 4시20분~5시30분
5. 장소: 진리관 405호 (법대 교수회의실)
6. 신청: 늦어도
9.18.(목) 18시까지 신청서(
https://job.ssu.ac.kr/ko/community/education/notice/view/4518?p=1
)를 다운받아 실장에게 다음 이메일로 제출하기 :
hazard7786@gmail.com
[‘입실시험 선택 시간’ 또는 ‘면제자’를 이메일에 쓰기]
7. 실원의 의무: 1) 학기당 1-2회 실 청소 및 독서보고서 2개 제출, 2) 10월/12월/2월 학습보고서 제출, 3) 실내 정숙/청결
– 독서보고서의 경우: 시험 면제 증빙(24년/25년 입실시험 면제점수 충족)제출시 면제)
8. 졸업생의 경우 학부 졸업 후 3년 이내(23.2월 졸업이나 그 후 졸업)이어야 하며 당해 또는 전년도 110점 이상 또는 졸업시 GPA 93/100 이상을 충족해야 합니다(그럼에도, 입실시 재학생에 우선권이 제공될 수도 있으니 양해 바랍니다)
– 질문: 실장 엄*원 (국제법무) hazard7786@gmail.com 또는 부실장 이수*(법학) crystalee1020@naver.com
– 참고: 학생경력관리 | 숭실대학교 (
ssu.ac.kr
)"
law,[채용] [김.장 법률사무소] 송무 및 상업 등기 스탭(신입) 채용(~9/16),N/A,2025-09-03,https://law.ssu.ac.kr/menu5/m5sub3/?term_id&slug=1651,[김.장 법률사무소] 송무 및 상업등기 스탭 채용_250916 마감
