department,title,author,date,link,content
chemistry,2025년 2학기 졸업논문 일정,N/A,2025.07.25,https://chem.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=4715,"2026년 2월 졸업예정자 중, 기사자격증 취득 못한 경우, 9월 5일(금)까지 반드시 연락 바랍니다. (강원철 교수, wonchullkang@ssu.ac.kr)
논문제출 및 일정 공지를 위해 4학년 (7/8 학기 재학생) 전체 학생은 논문연구2 LMS에 초대될 예정입니다. 논문연구2 수강은 필수가 아니지만, 반드시 LMS로 모든 자료를 제출해야 합니다.
2026년 2월 졸업예정자
논문발표 (포스터발표)
발표자료 제출기한: 10월 16일(목)
제출방법: LMS 논문연구2 과제제출
제출파일: PPT 파일 (서식구성은 자유롭게 가능하며, 졸업논문 또는 졸업논문대체제도보고서에 있는 모든 내용이 포함되어야 함)
발표대상: 2026년 2월 졸업예정자
발표시간: 15분
포스터발표일: 10월  30일(목) 5시-6시 (4시 30분부터 사전준비 필요).
“화학과 전체 재학생 (1-4학년)을 위한 행사로써 참여를 권장합니다”
포스터발표심사: 발표시간 내에 심사위원 (학과교수님 2분)에 의해 개별적으로 이루어집니다
발표자료: PPT 발표 슬라이드를 모두 컬러 출력 또는 PPT 발표자료를 A0 용지크기 (841 x 1189 mm)로 제작하여 출력
발표장소에는 이름/학번이 부착된 포스터 보드가 설치될 예정입니다. 보드에 발표자료를 부착하면 됩니다.
발표장소: 추후공지
2. 우수포스터 수상자 시상식 및 구두발표
“화학과 전체 재학생 (1-4학년)을 위한 행사로써 참여를 권장합니다”
발표일: 11월 20일(목) 5시-6시
대상자: 추후발표
장소; 추후공지
3. 최종논문제출
제출기한: 12월 4일(목)
제출방법: LMS 논문연구2 과제제출
제출파일: PDF파일
제출대상: 2026년 2월 졸업예정자
7학기 재학생
논문계획서 제출
제출기한: 9월 25일 (목)
제출방법: LMS 논문연구2 과제제출
제출파일: PDF파일
제출대상: 7학기 재학생
2
.
중간보고서 제출
제출기한: 12월 4일(목)
제출방법: LMS 논문연구2 과제제출
제출파일: PDF파일
제출대상: 7학기 재학생"
chemistry,★융합전공 필수과목 전공선택 인정 여부에 관한 안내★,N/A,2023.03.24,https://chem.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=3600,"양자나노 융합전공필수 과목의 화학과 전공선택 인정 여부에 관한 안내드립니다.
양자나노 융합전공필수 과목을 수강한 후 화학과 전공선택으로 인정받기 위해서는
융합전공
이수
신청
→
포기
이력이 있어야만 합니다. 이 이력이 있는 학생들에 한하여
이수구분
변경
절차를 거쳐 해당 과목의 이수구분이 융합전공필수에서 전공선택으로 변경됩니다. 학생의 융합전공 이수 신청과 포기 이력의 유무에 따라 분류한 다음의 경우들에 대한 상세한 내용을 참고하기 바랍니다.
1.융합전공 이수 신청하여 해당 과정 이수 중인 학생의 경우
수강한 융합전공필수 과목은 융합과정의 전공필수로 인정될 뿐 화학과 전공선택으로 인정되지 않습니다. 즉, 융합전공필수 학점과 화학과 전공선택 학점으로 이중으로 인정되지 않음을 주지하기 바랍니다.
2.
융합전공
이수
신청
후
다시
해당
융합전공
이수
포기한
학생의
경우
융합전공 이수 중에 수강한 융합전공필수 과목은 이수 포기 후
이수구분
변경
절차를 거쳐 화학과 전공선택으로 이수구분이 변경됩니다. 즉, 융합전공 이수 중에는 융합전공필수로 융합전공 포기 시에는 화학과 전공선택으로 인정될 수 있습니다. 다만, 이를 위해서는 이수 포기 절차와 이수구분 신청 절차를 거쳐야 합니다.
3.
융합전공
이수
신청하지
않고
융합전공필수
과목을
수강한
학생의
경우
이 경우 이미 수강한 융합전공필수 과목은 교양선택으로 구분되는 점에 주의하기 바랍니다. 이미 수강한 융합전공필수 과목을 화학과 전공선택 과목으로 인정받고자 하는 경우에는 반드시 해당
융합전공
이수
신청
→
포기
절차를 밟은 후
이수구분
변경
절차가 필요합니다. 이 절차는 다음의 스케줄을 참고하여 진행하기 바랍니다.
▶
융합전공
이수
신청
:
방학 중 (통상 1월과 7월) 다전공 신청 시기에 융합전공 이수 신청
▶융합전공
이수
포기
:
학기 개시 후 다전공 포기 신청 시기에 융합전공 이수 포기 신청
▶
이수구분
변경
신청
:
학기 개시 후 이수구분 변경 신청 시기에 이수구분 변경 신청
*이수구분 변경 신청 기간은 숭실대학교 공지사항에서 확인 하세요
* (중요)2023
년
1
학기가
졸업
전
마지막
학기인
학생의
경우
–
전공선택
학점으로
인정될
수
있을
지에
대해서
관계부서들과
협의
중입니다
.
이와
관련한
결정
사항은
추후에
안내하겠습니다
."
chemistry,[안내] 2026학년도 1학기 한국장학재단 국가장학금 1차 신청 안내,N/A,2025.11.19,https://chem.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=4807,"2026학년도 1학기 한국장학재단 국가장학금 관련하여 소속 학과(부) 학생들이 신청할 수 있도록 홍보하여 주시기 바랍니다.
1. 요청사항
가. 홍보내용 각 학과(부) 홈페이지 공지
나. 홍보내용 학생회 공유 및 학생 안내(SMS 발송 등)
2. 홍보내용(학교 홈페이지 공지사항 참조):
바로가기
3. 세부안내
가. 신청기간: 2025.11.20.(목) 9:00~2025.12.26.(금) 18:00까지
나. 서류 제출 및 가구원 동의 기간: 2025.11.20.(목) 9:00~2026.01.02.(금) 18:00까지
다. 신청대상: 신입생(고3, 재수생 등 입학예정자), 재학생, 편입생, 재입학생, 복학생 및
휴학생 등 모든 학적 신청가능
※ 재학생은 1차 신청이 원칙이며, 재학 중 2회에 한해 2차 신청으로 수혜 가능
(
단
,
구제신청
2
회 기사용 또는 기타 탈락사유 존재 시 지원 불가
)
※ 국가장학금 신청후 소득분위 심사가 완료된 학생에게 교내장학금 지급이 가능하므로
반드시 신청
라. 신청방법: 한국장학재단 누리집(www.kosaf.go.kr) 및 모바일 앱에서 신청"
chemistry,"숭실대학교 화학과, ‘Rebooting’을 통한 44주년 홈커밍데이 성료",N/A,2025.11.18,https://chem.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=4776,"숭실대학교 화학과, ‘Rebooting’을 통한 44주년 홈커밍데이 성료
“미래 첨단 기술 공유하고 세대를 잇는 화학인의 끈끈한 네트워크 구축”
숭실대학교 화학과는 2025년 11월 8일 토요일, 형남공학관 형남홀에서 동문, 재학생, 교수 화학과 구성원 전체가 함께한 가운데 ‘44주년 기념 동문 홈커밍데이’를 성황리에 개최했다.
이번행사는 ‘Rebooting Soongsil Chemistry’라는 슬로건 아래 2025년을 기념으로 동문 네트워크를 강화하고 학과 발전의 새로운 도약을 선언하며 정례 행사로 자리매김하기 위한 첫걸음이었다는 점에서 큰 의미를 가진다. 오후 3시부터 7시까지 진행된 홈커밍데이는 130여 명의 동문 및 재학생이 참여하여 성황을 이루었다. 화학과 명예교수 남정이교수님 외 학과 교수전체와 의생명시스템학부 조광휘교수님 (화학과 85학번)이 참여하여 자리를 빛냈으며, 화학과 1기 81학번 동문부터 25학번 재학생까지 한 자리에 모여 네트워크를 다지는 자리가 되었다.
이날 행사는 개회기도 및 인사말을 시작으로 동문과 재학생 간의 활발한 교류를 촉진하는 다양한 순서로 진행되었다. 재학생들은 학과 소식과 오비탈 소모임 활동을 소개하고 화학과 밴드 공연을 선보이며, 동문들에게 모교의 역동적인 모습을 생생하게 전달하며 큰 호응을 얻었다.
행사의 핵심 순서인 전문가 특강에서는 화학 분야의 가장 뜨거운 미래 기술 동향을 공유했다. 권오민교수 (한양대학교 ERICA 배터리소재화학공학과, 화학과 02학번)는 전고체전지의 핵심 소재인 황화물계 고체전해질의 안정성을 개선하는 연구를 소개했으며, 남기엽박사는 (㈜파로스아이바이오 CTO, 화학과 91학번) 인공지능(AI) 플랫폼 기반의 혁신 신약개발 전략을 발표했다. 이 강연들은 화학과 동문들이 급변하는 산업 환경에서 필요한 첨단 지식을 습득하고, 재학생들이 미래 진로에 대한 구체적인 비전을 키우는 실질적인 멘토링의 장이 되었다.
모든 순서가 끝난 후, 참석자들은 만찬을 함게하며 세대를 아우리는 끈끈한 네트워크를 구축하고 모교 발전과 동문 간의 협력을 다짐하는 뜻깊은 시간을 가졌다. 이번 홈커밍데이를 통해 확인된 화학인의 열정과 지성을 바탕으로, 앞으로도 동문과 재학생이 함께 성장하고 화학의 위상을 높이는 정기적인 교류의 장을 지속적으로 마련하기 위해 화학과 동문회 조직 강화를 위한 뜻깊은 초석을 다졌다.
2025/11/08"
chemistry,[안내] 2026학년도 1학기 학·석사연계과정 지원 및 선발 안내,N/A,2025.11.10,https://chem.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=4767,"1. 지원기간 : 2025.12.1.(월)~12.12.(금)
2. 모집학과 : 학사과정과 석사과정에 동일(또는 유사)학과가 있는 학과(계약학과 제외)
3.지원자격 :
다음 각호 모두 해당되는 자
가. 지원일 당시 학사과정 4학기 이상 6학기 이내 재학 중(건축학부 건축학전공은 6학기 이상 8학기 이내 재학 중)인 자 (학·석사연계과정 신청자는 조기졸업 신청을 할 수 없음)
나. 재수강 이전 과목, 학점포기한 과목, F학점 과목 등을 포함한 전체 과목의 총평점평균이 3.0 / 4.5 이상인 자 (학적부성적)
다. 7학기 또는 8학기(건축학부 건축학 전공은 9학기 또는 10학기)에 학사과정의 졸업요건을 충족할 수 있는 자
라. 지원하고자 하는 일반대학원 학과 주임교수와 지도교수의 추천을 받은 자
마. 지원하고자 하는 일반대학원의 동일(또는 유사)학과를 주전공 또는 복수전공으로 하는자
4. 제출서류
가. 학·석사연계과정 신청서(붙임 1) 1부.
나. 학적부성적 1부.
5. 지원방법 : 대학원 교학팀으로 방문 접수(웨스트민스터홀 658호)
6. 선발인원 : 석사과정 입학정원의 20%
7. 발표일 : 2026.1.23.(금) 예정 – 학과 및 개별 통지
8. 관련 안내
가. 대상 : 지원 가능 대상자 및 학과
나. 방법 : 안내문(붙임 2) 배포 및 대학원 홈페이지 공지
9. 문의처 : 대학원 교학팀(02-820.0258~9 , grad@ssu.ac.kr)"
chemistry,화학과 홈커밍데이 개최,N/A,2025.11.06,https://chem.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=4763,"다음 일정에 동문, 재학생, 교수님이 참가하는 홈커밍데이가 개최됩니다.
일시: 2025년 11월8일(토) 15시
장소: 형남공학관 2층 형남홀
프로그램:
15:00 – 17:00 – 학생활동 소개, 동문 특강, 경품추첨 등
17:00 – 19:00 – 만찬"
chemistry,2025학년도 4학년 학부졸업논문 발표회,N/A,2025.10.22,https://chem.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=4760,"안녕하세요.
4학년 학생들이 1년간의 노력 끝에 완성한 졸업논문 연구 성과를 발표하는 ‘2025학년도 학부 졸업논문 발표회’를 개최합니다. 미래의 화학을 이끌어갈 숭실 화학인의 첫 걸음이 될 이번 발표회에 대학원생과 재학생들의 많은 관심과 참여를 부탁드립니다.
일시: 2025. 10. 31 (목) 5시-6시
장소: 신양관 3층 피라미드"
chemistry,[안내] 2025학년도 2학기 AI 기반 맞춤형 학습지원(슈터디),N/A,2025.09.09,https://chem.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=4752,"1. 프로그램 개요
가. 프로그램명: 슈터디(SSUtudy)
나. 목적 및 기대효과
1) AI 기술이 적용된 학습 콘텐츠 활용을 통해 학생의 자기주도 학습 환경 조성 및 기초 학습역량 강화
2) 진단 평가 및 AI Tutor 시스템을 활용한 학습 수준 분석과 수준별 개인 맞춤형 학습지원 제공
다. 대상: 학부 재학생(휴학생 포함)
라. 지원 과목: 기초 수학, 기초 과학, 기초 영어(신설) ※ 자세한 과목 내용은 붙임 파일 참조
마. 주요 서비스 기능
1) 과목별 기초학력 진단평가
2) 진단평가 결과에 따른 AI 기반 수준별 맞춤형 학습 콘텐츠 제공
– 오답 등 학습 데이터 기반 추가 학습 자료 제공 및 추천 학습 문항 제시
3) 학습 참여율, 학습 결과 분석 등 학습 내용 통계
4) AI 챗봇 학습 도우미 서비스 통한 개별 질의응답 및 피드백 가능
5) 운영 결과 보고서 제공
바. 운영 일정
구분
기간
비고
신청 기간
2025. 9. 8.(월) ~ 9. 21.(일)
슈패스(SSUPATH)에서 접수
학습 콘텐츠 이용 기간
2025. 9. 23.(화) ~ 2026. 2. 13.(금)
1차 진단 평가 기간
2025. 9. 23.(화) ~ 9. 30.(금)
*필수, 마감 이후 응시 불가능
2차 진단 평가 기간
2025. 12. 15.(월) ~ 2026. 1. 30.(금)
*필수, 마감 이후 응시 불가능
과제(인증) 제출 기간
2025. 12. 16.(화) ~ 2026. 1. 30.(금)
*이수 인증(2차 진단 평가 화면 캡쳐)
*필수, 마감 이후 제출 불가능
사. 신청방법: 슈패스(https://path.ssu.ac.kr) 로그인 후, 비교과 프로그램에서 “2025-2학기 슈터디(SSUtudy)” 신청"
chemistry,[안내] 2025 숭실잡페어 안내,N/A,2025.09.04,https://chem.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=4747,"1. 행사명: 2025년 숭실 잡페어 “취업고민? 여기서 RESET! 잡(JOB)아라 네 미래”
2. 일시: 2025.09.09.(화)~2025.09.10.(수) 10:00~17:00
3. 장소: 한경직기념관 1층 김덕윤예배실 앞 로비 및 김덕윤예배실
4. 행사내용
가. 기업관(50개사) 및 현직자멘토링(10개사), 청년고용정책관, 진로취업센터관
나. 취업지원을 위한 참여자 이력서 사진 촬영 및 퍼스널 컬러 진단 등 이벤트
5. 참여방법: 포스터 내 QR코드로 JOB FAIR 홈페이지(
https://2025jobfair.co.kr
) 이동하여 프로그램별로 신청
잡페어의 내실을 위해 양일 부스종료 후 명사특강도 진행됩니다."
chemistry,[취업] (주)두산 사업부문 2025년 하반기 신입사원·채용연계형 인턴·산학장학생 채용,N/A,2025.09.01,https://chem.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=4742,"2025년 하반기 (주)두산 사업부문 신입사원·채용연계형 인턴·산학장학생 채용
모집기간 : 9/1(월) ~ 9/19(금) 18:00
[모집 직무 바로 보러 가기]
https://www.doosan-recruit2025.com/
[지원접수 방법]
– 접수기간 : 2025년 9월 1일(월) ~ 2025년 9월 19일(금) 18:00까지 (18시 이후 제출 불가)
– 입사지원은 두산 채용홈페이지 ‘커리어두산’ (
https://career.doosan.com/
)을 통해 가능합니다.
[신입사원 모집부문]
– (주)두산 VCC : 재무, 회계, AI 전략기획 및 개발, HR
– (주)두산 전자 : R&D(제품개발), R&D(연구개발), 생산/생산기술, 품질, 영업/마케팅, FA, 전략, AI
[채용연계형 인턴 모집부문]
– (주)두산 디지털이노베이션 : AI
[산학장학생 모집부문]
– (주)두산 전자 : R&D(제품개발), R&D(연구개발), AI
[지원 자격]
– 석사과정 2학기 재학생(’27년 2월 졸업예정자)
– ’27년 1월 중 입사 가능자
– 모집분야 관련 전공/ 자격요건 이외에도 동일 전문성을 갖추고 있는 자는 지원 가능
– 어학 : 지원서 제출 마감일 기준 2년 이내 취득한 공인 영어성적 보유자
TOEIC Speaking 또는 OPIc : IM(Intermediate Mid), 이공 IL(Intermediate Low) 등급 이상
– 병역필 또는 면제자, 해외 근무에 결격사유 없는 자
[혜택]
1. 장학금 월 180만원 지원 (1년)
2. IT기기 지원 (아이패드)
3. 학업우수 장려금 지원 *교내 성적 우수자 선정 시 회사에서 100만원 추가 지급
4. Pre-Onboarding *네트워킹 활동 지원
———————————————————————————————————–
[공통자격 요건]
신입사원 ((주)두산 VCC, (주)두산 전자) |
– 정규 4년제 대학교(이상) 졸업자 및 ’26년 2월 졸업예정자 (’26년 1월 중 입사 가능자)
채용연계형 인턴 ((주)두산 디지털이노베이션) |
– 정규 4년제 대학교(이상) 졸업자 및 ’26년 2월 졸업예정자
– 인턴십 근무 (’25년 11워~12월 중, 4주) 및 ’26년 1월 중 입사 가능자
산학장학생 ((주)두산 전자) |
– 석사과정 2학기 재학생 (’27년 2월 졸업예정자)
– ’27년 1월 중 입사 가능자
[전형절차 및 일정]
신입사원 ((주)두산 VCC, (주)두산 전자) |
서류접수
DCAT
1차면접
최종면접
채용검진
최종입사
채용연계형 인턴 ((주)두산 디지털이노베이션) |
서류접수
DCAT&코딩테스트
1차면접
인턴십(VCC/DDI)
최종면접
채용검진
최종입사
*전형절차 및 일정은 회사 사정에 의해 변경될 수 있습니다."
