department,title,author,date,link,content
mathematics,수학과 백마성적우수장학생 선발기준 공고,N/A,2025.07.15,https://math.ssu.ac.kr/?page_id=977&term_id&slug=3687,"수학과 백마성적우수장학생 선발기준을 다음과 같이 공고합니다.
—
백마성적우수장학생 선발기준
:
학교자격요건
+
학과자격요건
[
학교 자격요건
]
학기마다 U-SAINT 공지사항 확인.
[
학과 자격요건
]
해당학년 전공
3
학점
을 포함한 수학과 개설
전공
6
학점
(P/F
과목 제외
)
이상을 이수하여야 함. (
1
학년
의 경우 전공기초 포함한 전공 6학점 이상 이수.)
장학생 선발 시 봉사활동 및 학과활동 참여도를 고려함.
※ 선발 비율은 매 학기 달라지며, 최종 확정시까지 변동 될 수 있음.
※
2025
학년도
2
학기
백마성적우수장학생 선발부터 시행함."
mathematics,2024학년도 교직과정 이수예정자 선발 결과 안내,N/A,2025.02.07,https://math.ssu.ac.kr/?page_id=977&term_id&slug=3608,2024학년도 교직과정 이수예정자 선발 결과를 안내드립니다.
mathematics,자연과학연구소 전문가 초청세미나,N/A,2024.10.14,https://math.ssu.ac.kr/?page_id=977&term_id&slug=3596,"2024 숭실대학교 수학과 콜로퀴움 개최 안내입니다.
성원 여러분들의 많은 참여를 부탁드립니다."
mathematics,수학과 백마성적우수장학생 선발기준 변경 안내,N/A,2024.10.07,https://math.ssu.ac.kr/?page_id=977&term_id&slug=3594,"수학과 백마성적우수장학생 선발기준이 다음과 같이 변경됨을 공고합니다.
백마성적우수장학생 선발기준
:
학교자격요건
+
학과자격요건
[
학교 자격요건
]
학기마다 U-SAINT 공지사항 확인.
[
학과 자격요건
]
해당학년 전공
3
학점
을 포함한 수학과 개설
전공
6
학점
(P/F
과목 제외
)
이상을 이수하여야 함. (
1
학년
의 경우 전공기초 포함한 전공 6학점 이상 이수.)
장학생 선발 시 봉사활동 및 학과활동 참여도를 고려함.
※ 선발 비율은 매 학기 달라지며, 최종 확정시까지 변동 될 수 있음.
※
2025
학년도
2
학기
백마성적우수장학생 선발부터 시행함."
mathematics,2024학년도 2학기 교내장학금 2차 신청 시행 안내,N/A,2024.08.20,https://math.ssu.ac.kr/?page_id=977&term_id&slug=3590,"1. 교내장학금 자격요건
가. 2024학년도 2학기 국가장학금 신청 및 서류제출을 완료하고 소득분위가 조회된 자
(국가장학금 지급 대상 분위의 경우 심사가 완료된 자)
※ 국가장학금 1차 신청기간: 2024.5.21(화) 9:00 ~ 6.20(목) 18:00[마감]
국가장학금 2차 신청기간: 2024.8.14(수) 9:00 ~ 9.11(수) 18:00
나. 2024학년도 2학기 재학 및 복학(예정)자로 등록금 납부 예정인 자
1) 2024학년도 2학기 前 등록휴학 후 복학시 장학생 선발대상에서 제외
2) 미등록, 입학취소, 복학취소, 휴학 등 학적변동 시 모든 장학금 취소
다. 직전학기 15학점 이상 이수한 자(최종 직전학기는 12학점)
라. 정규등록학기가 8학기 이내인 자(건축학부 건축학전공은 10학기 이내)
2. 교내장학금 2차 신청(학생)
가. 신청기간:
2024.9.2(월) 09:00 ~ 9.27(금) 17:00
나. 신청방법: u-SAINT포털 → 등록/장학 → 장학메뉴 → 장학금 신청
다. 서류제출: 온라인 신청기간 내 방문 및 등기우편제출 가능(세부내용 붙임 파일 참조)
※ 단, 전문자격시험합격자장학금의 경우 등기우편 불가"
mathematics,2024학년도 2학기 한국장학재단 국가장학금 2차 신청 안내,N/A,2024.08.08,https://math.ssu.ac.kr/?page_id=977&term_id&slug=3585,"2024학년도 2학기 한국장학재단 국가장학금 2차 신청기간을 다음과 같이 안내합니다.
신청매뉴얼(첨부파일)을 참고하여 기한 내 신청해 주시기 바랍니다.
1. 신청기간: 2024.08.14.(수) 09:00~2024.09.11.(수) 18:00
※ 주말 및 공휴일 포함 신청기간 내 24시간 신청 가능(단, 신청 마감일은 18시 종료)
2. 서류제출 및 가구원 동의: 2024.08.14.(수) 09:00~2024.09.19.(목) 18:00
3. 신청대상: 신입생(2학기 입학예정자), 편입생, 재입학생, 복학생 및 1차 신청을 놓친 재학생
※ 재학생은 원칙적으로 1차 신청 기간에만 신청 가능하며, 2차 신청자는 재학 중 2회에 한하여 구제신청 자동 적용 및 심사 후 지원 가능
(구제신청 적용 여부 선택 불가)
※ 신·편입학 첫학기만 학적구분 ‘학부 신·편입생’으로 신청, 두번째 학기부터는 ‘학부 재학생’으로 신청
※ 신입생은 학생 본인 및 가구원(부모 혹은 배우자)의 전자서명수단(①공동인증서②금융인증서 ③간편인증) 중 한가지를 반드시 준비
4. 신청방법: 한국장학재단 홈페이지와 모바일 앱을 통한 신청가능(붙임의 매뉴얼 참조)
5. 기타 안내사항
□ 2차 신청기간에 신청한 경우, 국가장학금 신청 시 입력한 본인명의계좌로 학기중에 지급
–  한국장학재단, 공무원연금공단 학자금 대출이 있는 경우 대출상환으로 처리
–  분할납부자는 등록금 완납 후 지급 가능
□ 이수학점 및 성적 기준
– 이수학점: 직전학기 12학점 이상(※ 졸업학기의 경우, 직전학기 이수학점 기준 미적용)
– 산술평균 80점 이상
※ 기초생활수급자/차상위계층, 장애학생 등 예외적용 대상자는 한국장학재단 업무처리기준에 따름
※ 직전학기 성적이 모두 P/F인 경우, 산출 가능한 가장 최근학기 성적 적용
□ 국가장학금 Ⅰ유형 신청 시, 국가장학금 Ⅱ유형도 연동되어 심사됩니다.
– Ⅰ유형: 소득분위별 한국장학재단 지정금액 지급
– Ⅱ유형: 소득분위별 교내기준에 따라 지정금액 지급
– 국가장학금 Ⅰ유형 탈락 시, 국가장학금 Ⅱ유형도 탈락
□ 국가장학금 Ⅰ유형 신청 결과 확인 된 소득분위 자료는 교내 비전장학금 심사에 활용됩니다.
– 비전장학금: 국가장학금과 연계하여 본교에서 지급하는 교내장학금(※ 소득분위 1~8분위 대상)
– 국가장학금 미 신청 시, 비전장학금 선발 불가
□ 국가장학금 지급 이후 휴학 등으로 재학하지 않는 경우, 장학금이 취소됩니다.
– 국가장학금 수혜 횟수에 포함되지 않음
– 복학 시, 국가장학금 및 교내장학금 재신청
□ 중복지원
– 학자금 대출 + 장학금 총액이 등록금을 초과하는 경우 ‘중복지원’에 해당됨
(※ 근로장학금, 포상장학금, 교육지원장학금 등 등록금 지원 목적이 아닌 학업장려비 성격 장학금은 제외)
– 중복지원에 해당되는 경우 한국장학재단 국가장학금 및 학자금대출 이용 불가
– 학자금 대출을 상환하거나 장학금을 반환해야 중복지원 해소 가능
□ 여러 장학금을 동시에 받는 경우, 외부장학금과 국가장학금이 우선 적용됩니다.
– 우선순위 : ①교외장학금 ②국가장학금 ③교내장학금
6. 문의처
– 한국장학재단 상담센터 1599-2000
– 학생처 장학팀 02-820-0166(국가장학금 관련 문의)
붙임 국가장학금 신청 매뉴얼 각 1부. 끝."
mathematics,백마성적우수장학금 평점평균기준 변경 안내,N/A,2024.07.24,https://math.ssu.ac.kr/?page_id=977&term_id&slug=3581,"2024학년도 2학기부터 백마성적우수장학금 평점평균 기준이
기존
3.5
/ 4.5 에서
3.8
/ 4.5로 변경됩니다."
mathematics,숭실평화통일스쿨 안내,N/A,2024.03.18,https://math.ssu.ac.kr/?page_id=977&term_id&slug=3573,"한반도평화와통일 수업의 2박3일 연수 [숭실평화통일스쿨] 안내입니다.
1.스쿨일정: 3월 20일(수)~3월 22일(금) (2박3일)
2.집결일시: 3월 20일(수) 08시~08시30분
3.집결장소: 벤처관 309호
4.준비물: 세면도구, 여벌옷 등 개인짐, 필기구, 첫 날 운동화 착용 필수
5.문의: 숭실평화통일교육센터  02)820-0725 /
sohl0929@ssu.ac.kr
* 첫날 교내-오두산통일전망대-숭실통일리더십연수원(문경)으로 이동, 2박3일 간 진행
* <한반도평화와통일>을 수강하는 24학번 학생 모두 반드시 참석
* 해당일, 피치 못할 사정(예시-관혼상제)발생시 3월 19일(화) 24시까지 메일로 관련 내용 송부하면 개별 연락 예정
* 1주차, 5주차, 9주차 영상 수강후 스쿨 참석
* 유고결석은 스쿨 참석 확인되면 일괄 신청 됨(개별 신청 불가)"
mathematics,"[멀티잇(multiit)] 국비지원교육 모집 안내 (KDT, 2024년 3월)",N/A,2024.03.07,https://math.ssu.ac.kr/?page_id=977&term_id&slug=3562,"멀티잇 2024년 3월 교육과정 안내
KDT(K-Digital Training*)
*K-디지털트레이닝이란?
고용노동부가 주관하고 멀티캠퍼스가 교육을 진행하는 기술분야 인재양성 프로그램으로
SW개발, 빅데이터, 인공지능, 클라우드 등 다양한 양질의 IT 과정 교육과 체계적인 취업지원을 제공하는 교육과정 입니다."
mathematics,2024학년도 1학기 교내 장학금 3차 신청 시행 안내,N/A,2024.03.04,https://math.ssu.ac.kr/?page_id=977&term_id&slug=3559,"1. 교내장학금 자격요건
가. 2024학년도 1학기 국가장학금 2차 신청(2024.03.14까지 신청 가능) 및 서류제출을 완료하고 소득분위가 조회된 자 (국가장학금 지급 대상 분위의 경우 심사가 완료된 자)
나. 2024학년도 1학기 재학 및 복학(예정)자로 등록금 납부 예정인 자
1) 2024학년도 1학기 前 등록휴학 후 복학시 장학생 선발대상에서 제외
2) 미등록, 입학취소, 복학취소, 휴학 등 학적변동 시 모든 장학금 취소
다. 직전학기 15학점 이상 이수한 자(최종 직전학기는 12학점)
라. 정규등록학기가 8학기 이내인 자(건축학부 건축학전공은 10학기 이내)
2. 신청절차
가. 온라인 신청기간 및 서류제출기간 :
2024년 3월 4일(월) 10:00~3월 15일(금) 17:30
나. 학생 신청방법: u-SAINT포털 – 등록/장학 – 장학메뉴 – 장학금 신청
다. 학생 서류제출: 온라인 신청기간 내 방문 및 등기우편제출 가능(세부내용 붙임 파일 참조)
※ 단, 전문자격시험합격자장학금의 경우 등기우편 불가"
