department,title,author,date,link,content
physics,2026학년도 1학기 석·박사통합과정 지원 및 선발 안내,N/A,2025-11-05,https://physics.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7544,"1. 지원기간 : 2025.12.01(월)~12.12(금)
2. 지원자격
가. 일반대학원 석사과정 2학기 또는 3학기 재학생(복학예정자 포함)
나. 학업전념학생
다. 18학점 이상 취득 또는 취득예정인 학생
라. 석사과정 전공분야와 통합과정 지원 전공분야가 동일한 자
3. 제출서류
가. 공통 : 석·박사통합과정 지원서 1부(붙임 2)
나. 4대 사회보험 가입내역 확인서 1부
※ 4대 사회보험 정보연계센터(
www.4insure.or.kr
) 공인인증서 로그인 → [증명서발급]→
4대 사회보험 가입내역 확인 청구서 신청 → 4개 처리기관의 처리여부 “출력가능” 확인 후
증명서 출력
※ 강사는 다음의 요건 충족 시 예외적 지원 허용 : 주 6시간 이내 근무로 인한 4대 사회보험
가입은 별도의 증빙서류(경력증명서)제출 시 학업전념학생으로 인정
※
건강보험 지역가입자 중 사업장이 표기되어 있는 경우와 4대 사회보험 미가입자이나
종교기관에서 전임으로 재직하는 경우 등은 직장병행학생으로 간주하여 지원 불가함
4. 지원방법 : 제출서류를 작성하여 대학원 교학팀으로 제출(웨스트민스터홀 658호)
5. 선발인원 : 박사과정 전체 입학정원의 20%
6. 발표일 : 2026.01.23(금) 예정 – 학과 및 개별통지
7. 관련근거
■학칙시행세칙(대학원)
제67조(선발인원) 통합과정 선발인원은 박사과정 입학정원의 20% 범위 내에서 대학원 운영위원회에서 정한다.[본조신설 2014.11.29.]
제68조(지원요건) 통합과정에 지원하고자 하는 자는 다음 각 호의 요건을 모두 갖추어야 한다.
1. 일반대학원 석사학위과정 2학기 또는 3학기 재학생(복학예정자 포함)
2. 학업전념학생
3. 18학점 이상을 취득 또는 취득 예정인 학생
4. 석사과정 전공분야와 통합과정 전공분야가 동일
5. 지도교수의 추천[본조신설 2014.11.29.]
7. 기타
가. 수업연한
1) 4년(8학기) : 석사과정 입학 학기부터
2) 수업연한 단축 : 수업연한의 단축을 희망하는 경우 석·박사통합과정
6학기 또는 7학기 개시 전(방학중)
대학원 교학팀에 수업연한단축신청서를 제출하고 해당 학기 종료 시 수료요건 충족 및 총 평점평균이 4.0이상이면 6학기 또는 7학기에 수료가능.
단 학업전념학생(Full Time)만 수업연한단축신청이 가능함
나. 석사과정 종합시험 , 석사논문 면제
(
석·박사통합과정 선발 후 박사과정에 해당하는 종합시험만 인정)
다. 박사과정 입학금 면제
라. 안내 : 대학원 홈페이지 내 공지사항 게시
붙임  1. 석·박사통합과정 지원서 양식 1부
2. 석·박사통합과정 안내문 1부.  끝."
physics,2025학년도 겨울계절제 국내대학 학점교류 실시 및 신청 안내,N/A,2025-10-21,https://physics.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7525,"1. 신청 자격
가. 2025-2학기 3~7학기 재학생
나. 직전 학기까지 학업성적이 총 평점 평균 3.0 이상
다. 학칙에 의거 징계받은 사실이 없는 자
2. 신청 학점: 6학점 이내(계절제 수강신청 가능 총 학점 범위)
3. 국내 대학 학점교류 진행 방식
학생
학과
단과대학
학사팀
학점교류 신청서
(붙임1) 작성 후
학과에 제출
▷
학점교류 신청 접수 및 과목 승인
(학과(부)장)
▷
학과에서 제출한
서류를 취합하여
학사팀으로
공문 송부
▷
단과대학 신청
공문 취합,
학생 온라인 접수
(LMS) 확인 후
교류 학교로
공문 송부
◁
학점교류 신청 승인 결과 안내
승인 받은
학점교류 신청서
소속 학과에 제출,
온라인 접수(LMS)
학점교류생 명단
(붙임3)을 작성하여
학생 제출 서류와
함께 단과대학 제출
※  홈페이지▶학사▶학생교류지원▶학점교류 신청하기 게시판에
대학별 실시 계획이 확정되는 대로
계속 업데이트
예정
4. 제출 서류
가. 학생: 국내대학 학점교류 신청서(붙임1), 엑셀 및 스캔자료 2종
나. 단과대학
1) 학과에서 교류대학별 신청 기한(
학교 홈페이지 공지
←클릭)까지 학생 신청 접수
– 학교 홈페이지에 공지되어 있는
신청 기한 당일 17:00까지
송부
붙 임 1. 국내대학 학점교류 신청서(양식) 1부.
2. 국내대학 학점교류 취소 신청서(양식) 1부.
3. (홈페이지 공지) 2025학년도 겨울계절제 국내대학 학점교류 신청 안내 1부. 끝."
physics,[홍보] 카이랩 (응집물질물리이론연구실) 학부 연구생 모집: 오태구 교수님,N/A,2025-09-16,https://physics.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7482,"카이랩(응집물질물리이론연구실) 학부 연구생 모집중입니다.
대상: 학부 2학년 이상, 물리학이 재밌다면 누구든 환영합니다.
연구실 소개:
응집물질 이론은 한 줄의 수식에서 시작해 거대한 물성의 지도를 펼쳐 보이는 학문입니다.
우리 연구실은 이 아름다움을 ‘기초 → 모델링 → 계산 → 물리적 해석’의 흐름으로 체계화하여 함께 공부합니다.
* 기초: 양자역학·통계역학·고체물리의 핵심 개념을 맥락과 역사, 물리적 직관과 함께 재정리합니다.
* 모델링: 최소한의 가정으로 본질을 드러내는 간단한 모델(Hubbard, Heisenberg, Haldane 등)로 시작해, 왜 그것이 유효한지와 어디서 한계가 생기는지를 짚습니다.
* 계산: 손계산과 수치 계산을 병행해 에너지 스펙트럼, 상전이, 응답함수 등을 실제로 구하고, 결과를 그림과 데이터로 설득력 있게 표현합니다.
관심 있는 학생들은 이메일: taekoo.oh@ssu.ac.krf로 문의주시고 학과 앞 게시판 QR코드로 신청 바랍니다."
physics,"[2025년도 BRIDGE 3.0사업] 제2차 실용화개발(PoC) 지원 사업 추진 및 신청 안내(~9/19, 금, 16시)",N/A,2025-09-11,https://physics.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7478,"안녕하세요.
[2025년도 BRIDGE 3.0사업] 제2차 실용화개발(PoC) 지원 사업 추진 및 신청 안내문 공유드립니다.
[2025년도 BRIDGE 3.0사업] 제2차 실용화개발(PoC) 지원 사업 추진 및 신청 안내
교육부와 한국연구재단에서 지원하는 2025년도 BRIDGE 3.0사업과 관련하여 대학기술 사업화 성과창출을 위한 “제2차 실용화개발 지원(Proof of Commercialization) 사업”을 아래와 같이 추진하고자 하오니 소속 교원 및 재학생에게 안내 부탁드립니다.
1. 사 업 명: 제2차 2025년 실용화개발지원(PoC)사업
2. 사업목적: 숭실대학교 보유 창의적 자산(특허)에 대한 시제품 제작등 실용화 개발지원을 통한 대학기술사업화 촉진 및 성과창출
3. 추진일정
가. 모집공고 및 신청서 접수: ~ 2025.09.19.(금) 16:00까지
나. 선정평가
1) 서면평가: 2025.09.22.(월) 예정
2) 발표평가: 2025.09.29.(월) 예정
3) 결과안내: 2025.09.30.(화) 예정
※ 접수현황에 따라 상기일정은 변동될 수 있음
다. 사업수행기간: 2025.10.01.(수)~ 2025.12.31.(수) (총 3개월)
※
과제수행기간 내 기술이전 계약 체결
(2025.12.31)
및 기술료 입금(2026.01.31)/창업 완료(해당 교원에 한함)
4. 신청자격: 숭실대학교 소속 교원 및 대학(원)생
5. 지원대상: 신청자가 보유한 기술(특허)
6. 지원내용 및 유형별 지원금액
가. 지원내용: 시제품 제작, 상용화 연구 및 성능 검증을 위한 비용 지원
나. 유형별 지원금액
신청구분
Creative PoC
Innovative PoC
도출 성과
대학(원)생
미창업(A)
최대 5,000천원
–
시작품
기창업(B)
최대 10,000천원
–
(시)제품
교원
임용
6년
이내
수요기업 없음(C)
최대 15,000천원
–
시작품
수요기업 있음(D-1)
최대 30,000천원
최대 50,000천원
(시)제품,
기술이전
창업(D-2)
최대 30,000천원
–
(시)제품,
창업
임용
6년
이후
기술이전확약서
없음(E)
최대 10,000천원
–
시작품
기술이전확약서
있음(F-1)
최대 25,000천원
최대 50,000천원
(시)제품,
기술이전
창업(F-2)
최대 25,000천원
–
(시)제품,
창업
※Creative PoC : 대학의 창의적 아이디어를 기초로 시제품 제작 지원을 통한 Technical Feasibility 검증
※Innovative PoC : 본교 우수한 실용화 자산의 시작품 제작 및 Scale-up을 지원하여 기술이전, 기술창업,
Joint-Venture 등 대형 기술사업화 성과로 연결
※기술이전 수요기업이 있거나, 이전확약서가 있는 경우(유형 D-1,F-1) 기술이전확약서 제출 및 당해
년도 12.31.까지 기술이전 계약, 26.01.31.까지 기술료 입금 필수(기한내 미이행 시 지원금액 전액 환수)
– Creative PoC/Innovative PoC(유형D-1, F-1): 지원금액 1.5배 이상 성과달성
※교원창업의 경우 Creative PoC(유형 D-2, F-2)로 신청하며, 연내 창업을 목표로 창업계획서 제출 필수
※기술이전확약서 없음(유형E)의 경우, 과제 종료 후 1년 이내 기술이전계획이 있는 경우로, 해당 계획을
작성하여 제출
※ 신임교원(임용 6년 이내)의 R&D 역량 및 성과 기반의 새로운 특허 및 아이디어에 대한 실용화 개발
지원 우대
7. 신청방법: E-mail제출
가. 제출 서류
구분
Creative PoC
Innovative PoC
공통
실용화개발 지원 신청서 1부(해당 유형별 양식에 맞춰 작성)
대학(원)생
신청기업 사업자등록증(해당 시)
해당 없음
교원
(유형별)
기술이전확약서 있음(해당 시)
기술이전계획서 제출(필수)
창업계획서(해당 시)
–
나. 접수처: 온라인 제출(105669@ssu.ac.kr)
다. 담당자: 산학협력단 산학협력진흥팀 고길표(내선번호: 7429)
8. 심사방법
가. 평가절차
1) 1차 평가: 서면평가 실시
2) 2차 평가: 프리젠테이션 발표평가(발표10분, 질의응답5분)
※ 발표시간 추후 확정하여 공지 예정(1차 서면평가 통과자에 한해)
※ 현장발표가 원칙이나 부득이한 일정으로 현장참석이 어려울 경우 Zoom을 활용한 온라인 발표평가 진행
나. 평가기준: 신청기술에 대한 지원 필용성, 기술성 및 사업화 가능성 평가
붙임 1. 2025년 제2차 실용화개발(PoC) 지원 사업 공고문 1부.
2. 유형별 제2차 실용화개발(PoC) 지원 신청서 각 1부.  끝."
physics,[홍보] 천명기 교수님 정년퇴임 기념 워크샵 안내 및 등록 안내 (Indico 링크 포함),N/A,2025-08-12,https://physics.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7408,"안녕하세요.
숭실대학교 허경수 입니다.
오는 2025년 8월, 천명기 교수님께서 정념퇴임을 맞이하십니다.
그동안 교수님과 함께 연구와 학문적 교류를 이어오신 여러 선생님들을 모시고
감사의 마음을 전하고자 숭실대학교에서 조촐한 기념 워크샵을 마련하였습니다.
◆ 일시 : 2025년 8월 21일(목) 오전 9시 50분 시작.
◆ 장소 : 숭실대학교 진리관 522호(21일) / 백마관 315호 (20,21일)
◆ 공식 언어 : 한국어
◆ 기본 제공 : 점심 및 저녁 식사 제공
원할한 연구 교류를 위해 워크샵 전후 일정에도 연구 논의 시간을 포함하였으니,
추가 참여를 원하시는 분께서는 미리 알려주시면 감사드리겠습니다.
■ 등록 안내(Indico)
참석을 원하시는 분께서는 아래 링크를 통해 사전 등록을 부탁드립니다.
https://indico.omeg.soongsil.ac.kr/event/71/
(등록 마감 : 25.08.20)
저녁식사 예약을 위해 참석 등록을 꼭 부탁드립니다.
부디 참석하시어 교수님의 뜻깊은 시간을 함께 나누어 주시면 감사하겠습니다.
감사합니다.
숭실대학교
허경수 드림."
physics,[장학] 2025-2 물리학과 백마성적우수장학생 선발 시행 및 자격 요건 안내,N/A,2025-07-22,https://physics.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7401,"2025학년도 2힉기 백마성적장학금 장학생  선발을 시행합니다.
2025년 8월 6일(수)에 U-SAINT를 통해 결과를 확인
하실 수 있습니다.
자격 요건은 다음과 같습니다.
[학교 자격요건]
가. 2025학년도 1학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 국가장학금 1차 신청자에 한하여 등록금고지서 사전감면
2) 1차 미신청자: 2차 신청/서류제출 확인 후 지급
(2차 신청자 중 한국장학재단 구제신청 시 사후지급)
3) 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인유학생은 선발 불가)
나. 2025학년도 1학기 재학 및 복학 예정자로 해당 학기 등록금 납부 예정인 자
1) 2025학년도 1학기 前 등록휴학 후 복학 시 선발 대상에서 제외(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동 시 모든 장학금 취소
3) 선발 후, 학기 중 휴학 시 백마성적우수장학금은 복학 학기로 이월
※ 추가 또는 교체 선발 시 재학 중인 학생만 선발 가능(휴학생에 대한 추가/교체 불가)
다. 직전 학기 15학점 이상 이수한 자(졸업 직전학기는 직전학기 12학점 이상)
라. 2025-1학기가 정규등록학기 8학기 이내인 자(건축학과 건축학전공: 정규등록 10학
기 이내인 자)
마. F학점 포함 학적부성적 기준 직전 학기
3.8 이상
인 자
바. 모든 교내장학금간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금으로 자동 선발
2) 중복수혜 가능 장학금: 국가장학금, 교외장학금, 학과우수장학금, 기타 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)하므로 유의
[학과 자격요건]
가. 학교의 백마성적장학금 조건에 만족하는 학생(학기마다 U-SAINT 공지사항 수시로 확인)
나. 직전학기 물리학과의 전공필수와 전공선택 과목을 합하여 8학점 이상 이수한 학생으로 제한한다.
다. 1학년의 경우, 1학기에 전공기초 9학점 이상과 물리2(기초물리응용1)을 이수하고 2학기에 전공기초 6학점 이상과 물리4(기초물리응용2)를 이수한 학생으로 제한한다. (2024.07.10. 개정)
라. 타학과 전과신청이 승인된 학생은 제외한다.
주의) 물리2는 기초물리응용1으로, 물리4는 기초물리응용2로 과목이 변경됨. (2017학년도 신입생 이후)
주의) 선발비율은 매학기 달라지며, 최종 확정시까지 변동 가능하여 전화 문의 시 답변이 어려울 수 있음."
physics,2025학년도 숭실 Q-양자 여름학교 개최 (2025.07.16-17),N/A,2025-07-01,https://physics.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7391,"2025 숭실Q-양자 여름학교 개최
참가신청 바로가기:
https://forms.gle/x3XazhmWJF3uF88o7
일시: 2025년 7월 16일 – 17일
장소: 베어드홀
주최: 숭실대학교 물리학과
후원: 기초과학융합연구소, 우주물질연구소
♦ 프로그램 안내
1일차:  7/16(수) – 베어드홀 103호
9:30-9:50   1일차 참가자 등록
9:50-10:00   개회사
10:00-11:00   양자컴퓨팅 소개 (박세영 교수님)
11:00-12:00   양자컴퓨팅 기초개념 (박세영 교수님)
12:00-13:30   점심식사
13:30-14:30   초청강연 | 이동헌 교수님 (고려대학교) ‘양자기술이 뭐길래? 미래를 여는 과학 이야기’
14:30-15:30   초청강연 | 김제형 교수님 (UNIST) ‘Quantum playground with solid-state quantum emitters’
2일차: 7/17(목)  – 베어드홀 523호
9:30-10:00   2일차 참가자 등록
10:00-11:00   양자응용기술 구현을 위한 다양한 물리계 (소재필 교수님)
11:00-12:00   양자컴퓨팅 실습세션 (오태구 교수님)"
physics,[장학] 2025-1학기 특별재난지역(산불피해)지원 장학금 장학생 선발 안내 (신청기간 – 5/23 15시까지),N/A,2025-04-28,https://physics.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7333,"2025-1학기 특별재난지역(산불피해)지원 장학금 장학생 선발 안내
1. 지원목적: 2025년 산불 화재로 경제적 곤란과 어려움에 처한 학생에게 장학금 지원하여 학비 부담을 경감하고 학업에 대한 동기를 부여하고자 함
2. 지원대상: 2025년 산불로 인하여 피해를 입은(학부모 또는 학생이 특별재난지역 거주)학부 재학생
3. 자격요건
가. 2025학년도 1학기 등록한 학부 재학생
나. 2025년 산불로 인한 피해 사실이 확인된 자
다. 정규등록 8학기 이내인 자(건축학과 건축학전공은 정규등록 10학기 이내)
4. 지원금액: 피해사실확인서에 따라 학교가 정한 금액
(생활비 지원 목적 최대 300만 원)
5. 선발일정 및 제출서류
가. 일정
1) 신청기간: 2025.5.23.(금) 15:00까지
2) 결과발표: 2025.5.30.(금) 예정
3) 장학금지급: 6월 중
(대표학생 10명에게 해당 장학금 기부자에 대한 감사편지를 요청드릴 수 있으니 양해부탁드립니다.)
나. 제출서류
1) 장학금 신청서(붙임파일)
2) 피해사실확인서(관할 주소지 행정복지센터 등 관공서에서 발행)
3) 가족관계증명서(피해자와의 관계 확인용)
※ 제출서류는 2025년 3월 이후 발급분에 한하여 유효함
다. 신청방법: 제출서류를 장학팀 이메일(
ser@ssu.ac.kr
)로 송부
6. 문의: 학생처 장학팀 교외장학 담당(02-820-0819)
붙 임: 장학금 신청서 양식 1부. 끝."
physics,[장학] 2025학년도 국가우수장학금(이공계) 재학중우수자유형(2년 지원) 선발안내,N/A,2025-04-17,https://physics.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7325,"2025학년도 국가우수장학금(이공계) 재학중우수자유형(2년 지원) 선발안내
2025학년도 한국장학재단 국가우수장학금(이공계) 재학중우수자유형(2년 지원) 신규장학생 선발을 다음과 같이 안내하오니, 많은 지원 바랍니다.
1. 장학금명: 국가우수장학금(이공계) 재학중우수자 유형
2. 장학금액: 2년간 등록금 전액(성적기준 충족 시 정규 등록학기 내 지원)
3. 지원자격 (가~사 항을 모두 충족하는 학생)
가. 국가우수장학생(이공계)으로 선발된 이력이 없는 자연과학 및 공학계열 학과(부) 3학년 재학생 중 대학의 추천을 받은 자
※ 이공계 학과(부): 자연대, 공과대, IT대, 베어드학부대학 자유전공학부
※ 자유전공학부 학생도 신청가능하나 장학금 수혜 후 비이공계로 진급한 경우, 장학생 자격박탈 및 장학금 전액 반환
※ 건축학부 건축학전공(5년제)의 경우, 5~6학기를 이수한 자
나. 입학 당시 교내 전액 장학생으로 선발되지 않은 자
다. 동일학기에 한국장학재단에서 운영 중인 타 장학금(인문100년장학금, 중소기업취업연계장학금, 고졸 후 학습자 장학금 등)
수혜자 또는 장학생 자격 유지자 제외
라. 졸업 후 이공계 분야로 진학 또는 취업을 희망하는 자(졸업 후 이공계분야 미진출 또는 미취업 시 장학금 전액 반환)
마. 부모 직장 또는 타 외부장학재단/기관에서 학자금을 지원받지 않는 자(그 외 타 장학금 수혜가능성 등을 평가하여 선발)
바. 직전 4~5개 학기(건축학부 건축학전공 5~6개 학기) 학적부성적 기준 산술평균 87점 이상 또는 평점평균 3.5 이상인 자
사. 총 취득한 이수학점이 졸업이수학점 기준의 40% 이상을 충족하는 자
4. 세부안내
가. 지원대상: 자연대학, 공과대학, IT대학, 베어드학부대학 자유전공학부 재학생
나. 추천인원: 7명
다. 선발기준: 학업계획서 및 학업성적 평가
5. 신청기간
가. 학생 신청기간(학생→장학팀): 2025.04.25.(금) 15:00까지
– 점심시간 12:20~13:20 및 토․일요일 접수 불가
나. 본교 추천명단 발표: 2025.05.12.(월) 18:00 예정 (SMS 개별연락)
다. 본교 추천학생 장학금 신청(학생→재단): 2025.05.21.(화)~05.23.(목) 17:00
1) 한국장학재단 포털에 온라인 신청(학생 공인인증서 반드시 필요 함)
2) 온라인 미 신청 시 추천은 자동 취소 되며, 차 순위 학생으로 자동 교체
※ 향후 추진 상황에 따라 일정 변동 가능
6. 최종 합격자 발표 및 장학금 지급: 2025.06월 중
7. 제출서류 및 제출처
가. 제출서류: 장학금 지원서, 학업계획서, 개인정보 동의서(지원서 사진은 이미지파일 또는 실 증명사진 부착 가능)
※ 반드시 워드로 작성 요망(수기 작성 금지)
나. 제출장소: 학생처 장학팀 (미래관 106-2호)
※ 방문제출 또는 우편제출(서류가 미비한 경우, 탈락될 수 있음/ 기한내 도착분에 한함)
※ 우편주소: 06978 서울시 동작구 상도로 369 숭실대학교 미래관 106-2호 장학팀
붙임  1. 국가우수장학금(이공계) 지원서 및 학업계획서 양식 1부
2. 장학재단 학생신청 매뉴얼 1부. 끝."
physics,[장학] 2025학년도 국가우수장학금(이공계) 성적우수 유형(수시/정시 신입생) 신규장학생 선발안내,N/A,2025-04-17,https://physics.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7321,"2025학년도 국가우수장학금(이공계) 성적우수 유형(수시/정시 신입생) 신규장학생 선발안내
2025학년도 한국장학재단 국가우수장학금(이공계) 성적우수유형 신규장학생 선발을 다음과 같이 안내하오니, 많은 지원 바랍니다.
1. 장학금명 : 국가우수장학금(이공계) 성적우수 유형
2. 장학금액 : 등록금 전액(성적기준 충족 시 정규 등록학기 내 지원)
3. 지원자격 (가~사 항을 모두 충족하는 학생)
가. 2025년 입학자: 이공계(자연대, 공과대, IT대, 베어드학부대학 자유전공학부) 소속
※ 자유전공학부 학생도 신청가능하나 장학금 수혜 후 비이공계로 진급한 경우, 장학생 자격박탈 및 장학금 전액 반환
나. 동일학기에 한국장학재단에서 운영 중인 타 장학금(인문100년장학금, 중소기업취업연계 장학금, 고졸 후 학습자 장학금 등)
수혜자 또는 장학생 자격 유지자 제외
다. 교내 4년 전액 장학생 제외(베어드입학우수장학금, 국가유공자장학금, 북한이탈주민장학금 등)
라. 부모직장 또는 타 외부장학재단/기관에서 학자금을 지원받지 않는 자 (그 외 타 장학금 수혜가능성 등을 평가하여 선발)
마. 졸업 후 이공계 분야로 진학 또는 취업을 희망하는 자
[비이공계 (전과)진급, 졸업 후 이공계분야 미진출 또는 미취업 시 장학금 전액 반환]
바. 검정고시 출신 및 외국고교졸업자 제외
사. 한국장학재단에서 정하는 고교성적 기준 또는 2025년도 수능성적 기준을 충족하는 자(하단 참조)
※ 수능성적 기준, 고교성적 기준 중 한가지 유형을 선택하여 신청
4. 세부안내
가. 지원대상: 자연과학대학, 공과대학, IT대학, 베어드학부대학 자유전공학부 재학생
나. 추천인원: 7명
다. 선발기준: 학업계획서 및 고교성적 또는 수능성적 평가
라. 한국장학재단 성적기준 충족 요건
1) 고교 성적기준
구분
유형
성적 기준
이수단위 합계
석차등급
적용 고교
과학고
석차등급 6등급 이내 과목
24단위 이상
일반고
석차등급 3등급 이내 과목
24단위 이상
학점 적용 고교
영재학교
B
–
학점 이상 과목
24단위 이상
※ 일반고는 과학고 및 영재학교를 제외한 모든 유형의 고등학교를 의미
※ 성적기준 충족 예외 인정 사례
① 석차등급이 원칙인 과목이나, 수강인원 부족 등 특수한 이유로 석차등급이 나오지 않은 경우 B
–
이상 학점
② ‘2015 개정 교육과정’에 따른 진로 선택과목의 경우 A등급
※ 석차등급 또는 학점이 ‘Pass/Fail’로 표시되는 과목은 적용과목에서 제외(단, 특정 학년 필수과목 전체가 Pass/Fail일 경우
과목별로 B
–
이상 학점을 취득한 것이 공식적으로 증빙 가능할 경우 이수단위 합계에 포함 가능, 증빙자료 보관 필수)
※ 교육부 비 인가학교 및 외국계학교는 지원 대상 고등학교에서 제외
※ 교육부 인가를 받은 외국교육기관 등에서 일반고 기준으로 성적 산출이 안 될 경우 영재고 기준으로 적용, 단 증빙자료 보관 필수
□ 적용 교과 및 과목: 고등학교 재학 중 全학년 全학기 동안 이수한 수학 및 과학 관련 과목(UP, AP포함)
① 일반고 및 과학고: 수학·과학 교과 과목 및 이와 관련된 과목)
교과명
과목명(예시)
수학
공통수학, 수학10-가, 수학10-나, 이산수학, 실용수학, 수학Ⅰ, 수학Ⅱ, 미적분 I, 미적분 II, 미적분과 통계 기본,
확률과 통계, 수학의 활용, 적분과 통계, 기하와 벡터, 고급 수학 I, 고급 수학 II 등
과학
공통과학, 생활과 과학, 물리Ⅰ, 물리Ⅱ, 화학Ⅰ, 화학Ⅱ, 생명과학Ⅰ, 생명과학 II, 지구과학Ⅰ, 지구과학Ⅱ 등
과학에
관한 교과
물리실험, 화학실험, 생물실험, 지구과학실험, 고급물리, 고급화학, 고급생물, 고급지구과학, 고급 생명 과학,
생명 과학 실험, 컴퓨터과학Ⅰ, 컴퓨터과학Ⅱ, 전자과학, 환경과학, 과학사, 과학사 및 과학철학, 현대과학과기술,
과학철학, 정보과학Ⅰ, 정보과학Ⅱ, 과제연구Ⅰ, 과제연구Ⅱ, 원서강독, 워크숍, 기타 등
※ 재량교과 중 상기 과목명과 동일한 교과의 경우 포함
※ 상기 과목 이외에 고교 재량교과 및 기타로 분류된 수학ㆍ과학 관련 과목 인정
② 영재학교: 수학 및 과학 교과 필수/심화/선택/특강 과목
③ 기타: 한국대학교육협의회 주관 고교-대학 연계 심화과정
(UP: University-Level Program), 국제에 관한 교과(AP:Advanced Placement) 과목 중 수학 및 과학 관련 과목 인정
2) 수능 성적기준: 2025년도 대학수학능력시험 영역별 등급기준
구분
수학
과학탐구영역(2개 과목)
수도권 대학
1순위
1등급
1등급 + 1등급 또는
1등급(과학Ⅱ) + 3등급이내
2순위
1등급
1등급 + 3등급이내
5. 신청기간
가. 학생 신청기간(학생→장학팀): 2025.04.25.(금) 15:00까지
– 점심시간 12:20~13:20 및 토․일요일 접수 불가
나. 본교 추천명단 발표: 2025.05.12.(월) 18:00 예정 (SMS 개별연락)
다. 본교 추천학생 온라인 신청(학생→재단): 2025.05.21.(화)~05.23.(목) 17:00
1) 한국장학재단 포털에 온라인 신청(학생 공인인증서 반드시 필요 함)
2) 온라인 미 신청 시 추천은 자동 취소 되며, 차 순위 학생으로 자동 교체
※ 향후 추진 상황에 따라 일정 변동 가능
6. 최종 합격자 발표 및 장학금 지급: 2025.06월 중
7. 제출서류 및 제출처
가. 제출서류: 장학금 지원서, 학업계획서, 개인정보 동의서(지원서 사진은 이미지파일 또는 실 증명사진 부착 가능)
※ 반드시 워드로 작성 요망(수기 작성 금지)
나. 제출장소: 장학팀(미래관 106-2호)
※ 방문제출 또는 우편제출(서류가 미비한 경우, 탈락될 수 있음/ 기한내 도착분에 한함)
※ 우편주소: 06978 서울시 동작구 상도로 369 숭실대학교 미래관 106-2호 장학팀
붙임 1. 국가우수장학금(이공계) 지원서 및 학업계획서 양식 1부
2. 장학재단 학생신청 매뉴얼 1부. 끝."
