department,title,author,date,link,content
lifelongedu,[장학] 2025학년도 ‘평생교육학과의 날 장학금’ 선발 안내,N/A,2025-11-12,https://lifelongedu.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=3337,"2025학년도
‘평생교육학과의 날 장학금’ 선발 안내
숭실대학교 평생교육학과는 창립 27주년을 맞이하였습니다.
1998년 학과 창립 이후 교수님, 재학생, 대학원생, 그리고 동문 모두가
‘Same Boat 정신’
아래 한마음으로 발전을 이어왔습니다.
그 결과, 오늘날 평생교육학과는 국내외를 아우르는 최고의 학과로 자리매김하였습니다.
이 뜻깊은 기념일을 맞이하여, 학과에서는 아래와 같이 ‘평생교육학과의 날 장학금’ 을 시행하오니 재학생 여러분의 많은 지원 바랍니다.
1. 장학금명
평생교육학과의 날 장학금
2. 선발인원
총 8명 (각 500,000원)
3. 지원자격
평생교육학과 재학생 전원
4. 제출서류
평생교육학과의 날 장학금 지원서 1부 (첨부파일 확인)
성적증명서 1부
5. 제출기간
2025년 11월 12일(수) 13:00 ~ 12월 1일(월) 16:00
※ 마감 시간까지 도착한 서류에 한함
6. 면접일정
추후 공지 (별도 공지가 없을 경우 면접 없음)
7. 제출방법
학과 이메일 (
lifelongedu@ssu.ac.kr
) 로 제출
이메일 제목 예시 →
[평생교육학과의 날 장학생 신청] (학번) (성명)
신청서는 정확히 작성 후 제출
8. 합격자 발표
2025년 12월 7일(월) 이후 개별 연락 (합격자에 한함)
9. 장학금 수여식
2025년 12월 9일(화) 한경직기념관 1층 김덕윤 예배실
※ 장학금 수여식 참석 필수
추가 문의 사항은 학과사무실로 연락해 주시기 바랍니다.
감사합니다."
lifelongedu,[사회과학대학 홍보물] 공공인재반 모집 관련,,2025-09-19,https://lifelongedu.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=3331,[사회과학대학 홍보물] 행정학부 공공인재반 모집 관련
lifelongedu,[졸업] 2025-2학기 졸업논문계획서 및 졸업논문(대체공인점수 성적) 제출 안내,,2025-09-10,https://lifelongedu.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=3326,"1. 졸업논문계획서 제출
가
.
대상자
1) 8학기 이상 이수중인 졸업예정자
2) 6~7학기 이수중인 조기졸업 대상자
3) 수료생 중 졸업예정자 신청한 학생
4) 7학기 이수중인 학·석사 연계과정 승인자
나
.
제출방법
: 첨부된 졸업논문계획서 양식을 다운받아 작성(대체공인점수 제출 예정자도 해당)
1) 졸업논문 제출 예정자 : 인적사항, 논문제목, 내용, 지도교수명 작성
2) 대체공인점수 제출 예정자 : 인적사항, 대체공인시험 종류, 지도교수명 작성
다
.
제출기한
:
~
9/30(화
)
까지
lifelongedu@ssu.ac.kr로 제출하거나 학과 사무실로 직접 제출
2. 졸업논문 및 공인영어시험 점수 제출
가
.
대상자
: 2026. 2월 졸업예정자
나
.
대체공인시험 종류 및 점수
– 토익 : 850 이상
– 토플 : 95 이상
– 토익스피킹 :Intermediate Mid 3(130)이상
– 오픽 : Intermediate Mid 3 이상
다
.
제출기한
:
12/12(
금
)
까지
→
기한 엄수 필
(
必
)!
3. 자주 하는 질문
Q.대체공인시험 점수 제출시에도 졸업논문계획서를 제출해야하나요?
A.제출하셔야 합니다. 학과, 학번, 이름 작성 후 논문제목 혹은 내용에 ‘대체공인시험 제출’로 작성 후 제출 예정인 시험을 체크하고, 지도교수님 성함을 작성하여 보내시면 됩니다.
Q.졸업논문 계획서에 사인받아야 하나요?
A.사인 없이 제출해주시면 됩니다.
Q.졸업논문계획서를 낼 때 대체공인시험점수를 함께 제출해도 되나요?
A.유효기간이 졸업사정 까지 남아있는 점수인 경우 함께 제출하셔도 됩니다.
Q.영어성적은 학과사무실에 직접 제출 해야 하나요?
A.메일로 스캔본을 보내주셔도 되고 우편으로 발송하셔도 됩니다. 단, 성적 및 시험자정보(사진, 이름 등)가 잘 보이도록 보내주시기 바랍니다.
※ 졸업논문을 제출하는 학생은 사전에 꼭 지도교수님과 상의하여 준비하시기 바랍니다.
※ 문의사항 : 학과 사무실 (02-820-0041/ 조만식기념관 741호)"
lifelongedu,[장학] 2025학년도 2학기 국가장학금 신청자 가구원 동의 안내,,2025-09-04,https://lifelongedu.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=3317,"2025학년도 2학기 국가장학금 신청 학생의 가구원 동의가 원활하게 이루어 질수 있도록 홍보하여 주시기 바랍니다.
1. 요청사항
가. 홍보내용 각 학과(부) 홈페이지 공지
나. 홍보내용 학생회 공유 및 학생 안내(SMS 발송 등)
2. 홍보내용(학교 홈페이지 공지사항 참조):
바로가기
3. 세부안내
가. 가구원 정보제공 동의 기간: 2025.09.17.(수) 18:00 까지(온·오프라인 동일)
나. 동의대상 가구원 범위
– 미혼: 학생의 부·모 모두
– 기혼: 학생의 배우자
※ 가구원 동의 절차 미완료 시 국가장학금 지원이 불가하며, 장학규정에 따라 교내장학금
지원도 불가함
붙임 가구원 정보제공동의 상세 절차 각 1부. 끝."
lifelongedu,[장학] 2025학년도 2학기 교내장학금 2차 신청 안내,,2025-09-02,https://lifelongedu.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=3314,"1. 교내장학금 자격요건
가. 2025학년도 2학기 국가장학금 신청 및 서류제출을 완료하고 소득분위가 조회된 자
(국가장학금 지급 대상 분위의 경우 심사가 완료된 자)
※ 국가장학금 1차 신청기간: 2025.05.23(금) 9:00 ~ 06.23(월) 18:00[마감]
국가장학금 2차 신청기간: 2025.8.13(수) 9:00 ~ 9.10(수) 18:00
나. 2025학년도 2학기 재학 및 복학(예정)자로 등록금 납부 예정인 자
1) 2025학년도 2학기 前 등록휴학 후 복학 시 장학생 선발대상에서 제외
2) 미등록, 입학취소, 복학취소, 휴학 등 학적변동 시 모든 장학금 취소
다. 직전학기 15학점 이상 이수한 자(최종 직전학기는 12학점)
라. 정규등록학기가 8학기 이내인 자(건축학부 건축학전공은 10학기 이내)
2. 학생 신청 절차
가. 온라인 신청 및 서류제출기간:
2025.9.1(월) 9:00 ~ 2025.9.26(금) 17:30
나. 신청방법: u-SAINT포털 → 등록/장학 → 장학 → 장학금 신청
다. 서류제출: 온라인 신청기간 내 방문 및 등기우편제출 가능(세부내용 붙임 파일 참조)
※ 단, 전문자격시험합격자장학금의 경우 등기우편 불가"
lifelongedu,[장학] 2025학년도 2학기 백마성적우수장학생 선발 기준 안내,,2025-08-28,https://lifelongedu.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=3268,"평생교육학과에서는 아래와 같은 자격요건을 바탕으로 백마성적우수장학생을 선발하고자 합니다.
1.
장학금명
:
백마성적우수장학금
2.
장학금액
:
최대 수업료의
100%, 50%, 25%
3.자격요건
가.
2025
학년도
2
학기 국가장학금을 신청하여 소득분위 조회가 가능한 자
1) 국가장학금 1차 신청자에 한하여 등록금고지서 사전감면
2) 1차 미신청자: 2차 신청/서류제출 확인 후 지급
(2차 신청자 중 한국장학재단구제신청 시 사후지급)
3) 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단, 순수외국인전형으로 입학한 외국인유학생은 선발 불가)
나. 2025학년도 2학기 재학 및 복학 예정자로 해당 학기 등록금 납부 예정인 자
1) 2025학년도 2학기 前 등록휴학 후 복학 시 선발 대상에서 제외(등록대체자)
2) 학기 중 미등록, 입학취소, 복학취소 등으로 인한 학적변동 시 모든 장학금 취소
3) 선발 후, 학기 시작 준 또는 중도 휴학 시 백마성적우수장학금은 복학 학기로 이월
※ 추가 또는 교체 선발 시 재학 중인 학생만 선발 가능(휴학생에 대한 추가/교체 불가)
다. 직전 학기 15학점 이상 이수한 자(졸업 직전학기는 직전학기 12학점 이상)
라. 2025학년도 2학기가 정규등록학기 8학기 이내인 자(건축학부 건축학전공: 정규등록 10학기이내인 자)
마. F학점 포함 학적부성적 기준 직전 학기
3.8
이상
인 자
바. 모든 교내장학금간 중복수혜 불가
1) 신청장학금 중 수혜금액이 큰 장학금으로 자동 선발
2) 중복수혜 가능 장학금: 국가장학금, 교외장학금, 학과우수장학금, 기타 학업장려비 지원 목적 장학금 등
사. 졸업예정자 선발 불가(조기졸업 대상자 포함)하므로 유의
4.
세부선발 기준
(
평생교육학과
)
가.학과행사참여도>학점>전공과목 수강비율 순으로 고루 반영하여 선발함
나.전공학점의0.1~0.2점의 근소한 학점 차이는 크게 반영하지 않음
(단,학과 행사참여도와 전공과목 이수비율을 적극 반영함)
다.비슷한 조건일 경우 고학년을 우선 선발함(저학년의 경우,추후 기회가 있다고 판단)
라. <학과내규 제3조>장학금지급에 관한 내규
제3조(지급대상)장학금 지급 대상자는 본과 재학생(신입생 포함)으로서 다음 각호를 고려하여 선정한다.
학업성적 및 학과행사 참여도
학과 과목 이수 비율
고학년의 경우,저학년 과목 이수 비율(낮은 비율 우대)
가정의 경제적 상황"
lifelongedu,[장학] 2025학년도 1학기 교내근로 및 학과근로 장학생 모집,,2025-08-28,https://lifelongedu.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=3266,"2025학년도1학기 학과근로장학생을 다음과 같이 모집하니 많은 지원 바랍니다.
1.
근로장학생 자격 및 선발기준
가. 2025학년도1학기 국가장학금을
1
차
신청하고 소득분위가
9
분위 이내인 자
※국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능
(단,순수외국인전형으로 입학한 외국인 유학생은 선발 불가)
나. 2025학년도1학기 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
1) 2025학년도1학기 전 등록휴학 후 복학시 선발 불가(등록대체자)
2)학기 중 미등록,입학취소,복학취소 등으로 인한 학적변동시 모든 장학금 취소
3) 2025학년도1학기 기준
이수학기가
2~7
학기만 가능
(
건축학 전공은
9
학기까지
)
※
마지막학기 재학생은 선발 불가
다.직전학기 취득학점 및 학업성적 제한 없음
라.타 장학금과 중복수혜 가능(근로장학금 간 중복 불가)
※본 장학금은 학업장려비 지원 목적으로 등록금(입학금 및 수업료)를 초과하여 지급
마.국가근로장학생 및 교내근로장학생에 선발되지 않은 자
※
국가근로 및 교내근로 선발자가 포기 후 학과근로 선발될 수 없음
2.
근로장학생 종류별 장학금액 및 근로시간
장학금명
시간당 장학금
총 근로시간(학기)
1인당 장학금액(원)
학과근로A
10,030원
10시간*20주=200시간
2,006,000
학과근로B
10,030원
5시간*20주=100시간
1,003,000
※장학금은 매월 지급하며,실 지급액은 근로시간에 따라 달라질 수 있음
※주 기준은 학기당 받을 수 있는 장학금액 산정을 위한 것이며,총 시간 내에서8월까지
근로할 수 있음
※장학금 지급일:매월 셋째주 금요일 예정(Ex. 9월분 근로장학금 지급일: 10월 셋째주 금요일)
3.
유의 사항
가.선발된 학생은 소속부서에서 지정된 근로시간 동안 근무해야 하며,학기 중 학적변동
(휴학,자퇴,제적 등)등 불가피한 사유가 인정되는 중도 포기 시 근로 시간 만큼 지급
나. 2025년7월 근로평가 전까지 교체 가능(단,교체 전 학생의 근로시간을 차감)
다.
국가근로 및 교내근로로 선발 시 학과근로 선발에서 제외됨
(선발 우선순위: 1.국가근로, 2.교내근로, 3.학과근로)
–
4.
신청절차
가.학생신청방법: u-SAINT포털→등록/장학→장학메뉴‘근로장학금’→학과근로A/B신청→지원서 출력→지원서제출
※
u-SAINT
출력본 제출 필수
나.온라인접수 및 서류제출기간:
2025
년
2
월
3
일
(
월
) 10:00 ~ 2
월
7
일
(
금
) 17:00
※
제출 일시 이후 제출본은 불인정하니 유의
1)제출서류:지원서(u-SAINT출력본)
2)제출장소:각 학과사무실->
평생교육학과 사무실
(
조만식
741
호
)
또는 학과 이메일
(lifelongedu@ssu.ac.kr)
로 제출
–
5.
선발결과 발표
:
2025년2월24일(월) 18:00이후 본교 홈페이지 공지사항 공지 예정"
lifelongedu,[학사] (중요) 외부 기관 방문으로 인한 공문 요청시 필독,,2025-08-28,https://lifelongedu.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=3262,"학과 수업과 관련하여
외부 기관에 공문 발송을 해야 하는 경우, 방문 날짜의 2주 여유를 두고 공문 요청을 해 주시기 바랍니다.
해당 기간보다 적은 기간이 남는 경우에는 기간 내 공문이 도착하지 않을 수 있사오니
기간 엄수하여 주시기 바랍니다.
공문 요청 시에는 담당자와 사전 방문 협의를 마친 후 학과로 발송 요청해 주시기 바랍니다.
(학과에서 일정 조율을 해 드리지 않습니다)
요청 시 아래 양식을 작성하여  2주 전 이메일 보내주시기 바랍니다.
[외부 기관 방문 관련 공문 양식]
방문 기관명:
공문 수신 담당 부서:
담당자 이름 및 전화번호:
공문 내용:
가. 방문 일시: 0000년 0월 00일( 0요일), 00:00~00:00
나. 방문 인원: 000수강생 0명(김숭실, 김평생, 등등)
다. 방문 목적:
라. 담당 부서: 000팀(000)
마. 기타:"
lifelongedu,[졸업] 2025-1학기 졸업논문계획서 및 졸업논문(대체공인점수 성적) 제출 안내,,2025-08-28,https://lifelongedu.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=3258,"1. 졸업논문계획서 제출
가
.
대상자
1) 8학기 이상 이수중인 졸업예정자
2) 6~7학기 이수중인 조기졸업 대상자
3) 수료생 중 졸업예정자 신청한 학생
4) 7학기 이수중인 학·석사 연계과정 승인자
나
.
제출방법
: 첨부된 졸업논문계획서 양식을 다운받아 작성(대체공인점수 제출 예정자도 해당)
1) 졸업논문 제출 예정자 : 인적사항, 논문제목, 내용, 지도교수명 작성
2) 대체공인점수 제출 예정자 : 인적사항, 대체공인시험 종류, 지도교수명 작성
다
.
제출기한
:
~
4/23(
수
)
까지
lifelongedu@ssu.ac.kr로 제출하거나 학과 사무실로 직접 제출
2. 졸업논문 및 공인영어시험 점수 제출
가
.
대상자
: 2025. 8월 졸업예정자
나
.
대체공인시험 종류 및 점수
– 토익 : 850 이상
– 토플 : 95 이상
– 토익스피킹 :Intermediate Mid 3(130)이상
– 오픽 : Intermediate Mid 3 이상
다
.
제출기한
:
6/13(
금
)
까지
→
기한 엄수 필
(
必
)!
3. 자주 하는 질문
Q.대체공인시험 점수 제출시에도 졸업논문계획서를 제출해야하나요?
A.제출하셔야 합니다. 학과, 학번, 이름 작성 후 논문제목 혹은 내용에 ‘대체공인시험 제출’로 작성 후 제출 예정인 시험을 체크하고, 지도교수님 성함을 작성하여 보내시면 됩니다.
Q.졸업논문 계획서에 사인받아야 하나요?
A.사인 없이 제출해주시면 됩니다.
Q.졸업논문계획서를 낼 때 대체공인시험점수를 함께 제출해도 되나요?
A.유효기간이 졸업사정 까지 남아있는 점수인 경우 함께 제출하셔도 됩니다.
Q.영어성적은 학과사무실에 직접 제출 해야 하나요?
A.메일로 스캔본을 보내주셔도 되고 우편으로 발송하셔도 됩니다. 단, 성적 및 시험자정보(사진, 이름 등)가 잘 보이도록 보내주시기 바랍니다.
※ 졸업논문을 제출하는 학생은 미리 지도교수님과 상의하여 준비하시기 바랍니다.
※ 문의사항 : 학과 사무실 (02-820-0041/ 조만식기념관 741호)"
lifelongedu,[졸업] 졸업논문 대체 공인영어시험 종류 및 기준 안내,,2025-08-28,https://lifelongedu.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=3256,"평생교육학과 졸업논문 대체 가능한 공인영어시험 종류와 기준을 안내합니다.
사전 학과에 문의 후 졸업 일정에 참고하시기 바랍니다.
[ 대체 가능 공인영어시험 종류 및 기준 ]
토익 850 이상
토플 95 이상
토익 스피킹 Intermediate Mid 3 이상
오픽 Intermediate Mid 3 이상
※ 졸업논문 및 대체 공인영어점수는 계획서를 제출한 인원에 한하여 제출기한은 아래 공지를 참고해 주세요.
(매 학기 ‘졸업논문계획서 및 졸업 논문(대체 공인점수 성적) 제출 안내’ 공지를 참고해 주시기 바랍니다.)"
