department,title,author,date,link,content
politicalscience_internationalrelations,[졸업] 2025-2학기 졸업논문 지도교수배정 및 제출기한 안내(논문대체 어학성적표 포함),N/A,2025-10-14,https://politics.ssu.ac.kr/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=10021,"[졸업] 2025-2학기 졸업논문 지도교수배정 및 제출기한 안내(논문대체 어학성적표 포함)
<졸업논문 지도교수 배정 안내>
2025-2학기 졸업예정자에 대한 논문지도 교수님이 배정되었으니 아래 내역 확인 바랍니다.
빠른 시일 내에 지도교수님께 논문지도를 받으시기 바랍니다.
교수님을 찾아뵈실 때는 사전에 이메일 등으로 상담예약을 하고 가시면 되고, 교수님의 메일주소는 배정표 아래에 기재해 두었으니 참고 바랍니다.
* 최종논문, (논문대체) 어학성적표 제출기한 : 2025년 12월 8일(월) 17시까지
* 최종논문 제출시 ‘학사학위논문제본 1부’를 학과사무실 방문하여 제출해주시고, ‘원본파일 1부’를 학과 이메일로 송부(두가지 모두 제출)하시기 바랍니다. 제본양식은 일반적인 무선제본(떡제본)만 가능하며 스프링제본 및 중철제본 등은 불가합니다.
* 부득이한 사정으로 학과 방문이 어려우신 학우 분들께서는 학과 사무실로 연락주시길 바랍니다.
* 어학성적표(토익 900, 토플 100, 오픽 IH 이상)는 제출기한 내에 성적표가 유효하여야 제출이 가능합니다.
-예: 11월 마지막 주말에 성적이 발표된 어학성적표는 제출 가능, 유효기간이 12월 2일 이후로 남아있는 경우 제출 가능 / 다만 12월 9~10일에 성적이 발표되는 어학시험의 경우 제출 불가능.
* 제출처 : (06978) 서울시 동작구 상도로 369 숭실대학교 조만식기념관 743호 정치외교학과 사무실,
politics@ssu.ac.kr
* 문의 : 정치외교학과 사무실 02-820-0520 (평일 09:00 ~ 17:30)
– 조홍식 교수님 : chs@ssu.ac.kr
– 김태형 교수님 : tkim2002@ssu.ac.kr
– 김지영 교수님 : jiyoung.kim@ssu.ac.kr
– 신정섭 교수님 : jsshin.polisci@ssu.ac.kr
– 최슬아 교수님 : seulahchoi@ssu.ac.kr"
politicalscience_internationalrelations,[한국국제정치학회] 2026 G20 Youth Summit 한국 대표단 선발 공고,N/A,2025-10-02,https://politics.ssu.ac.kr/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=9997,"Ⅰ. 프로그램 개요
ㅇ 행사명 : 2025 G20 영문에세이 경진대회
ㅇ 주최 : 한국국제정치학회·외교부 공동주최
ㅇ 모집대상 및 인원 : G20 및 글로벌 거버넌스 체제에 관심 또는 이해가 있는 대한민국 국적의
해외 여행 및 영어 구사 가능한 청년
(※ 2026.01.01. 기준 만18세-만34세 ※)
ㅇ 시상 인원(4명) 및 지원 내용
– 대상 2명 : 장관 명의 시상, 2026 G20 Youth Summit 참가 한국 대표단 추천 및
왕복 항공료(이코노미석) 지원
(※ 항공료는 대면 회의 개최 시에만 지원, 세부사항 추후 안내 ※)
– 우수상 3명 : G20 셰르파 명의 시상
※ 2025 G20 영문에세이 경진 및 발표대회 참가 등 상기 내용 외 소요되는 교통 및 숙박비 등은 참가자 부담. ※
Ⅱ. 신청 방법
ㅇ 선발 방식 : (1단계) 영문 에세이, (2단계) 영어 면접
– 영문 에세이 평가 (개인별 참가 가능, 그룹 or 팀으로 공동 참가 불가)
· 공고기간 : 2025.10.02.(목) – 2025.10.24.(금) 18:00까지
· 제출기간 :
2025.10.02.(목
) – 2025.10.24.(금
) 18:00
까지
· 제출서류 : ① 영문 자기소개서 1부(Word) (지정양식)
② 영문 에세이 1부(Word) (지정양식)
③ 문헌유사도검사결과서(상세) 1부(PDF) (Turnitin or 카피킬러 or KCI 등)
④ 출처검사결과서(상세) 1부(PDF) (Turnitin or 카피킬러 등)
⑤ GPT검사결과서(상세) 1부(PDF) (카피킬러 or GPT Zero 등)
· 제출방법 : 온라인 제출 (한국국제정치학회 홈페이지 ‘Y20 대표단 선발’ 게시판)
① 지원서 작성 : 외교부(
mofa.go.kr
) 홈페이지-공지사항 or
한국국제정치학회(
kaisnet.or.kr
) 홈페이지-학회사업-Y20 대표단 선발
–
안내사항 게시판
: 2026 G20 Youth Summit  한국 대표단 선발 참가자 모집 클릭
→ 첨부파일 신청서 양식 다운로드 → 신청서 작성
② 지원서 제출 : 한국국제정치학회 홈페이지-학회사업-Y20 대표단 선발
–
Y20 서류 제출 게시판
(로그인 불필요)에 입력 및
① 영문 자기소개서(Word),
② 영문 에세이(Word),
③ 문헌
유사도검사결과서(상세)(PDF),
④
출처검사결과서(상세)(PDF),
⑤ GPT 검사결과서(상세)(PDF)  첨부 제출
· 주제(택 1) : ▲
(경제성장과 규제완화)
규제 완화를 통한 경제성장 촉진과
이 경우 발생할 수 있는 노동, 환경, 데이터 보호 등
공공 규범 약화 간 긴장 관계의 균형 잡힌 해법은?
▲
(신기술과 디지털 혁신)
인공지능을 비롯한 디지털 분야의 혁신은
성장의 동력이나 동시에 디지털 격차 확산의 우려도 존재함.
모두가 접근 가능한 성장을 담보할 방안은?
· 언어 및 분량
▷자기소개서 : 영어 / Times New Roman 15pt / 300단어 이내
(분량 엄격히 준수)
▷에세이 : 영어 / Times New Roman 15pt / 1,000단어 이내
(분량 엄격히 준수)
· 1차 합격자 발표 : 2025.11.25.(화)(예정) / 공지 및 이메일 개별 통보
– 영어 면접
· 일시 및 장소 : 2025.12월 中, 구체적 일시 및 장소 추후 개별 공지 (예정)
· 최종 합격자 발표 : 면접일로부터 10일 내 / 공지 및 이메일 개별 통보 (예정)
※ 추진 일정은 상황에 따라 변동 가능 ※
※ 합격 시 G20 Youth Summit 참석 서약서 제출 필요(서약서 미제출 및 미참석 시 수상 취소) ※
ㅇ 시상식 : 추후 공지 예정
Ⅲ. 유의사항
ㅇ 각 행사 프로그램 전체 일정 동안 중도하차 없이
책임감 가지고 모든 행사 일정에 참여할 수 있는 분만 지원 바랍니다.
(만 18세-34세(2026.01.01. 기준), 대한민국 국적, 해외여행 가능자, 영어 발표 및 토론 가능자)
ㅇ
지정 작성 양식 및
분량
엄격히 준수
(별첨 양식 참조)
ㅇ 저서, 논문, 기사, 인터넷 자료 등 인용시
반드시 정확한 출처 명기
(한국국제정치학회 『국제정치논총』, 『KJIS』-원고작성안내 참고)
ㅇ 챗 GPT 등 생성형 AI 사용을 금하며, 표절 및 타 기관 공모에 제출되거나,
간행물에 게재된 에세이는 응모 불가.
시상 이후라도 챗 GPT 등 생성형 AI 사용, 표절, 타 공모전 제출 또는 수상작 등으로
판명될 경우, 입상 취소 및 부상 환수, 해당 학교 및 학과 등에 동 내용 통보,
향후 5년 간 외교부 및 한국국제정치학회 공모 사업 지원 제한 등 엄중 대응 예정.
ㅇ 지원서 제출에 필요한 프로그램 등은 지원자 본인이 직접 찾아보셔야 하며,
지원서 제출에 필요한 프로그램, 관련 정보 등을 제공하지 않습니다.
ㅇ 제출된 서류는 반환하지 않습니다.
ㅇ 자세한 사항은 모집 공고 파일 확인 바랍니다.
ㅇ 기타 문의는 이메일(
mg20@kaisnet.or.kr
)로
지원(예정)자가 직접 본인 정보(성함, 소속, 직책, 연락처(이메일, 휴대전화)) 메일에 기재 후,
문의 내용 정리하여 문의해주십시오."
politicalscience_internationalrelations,[졸업] 2025-2학기 졸업논문계획서 제출 안내,N/A,2025-09-19,https://politics.ssu.ac.kr/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=9978,"졸업논문계획서 제출 안내
2023학년도부터 졸업논문 제출과 어학성적 대체 두 가지 방법으로 졸업하실 수 있습니다.
다만 졸업논문 제출로 논문다운 논문을 쓰고 졸업하는 새로운 전통을 이어가는데 동참하실 수 있습니다.
2025
년
2
학기 졸업예정자
는 아래의 내용을 확인하시고
,  논문 제출로 졸업하고자 하는
의향이 있는 학생은 반드시 기한 내에 졸업논문계획서를 제출하여 주시기 바랍니다
.
▶
아
래
◀
1.
정치외교학과 졸업예정자는 논문을 작성하거나, 어학성적 대체로 졸업할 수 있습니다.
※
수료생 필독
: 2019학년도부터 수료생은 별도의 신청 없이 학사팀에서 졸업예정자 일괄등록 후 졸업사정을 진행합니다.
※ 어학성적 기준 : 토익 900점 이상, 토플 100점 이상, 오픽 IH 등급 이상
2. 2025
학년도 겨울(2026년 2월 예정) 졸업예정자는 졸업논문계획서를 양식에 맞추어 작성한 후 기한 내에 제출 바랍니다.
3. 논문계획서 제출 기한
:
2025년 10
월 3일(금) 17시 30분까지
4. 논문계획서 작성요령
:
– 계획서 양식 : 학과 홈페이지 다운로드
– 계획서 제출 : 학과 이메일로 제출
– 이메일/파일 제목 : 졸업논문계획서_학번_이름
5.
문의
:
학과사무실 ☎
02)820-0520, E-mail:
politics@ssu.ac.kr
6. 지도교수 배정 및 논문 본문 최종제출 시기: 12월 8일(월) 예정
2025.09.22.
정   치   외   교   학   과"
politicalscience_internationalrelations,[한국정치학회] 2025 하반기 의회선거 진로 프로그램,N/A,2025-08-29,https://politics.ssu.ac.kr/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=9942,
politicalscience_internationalrelations,[학사 안내] 2025학년도 2학기 융합필수 교과목 이수구분 변경 안내,N/A,2025-08-07,https://politics.ssu.ac.kr/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=9924,"안녕하세요, 정치외교학과 사무실입니다.
2025학년도 2학기 개설 예정인
융합필수 교과목
에 대한
이수구분 변경 사항
을 아래와 같이 안내드립니다.
이수구분 변경 가능 교과목
통일학연구의 방법과 쟁점
원조와 세계정치
분단체제와 안보
위 교과목들은
2025학년도 2학기에 한하여 정치외교학과 전공선택으로 이수구분 변경이 가능합니다
.
수강신청 및 학사 일정에 참고하시기 바랍니다.
감사합니다.
정치외교학과 드림"
politicalscience_internationalrelations,"숭실대학교 정치외교학과, 몽골 국회 국제학술회의 참여… 글로벌 학술외교의 선두주자로 나서다",N/A,2025-05-19,https://politics.ssu.ac.kr/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=9733,"숭실대학교 사회과학대학 정치외교학과가 글로벌 학술외교의 새로운 장을 열고 있다. 2025년 5월 16일, 몽골 울란바토르 국회의사당과 몽골 국립대학에서 열린 국제학술회의에 본 학과 교수진이 공식 초청을 받아 참석했으며, 같은 날 몽골국립대학교 정치학과와의 학술교류 협약(MOU)을 체결했다.
이번 학술회의는 몽골 국회의 외교·안보정책 상임위원회와 몽골국립대학교가 공동 주최한 행사로, ‘세계 신질서의 교차점에 있는 국가와 지역’을 주제로 개최되었다. 이 회의에는 러시아, 중국, 한국, 일본, 오스트리아, 미국, 인도 등 총 9개국의 저명한 정치외교 전문가 및 학자들이 참여하여, 변화하는 국제 질서 속 중소 국가들의 전략과 외교 방향에 대한 심도 있는 논의가 이뤄졌다.
숭실대학교 정치외교학과의 김지영 교수, 최슬아 교수, 강성철 박사(연구원), 조준호(대학원생)는 이 회의에 공식 초청받아 국제학계에서의 입지를 다시 한 번 증명했다. 특히 이번 학술회의에서 발표된 결과와 권고사항은 몽골 정부 기관에 전달되어 정책 수립에 반영될 예정이다."
politicalscience_internationalrelations,"숭실대학교 -몽골국립대, MOU 체결",N/A,2025-05-19,https://politics.ssu.ac.kr/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=9729,"숭실대학교 정치외교학과-몽골국립대학교 정치학과, 국제학술교류 협약 체결
2025년 5월 16일,울란바토르
숭실대학교 사회과학대학 정치외교학과와 몽골국립대학교 정치학과가 2025년 5월 16일, 울란바토르에서 양해각서(MOU)를 체결했다. 이번 협약은 양 대학이 정치외교 분야에서의 학문적 협력과 문화 교류를 확대하기 위한 장기적 파트너십 구축을 목표로 한다.
양해각서에 따르면, 양교는 △학술 정보 및 자료 교류 △국제 공동연구 및 공동 출판 △교수 및 학생의 인적 교류 △복수학위 프로그램의 공동 시행 등을 주요 협력 사항으로 명시했다. 향후 필요에 따라 세부 협약 내용은 추가될 수 있다.
이번 협약에 서명한 숭실대학교 정치외교학과 김지영 학과장과 몽골국립대학교 정치학과 우드라흐 다바아도르지 학과장은 “양국의 정치외교 교육 및 연구의 질적 향상을 도모하고, 학문적·문화적 교류를 통해 상호 이해를 넓히는 데 큰 기여를 할 것”이라며 이번 협약의 의의를 밝혔다. 이번 MOU는 두 학교 정치학 분야의 학문적 네트워크 강화는 물론, 학생들에게 국제적 시야를 넓힐 수 있는 기회를 제공할 것으로 기대된다.
관련 기사 :
https://news.num.edu.mn/?p=110480"
politicalscience_internationalrelations,★경축 조홍식교수님과 김태형교수님 학회장 당선,N/A,2023-12-14,https://politics.ssu.ac.kr/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=8722,"https://n.news.naver.com/mnews/article/001/0014382926?sid=103
지난 12월 9일
조홍식교수님께서  통합유럽연구회 회장(임기 2024-25년)으로 당선되셨습니다.
같은 날 국립외교원에서
김태형교수님께서 25학년도 한국국제정치학회 회장에 당선되셨습니다.
두 분 교수님의 학회장 당선을 축하드립니다!"
politicalscience_internationalrelations,[장학] 백마성적우수장학생 선발 기준에 대한 안내,N/A,2019-11-27,https://politics.ssu.ac.kr/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=3717,"정치외교학과는 다음과 같은 기준으로 백마성적우수장학생을 선발하고 있습니다.
1. 백마성적우수장학생 기본 자격요건(장학팀)
가. 장학금 수혜학기에 국가장학금을 신청하여 소득분위 조회가 가능한 자
※ 국가장학금을 신청할 수 없는 대한민국 국적 미소지자도 선발 가능하나, 순수외국인 전형으로 입학한 외국인유학생은 선발 불가
나. 장학금 수혜학기에 재학 및 복학예정자로 해당학기 등록금 납부 예정인 자
※ 등록휴학 후 복학시 선발대상에서 제외(등록대체자)
※ 미등록, 입학취소, 복학취소 등으로 인한 학적변동시 모든 장학금 취소
※ 단, 선발 후 학기중 휴학 시 백마성적우수장학금은 복학학기로 이월되며, 복학학기에 국가장학금 신청 필수
다. 직전학기 15학점 이상 이수한 자 (졸업 직전학기는 직전학기 12학점 이상)
라. 등록학기가 8학기 이내인 자 (건축학전공: 등록 10학기 이내인 자)
마. F학점 포함 학적부성적 기준
직전학기 3.8이상인 자(2024-2학기부터)
바. 모든 교내장학금 간 중복수혜 불가
2. 세부선발 기준(정치외교학과)
가. 위 1호의 백마성적우수장학생 기본 자격요건을 모두 갖춘 자
※ 단, 졸업 직전학기 자에 대해서도 직전학기 15학점 이상 이수 기준 적용
나. 우선순위(평점평균 > 평점계 > 산술평균 > 취득학점)에 따라 전체학년 통합석차 부여
다. 전체학년 수석 : 전액장학금
전체학년 2~10위 : 반액장학금
전체학년 11위~선발가능인원내 : 25%장학금
라. 장학금 중복수혜 등에 따라 장학금 심사 탈락자가 발생할 경우 예비순위자 순서대로 25%장학금 지급
마. 장학금별 인원 기준은 학교가 정한 학과별 장학금배정액에 따라 변동 될 수 있음
바. 동점자 발생시, 심사 방법 (2020.04.28 추가)
1) 직전학기 취득학점 중 정치외교학과 전공학점이 높은 자
2) 직전학기 정치외교학과 공식행사 참여율이 높은 자"
politicalscience_internationalrelations,2025-2학기 정치학 연구 역량 강화 프로그램 신청서,N/A,2025-10-02,https://politics.ssu.ac.kr/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=10005,"정치학 연구 역량 강화 프로그램 안내
정치외교학과에서는 학부생들의 연구 능력 향상과 학문적 네트워크 형성을 지원하기 위해 「정치학 연구 역량 강화 프로그램」을 운영합니다. 관심 있는 학우들의 많은 참여 바랍니다.
프로그램명
정치학 연구 역량 강화 프로그램
추진 배경 및 필요성
– 학부생의 연구 주제 발굴·설계·실행을 통한 정치학 연구 역량 강화
– 교수·대학원생과 학부생 간 멘토링 및 연구 교류 활성화
– 학부-대학원 연계 및 학문적 네트워크 형성 기반 마련
모집 기간
2025년 10월 16일(목) 17:00까지
※ 설명회 : 2025년 10월 13일(월) 17:30~18:00
지원 자격
– 정치외교학과 재학생 및 휴학생 누구나
– 개인 또는 팀(최대 3명)으로 참가 가능
– 지원 시, 별첨 지원 양식 준수 필수
주요 일정 및 운영 방안
구분
일시
내용
설명회
2025.10.13(월) 17:30~18:00
프로그램 안내
모집 마감
2025.10.16(목) 17:00
슈패스를 통한 신청
OT
2025.10.20(월) 17:00
개요 설명 및 지도교수 지정
학술회의 견학
2025년 10월 말~12월
정치학회, 선거학회, 국제정치학회 등 외부 학회 참관
특강
2025.11.03(월)
사회과학 논문 작성법 특강
연구 계획서 발표
2025.11.17(월)
교내 발표(지도교수·대학원생·참가자 참여)
연구 결과 발표
2026.01.05(월)
최종 결과 발표
최종 페이퍼 제출
2026.01.16(금)
연구 최종본 제출
후속 지원
2026년 1월 이후
우수팀은 외부 학회 발표·논문 투고 기회 제공
※ 연구 과정에서 교육, 설문 제작 등 필요한 비용 일부 지원 예정"
