department,title,author,date,link,content
pubad,2026학년도 1학기 학·석사연계과정 지원 및 선발 안내(12/1~12/12),N/A,2025-11-10,https://pubad.ssu.ac.kr/%ec%a0%95%eb%b3%b4%ea%b4%91%ec%9e%a5/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=31434,"2026학년도 1학기 학·석사연계과정 지원 및 선발을 아래와 같이 진행하고자 하니 관심있는 학사과정생께서는 기간 내 지원하여 주시기 바랍니다.
1. 지원기간 : 2025.12.1.(월)~12.12.(금)
2. 모집학과 : 학사과정과 석사과정에 동일(또는 유사)학과가 있는 학과(계약학과 제외)
3.지원자격 :
다음 각호 모두 해당되는 자
가. 지원일 당시 학사과정 4학기 이상 6학기 이내 재학 중(건축학부 건축학전공은 6학기 이상 8학기 이내 재학 중)인 자 (학·석사연계과정 신청자는 조기졸업 신청을 할 수 없음)
나. 재수강 이전 과목, 학점포기한 과목, F학점 과목 등을 포함한 전체 과목의 총평점평균이 3.0 / 4.5 이상인 자 (학적부성적)
다. 7학기 또는 8학기(건축학부 건축학 전공은 9학기 또는 10학기)에 학사과정의 졸업요건을 충족할 수 있는 자
라. 지원하고자 하는 일반대학원 학과 주임교수와 지도교수의 추천을 받은 자
마. 지원하고자 하는 일반대학원의 동일(또는 유사)학과를 주전공 또는 복수전공으로 하는자
4. 제출서류
가. 학·석사연계과정 신청서(붙임 1) 1부.
나. 학적부성적 1부.
5. 지원방법 : 대학원 교학팀으로 방문 접수(웨스트민스터홀 658호)
6. 선발인원 : 석사과정 입학정원의 20%
7. 발표일 : 2026.1.23.(금) 예정 – 학과 및 개별 통지
8. 관련 안내
가. 대상 : 지원 가능 대상자 및 학과
나. 방법 : 안내문(붙임 2) 배포 및 대학원 홈페이지 공지
9. 문의처 : 대학원 교학팀(02-820.0258~9 , grad@ssu.ac.kr)
붙임 1. 학·석사연계과정 신청서 1부.
2. 2026-1 학·석사연계과정 안내문 1부.  끝."
pubad,"제30회 행정실무워크숍 행사 안내 (강사: 박형준, 주제: 공공기관 입사의 모든 것)",N/A,2025-10-27,https://pubad.ssu.ac.kr/%ec%a0%95%eb%b3%b4%ea%b4%91%ec%9e%a5/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=31375,
pubad,※중요※2026학년도 2월 졸업예정자 졸업논문 및 대체영어성적 제출 안내,N/A,2025-08-29,https://pubad.ssu.ac.kr/%ec%a0%95%eb%b3%b4%ea%b4%91%ec%9e%a5/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=31207,"2026학년도 월 졸업자 졸업논문계획서 및 졸업 논문 제출 안내
2026년 월 졸업 예정자 및 2025년 8월 졸업 예정자 중 미제출자(수료) 모두 이번 졸업논문 제출 대상자입니다.
본인이 8학기 등록 이상이며 졸업 확정 신고를 통해 2026년 2월에 졸업을 희망하는 학생은 반드시 해당 기일을 준수하여 제출하시기 바랍니다.
최종 졸업논문 제출자는 반드시 졸업논문계획서를 해당 기한까지 제출해주시기 바랍니다.
논문대체 공인영어성적을 제출할 학생들은 별도로 논문계획서 제출하실 필요없습니다. (제출하는 시점에 영어 성적이 있어야 함, 없으면
논문계획서
제출해야 함)
1. 졸업논문계획서 제출
* 계획서 제출 마감일 :
2025
년 10
월 13
일
(월
), 17:00까지
* 계획서 양식 다운로드 : 첨부파일 및 학부 홈페이지 자료실(반드시 계획서 양식 준수)
* 계획서 제출 방법 : 학부이메일로 계획서를 작성하여 원본파일 제출(pubad@ssu.ac.kr)
– 이메일 제목 : 2025-2학기 졸업예정_졸업논문계획서_학번_이름(예시 : 2025-2학기 졸업예정_졸업논문계획서_20210510_김숭실)
* 지도교수 배정 : 논문계획서 제출 완료 후 지도교수 배정결과를 개별 안내 혹은 홈페이지 게시 예정
2. 졸업논문 대체 영어 성적 제출 안내
* 영어 성적 제출 마감일 :
2025
년 10
월 13
일
(월
), 17:00까지
* 영어 성적 기준 :
TOEIC 750점 이상, (구)TEPS 594점(new TEPS 322점) 이상, TOEFL 85점 이상, TEPS 스피킹 53점 이상, TOEIC 스피킹 130점 이상, OPIC IM2 이상의 제출기한 내 유효한 영어 성적
* 영어 성적 제출 방법 : 영어 성적의 사본을 학부 사무실 방문 제출하거나 학부 이메일로 제출(pubad@ssu.ac.kr)
– 이메일 제목 : 2025-2학기 졸업예정_영어성적제출_학번_이름(예시 : 2025-2학기 졸업예정_영어성적제출_20210510_김숭실)
– 캡쳐본은 인정 안됩니다. 반드시 원본 파일(또는 서류)로 제출바랍니다.
* 제출 마감일인 10/13(월)까지 유효한 영어 성적이 없을 시에는
반드시 먼저 논문계획서를 제출
(졸업논문 최종본 제출 시점에 대체가능한 영어성적이 있으면 갈음 가능)
3. 최종 졸업논문(대체영어성적) 제출 안내
* 졸업논문 최종본 제출 마감일 :
2025
년 12
월 12
일
(금
), 17:00까지
* 졸업논문 양식 다운로드 :
이 공지의 첨부파일 및 학부 홈페이지 자료실의 행정학부 학사학위논문 작성 가이드라인 참조(반드시 논문 양식 준수)
* 논문지도는 필수는 아니며 필요한 학생만 지도
* 최종 졸업논문 제출 방법 : 학부메일(pubad@ssu.ac.kr) 제출 (상황에 따라 책제본을 제출할 수도 있으며, 별도 안내 예정)
*
(중요)최종 졸업논문 제출 이후
카피킬러 검사결과 확인 후(학과)
기준 미달일 경우, 재작성 안내 예정.
(카피킬러 기준 20%)
4. 유의사항
* 졸업관련, 홈페이지 공지사항을 확인하지 못하여 졸업에 문제가 있을 경우 본인에게 책임이 있음."
pubad,[사전공지]2026년 8월 졸업예정자대상 세부전공명 변경 안내,N/A,2024-12-31,https://pubad.ssu.ac.kr/%ec%a0%95%eb%b3%b4%ea%b4%91%ec%9e%a5/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=30189,"*세분전공 변경 내용
*적용 시기:
2026.3.1 적용
*기타:  세부전공 표기 규정은 자료실의 첨부파일을 참고하시기 바랍니다.  (단, 복수전공 및 부전공에 대해서는 전공을 세분하지 않고 행정학부로 표기함)"
pubad,★중요!!!★(적용입학년도 2022-2025입학자 해당)2024-제5차 교과과정위원회 승인결과 안내,N/A,2024-11-13,https://pubad.ssu.ac.kr/%ec%a0%95%eb%b3%b4%ea%b4%91%ec%9e%a5/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=30108,"★중요!!!★
2024학년도 제5차 교과과정위원회 회의결과, 아래와 같이 교과 과정이 변경되었으니 참고하여 주시기 바랍니다.
1. 수강 신청 시 변경된 과목명, 이수시기,이수구분 등을 반드시 확인하여 주시기 바랍니다.
2. 이수구분이 변경된 과목이 있사오니,
졸업사정표를 반드시 확인
바라며 이수구분 변경 신청이 필요한 학생들은 신청 기간에 맞추어 직접 신청 바랍니다."
pubad,[학위논문] 논문작성자를 위한 카피킬러 고객센터 및 원격지원사용 안내,N/A,2021-12-17,https://pubad.ssu.ac.kr/%ec%a0%95%eb%b3%b4%ea%b4%91%ec%9e%a5/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=27159,"1. 논문표절검사를 위한 카피킬러는
논문작성자를 위해 본교에서 해당 업체와 계약을 체결
하고
비용을 지불하는 서비스 입니다.
논문작성자 분들의 많은 이용 바랍니다.
2. 카피킬러접속방법 및 안내/원격지원 서비스 연락처
가. u-saint 로그인
●
로그인 및 환경설정 문제 발생 시 : 02-820-0067~8 (Help Desk)
나. u-saint 로그인 후 카피킬러 접속 경로
●
U-SAINT 로그인 > 자주찾는 메뉴 > 카피킬러
[위치 화면]
다. 카피킬러 사용매뉴얼
●
카피킬러 웹페이지에 ‘사용매뉴얼’이 EBOOK으로 탑재되어 있음
라. 카피킬러 사용 문의 전반
●
카피킬러 고객센터 : 1588-9784 (평일 9:00~18:00)
●
카피킬러 문의 이메일 :
help@copykiller.com
마. 원격지원
●
카피킬러 웹페이지 내 탑재되어 있음
[캡쳐 화면]
라. 카피킬러 활용법, 인용/출처 표기법, 출처생성기, 중복개제 예방법
●
카피킬러 웹페이지에 탑재되어 있음
[캡쳐 화면]"
pubad,★중요★ 졸업 요건 안내(논문 제출 및 대체 관련 안내),N/A,2019-11-06,https://pubad.ssu.ac.kr/%ec%a0%95%eb%b3%b4%ea%b4%91%ec%9e%a5/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=1904,"1. 행정학부 졸업논문 및 졸업논문대체 영어성적 제출 기준 안내
졸업논문 대체 영어성적 기준 : TOEIC 750점 이상, TEPS 594점 이상, TOEFL 85점 이상, TEPS 스피킹 53점 이상, TOEIC 스피킹 130점 이상, OPIC IM2 이상의 최종제출일까지 유효한 기간의 영어 성적 (토익으로 점수 환산하여 점수를 부여함)
2. 입학년도별 졸업 요건
각 학기별로 졸업예정자가 확정되면 학과에서 졸업논문계획서 제출, 졸업논문(또는 영어성적) 제출일정 등을 홈페이지에 공지하오니 홈페이지를 반드시 참고바랍니다.
(미확인 시 본인 책임)
*주의사항: 연락처가 올바르지 않아 연락을 받지 못할 경우 본인의 책임입니다. 이러한 피해를 막기 위해서 개인정보 변경 시 반드시 유세인트에서  수정바랍니다."
pubad,★중요★ u-SAINT의 개인정보 입력 및 변경 안내,N/A,2019-11-06,https://pubad.ssu.ac.kr/%ec%a0%95%eb%b3%b4%ea%b4%91%ec%9e%a5/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=1902,"u-SAINT의 개인정보 입력 및 변경 안내
u-SAINT에 등록되어 있는 개인정보는 학사정보를 제공하는 용도로 사용되고 있습니다.
현재 등록되어 있는 정보가 정확하지 않을 경우 학사정보를 제공 받기 어려우니, u-SAINT의 개인정보(영문성명, 주소, 전화번호, e-mail, 사진 등)를 확인하시고 변경이 필요한 경우 아래와 같이 입력하여 주시기 바랍니다.
1. 기본정보 입력 u-SAINT 로그인 → 학사관리 →학적정보 조회 및 수정 → 입력 버튼을 눌러 본인의 기본정보를 입력 후 저장
2. 사진 등록은 학사팀 으로 <haksa@ssu.ac.kr>로 학번, 이름, 사진파일(학번.jpg)을 보내주시면 2-3일 이내에 등록됩니다.
교 무 처 장"
pubad,2025 청년 중남미 진출 포럼(11.11.),N/A,2025-11-07,https://pubad.ssu.ac.kr/%ec%a0%95%eb%b3%b4%ea%b4%91%ec%9e%a5/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=31401,"외교부는 청년들의 중남미 진출을 지원하고자 11.11.(화)
「2025 청년 중남미 진출 포럼」
을 온·오프라인 동시 진행으로 개최할 예정입니다.
ㅇ 일자 및 장소 : 11.11.(화), 한국외대 미네르바 콤플렉스 국제회의실(오프라인) / 외교부의 라틴광장 Youtube 채널(온라인, 실시간 송출)
ㅇ 행사 목적 : 청년들의 중남미 진출을 위한 진로 탐색 및 정보 공유
ㅇ 참석 대상 : 중남미 진출을 희망하는 대학(원)생 및 일반 청년층
ㅇ 초청 연사 : △중남미 전문가, △청년 해외진출 정부 지원 프로그램 담당자, △중남미에 진출한 각 분야별 주요 기관 및 기업 관계자 등
ㅇ 프로그램
– (제1세션) 중남미 지역 소개 및 개관 – 중남미 전문가 특강
– (제2세션) 중남미에서 시작하는 글로벌 역량 강화 – 청년 해외진출 관련 정부·공공기관 지원 프로그램 소개
– (제3세션) 중남미에서의 분야별 업무 및 경험 공유 지원 프로그램 소개
(KOICA, KOTRA, 중남미 진출·유망분야 기업 재직자의 생생한 경험담)
– (제4세션) 현지 경험자와의 네트워킹
붙임  1. 행사 포스터 1부.
2. 카드뉴스 4컷.  끝."
pubad,2025학년도 휴학생 겨울계절제 수강신청 안내,N/A,2025-10-16,https://pubad.ssu.ac.kr/%ec%a0%95%eb%b3%b4%ea%b4%91%ec%9e%a5/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=31337,"※ 1학기 미만, 8학기 이상 이수자는 해당되지 않음"
