department,title,author,date,link,content
socialwelfare,2026년 동계실습 및 1학기 실습수업 특별교육(OT) 안내,N/A,2025-11-14,https://mysoongsil.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad-2/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=23040,"2026년 동계실습 및 1학기 실습수업 특별교육(OT) 안내
대상
가. 2026학년도 1학기 실습수업을 준비 중인 학생 (전공자, 복수전공자, 복학생, 편입생 가능)
나. 사회복지전공생이며, 실습 희망 학생
일시 및 장소
가. 일시 :
2025. 11. 25. (금) 17:30 – 18:30
나. 장소 : 조만식기념관 532호
※ 자격취득을 원하는 학생은 필히 참석하셔야 합니다.
내용
가. 2026학년도 1학기 실습지(기관) 선정과 일정 안내
나. 준비작업(프로파일, 신청서 작성) 안내 등
문의
실습실: 실습 조교(02-828-7290 / practice@ssu.ac.kr)
실습지도: 강미경 교수
※ 불참으로 인한 과정이수 문제는 본인에게 있습니다."
socialwelfare,2025년도 2학기 학부 졸업논문 지도교수 배정안내,,2025-10-10,https://mysoongsil.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad-2/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=22833,"교수명
이름
논문명
허준수
교수님
이정민
북한이탈주민 청소년의 학교생활 적응 경험
김봄향
노인복지관 프로그램 참여 경험에 관한 질적연구: 문헌연구와 실습 경험을 중심으로
석주원
노인복지관 프로그램 참여 경험에 관한 질적연구: 문헌연구와 실습 경험을 중심으로
유태균
교수님
김익주
청소년 범죄와 복지시설 접근성의 관계 연구: 서울시 구별 자료를 중심으로
원윤민
뉴미디어 영상 캠페인과 사회적 연대: 사회복지실천의 새로운 가능성
윤경미
지역사회 노인 돌봄 서비스의 효과와 과제: 서울시 사례 분석
김장우
정서위험 아동 지원을 위한 학교-지역사회 연계 방안
이채원
교수님
고옥정
다문화 가정의 가족관계와 정신건강 지원 프로그램 개발
양덕방
중국가족 구조의 변화가 농촌 노인에게 미치는 영향
문은서
정신장애인의 정신의료기관 장기입원에 대한 개선방안 고찰
김하린
인공와우 사용자의 복지 사각지대에 관한 연구: 보청기와의 제도적 비교를 중심으로
김경미
교수님
박영광
장애인주간보호시설 중증 및 뇌병변장애인의 활동 참여와 삶의 질 향상을 위한 프로그램 효과 분석
김훈
장애인 고용 활성화를 위한 4차 산업혁명 기반 직무설계와 정책 제언
이문형
농촌 지역 노인의 이동권 실태와 삶의 질 향상 방안 연구
김희수
초고령화 속 AI 활용 탐색 및 제언: 한국 노인의 건강한 삶에 대한 지원을 중심으로
이지하
교수님
이혜진
시민 주도형 돌봄 커뮤니티의 지속가능성 분석 및 공공 시스템 연계 방안 연구
정예린
대중교통에서의 보이지 않는 장애인 경험과 정책적 대응방향
허승형
청년들의 반복된 구직 실패 경험이 자기효능감 인식에 미치는 영향과 보호요인 연구
김태근
사회복지와 접목한 기술의 동향: 인공지능(AI)과 정보통신기술(ICT)을 중심으로
이성규
교수님
조희진
한국 국민연금의 개혁의 방향과 스웨덴의 교훈
이지우
집단심리극 프로그램에 대한 대학생 인식과 기대효과
박선우
아동학대행위 부모 사례관리에 대한 연구
박서연
저소득 고령자의 의료비 과부담이 우울에 미치는 영향: 사회적 지지의 조절효과를 중심으로
한우재
교수님
임어진
노인복지관 종사자의 소진에 영향을 미치는 주요 요인 분석
박은경
대학생 마약중독 예방을 위한 사회복지적 개입: 국내 사례와 한계
김례영
한국 가족 돌봄 청년 현황과 제도적 지원의 필요성
황지원
자극추구 기질과 위험 회피 성향이 정신건강에 미치는 영향
이현지
교수님
강하린
청년 실업이 청년 정신건강에 미치는 영향
유선기
노인장기요양기관의 회계.세무 관리의 실태와 개선 과제
음선우
나눔가게 운영과 이용 경험이 사회적 가치 인식과 지역사회 참여 의식에 미치는 영향: 운영자와 이용자 경험을 중심으로
이은호
이동형 청소년일시쉼터 이용 여자 청소년의 비자살적 자해(NSSI): 원인과 개입 전략
*졸업논문 지도는 반드시 지도교수님께 받으셔야 합니다(처음 방문 시 졸업논문계획서 지참)
논문지도 시작일: 10월 15일(수)부터, 교수님께 개별로 사전 연락 요망
*졸업논문 제목이 바뀌는 경우, 학부 이메일로 12월 5일(금) 오후 3시까지 보내주시기 바랍니다.
*졸업논문 양식은 학과홈페이지 자료실 이용 또는 이전 공지 사항 첨부파일 활용바랍니다.
*완성본 제출은 2025년 12월 5일(금), 오후 3시까지이며, 아래의 파일을 모두 제출해주셔야 합니다.
1) 오프라인으로 논문 2부, 카피킬러 1부(요약보기, 상세보기 무관) 복사하여 제출
2) 학과이메일(social@ssu.ac.kr)로 완성본 한글파일(.hwp) 제출
-공인영어시험성적 신청 학생은 추가 제출 사항 없습니다. 논문 작성 중 영어 시험 대체 계획이 있는 학생은 영어시험 대체계획서와 성적표를 학과 메일로 보내주시면 됩니다. 이때에도 교수님과 사전 연락은 진행해주시기 바랍니다.
기타 문의: 02-820-0500"
socialwelfare,[2025년 2학기_실습실 운영] 사회복지현장실습실 운영일 안내,,2025-09-01,https://mysoongsil.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad-2/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=22656,"안녕하세요.
방학중 웨스트민스터홀 공사가 완료되어, 2025년 9월1일부터 웨스트민스터홀 실습실을 다시 운영합니다.
2025년 2학기 중 실습실 방문을 희망하시는 분은 참고하시어 실습과 관련한 상담, 행정지원을 받으시길 바랍니다.
[2학기 학기 중 운영 일정 및 시간]
1) 월요일
:  오전 9시 ~ 오후 3시
2) 화요일
:  오후 2시 ~ 오후 4시
3) 수요일 : 오전 9시 ~ 오후 4시
▮ 실습실 E-mail: practice@ssu.ac.kr
▮ 실습실 연락처: 02-828-7290
▮ 실습실 위치 : 웨스트민스터홀 662호"
socialwelfare,[수정재공지]2026년 02월 졸업예정자 졸업논문 및 영어성적표 제출 일정 안내(9.30까지),,2025-08-19,https://mysoongsil.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad-2/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=22584,"2026
년 2
월 졸업예정자 졸업논문 및 영어성적표 제출 일정 안내
(9.30
까지
)
2026년 2월 졸업예정인 학생들은 졸업을 하기 위해서
논문계획서 또는 영어대체계획서 및 성적표를 반드시 제출
해야 합니다.
이와 관련하여 논문제출일정을 아래와 같이 안내합니다. [반드시 본 공지사항을 모두 읽은 다음 제출 기한에 맞춰 제출해주시기 바랍니다.]
◎ 논문일정
가.
졸업논문계획서 및 공인영어시험대체계획서 제출기한: 9.1(월)–9.30(화)까지
/ 본인 서명 후 스캔본 학부메일 제출(social@ssu.ac.kr) [오프라인도 제출가능]
*메일예시: [졸업논문관련] 졸업논문계획서 제출(성명) or [졸업논문관련] 공인영어시험대체계획서 및 성적표 제출(성명)
[영어시험대체자는 성적표와 계획서를 함께 제출하여야 합니다.]
나.
지도교수 배정신청
:
10월 01일(수) ~ 10월 02일(목)
*2022-2학기부터 지도교수 배정 방식이 변경되었습니다. 학생이 지도받고자 하는 교수님을 직접 신청하는 형태로 변경되었으며, 신청방법은 9/30(화) 졸업논문계획서 제출 마감 이후 메일 상으로 공지드리겠습니다.
다.지도교수 공지(홈페이지) 및 논문지도: 2025.10.10(금) 학부 홈페이지 내, 학부 공지사항에 게시
라.졸업논문 완성본 제출: 12.5(금), 15:00까지
◎ 영어성적표 제출
– 영어성적은 제출시점에 유효기간(2026.2월까지)이 반드시 남아있어야 합니다.(대체인정점수 확인)
TOEIC · TOEFL(CBT,IBT) · TEPS ·OPIC · IELTS CONVERSION TABLE
TOEIC
TOEFL(CBT)
TOEFL(IBT)
TEPS
OPIC
IELTS
810이상
214이상
93이상
355이상
IM3이상
6.5이상
*TOEFL의 경우, MY BEST  Score제도를 적용합니다.
◎ 유의사항
가. 학부홈페이지를 확인하여 지도교수를 배정받은 후 반드시 논문지도를 받으시기 바랍니다.
나. 논문작성 중에 논문제목이 바뀌는 경우에는 12월 5일(금) 15:00까지 반드시 학부사무실에 알려야 합니다. (학부사무실에 알리지 않아서, 논문제목이 다를 경우 책임은 본인에게 있습니다.)
다. 2026.2월에 영어성적으로 졸업하려고 하는 학생의 경우,
논문계획서 또는 영어성적표 제출시점에 영어성적이 없으면 반드시 논문계획서를 9.30(화)까지 제출
해야 합니다.
이후 영어성적을 취득할 경우, 지도교수님과 상의하에 영어성적 대체로 변경할 수 있습니다.
[영어 성적은 2025.12월 전까지 제출하시기 바랍니다.]
※
논문을 작성하는 학생은 완성본을 제출할 시
,
아래
2
가지 모두 제출해야 합니다
. (12.5
까지
)
1) 오프라인제출: 논문 2부, 카피킬러 1부(요약보기, 상세보기 무관) /
※ 카피킬러는 학부사무실에서 진행하지 않기 때문에 사용이 가능한 카피킬러를 찾아 제출하시기 바랍니다.
2) 학부메일(social@ssu.ac.kr)로 완성본 파일 제출.(한글 파일로 제출) /
※ 반드시 본 공지사항에 첨부된 논문 양식에 따라 작성된 완성본으로 제출
=> 공인영어시험성적으로 신청한 학생은 추가 제출할 사항은 없으며,
졸업 논문이 모두 종료 된 후에 점수 입력 예정으로 12월 이후에 P/F를 확인하시기 바랍니다.
★ 논문일정 및 유의사항을 미리 확인하시어 기간을 놓치는 일이 없도록 합니다. ★
이외 궁금하신 사항은 문의 주시기 바랍니다.
문의: 사회복지학부 02-820-0500"
socialwelfare,(변동사항 반영)★실습 관련 필독사항[각종 양식 및 자료 포함],,2025-03-25,https://mysoongsil.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad-2/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=7341,"실습 관련 변동사항을 반영하여 안내자료를 갱신하였으니 참고바랍니다.
주요 내용은 다음과 같습니다.
–
다전공생(복수전공, 부전공) 실습수업 과목 제한 내용 삭제(
과목 구분 없이 1, 2학기 모두 수강 가능
)
– 자격증 발급 시 실습확인서 미제출 관련 내용 반영(25년 2월 이후)
※ 학부 및 대학원생 모두 해당학기별 “사회복지현장실습안내자료”를 필히 참고하여 주시고, 특히, “실습관련기준요건사항
(실습기관, 실습지도자 자격요건 등)”, “실습진행절차”부분을 정독해주시기 바랍니다.
□ 실습 수강 요건
[학부생 실습기준요건]
– 본교 사회복지현장실습은 3학년 1학기를 이수(또는 5학기 수료 후)한 학생이 수행할 수 있다.
– 실습 1회는 필수적으로 이수해야 하며, 실습 2회는 선택으로 적극 권장한다. 이는 복수전공생에게도 동일하게 적용된다.
(부전공생은 실습1회 필수)
– 실습생은 실습기관에서의 현장실습활동의 수행뿐 아니라 학교에서 실습과목수업을 수강했을 때 실습과목을 이수한 것으로
인정된다. (실습기관현장실습 + 실습과목수강 = 실습 1회 이수 인정)
[일반대학원 학생 실습] 개정된 내규 안내(사회복지사자격여부에 따른 실습수행관련)
일반대학원 학생의 경우, 대학원 1학기 이상을 이수한 자에 한하여 실습이 가능합니다. 단, 일반대학원 학생은 개정된 내규로
인하여, 사회복지사자격여부에 따른 실습 관련 적용 내용이 상이합니다. 현재 사회복지사 자격증(급수상관없음)을 소지한 경우에는 실습이 선택사항이며, 자격증미소지자의 경우 필히 1회 이상 현장실습과 동시에 실습수업을 수강해야합니다.
□ 실습진행 절차 개요 (자세한 사항은 학기별 실습 안내 자료 확인)
– 실습 교과목 수강 학기에 대한 실습 안내 교육 참여(실습 교과목 수강 학기 직전 학기에 실시)
– 실습기관 탐색 : 법적 요건에 맞는 실습기관을 자신의 관심사를 고려하여 학생 스스로 탐색
– 실습기관 지원 및 선정 : 실습기관에 공지에 따라 실습 지원
– 학교에 실습기관 통보 : 최종적으로 선정된 한 곳의 실습기관을 학교에 알림
· 기한 : (2학기 실습) 하계방학 실습 6월까지, 2학기 중 실습 7월까지
(1학기 실습) 동계방학 실습 12월 첫째 주까지, 1학기 중 실습 1월까지
· 제출서류 : 실습신청서 1부, 실습생 프로파일 1부/ 실습실 메일로 제출
– 실습수행 및 종결 : 기관 실습 커리큘럼에 따라 실습 진행
– 실습교과목 수강 및 실습보고서 제출
□ 양식 첨부자료
1. 실습신청서 : 학교에 실습기관 통보 시 제출서류
2. 실습생 프로파일 : 학교에 실습기관 통보 시 제출서류
3. 사회복지현장실습확인서 : 기관에서 반드시 2021년 4월 개정 양식으로 작성할 수 있도록 요청
4. 실습평가서(협회양식) : 기관 자체 양식 활용가능, 실습 종결 후 기관에서 학교로 우편 발송하도록 요청
5. 실습보고서 작성 양식 : 실습보고서 작성 안내 및 실습보고서에 포함되어야 할 양식 수록(기관 별도 양식이 없다면 필요한 양식 미리 참고)
6. 실습계약서 : 대학원생 필수 작성, 기관 별도 양식이 없을 경우 참고
7. 실습생 프로파일(협회양식) : 실습지원 시 필요할 경우 활용
문의 : 실습실 메일 (practice@ssu.ac.kr) / 실습실 : 웨스트민스터홀 662호"
socialwelfare,‘2025 사회복지사 자격관리 지침’ 변경에 따른 사회복지현장실습확인서 변동사항 안내,,2025-03-10,https://mysoongsil.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad-2/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=21608,"한국사회복지사협회 2025 사회복지사 자격관리 지침 변경에 따라
‘사회복지현장실습확인서’가 1급 국가시험 응시자격 제출서류에서 제외되었습니다(25년 2월 6일부터 적용).
2025년 사회복지사 자격관리 지침과 주요 개정사항 안내에 관한 협회자료를 첨부하니, 이후 사회복지사 자격증을 발급 받고자 하는 학생은 참고 바랍니다.
※이외 실습진행과 관련된 내용은 동일하며, 확인서도 기존과 동일하게 발급받아야 합니다(발급받은 실습확인서는 실습실에서 원본 보관).
자세한 내용은 한국사회복지사협회 자격관리센터(https://www.welfare.net/lic)에서 확인, 문의 바랍니다."
socialwelfare,★사회복지현장실습관련 문의 및 사무실 방문 관련 안내★,,2024-05-23,https://mysoongsil.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad-2/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=20767,"사회복지현장실습과 관련하여 문의 및 사무실 방문 관련하여 안내드립니다.
[사회복지현장실습실 위치 및 연락처]
위치: 웨스트민스터홀 662호
연락처: 02-828-7290
이메일: practice@ssu.ac.kr
학부사무실에서는 사회복지현장실습과 관련하여 지도교수님과 학부장님의 도장만 찍어드립니다.
기타 문의사항은 위의 연락처로 연락해주시기 바랍니다.
또한 학부 홈페이지(
사회복지학부 – 메인 (ssu.ac.kr)
)의
학부 공지사항을 통해 사회복지현장실습실 운영 일정을 확인하시고 방문 및 연락하시기 바랍니다
."
socialwelfare,[2015-2학기 졸업자 이후] 카피킬러 검사결과 제출안내(21년 수정),,2021-11-29,https://mysoongsil.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad-2/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=1083,"2015년 2월 졸업예정자부터 졸업논문 제출시 반드시 카피킬러 검사결과를 함께 제출해야함을 알려드립니다.
자세한 사용안내는 아래 링크로 접속하셔서 확인하시길 바랍니다.
https://www.copykiller.com/
※학부는 ‘기관전용 카피킬러’를 지원하지 않습니다. 위에 게재된 링크에 접속하셔서 회원가입을 하시고 이용하시기 바랍니다."
socialwelfare,"★학점포기제 시행, 재수강 기준 변경 안내★",,2021-02-05,https://mysoongsil.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad-2/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=11992,
socialwelfare,졸업예정자대상 입학년도별 세부전공 배정안내,,2020-07-29,https://mysoongsil.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad-2/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?term_id&slug=2266,"2010학년도 입학자부터 졸업 시 세부전공을 배정할 수 있습니다.
졸업 시 전공을 표기하기 위해서는
해당전공과목
(
사회복지실천 또는 사회복지정책
·
행정
) 12
학점과 공통과목
42
학점 이상을 이수
해야 합니다.
[
전공별 이수과목
]
<2010-2012학년도>
*사회복지실천전공(4과목): 사회복지와 인적자원개발, 사례관리론, 상담실기, 가족상담
*사회복지정책·행정전공(4과목): 사회보장론, 비교사회복지, 사회서비스정책, 사회복지와 모금
<2013-2016학년도>
*사회복지실천전공(6과목 중 4과목 이수): 중독문제와 사회복지실천, 사례관리론, 상담실기, 가족상담, 사회복지실천론, 사회복지실천기술론
*사회복지정책·행정전공(6과목 중 4과목 이수): 사회보장론, 비교사회복지, 사회서비스정책, 사회복지와모금, 사회복지정책론, 사회복지행정론
<2017학년도 이후>
*사회복지실천전공(7과목 중 4과목 이수): 중독과 사회복지실천, 사례관리론, 상담실기, 가족상담, 사회복지실천론, 사회복지실천기술론, 지역사회복지론
*사회복지정책·행정전공(7과목 중 4과목 이수): 사회보장론, 비교사회복지, 사회서비스정책, 사회복지와모금, 사회복지정책론, 사회복지행정론,사회복지와 법제"
